Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	2	2	73297	93989.2	43766		80035.2	86558.7	76099.6	78535.9	74337.3	86905.3	84637.6	100623	92404.4	95071.4	87122.6	111597	87952	90847.5
A8K8V0	ZN785_HUMAN	ZNF785	Zinc finger protein 785	1	1		19251.3						16459.5								11420.9		
A8MPS7	YDJC_HUMAN	YDJC	Carbohydrate deacetylase	3	3	108228	104241	105678	104707	109251	102441	91455.8	99786.5	94038.2	114335	113925	111752	110143	122032	115044	98046.1	116309	124208
A8MT69	CENPX_HUMAN	CENPX	Centromere protein X	2	2	15542	13414.3		23712	16401.9	26366.4	18708.9	23959.2		19498.5	17501.6	22571.5	19326.6	21109		19645.2	18759.5	
A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1	6	6	29480.2	24320.7	21480.2	29101.3	27830.6	29081.5	24463	30601.2	27744.4	23441.4	28567.4	26921.2	29049.7	22300.1	21585.6	24804.8	22750.2	17108.8
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	1.66262e+06	1.52874e+06	1.36515e+06	1.46851e+06	1.45733e+06	1.36299e+06	1.48443e+06	1.6231e+06	1.65876e+06	1.5843e+06	1.58918e+06	1.49707e+06	1.63377e+06	1.61571e+06	1.6693e+06	1.64442e+06	1.68986e+06	1.79685e+06
A8MWY0	ELAP2_HUMAN	ELAPOR2	Endosome/lysosome-associated apoptosis and autophagy regulator family member 2	1	1			8267.32			11007.3	9018.05	9719.52	10249	13065.6					7528.06	11870.7		
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	8	8	72209.9	78423.9	82158.5	79648.8	79734.3	82687.2	77805.6	81690	84108.5	72452.7	73934.3	73195.9	71743.7	68232.2	73768.5	65104.6	70633.2	73294.1
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	3	3	57601	58865.1	59956.1	65768.5	55357	58721.2	56281.6	53134	54484.6	55855.2	52161.8	55830.3	60703.5	57077.8	54317.6	71407.2	60281.5	57455.6
B2RUZ4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1	1	1	56026.7					58927.2							149610			158848		
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPHRA;GPHRB	Golgi pH regulator A	1	0				23883.7	17904.1													
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	2	2	46410	41455.8	62270.6	40101.2	36426.8	48484.1	51486.4	46772.2	44876.4	61044.1	56677.5	47533.7	61475.6	50462.7	57563.9	66689	49353.4	54270.6
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	3	3	183787	189884	184437	179185	195539	196173	176715	190103	188466	175196	164634	198002	130040	177955	181897	124586	163663	188646
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	1	1	67285.4			77439			62083		39278									
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	5	3	3.40726e+06	3.33252e+06	3.6611e+06	3.64068e+06	3.40233e+06	3.64409e+06	3.69658e+06	3.67616e+06	3.61158e+06	3.44345e+06	3.21476e+06	3.38686e+06	3.42656e+06	3.32592e+06	3.195e+06	3.29971e+06	3.27262e+06	3.07875e+06
E9PB15	PTG3L_HUMAN	PTGES3L	Putative protein PTGES3L	1	1	20686.4	17797.7	20996.7	19706.5		26429.2	20189.8	22467.4	21909.7	22788.7	21285.3	22088.8	15682.2	17051.4	22255.4	14076.1	15680.5	17846.2
E9PRG8	RSMC_HUMAN	RSMC	28S rRNA/ribosome and sororin micro-cofactor	2	2	862288	941929	944736	960754	930770	953995	941605	980764	968609	873767	842784	796393	871401	952738	900421	885552	913924	899740
F5H4B4	F227A_HUMAN	FAM227A	Protein FAM227A	1	1		18595.5																
G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	1	0	787917	777716	724035	770311	773924	785746	780932	758731	764737	742153	751435	781124	753859	785014	816630	803565	796849	807259
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	3	3	48570.2	43772.9	39088.8	44877.2	33095.9	38612.9	40335.1	37554.8	17024	73462	58218.7	53862.2	70734.9	62467.4	61690	81949.5	67447.3	63010.3
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2	2		18136.9		20950.3	18088.2		18982.3	18926.5	18871.7	23257.6	24894.4	17555.9	38170.9	28070.6		33374.7	29046.3	26142.9
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	22	22	353838	342533	337278	357311	353664	357794	354395	349003	343161	361014	344060	352480	355770	341047	346668	346272	324458	352020
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	2	2											3191.78	3252.29	3204.34		2936.53	4203.81		5588.51
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	13	13	421951	451346	451578	429103	423819	453015	439478	461263	446686	421743	422579	438516	414488	446233	436267	436857	429145	452807
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	4	4	1.36974e+06	1.36213e+06	1.37178e+06	1.44989e+06	1.37459e+06	1.32206e+06	1.36035e+06	1.45389e+06	1.42653e+06	1.40738e+06	1.32539e+06	1.35816e+06	1.35048e+06	1.36671e+06	1.33997e+06	1.36551e+06	1.36465e+06	1.33795e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8	8	892937	896022	866981	893568	808324	843632	849061	888609	829662	967119	942671	923689	941306	901629	838340	952000	998639	851188
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	8	8	668458	701888	748944	717260	705936	810737	737743	755477	787455	715906	699998	662600	713420	730380	708447	734582	715004	765315
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	13	13	76150.6	81226.3	78407.9	72076.9	72980.7	73187	64693.3	75773.2	72502.6	70933	76981.9	74505.3	71197.4	80148.8	87089.9	78516.5	76531.4	76891
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	9	9	296964	343135	329834	333478	335921	323248	312365	336991	314207	303074	292373	323125	324214	330342	309356	318169	322019	316994
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	12	12	134567	136333	128053	150381	147239	144310	138108	140140	132857	165586	152655	142275	151837	143402	137774	154882	145028	141687
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	470647	433250	406800	443540	414254	415791	445703	459569	407109	513693	472986	449893	472020	499625	439426	474532	505078	465589
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	14	14	167203	169441	168414	175475	163568	163832	175218	162900	165254	167930	164596	163601	169012	172935	160246	170522	167282	159690
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	9	9	124295	143805	141650	115294	135748	138869	139232	150221	137365	127675	147988	131362	130261	147958	143371	147302	141992	152136
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	3	3	15355.7	17321	15235.7	20907.9	13659.3	26026.5	17928.2	25059.3	12752.4	21043.1	22464.6	7769.17	22533	20668.1	17702.3	24246.8	23478.5	16959.3
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	8	8	32149.9	27977.7	22066.3	32790	22704.2	33966.5	32582.6	27482.3	25009	28370	21339.1	26221.2	28678.9	35016	21484.7	29359.7	26972.3	18052.6
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	916920	858442	870811	850762	870121	898828	815431	746272	820133	871248	802337	786353	851853	762089	853929	781529	776582	719020
