Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	4.41158e+06	4.49196e+06	4.45962e+06	4.59995e+06	4.57391e+06	4.48647e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.13876e+06	1.78768e+06	1.85225e+06	1.69092e+06	2.05823e+06	1.87964e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	1.00238e+07	9.68612e+06	9.99768e+06	1.01083e+07	1.01411e+07	1.04535e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.14281e+07	1.1664e+07	1.02755e+07	1.08764e+07	1.08467e+07	1.19562e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.17155e+07	3.23557e+07	3.20844e+07	3.18467e+07	3.16537e+07	3.23508e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.07447e+07	6.20264e+07	5.99648e+07	6.21007e+07	5.97086e+07	5.95843e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.09509e+07	2.04417e+07	2.03727e+07	2.07126e+07	2.01293e+07	2.04674e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	13	13	1.64746e+07	1.57416e+07	1.73564e+07	1.64601e+07	1.72466e+07	1.59468e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.35606e+06	4.16143e+06	5.24435e+06	4.37029e+06	4.55508e+06	4.23013e+06
P07023	TYRA_ECOLI	tyrA	T-protein	8	8	7.45318e+06	6.48888e+06	7.66637e+06	7.03805e+06	7.61064e+06	7.37861e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.36518e+07	2.30692e+07	2.37176e+07	2.35695e+07	2.31628e+07	2.25356e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.40281e+06	4.77415e+06	5.53757e+06	4.67742e+06	4.38416e+06	4.96281e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1	704562	1.22164e+06		1.28704e+06	928294	1.47893e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	47	47	1.20086e+08	1.1418e+08	1.17921e+08	1.12804e+08	1.23519e+08	1.15132e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	3.00838e+06	2.97145e+06	3.56233e+06	3.33177e+06	3.11563e+06	3.27217e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	12	12	1.01311e+07	1.07607e+07	1.00696e+07	1.05413e+07	1.04907e+07	1.11449e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2		244773	2.20751e+06			3.2184e+06
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	8.8876e+07	8.51129e+07	8.99753e+07	8.62395e+07	8.76243e+07	8.73091e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	12	12	8.30385e+06	8.78385e+06	8.83463e+06	8.0214e+06	8.5759e+06	8.53124e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.60463e+07	1.55635e+07	1.55354e+07	1.58868e+07	1.70608e+07	1.61898e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	4	4	1.02371e+06	1.06272e+06	1.20976e+06	1.28995e+06	1.46941e+06	1.1439e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	5	5	2.91818e+06	3.11064e+06	2.14364e+06	3.35445e+06		2.93814e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	23	23	3.17864e+07	3.34736e+07	3.16808e+07	3.35075e+07	3.28459e+07	3.33078e+07
