Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.95384e+07	1.92741e+07	1.88065e+07	1.99513e+07	1.93611e+07	1.96152e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.42621e+06	2.17316e+06	2.18357e+06	2.97849e+06	2.5293e+06	2.26877e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2	1.76123e+06	1.685e+06	1.59297e+06	1.92334e+06	1.23839e+06	1.8913e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.31586e+07	5.38854e+07	5.40787e+07	5.2561e+07	5.40213e+07	5.06222e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	11	11	9.46189e+07	1.0091e+08	9.65184e+07	1.01962e+08	9.59788e+07	9.48441e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.15978e+08	1.21052e+08	1.18675e+08	1.21692e+08	1.17858e+08	1.17824e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	43	43	1.28858e+08	1.31927e+08	1.29215e+08	1.29865e+08	1.31967e+08	1.30921e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	31	31	6.51644e+07	6.53131e+07	6.3207e+07	6.38099e+07	6.39455e+07	6.31528e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.08263e+07	3.39589e+07	3.03034e+07	3.13569e+07	3.08112e+07	3.27019e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	39	39	7.99983e+07	8.00345e+07	7.76424e+07	7.7634e+07	7.75551e+07	7.88938e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	8.3346e+07	8.23944e+07	8.22734e+07	8.35891e+07	8.24672e+07	8.0123e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.08783e+08	1.02883e+08	1.09367e+08	1.08041e+08	1.02252e+08	9.98543e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	34	34	2.04447e+07	1.9869e+07	2.05832e+07	2.03999e+07	2.05207e+07	2.02394e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		14	14		7.96652e+07		8.11746e+07		7.42664e+07
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8		5.32944e+07		5.05186e+07		5.03054e+07
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4		6.01549e+07		6.06076e+07		5.96509e+07
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1		1.7465e+07		1.84652e+07		2.05203e+07
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1		3.82961e+07		3.5871e+07		3.73246e+07
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7		5.17336e+07		5.17628e+07		5.05671e+07
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		6	6		7.04074e+07		6.95689e+07		6.99594e+07
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8		7.9868e+07		8.19616e+07		7.5625e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	9.03569e+08	9.69552e+08	8.68545e+08	9.56978e+08	8.27235e+08	9.5268e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.04078e+09	1.05456e+09	1.02422e+09	1.07772e+09	1.01729e+09	1.00074e+09
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	8.72604e+08	8.07046e+08	8.58634e+08	8.11657e+08	8.84513e+08	8.04118e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		4	4		1.31831e+07		1.28923e+07		1.32762e+07
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		3	3		9.26984e+06		9.02092e+06		9.29365e+06
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		20	20	1.01836e+06	1.3143e+08		1.39094e+08		1.31573e+08
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18		7.66749e+07		7.64946e+07		7.62283e+07
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22		7.56912e+07		7.21011e+07		7.43898e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	7	7	3.3354e+07	3.53309e+07	3.44939e+07	3.87904e+07	3.52397e+07	3.60933e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	1.34295e+07	1.55324e+07	1.57577e+07	1.35887e+07	1.63442e+07	1.56009e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.2109e+07	4.16968e+07	4.10854e+07	4.31284e+07	4.06032e+07	4.33184e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.42182e+08	1.25915e+08	1.39733e+08	1.26036e+08	1.37159e+08	1.24148e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	17	2.15016e+08	2.16445e+08	2.05783e+08	2.08918e+08	1.98138e+08	2.09224e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.10875e+06	1.35061e+06	1.0455e+06	1.23066e+06	871048	1.37057e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	17	15	6.66941e+07	6.78423e+07	6.54317e+07	6.23242e+07	6.3405e+07	6.5757e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	7.91791e+06	8.29831e+06	9.08868e+06	9.1083e+06	8.07859e+06	8.79939e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.17516e+06	7.22449e+06	6.3462e+06	7.09794e+06	6.23449e+06	7.39371e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	2.19313e+06	2.11035e+06	2.66499e+06	2.15986e+06	2.12373e+06	2.34459e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	7.99657e+06	9.00026e+06	9.41528e+06	9.80721e+06	9.33866e+06	9.47161e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	3.07395e+06	3.34465e+06	3.23336e+06	3.18633e+06	3.16222e+06	3.29259e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.6822e+06	5.98399e+06	6.28127e+06	5.99332e+06	5.92446e+06	5.89078e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	4.04596e+07	3.87002e+07	4.14582e+07	3.80059e+07	3.97137e+07	3.96715e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.61757e+07	3.39061e+07	3.45562e+07	3.10238e+07	3.70941e+07	3.42693e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.39545e+07	3.5015e+07	3.43605e+07	3.28479e+07	3.35671e+07	3.43949e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		16	16		2.94064e+07		2.92784e+07		2.93383e+07
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.51757e+07	8.40167e+07	8.42762e+07	8.45984e+07	8.36145e+07	8.38403e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	14	14	2.18943e+07	2.15984e+07	2.2192e+07	2.17773e+07	2.17195e+07	2.14822e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.67069e+07	3.73969e+07	3.68255e+07	3.70395e+07	3.79012e+07	3.73792e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.85033e+07	2.58307e+07	2.82339e+07	2.82406e+07	2.74439e+07	2.63944e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	24	24	1.4359e+08	1.48615e+08	1.45776e+08	1.46929e+08	1.44792e+08	1.40296e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	27	27	8.05121e+07	7.98315e+07	7.75517e+07	7.80571e+07	7.97581e+07	7.85645e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	8.21468e+06	8.1233e+06	8.69294e+06	7.90667e+06	8.37837e+06	8.41283e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.39404e+08	3.99488e+08	4.39366e+08	3.79016e+08	3.92341e+08	3.86697e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.52007e+07	3.28025e+07	3.50614e+07	3.42323e+07	3.43587e+07	3.40684e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	1.35228e+06	1.21992e+06	1.41485e+06	1.23086e+06	1.42159e+06	1.3455e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	6.27361e+06	5.44699e+06	5.97176e+06	5.84512e+06	6.83024e+06	6.27513e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	7.10809e+06	4.8808e+06	5.29147e+06	5.05979e+06	6.14108e+06	5.75179e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	8.43235e+06	8.39196e+06	8.17616e+06	8.35151e+06	8.41583e+06	9.31506e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.11039e+07	2.05479e+07	2.04162e+07	2.04371e+07	1.99128e+07	2.02861e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.44504e+06	5.48818e+06	5.79959e+06	5.37938e+06	6.54899e+06	5.89643e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	37	37	2.1026e+08	2.11526e+08	2.08388e+08	2.12456e+08	2.10873e+08	2.01076e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	5.43893e+06	5.70912e+06	5.64885e+06	5.70129e+06	5.47415e+06	5.64147e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.92387e+07	2.70012e+07	2.85937e+07	3.10656e+07	2.78675e+07	3.14479e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		8	8		7.31038e+07		7.43721e+07		7.04968e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	12	12	7.82452e+06	7.33815e+06	7.65155e+06	7.02159e+06	7.52519e+06	7.48555e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	4.28626e+07	4.24452e+07	4.31578e+07	4.3115e+07	4.0939e+07	4.21495e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2	433191			669157	734579	816945
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	7	7	7.53084e+06	9.30797e+06	8.34372e+06	9.95549e+06	7.28097e+06	9.06308e+06
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1		523024		799011	878030	
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.17292e+07	1.19874e+07	1.26911e+07	1.13584e+07	1.33996e+07	1.12415e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	14	14	1.34757e+07	1.45883e+07	1.38201e+07	1.42646e+07	1.30344e+07	1.31382e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15	2.82323e+07	2.73926e+07	2.75999e+07	2.71251e+07	2.87917e+07	2.74778e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	1.01017e+07	9.30498e+06	1.04162e+07	9.75033e+06	9.88606e+06	9.33742e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	9.38556e+06	9.21256e+06	9.66975e+06	8.79268e+06	9.96369e+06	9.11251e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	25	25	5.27595e+07	5.45627e+07	5.34826e+07	5.50852e+07	5.14718e+07	5.1527e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	3.76329e+07	3.5649e+07	3.07417e+07	3.6499e+07	3.55256e+07	2.93158e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	17	17	2.74936e+07	3.00572e+07	2.77872e+07	3.07824e+07	2.71386e+07	3.0093e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	6.46032e+06	7.38023e+06	6.54068e+06	7.30339e+06	6.33775e+06	6.90034e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		18	18		3.39647e+07		3.31003e+07		3.32926e+07
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.75204e+07	5.84804e+07	5.54097e+07	5.84953e+07	5.4961e+07	5.73979e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.34833e+06	1.01011e+06	1.37997e+06	1.09919e+06	1.16831e+06	
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	23	23	3.08519e+07	2.94633e+07	2.94083e+07	2.95302e+07	2.90595e+07	2.89673e+07
P06616	ERA_ECOLI	era	GTPase Era	7	7	1.02011e+07	8.38534e+06	1.06684e+07	8.95977e+06	1.01329e+07	8.28538e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	5	5	5.59982e+06	5.35114e+06	5.90872e+06	5.37918e+06	5.96806e+06	5.40593e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	9	9	5.79993e+06	5.54098e+06	5.75996e+06	5.13829e+06	6.07946e+06	5.40715e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.62628e+07	2.83093e+07	2.54609e+07	2.62907e+07	2.59184e+07	2.77064e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	2	2	1.28392e+06	1.75703e+06	1.55557e+06	1.57083e+06	1.50656e+06	1.35658e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.40858e+06	2.67766e+06	2.54279e+06	2.57292e+06	2.76762e+06	2.77241e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		17	17		4.85007e+07		4.64613e+07		4.45981e+07
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	5.37468e+06	4.52066e+06	5.35619e+06	5.05812e+06	5.12197e+06	5.22345e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	37	37	3.29524e+08	3.15118e+08	3.20969e+08	3.15801e+08	3.24624e+08	3.13257e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	1.33172e+07	1.38409e+07	1.31393e+07	1.34503e+07	1.38864e+07	1.46375e+07
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.31404e+07	8.24254e+07	8.7412e+07	7.96109e+07	8.3903e+07	8.37245e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	18	18	7.49811e+07	7.63115e+07	7.26607e+07	7.33009e+07	7.51772e+07	7.78025e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.18401e+07	1.22011e+07	1.31548e+07	1.27685e+07	1.1763e+07	1.2411e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	6.1362e+07	5.34401e+07	6.06899e+07	5.71728e+07	6.16317e+07	5.41986e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	8	8	1.33519e+07	1.30061e+07	1.2789e+07	1.34139e+07	1.2846e+07	1.33832e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	8	8	4.14849e+06	4.74232e+06	4.36032e+06	4.73991e+06	4.35068e+06	4.48042e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.43222e+06	4.6687e+06	4.01371e+06	4.78309e+06	4.34217e+06	4.57933e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.44977e+08	1.51648e+08	1.43368e+08	1.46164e+08	1.38409e+08	1.45973e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	2	2	5.71394e+06	7.53831e+06	6.37664e+06	7.44337e+06	5.9343e+06	7.46004e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.46294e+09	1.35409e+09	1.44992e+09	1.29299e+09	1.39715e+09	1.31276e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	5.05474e+06	5.52384e+06	5.04615e+06	4.95809e+06	5.21486e+06	5.21023e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.50053e+06	2.29693e+06	2.27008e+06	2.269e+06	2.20149e+06	1.93662e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	1.7273e+07	1.66069e+07	1.75682e+07	1.70729e+07	1.64735e+07	1.62459e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.28911e+07	1.16528e+07	1.16109e+07	1.1527e+07	1.24158e+07	1.19684e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.38847e+07	3.31529e+07	3.46215e+07	3.38146e+07	3.38312e+07	3.31968e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17	6.51091e+07	6.83778e+07	6.35631e+07	6.48696e+07	6.37394e+07	6.53825e+07
P07013	PRIB_ECOLI	priB	Primosomal replication protein n	1	1	374006	381811		323291		
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.13273e+07	2.03482e+07	2.06144e+07	2.13328e+07	1.9841e+07	2.04777e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	13	13	1.59334e+07	1.5773e+07	1.59516e+07	1.60747e+07	1.52293e+07	1.58868e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.07427e+06	4.73359e+06	4.2736e+06	5.17775e+06	4.40015e+06	4.96468e+06
P07023	TYRA_ECOLI	tyrA	T-protein	8	8	7.1199e+06	7.18661e+06	7.28645e+06	7.32804e+06	6.70308e+06	7.57465e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.55794e+07	2.53439e+07	2.50626e+07	2.42152e+07	2.48285e+07	2.50999e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.20158e+06	5.35314e+06	5.57092e+06	4.95523e+06	4.93813e+06	5.00723e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1	2.21401e+06	1.91785e+06	2.05821e+06	2.44279e+06		1.90841e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	46	46	1.1606e+08	1.1965e+08	1.15159e+08	1.22718e+08	1.15806e+08	1.20088e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	5	5	3.64781e+06	3.32384e+06	3.62682e+06	3.39682e+06	3.21441e+06	3.03571e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.24384e+07	1.27289e+07	1.22503e+07	1.23962e+07	1.27946e+07	1.16528e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	305024	173507	165870		256689	193603
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	9.14003e+07	8.98513e+07	8.97476e+07	8.78851e+07	8.99411e+07	8.69194e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	11	11	7.60456e+06	7.54838e+06	7.85891e+06	8.27318e+06	8.03535e+06	7.25654e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.76407e+07	1.62452e+07	1.76805e+07	1.7098e+07	1.66607e+07	1.64859e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	4	4	1.51998e+06	1.32039e+06	1.4884e+06	1.30734e+06	1.67052e+06	1.40052e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	3	3	3.92215e+06	4.08378e+06	4.10636e+06	4.1418e+06	4.19877e+06	4.01346e+06
