Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P00934	P00934		thrC		4.55282e+06	4.51496e+06	4.48743e+06	4.2674e+06	4.27484e+06	4.2943e+06
P00935	P00935		metB		2.40743e+06	2.38424e+06	1.95007e+06	2.7423e+06	2.31912e+06	2.25465e+06
P00936	P00936		cyaA		511644	698954	574502	685017	586506	785668
P00946	P00946		manA		1.12898e+07	1.13318e+07	1.11915e+07	1.15674e+07	1.12212e+07	1.09858e+07
P00954	P00954		trpS		1.21726e+07	1.38561e+07	1.22802e+07	1.37025e+07	1.18603e+07	1.33819e+07
P00956	P00956		ileS		2.40735e+07	2.5372e+07	2.46677e+07	2.53573e+07	2.48164e+07	2.48132e+07
P00957	P00957		alaS		1.57293e+07	1.57228e+07	1.56451e+07	1.55527e+07	1.58819e+07	1.58399e+07
P00959	P00959		metG		1.83387e+07	1.95211e+07	1.83959e+07	1.94661e+07	1.88268e+07	1.90828e+07
P00960	P00960		glyQ		4.7362e+06	4.56589e+06	4.85841e+06	4.93547e+06	4.40586e+06	4.87215e+06
P00961	P00961		glyS		1.31927e+07	1.36046e+07	1.31996e+07	1.3713e+07	1.3245e+07	1.33125e+07
P00962	P00962		glnS		1.00903e+07	1.04666e+07	1.00502e+07	1.01491e+07	1.03548e+07	1.0177e+07
P00963	P00963		asnA		1.72028e+07	1.84392e+07	1.7302e+07	1.86188e+07	1.63781e+07	1.80505e+07
P00968	P00968		carB		3.40236e+06	3.28547e+06	3.46286e+06	3.30707e+06	3.39044e+06	3.36574e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				1.06917e+07	1.70941e+07	8.39673e+06	1.71252e+07	7.53986e+06	1.73496e+07
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)					2.90402e+07		3.02424e+07		3.0051e+07
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)					1.52601e+07		1.5163e+07		1.47668e+07
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				6.2546e+06	6.2741e+06	7.03304e+06	6.34233e+06	5.92762e+06	6.16043e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)					1.58714e+07		1.62677e+07		1.51209e+07
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)					4.05926e+07		4.19106e+07	110529	4.06812e+07
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)					7.16648e+06		7.13754e+06		7.39462e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				7.96087e+06	7.94414e+06	9.44166e+06	7.97156e+06	8.46509e+06	7.9617e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)					1.80332e+07		1.87255e+07		1.84636e+07
P02358	P02358		rpsF		1.2395e+08	1.31835e+08	1.29123e+08	1.31461e+08	1.26713e+08	1.3029e+08
P02359	P02359		rpsG		1.1957e+08	1.2269e+08	1.1811e+08	1.19679e+08	1.1788e+08	1.18843e+08
P02413	P02413		rplO		1.24307e+08	1.18677e+08	1.27289e+08	1.1698e+08	1.25664e+08	1.15416e+08
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				452829	1.4079e+06	573877	1.35045e+06		1.36254e+06
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				2.31363e+06	2.95534e+06	2.49996e+06	3.1136e+06	2.24703e+06	2.95282e+06
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				142420	3.21732e+07		3.28023e+07	2.72336e+06	3.29823e+07
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				1.17212e+07	1.83624e+07	1.99472e+06	1.88971e+07	8.97307e+06	1.83157e+07
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				2.03338e+06	1.90141e+07	4.71354e+06	1.92023e+07	365866	1.9497e+07
P02918	P02918		mrcA		3.41395e+06	3.16382e+06	3.40494e+06	3.15133e+06	3.38215e+06	3.50195e+06
P02919	P02919		mrcB		1.7232e+06	1.83551e+06	1.62921e+06	1.75454e+06	1.65921e+06	1.7112e+06
P02925	P02925		rbsB		9.8457e+06	1.0039e+07	9.5922e+06	1.01782e+07	9.80887e+06	9.93958e+06
P02930	P02930		tolC		2.60849e+07	2.43967e+07	2.58557e+07	2.50128e+07	2.58164e+07	2.5015e+07
P02931	P02931		ompF		3.06257e+07	2.96378e+07	2.98443e+07	2.92878e+07	2.93092e+07	3.05715e+07
P02932	P02932		phoE		359524	397594	417710	432750	247108	474168
P02942	P02942		tsr		7.91457e+06	8.63523e+06	7.78677e+06	8.96689e+06	8.11907e+06	8.40081e+06
P02943	P02943		lamB		1.44898e+06	1.45135e+06	1.50597e+06	1.48475e+06	1.39605e+06	1.33849e+06
P03004	P03004		dnaA		1.99445e+06	2.18984e+06	2.00793e+06	2.08709e+06	2.03024e+06	2.12227e+06
P03007	P03007		dnaQ		1.37564e+06	1.42013e+06	1.28135e+06	1.36092e+06	1.26323e+06	1.41893e+06
P03018	P03018		uvrD		3.10545e+06	3.21711e+06	3.13084e+06	3.30601e+06	3.13326e+06	3.30133e+06
P03024	P03024		galR		2.05774e+06	2.30633e+06	2.05059e+06	2.11076e+06	1.90428e+06	2.20873e+06
P03817	P03817		mioC		9.00079e+06	9.22834e+06	9.2336e+06	8.76492e+06	9.20807e+06	9.02223e+06
P03841	P03841		malM		1.0217e+07	9.84639e+06	1.01484e+07	9.88533e+06	1.01578e+07	9.78376e+06
P04036	P04036		dapB		5.1892e+06	5.09968e+06	5.10442e+06	5.24242e+06	5.21814e+06	5.38533e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				1.933e+06	4.45591e+06	1.7326e+06	4.25058e+06	2.03487e+06	4.37742e+06
P04079	P04079		guaA		1.84179e+07	1.7925e+07	1.86149e+07	1.82385e+07	1.81705e+07	1.83858e+07
P04335	P04335		frsA		4.56102e+06	4.39877e+06	4.54696e+06	4.25711e+06	4.20111e+06	4.30465e+06
P04425	P04425		gshB		8.09894e+06	7.94781e+06	8.10897e+06	8.00687e+06	8.03245e+06	8.02955e+06
P04693	P04693		tyrB		3.92997e+06	3.86446e+06	4.0483e+06	4.08539e+06	3.84686e+06	4.02355e+06
P04805	P04805		gltX		2.40073e+07	2.64285e+07	2.42946e+07	2.60296e+07	2.4661e+07	2.66279e+07
P04825	P04825		pepN		1.45713e+07	1.52444e+07	1.48962e+07	1.52775e+07	1.49125e+07	1.55665e+07
P04846	P04846		nlpA		3.15332e+06	3.49866e+06	3.16196e+06	3.52372e+06	3.04704e+06	3.73703e+06
P04949	P04949		fliC		3.76051e+07	3.34626e+07	3.68028e+07	3.37781e+07	3.57603e+07	3.29958e+07
P04951	P04951		kdsB		6.50397e+06	6.5005e+06	6.43238e+06	6.6378e+06	6.37253e+06	6.64627e+06
P04968	P04968		ilvA		629888	636909	586672	717960	749472	619284
P04982	P04982		rbsD		1.33368e+06	1.55175e+06	1.13738e+06	1.35581e+06	1.457e+06	1.61558e+06
P04994	P04994		xseA		744644	653324	777281	652227	746622	472653
P04995	P04995		sbcB		1.14013e+07	1.10472e+07	1.11659e+07	1.12881e+07	1.10191e+07	1.0784e+07
P05020	P05020		pyrC		6.29745e+06	6.2396e+06	6.38075e+06	6.03138e+06	6.32727e+06	6.00464e+06
P05041	P05041		pabB		1.78177e+06	1.75799e+06	1.84808e+06	1.80261e+06	1.86754e+06	1.67136e+06
P05055	P05055		pnp		4.42087e+07	4.46637e+07	4.37479e+07	4.46516e+07	4.38281e+07	4.38431e+07
P05100	P05100		tag		1.96877e+06	1.95287e+06	1.9815e+06	2.13287e+06	1.78861e+06	1.91159e+06
P05194	P05194		aroD		1.18587e+06	1.23526e+06	1.15755e+06	1.2e+06	1.10125e+06	1.29915e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				2.73278e+06	3.25348e+07	538732	3.23732e+07	3.81171e+06	2.32219e+07
P05458	P05458		ptrA		1.62308e+06	1.52388e+06	1.54599e+06	1.50234e+06	1.57443e+06	1.59957e+06
P05459	P05459		pdxB		6.14852e+06	5.87438e+06	6.16543e+06	5.70998e+06	5.81715e+06	6.11286e+06
P05637	P05637		apaH		2.77021e+06	2.43246e+06	2.74317e+06	2.52968e+06	2.62208e+06	2.53428e+06
P05719	P05719		hsdS		1.1573e+06	987197	1.14651e+06	1.24483e+06	1.22402e+06	1.05545e+06
P05791	P05791		ilvD		2.94423e+06	3.01318e+06	3.02442e+06	2.97833e+06	3.04301e+06	2.94018e+06
P05793	P05793		ilvC		4.9365e+06	4.70086e+06	4.78356e+06	4.73093e+06	5.0694e+06	4.92998e+06
P05825	P05825		fepA		2.08997e+06	1.96338e+06	2.13068e+06	2.02516e+06	2.03227e+06	1.96911e+06
P05852	P05852		gcp		2.67867e+06	2.48213e+06	2.79042e+06	2.40459e+06	2.81032e+06	2.49063e+06
P06129	P06129		btuB		1.46024e+07	1.44633e+07	1.50472e+07	1.42822e+07	1.45741e+07	1.36181e+07
P06136	P06136		ftsQ		2.08751e+06	2.27171e+06	1.99351e+06	2.20869e+06	2.0425e+06	2.35708e+06
P06149	P06149		dld		6.37171e+06	6.76004e+06	6.48388e+06	6.70298e+06	6.8556e+06	6.65616e+06
P06282	P06282		cdh		6.87318e+06	7.32472e+06	7.08627e+06	7.07447e+06	6.59616e+06	7.313e+06
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				9.80884e+06	9.04653e+06	9.31833e+06	8.9224e+06	8.97805e+06	8.99946e+06
P06610	P06610		btuE		8.96807e+06	9.47259e+06	8.79463e+06	9.36398e+06	8.56264e+06	8.69763e+06
P06611	P06611		btuD		856516	802875	791372	760288	774968	768342
P06612	P06612		topA		4.5592e+06	4.2927e+06	4.47346e+06	4.32234e+06	4.45237e+06	4.32382e+06
P06616	P06616		era		3.51955e+06	3.32984e+06	3.58128e+06	3.58684e+06	3.49589e+06	3.43236e+06
P06709	P06709		birA		1.05506e+06	940172	1.05184e+06	959883	1.01214e+06	931290
P06710	P06710		dnaX		1.40151e+06	1.32478e+06	1.54757e+06	1.28944e+06	1.57064e+06	1.41394e+06
P06715	P06715		gor		4.58631e+06	4.69609e+06	4.57378e+06	4.68682e+06	4.68973e+06	4.89024e+06
P06721	P06721		metC		366084	437115	403756	443092	380030	555938
P06722	P06722		mutH		973071	1.08374e+06	1.04039e+06	1.10501e+06	1.13678e+06	1.34091e+06
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				3.35413e+06	6.61392e+06	2.11547e+06	6.60654e+06	3.28088e+06	7.16644e+06
P06846	P06846		ebgR		1.4968e+06	1.2385e+06	1.37659e+06	1.28893e+06	1.26198e+06	1.25013e+06
P06959	P06959		aceF		5.95902e+07	5.55342e+07	5.87342e+07	5.72952e+07	5.83488e+07	5.47392e+07
P06961	P06961		cca		1.53833e+06	1.47916e+06	1.59406e+06	1.47991e+06	1.54951e+06	1.56735e+06
P06968	P06968		dut		8.25906e+06	7.44884e+06	8.29952e+06	7.60878e+06	7.9095e+06	7.63327e+06
P06971	P06971		fhuA		1.33921e+07	1.32875e+07	1.32139e+07	1.32279e+07	1.32388e+07	1.34102e+07
P06974	P06974		fliM		1.67162e+06	1.777e+06	1.76582e+06	1.82213e+06	1.79239e+06	1.80505e+06
P06983	P06983		hemC		1.25981e+07	1.12637e+07	1.24064e+07	1.09749e+07	1.20838e+07	1.04164e+07
P06986	P06986		hisC		4.34492e+06	4.83112e+06	4.2075e+06	4.91709e+06	4.15999e+06	4.71483e+06
P06987	P06987		hisB		1.13658e+06	1.1547e+06	1.11548e+06	1.06222e+06	1.14911e+06	994184
P06988	P06988		hisD		3.66773e+06	3.38318e+06	3.58798e+06	3.6026e+06	3.50614e+06	3.70737e+06
P06992	P06992		rsmA		3.17825e+06	3.29353e+06	3.08842e+06	3.26131e+06	3.13887e+06	3.33563e+06
P06993	P06993		malT			224784		206707	182709	
P06996	P06996		ompC		2.19503e+08	2.07025e+08	2.25506e+08	2.06012e+08	2.1405e+08	2.15088e+08
P06999	P06999		pfkB		2.43247e+06	2.46698e+06	2.25927e+06	2.44192e+06	2.42855e+06	2.47164e+06
P07000	P07000		pldB		640620	616867	596699	629486	558338	518944
P07001	P07001		pntA		3.03721e+06	3.01082e+06	3.18817e+06	2.90216e+06	2.97194e+06	3.00497e+06
P07003	P07003		poxB		2.41012e+06	2.3391e+06	2.36694e+06	2.35009e+06	2.37312e+06	2.26438e+06
P07004	P07004		proA		2.64882e+07	2.58606e+07	2.65632e+07	2.54142e+07	2.68917e+07	2.52841e+07
P07012	P07012		prfB		8.74852e+06	7.69139e+06	8.81163e+06	8.05311e+06	8.64038e+06	8.11988e+06
P07014	P07014		sdhB		4.28092e+06	4.3567e+06	4.42958e+06	4.29497e+06	4.24503e+06	4.27265e+06
P07017	P07017		tar		1.01034e+07	1.09367e+07	1.00801e+07	1.0641e+07	9.85305e+06	1.10892e+07
P07021	P07021		yfiB		874865	961722	855046	918033	797059	979122
P07023	P07023		tyrA		1.54997e+06	1.8951e+06	1.75095e+06	1.81034e+06	1.6852e+06	1.84455e+06
P07024	P07024		ushA		5.01273e+06	5.136e+06	4.96092e+06	5.06432e+06	4.98672e+06	4.90108e+06
P07026	P07026		sdiA		1.81626e+06	1.74186e+06	1.74693e+06	1.85356e+06	1.68624e+06	1.92187e+06
P07117	P07117		putP		412666	410379	412768	364653	438767	433760
P07118	P07118		valS		2.3796e+07	2.47135e+07	2.36843e+07	2.47686e+07	2.44166e+07	2.44173e+07
P07330	P07330		cheB		1.60031e+06	1.40279e+06	1.58899e+06	1.21888e+06	1.55521e+06	1.25303e+06
P07363	P07363		cheA		1.72723e+06	1.52017e+06	1.67166e+06	1.68181e+06	1.70478e+06	1.55912e+06
P07395	P07395		pheT		1.79761e+07	1.75892e+07	1.76865e+07	1.77279e+07	1.78358e+07	1.76564e+07
P07604	P07604		tyrR		2.45104e+06	2.54113e+06	2.4426e+06	2.40037e+06	2.46245e+06	2.45578e+06
P07639	P07639		aroB		3.25083e+06	3.1135e+06	3.30052e+06	3.16449e+06	3.20803e+06	3.11823e+06
P07648	P07648		recC		1.17969e+06	1.37996e+06	1.14886e+06	1.34983e+06	1.19306e+06	1.21131e+06
P07649	P07649		truA		2.24394e+06	1.50962e+06	2.07374e+06	1.81462e+06	2.18311e+06	1.76931e+06
P07650	P07650		deoA		6.9003e+06	6.88713e+06	6.5256e+06	6.92678e+06	6.70207e+06	6.85374e+06
P07658	P07658		fdhF		962781	938680	992836	908844	972391	863886
P07762	P07762		glgB		3.22463e+06	3.46567e+06	3.19356e+06	3.47703e+06	3.11957e+06	3.42538e+06
P07813	P07813		leuS		1.23013e+07	1.20032e+07	1.23218e+07	1.23491e+07	1.22354e+07	1.19698e+07
P07821	P07821		fhuC		1.02381e+06	1.18067e+06	1.01715e+06	1.13395e+06	723518	914645
P07822	P07822		fhuD		388588	389896	431949	421681	453835	331595
P07862	P07862		ddlB		6.15033e+06	5.71943e+06	6.0692e+06	5.84188e+06	6.08267e+06	5.78016e+06
P07913	P07913		tdh		4.3408e+06	4.6133e+06	4.2681e+06	4.58055e+06	4.28294e+06	4.38296e+06
P08178	P08178		purM		2.61466e+06	2.36104e+06	2.66546e+06	2.57458e+06	2.27923e+06	2.39283e+06
P08179	P08179		purN		2.54791e+06	2.3551e+06	2.44989e+06	2.51562e+06	2.26661e+06	2.26187e+06
P08189	P08189		fimF		1.28724e+06	1.08411e+06	1.26535e+06	1.15311e+06	1.23479e+06	1.08827e+06
P08190	P08190		fimG		2.23901e+06	2.29332e+06	2.26646e+06	2.09568e+06	2.13769e+06	2.11408e+06
P08191	P08191		fimH		2.87979e+06	2.98499e+06	2.93154e+06	2.91871e+06	2.80892e+06	3.04805e+06
P08192	P08192		folC		4.60607e+06	4.45029e+06	4.59966e+06	4.51157e+06	4.5486e+06	4.19037e+06
P08200	P08200		icd		2.42609e+07	2.31981e+07	2.43056e+07	2.37496e+07	2.39075e+07	2.3077e+07
P08201	P08201		nirB		5.2137e+06	5.02356e+06	5.21453e+06	5.15666e+06	5.2501e+06	5.33256e+06
P08244	P08244		pyrF		9.89921e+06	1.00652e+07	1.02908e+07	9.74603e+06	1.05478e+07	9.66156e+06
P08245	P08245		yciH		840389	763269	750942	770574	804006	811189
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)					1.55429e+07	1.19687e+07	1.59935e+07	370324	1.53145e+07
P08312	P08312		pheS		1.36884e+07	1.32573e+07	1.36077e+07	1.31485e+07	1.36975e+07	1.33068e+07
P08331	P08331		cpdB		3.30434e+06	3.11457e+06	3.24072e+06	3.15384e+06	3.23765e+06	3.41035e+06
P08337	P08337		mutT		1.09094e+06	774621	1.04219e+06	841257	983932	754334
P08373	P08373		murB		1.70023e+06	1.75553e+06	1.70239e+06	1.72075e+06	1.68783e+06	1.74411e+06
P08390	P08390		usg		5.12367e+06	5.5266e+06	5.20375e+06	5.48245e+06	5.39644e+06	5.44198e+06
P08395	P08395		sppA		2.23278e+06	2.0844e+06	2.17343e+06	2.21862e+06	2.16822e+06	2.25245e+06
P08506	P08506		dacC		5.91519e+06	5.52956e+06	6.07091e+06	5.65289e+06	5.96509e+06	5.68827e+06
P08622	P08622		dnaJ		6.82178e+06	6.49801e+06	6.74348e+06	6.39318e+06	6.98774e+06	6.35573e+06
P08660	P08660		lysC		2.29104e+06	2.51657e+06	2.35486e+06	2.51758e+06	2.24134e+06	2.58621e+06
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)					1.68859e+07	5.61183e+06	1.66689e+07		1.67928e+07
P08839	P08839		ptsI		3.60401e+07	3.67582e+07	3.62836e+07	3.61172e+07	3.56888e+07	3.53493e+07
P08956	P08956		hsdR		2.33009e+06	2.34642e+06	2.38251e+06	2.35883e+06	2.27924e+06	2.40346e+06
P08957	P08957		hsdM		7.89306e+06	7.91451e+06	7.89806e+06	8.06602e+06	7.96821e+06	7.96685e+06
P08997	P08997		aceB		813307	1.00641e+06	902718	1.01016e+06	920047	946787
P09029	P09029		purK		1.03614e+06	1.26176e+06	1.00482e+06	1.23164e+06	1.03948e+06	1.21022e+06
P09030	P09030		xthA		2.67141e+06	2.56302e+06	2.72548e+06	2.44479e+06	2.59899e+06	2.5081e+06
P09053	P09053		avtA		2.5518e+06	2.58874e+06	2.70138e+06	2.59504e+06	2.81978e+06	2.53746e+06
P09126	P09126		hemD		2.04529e+06	1.97044e+06	2.05272e+06	1.92345e+06	1.99691e+06	1.97732e+06
P09127	P09127		hemX		1.10837e+07	1.08807e+07	1.12932e+07	1.13032e+07	1.07664e+07	1.11079e+07
P09147	P09147		galE		9.63808e+06	9.21998e+06	9.81114e+06	9.4756e+06	9.44911e+06	9.35401e+06
