Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.19192e+06	6.44548e+06	5.9165e+06	5.62681e+06	5.32733e+06	6.34063e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.57038e+07	3.65992e+07	3.56004e+07	3.52273e+07	3.60055e+07	3.53908e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	2.98243e+07	2.96348e+07	2.97348e+07	2.89741e+07	2.901e+07	3.17345e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.14412e+07	2.94962e+07	2.93493e+07	3.12042e+07	3.09694e+07	3.00116e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		3	3			2.22092e+06	2.04105e+06		2.08661e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	7.74804e+07	7.6143e+07	7.75962e+07	7.52589e+07	7.75503e+07	7.47812e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	13	13	1.63914e+07	1.6732e+07	1.61498e+07	1.66931e+07	1.60205e+07	1.61961e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.00975e+07	3.20925e+07	3.35025e+07	3.44941e+07	3.38653e+07	3.3374e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.15549e+07	2.20317e+07	2.23076e+07	2.2459e+07	2.18313e+07	2.14625e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	22	22	1.2668e+08	1.25287e+08	1.25979e+08	1.24697e+08	1.27142e+08	1.25456e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	26	26	7.36378e+07	7.44534e+07	7.5555e+07	7.385e+07	7.69731e+07	7.20509e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	7.69883e+06	7.42624e+06	7.40561e+06	7.26111e+06	7.44347e+06	7.29885e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.65918e+08	3.63419e+08	3.7348e+08	3.84045e+08	3.64312e+08	3.87809e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7	7	3.29478e+07	3.41979e+07	3.37325e+07	3.25638e+07	3.37309e+07	3.44308e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	1.8442e+06	1.69422e+06	1.55946e+06	1.72699e+06	1.59326e+06	1.85112e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.10925e+06	5.29142e+06	6.26159e+06	6.26464e+06	5.38844e+06	6.2623e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	3.55118e+06	4.36319e+06	4.12433e+06	4.37532e+06	4.32077e+06	4.77028e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	1.38557e+07	1.36776e+07	1.5013e+07	1.4577e+07	1.46851e+07	1.44505e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.76927e+07	1.74426e+07	1.78247e+07	1.77846e+07	1.76102e+07	1.80419e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	3	3	4.21122e+06	4.6463e+06	4.31153e+06	4.95351e+06	4.24717e+06	4.54411e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	32	32	1.83876e+08	1.81972e+08	1.85955e+08	1.8412e+08	1.83266e+08	1.85215e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	5.41423e+06	5.95795e+06	5.5634e+06	6.14954e+06	5.92693e+06	5.95283e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.24453e+07	2.26033e+07	2.458e+07	2.55594e+07	2.285e+07	2.33157e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		2	2			7.15189e+06	7.09487e+06		7.45353e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	5.81333e+06	6.30629e+06	6.31378e+06	5.72311e+06	5.72691e+06	5.89091e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	2.84084e+07	2.95374e+07	3.10092e+07	3.06769e+07	3.0187e+07	3.09149e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2			929396	777518		
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	7.2542e+06	8.05457e+06	9.67047e+06	7.99368e+06	8.1077e+06	8.9171e+06
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1	934413		1.10481e+06			
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	6	6	1.05498e+07	1.15254e+07	1.17566e+07	1.15291e+07	1.06833e+07	1.09924e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.22629e+07	1.29138e+07	1.18029e+07	1.19963e+07	1.25997e+07	1.188e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	14	14	2.1461e+07	2.19465e+07	2.15223e+07	2.23121e+07	2.26935e+07	2.22101e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	8.98694e+06	8.86229e+06	9.61026e+06	9.71548e+06	9.0465e+06	9.0981e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	7.74542e+06	8.65486e+06	7.74785e+06	7.86285e+06	7.98343e+06	7.96259e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.05024e+07	4.99039e+07	4.97801e+07	5.03735e+07	4.89309e+07	4.96637e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	5.08651e+07	6.29358e+07	5.76188e+07	6.32145e+07	5.51396e+07	5.75299e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	2.62829e+07	2.65866e+07	2.59822e+07	2.58077e+07	2.60311e+07	2.59257e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	5	5	6.42179e+06	6.98859e+06	7.0403e+06	6.48849e+06	7.33306e+06	7.27096e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		4	4			1.74346e+06	2.18165e+06		1.89904e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	4.95402e+07	4.94911e+07	5.14791e+07	5.10562e+07	4.87725e+07	5.07281e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	3	3	2.41107e+06	2.5537e+06	2.54236e+06	2.44351e+06		2.44528e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	22	22	2.50903e+07	2.56635e+07	2.45138e+07	2.49161e+07	2.54527e+07	2.46786e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	9.13485e+06	9.53244e+06	8.13076e+06	8.66031e+06	1.00646e+07	8.2739e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.58589e+06	5.3642e+06	5.78516e+06	5.64695e+06	6.30541e+06	5.57206e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	4.84568e+06	5.11116e+06	5.05076e+06	4.52642e+06	5.05412e+06	5.34971e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.3193e+07	2.30371e+07	2.34065e+07	2.30481e+07	2.27738e+07	2.28217e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3	1.09197e+06	1.33668e+06	1.25969e+06	1.1952e+06	1.31221e+06	1.01493e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.55237e+06	2.41238e+06	2.56262e+06	2.26924e+06	2.48815e+06	2.38105e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		8	8			3.54e+06	3.69635e+06		3.61747e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	4.1536e+06	4.78366e+06	4.59574e+06	4.68355e+06	4.51884e+06	4.24476e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	37	37	2.96609e+08	2.921e+08	3.04092e+08	2.99892e+08	2.90903e+08	3.00557e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	8	8	4.0761e+06	3.98527e+06	4.15223e+06	4.02053e+06	3.96733e+06	4.19235e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	7.98932e+07	7.572e+07	7.71372e+07	7.79478e+07	7.42999e+07	7.73672e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.11133e+07	7.00601e+07	7.04135e+07	6.82898e+07	6.96211e+07	6.86815e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	9	9	8.61792e+06	8.94771e+06	8.85956e+06	8.54217e+06	8.91794e+06	8.57606e+06
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	5.48395e+07	5.4368e+07	5.3841e+07	5.32026e+07	5.40209e+07	5.39136e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	8	8	1.2025e+07	1.29535e+07	1.23918e+07	1.1466e+07	1.22986e+07	1.192e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	3.49295e+06	3.60831e+06	3.79961e+06	4.08019e+06	3.74338e+06	3.96508e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	7.90566e+06	7.74298e+06	7.2959e+06	7.51994e+06	7.7016e+06	7.17796e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.38332e+08	1.38341e+08	1.33369e+08	1.32132e+08	1.36115e+08	1.34078e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	2.88737e+06	4.06789e+06	3.42074e+06	3.52485e+06		
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.29932e+09	1.25991e+09	1.19913e+09	1.1989e+09	1.25319e+09	1.24083e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	4	4	4.77549e+06	4.80474e+06	4.80081e+06	4.82308e+06	4.58588e+06	4.7597e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.13653e+06	2.06522e+06	1.94858e+06	2.29061e+06	2.2964e+06	1.8191e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.03948e+07	2.19416e+07	2.0373e+07	2.11894e+07	2.17791e+07	2.1891e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.16771e+07	1.0819e+07	1.15925e+07	1.21486e+07	1.2418e+07	1.16272e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	13	13	2.98774e+07	3.03653e+07	3.0747e+07	3.05866e+07	3.1264e+07	3.01186e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17	5.96476e+07	5.88383e+07	6.16432e+07	6.06584e+07	5.92637e+07	6.14648e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	1.96465e+07	2.0794e+07	2.0704e+07	1.96656e+07	2.12399e+07	2.01144e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	16	14	6.20406e+07	6.19024e+07	6.12233e+07	6.28586e+07	6.01574e+07	6.29475e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.12972e+06	4.32171e+06	4.59741e+06	4.43328e+06	4.24549e+06	4.54317e+06
P07023	TYRA_ECOLI	tyrA	T-protein	6	6	6.65307e+06	6.50306e+06	6.58126e+06	6.98634e+06	6.5095e+06	6.22035e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.23109e+07	2.29349e+07	2.22367e+07	2.20104e+07	2.13525e+07	2.20747e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	4.78654e+06	4.88062e+06	4.69257e+06	5.09367e+06	4.94129e+06	4.72056e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	46	46	1.06197e+08	1.07174e+08	1.0788e+08	1.06482e+08	1.07304e+08	1.05323e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	2.328e+06	2.5987e+06	2.52704e+06	2.65154e+06	2.62553e+06	2.71631e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	13	13	9.75521e+06	1.01623e+07	1.05173e+07	1.01834e+07	1.01775e+07	1.05727e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	3	3	636396	650496		60426.9		134213
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	34	34	8.48308e+07	8.4717e+07	8.24007e+07	8.13104e+07	8.3541e+07	8.39956e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	9	9	7.50992e+06	7.96265e+06	8.07972e+06	7.5522e+06	8.6892e+06	7.64886e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.60302e+07	1.68657e+07	1.66113e+07	1.67859e+07	1.66121e+07	1.63302e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	4	4	1.07956e+06	1.27979e+06	1.59051e+06	1.25265e+06	1.44774e+06	1.20796e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	4	4	4.59495e+06	4.75303e+06	5.19978e+06	4.74691e+06	5.2158e+06	4.96671e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	24	24	3.10429e+07	3.12719e+07	3.02593e+07	3.15817e+07	3.04548e+07	3.10479e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	13	13	4.07653e+06	3.78113e+06	3.8133e+06	3.64487e+06	3.92046e+06	3.59651e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	21	21	1.0602e+07	1.16175e+07	1.13193e+07	1.01998e+07	1.13725e+07	1.09085e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	32	32	9.0257e+07	9.15202e+07	9.65924e+07	9.3886e+07	9.30488e+07	9.17146e+07
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	1	1		2.70582e+06	3.16991e+06	3.82898e+06	4.09355e+06	
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.04428e+06	1.10223e+06	1.12709e+06	1.08119e+06	960107	1.17421e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	3.63625e+07	3.75554e+07	3.94843e+07	3.97701e+07	3.8454e+07	3.82832e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.07941e+07	3.00325e+07	2.8811e+07	2.94377e+07	3.01375e+07	2.90027e+07
