Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d
A6NGB9	A6NGB9		WIPF3		6900.89	7623.24	5629.68	6304.22	6885.1	6055.78	6560.68	6000.09	5882.62	7176.73	7546.76	6713.9	8064.81	6454.61	6603.81	7243.99	5510.74	4614.44
A6NHL2	A6NHL2		TUBAL3		479678	485217	474849	438640	468476	466876	506170	462066	474562	466524	529501	529719	512335	516247	494355	596136	510376	589590
A6NHR9	A6NHR9		SMCHD1		249864	248101	242568	247055	246446	240694	248582	252069	253838	243348	250633	250234	245390	251948	252552	253356	250711	250939
A6NHT5	A6NHT5		HMX3		9471.93	8825.23	8383.07	8440.01	9114.54	10882.8	9391.83	9110.99	9443.2	8275.39	9546.65	9598.29	8471.2	9342.12	8894.46	8973.51	9142.22	8739.41
A6NHX0	A6NHX0		CASTOR2		16283.4	16107.6	15092.5	17019.6	15901.9	15205.3	16234.2	15081.9	16702.1	16205.6	15176.6	14496	15371.9	15293	16106.8	14226.1	15298.3	15363.1
A6NIH7	A6NIH7		UNC119B		11822.3	11882.3	6627.77	11629.1	10300.7	9819.9	12726.4	11271.3	10852.2	9192.49	10473.7	10253.4	9239.35	14273.8	10406.2	10996.4	12972.6	12122.8
A6NJ78	A6NJ78		METTL15		47831.3	48501.9	47012	50801.7	48506.9	49809	49297.9	45474.8	46382.2	49209.6	51193.4	49547.1	52319.3	47817.5	47484.7	47149.1	46888.8	45163.6
A6NKD9	A6NKD9		CCDC85C		19973.9	20408.1	23033.1	21747.2	18199.1	15534.4	20639.1	22592.7	21131	21005.2	21437.9	21552.9	20655.5	18785.1	20492.1	21281.7	21247.3	21832.3
A7E2V4	A7E2V4		ZSWIM8		6745.73	8211.66	7194.07	8082.8	6523.51	9303.28	6923.41	7488.95	8344.54	4873.53	7408.32	6546.74	7685.17	7354.64	8341.94	7555.97	7917.46	8563.81
A8CG34	A8CG34		POM121C		31171.4	36092.1	34178.3	29289.7	31264.4	33798	34701.2	39141.5	36804.6	37213.4	34693.7	34154.5	30864.9	32648.9	36588	38067.3	37785.6	35023
A8MPP1	A8MPP1		DDX11L8		8258.27	9010.44	9456.97	9792.94	9851.09	8984.57	8007.61	8143.19	7791.63	7708.4	7405.09	9065.99	9988.76	7660.49	8331.31	9215.44	8243.9	8491.27
A8MPS7	A8MPS7		YDJC		38931.9	44184.5	39193.4	42086.1	39813	40869.2	44177.3	42789.6	43707.6	40199.2	41023.5	43158.5	40752.4	45643.4	45046	43363.6	44640.2	45626
A8MW92	A8MW92		PHF20L1		5934.36	6983.38	8208.29	7385.97	6588.46	6668.57	5176.09	5898.95	5105.86	6192.02	7377.81	7010.61	5263.68	4729.53	5659.62	6289.31	7930.96	5451.4
A8MWD9	A8MWD9		SNRPGP15		661785	647510	653488	665676	609941	725715	705175	701787	709778	693092	677264	693822	621271	726800	731569	697945	698024	746124
A8MXV4	A8MXV4		NUDT19		33875.1	33219.2	36077.9	34191.6	34326.3	35628.6	34368.4	32843.8	31209.1	34137.2	35333.8	35084.4	38667.4	34274.8	33161.4	34536	32480.7	31571.9
A9UHW6	A9UHW6		MIF4GD		16260.6	15168.4	15231.8	15665.7	19061.2	16973.3	16701.3	14686.2	15566.2	15547.8	15422.2	15380.7	14855.9	15457.6	15367.2	16440.8	16189.2	14458.6
B2RUZ4	B2RUZ4		SMIM1		31560.1	34538.8	34468.6	34217.5	34605.6	31510.3	35656	36354.5	37461.2	34537.9	36479.7	35727.5	33029.3	36728.1	35706.3	38670.6	38527.8	38814
C9J7I0	C9J7I0		UMAD1		13188.1	11439.1	9598.91	7836.05	11152	11255	11978.7	12837.9	12322.7	12333.2	10415.2	9987.97	10968.6	13523	12484.1	11468	12952.2	11067.5
C9JLW8	C9JLW8		MCRIP1		67954.2	67842	71947.7	68151.9	56952.9	67246.2	70644.4	61747.2	64886.2	68614.4	72438.1	71813.9	69767.3	66100.1	66584	63660.2	66677.7	64293.2
D6VTK4	D6VTK4		STE2		5904.89	4480.2	5580.07	5999.85	5467.42	6443.97	5734.75	3303.61	4753.22	4481.64	4312.57	5151.92	5486.29	5754.78	4112.25	3937.56	3571.76	4967.65
DECOY_sp|A1IGU5|ARH37_HUMAN Rho guanine nucleotide exchange factor 37 OS=Homo sapiens OX=9606 GN=ARHGEF37 PE=1 SV=2	DECOY_sp|A1IGU5|ARH37_HUMAN Rho guanine nucleotide exchange factor 37 OS=Homo sapiens OX=9606 GN=ARHGEF37 PE=1 SV=2				15458.6	14676.2	12941.3	12563.9	13912.2	15326.5	6579.82	6167.03	6659.28	13813	6375.77	13961.8	15105.6	8454.66	6522.94	7209.25	7966.26	7007.36
DECOY_sp|O00255|MEN1_HUMAN Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=5	DECOY_sp|O00255|MEN1_HUMAN Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=5				4.23997e+06	4.46131e+06	4.13728e+06	3.83577e+06	3.82931e+06	3.67753e+06	4.46934e+06			4.90979e+06	4.62919e+06	4.60631e+06	4.87668e+06	4.4212e+06			5.02806e+06	
DECOY_sp|O43310|CTIF_HUMAN CBP80/20-dependent translation initiation factor OS=Homo sapiens OX=9606 GN=CTIF PE=1 SV=1	DECOY_sp|O43310|CTIF_HUMAN CBP80/20-dependent translation initiation factor OS=Homo sapiens OX=9606 GN=CTIF PE=1 SV=1				116597	121855	144382	127072	144116	119336	124220	135569	146195	135988	147793	154068	141157	116588	107116	104974	108782	150907
DECOY_sp|O43699|SIGL6_HUMAN Sialic acid-binding Ig-like lectin 6 OS=Homo sapiens OX=9606 GN=SIGLEC6 PE=1 SV=2	DECOY_sp|O43699|SIGL6_HUMAN Sialic acid-binding Ig-like lectin 6 OS=Homo sapiens OX=9606 GN=SIGLEC6 PE=1 SV=2					91751.2				81336.5	87610.7	94327.8	91585.8	98145.2	98850.4		104503	84258.5	90019.6	83090.9	84077.3	91958.6
DECOY_sp|P00491|PNPH_HUMAN Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2	DECOY_sp|P00491|PNPH_HUMAN Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2				223085	226577	242668	234245	236439	233450	246748	217760	238829	218852	243831	242435	253117	229366	213389	225218	229771	235214
DECOY_sp|P08394|RECB_ECOLI RecBCD enzyme subunit RecB OS=Escherichia coli (strain K12) OX=83333 GN=recB PE=1 SV=1	DECOY_sp|P08394|RECB_ECOLI RecBCD enzyme subunit RecB OS=Escherichia coli (strain K12) OX=83333 GN=recB PE=1 SV=1				47613.9	49489.4	53792.1	44938.4	51738.4	49309.3	21169.6	22243.4	24641.9	53670.6	23949.6	51308.8	53716.5	22147.5	21562.7	23868.6	22406.2	25716.4
DECOY_sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5	DECOY_sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5				59026.8	54219.3	62339	56449.6	51636.4	58915.1	41197.3	34452.4	44962.2	33488.2	58579.3	61425.7	67255.4	38151.2	43490.1	41154.5	34821.8	55219.9
DECOY_sp|P0C091|FREM3_HUMAN FRAS1-related extracellular matrix protein 3 OS=Homo sapiens OX=9606 GN=FREM3 PE=1 SV=2	DECOY_sp|P0C091|FREM3_HUMAN FRAS1-related extracellular matrix protein 3 OS=Homo sapiens OX=9606 GN=FREM3 PE=1 SV=2							38664				35415.2	31690.3	37118.5					33685.1	35419.5	36189.1	
DECOY_sp|P12524|MYCL_HUMAN Protein L-Myc OS=Homo sapiens OX=9606 GN=MYCL PE=1 SV=2	DECOY_sp|P12524|MYCL_HUMAN Protein L-Myc OS=Homo sapiens OX=9606 GN=MYCL PE=1 SV=2				146038	147159	161840	135539	149397	99429	165705	235559	224665	216754	198962	157609	159894	195438	231353	248423	227767	204526
DECOY_sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8 OS=Escherichia coli (strain K12) OX=83333 GN=recE PE=1 SV=3	DECOY_sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8 OS=Escherichia coli (strain K12) OX=83333 GN=recE PE=1 SV=3				69230	17013.3	100980	96270.9	96242.7	105826	55231.6	37232.1	49840.5	51169	52290.4	93956.1	104736	51157.5	52901.8	42226.7	26813.5	48010.6
DECOY_sp|P15801|DPOG_YEAST DNA polymerase gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIP1 PE=1 SV=3	DECOY_sp|P15801|DPOG_YEAST DNA polymerase gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIP1 PE=1 SV=3				5048.67	3864.99	3301.61	3048.97	4985.99	3331.98	3813.44	3152.54	3469.08			4859.61	5685.77	2706.63	3065.76	3598.34	4354.1	4143.42
DECOY_sp|P26373|RL13_HUMAN Large ribosomal subunit protein eL13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4	DECOY_sp|P26373|RL13_HUMAN Large ribosomal subunit protein eL13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4				25083.7	22789.5	23888	24313.3	25877.3	23543.9	89638.5	84993	80657.2	27357.4	83632.5	26827.7	27647.6	85004.2	81245.8	88885.4	82332.8	92232.7
DECOY_sp|P27037|AVR2A_HUMAN Activin receptor type-2A OS=Homo sapiens OX=9606 GN=ACVR2A PE=1 SV=1	DECOY_sp|P27037|AVR2A_HUMAN Activin receptor type-2A OS=Homo sapiens OX=9606 GN=ACVR2A PE=1 SV=1				9875.97	11547.5	13629.1	9932.55	11200.6	8849.65	12027.7	11637.4	10931.6	11586.1	11783.1	10900.3	12726.7	9808.78	11372.8	10680.6	10698.6	11512.2
DECOY_sp|P27810|KTR1_YEAST Alpha-1,2 mannosyltransferase KTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KTR1 PE=1 SV=1	DECOY_sp|P27810|KTR1_YEAST Alpha-1,2 mannosyltransferase KTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KTR1 PE=1 SV=1				53517.8	48510.6	56307.1	50314.2	54765.5	47910.6	57698.3	51114.2		47318.9	61679.6	53084.9	55912.3	62121.1	50783.5	50554.4	47474	53549.8
DECOY_sp|P29966|MARCS_HUMAN Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4	DECOY_sp|P29966|MARCS_HUMAN Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4				7526.58		7846.34	6953.98	7291.85		6559.82	5873.12		5336.62	6512.08	6637.42	6927.19	7600.9			6808.22	6583.13
DECOY_sp|P32566|SMI1_YEAST Cell wall assembly regulator SMI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMI1 PE=1 SV=1	DECOY_sp|P32566|SMI1_YEAST Cell wall assembly regulator SMI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMI1 PE=1 SV=1				62736.3	56763.9	63886.6	64420	70390.8	68641.5	35413.1	32503.2	33424.3	61789.4	32564	63987.8	69788.1	36179.3	35320.9	32685.4	34579.3	35100.2
DECOY_sp|P36158|YK58_YEAST Uncharacterized protein YKR078W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YKR078W PE=1 SV=1	DECOY_sp|P36158|YK58_YEAST Uncharacterized protein YKR078W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YKR078W PE=1 SV=1						7740.48				6201.11		6082.87		6305.22				12171.5	5263.39		
DECOY_sp|P36928|YEGD_ECOLI Uncharacterized chaperone protein YegD OS=Escherichia coli (strain K12) OX=83333 GN=yegD PE=3 SV=2	DECOY_sp|P36928|YEGD_ECOLI Uncharacterized chaperone protein YegD OS=Escherichia coli (strain K12) OX=83333 GN=yegD PE=3 SV=2														18392.1							
DECOY_sp|P38274|HSL7_YEAST Protein arginine N-methyltransferase HSL7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSL7 PE=1 SV=1	DECOY_sp|P38274|HSL7_YEAST Protein arginine N-methyltransferase HSL7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSL7 PE=1 SV=1				14337.2	15247.3					13894.7	22113.9		18850.3				16747.7				21298
DECOY_sp|P40523|YIF5_YEAST Uncharacterized protein YIL055C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YIL055C PE=1 SV=1	DECOY_sp|P40523|YIF5_YEAST Uncharacterized protein YIL055C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YIL055C PE=1 SV=1					66478.7	35367.2		67499.7	51772.3	55220.4	83924.1	52441.5	97845.7	56589.7	53490.4	62053.4	70332.1	42533.4	95529.6	91434	41974.2
DECOY_sp|P43597|AIP5_YEAST Actin-interacting protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIP5 PE=1 SV=1	DECOY_sp|P43597|AIP5_YEAST Actin-interacting protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIP5 PE=1 SV=1				191823	181461	184355	197805	199592	218642	117101	104232	102331	194170	104630	215953	219084	115635	108108	104013	105915	118549
DECOY_sp|P47075|VTC4_YEAST Vacuolar transporter chaperone complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC4 PE=1 SV=2	DECOY_sp|P47075|VTC4_YEAST Vacuolar transporter chaperone complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC4 PE=1 SV=2				156678	153317	167942	159563	166362	169574	166698	149770	159344	139674	162675	170562	171838	174330	170089	154628	167483	172489
DECOY_sp|P47117|ARP3_YEAST Actin-related protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARP3 PE=1 SV=1	DECOY_sp|P47117|ARP3_YEAST Actin-related protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARP3 PE=1 SV=1				7697.64	7969.53	9131.99	5476.86	6945.23	6163.16	8593.5	10192.9	9404.93	9164.26	7784.65	8841.54	9230.16	6807.4	8166.49	8911.1	8564.64	8052.38
