Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P10636-8ups|TAU_HUMAN_UPS	Microtubule-associated	Microtubule-associated		3	3.0	59055.4	130841.0	3645030.0	108673.0	3395880.0	3468840.0	3	0.00018593363994793888	-5.137518228408025	False	0.00028750653423941457	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2.0	59055.4	130841.0	1986160.0	108673.0	2099670.0	2180110.0	3	0.00019509514911644548	-4.391392736963178	False	0.00031364349189754316	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	NEDD8	NEDD8		2	2.0	59055.4	130841.0	2355050.0	108673.0	2461620.0	2573490.0	3	0.0002210866094668114	-4.62946738147748	False	0.00033978044955567174	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		2	2.0	59055.4	130841.0	6814040.0	108673.0	6946920.0	6496700.0	3	0.00029810906695906255	-6.084257412089618	False	0.00036591740721380033	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		2	2.0	59055.4	130841.0	3615230.0	108673.0	3517270.0	3812290.0	3	0.00030988646944102587	-5.196034150204581	False	0.0003920543648719289	True	True	Human	True	False	False	True	diann231	manual	min	1.660964047443681
P0AEX9	MALE_ECOLI	malE	Maltose-binding periplasmic protein	17	17.0	33412000.0	33208900.0	37462000.0	33270700.0	37080300.0	36952100.0	0	0.00042049094365327714	-0.15853597976077496	False	0.0004181913225300575	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		3	3.0	59055.4	130841.0	7550340.0	108673.0	7271260.0	7862370.0	3	0.0004383731053727134	-6.247463030138336	False	0.00044432828018818615	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		5	5.0	59055.4	130841.0	8064010.0	108673.0	8597050.0	8016480.0	3	0.0004516358716773019	-6.36898846217926	False	0.0004704652378463147	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		4	4.0	59055.4	130841.0	3112700.0	108673.0	3295800.0	2992120.0	3	0.0004669121489230633	-4.976617691961301	False	0.0004966021955044433	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	7	7.0	1207910000.0	1188630000.0	1088430000.0	1200690000.0	1100110000.0	1114100000.0	0	0.0006555897042066747	0.12326668649403678	False	0.0005227391531625719	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9U3	YBIT_ECOLI	ybiT	Uncharacterized ABC transporter ATP-binding protein YbiT	21	21.0	36401400.0	36369200.0	34498600.0	36308500.0	34498100.0	34730700.0	0	0.0006697289711442778	0.07257766383873945	False	0.0005488761108207005	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2.0	59055.4	130841.0	17398000.0	108673.0	18271200.0	16669300.0	3	0.0006957443526306648	-7.4536624546436885	False	0.0005750130684788291	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS	Histidyl-tRNA	Histidyl-tRNA		10	10.0	59055.4	130841.0	5820610.0	108673.0	5533380.0	6134350.0	3	0.0007850464662421058	-5.872183231301839	False	0.0006011500261369578	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0AEH1	RSEP_ECOLI	rseP	Regulator of sigma E protease	3	3.0	1854470.0	1825680.0	2021530.0	1810230.0	1985180.0	1977780.0	0	0.0009299512771509957	-0.12432230106323622	False	0.0006272869837950863	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS	Glutathione	Glutathione		6	6.0	59055.4	130841.0	3925760.0	108673.0	4315860.0	4390880.0	3	0.0009946500784499515	-5.402930056670835	False	0.0006534239414532148	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A6Q6	FABZ_ECOLI	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	7	7.0	96142800.0	96878600.0	104581000.0	94417800.0	104493000.0	107004000.0	0	0.0010322836910696207	-0.13702379757573752	False	0.0006795608991113435	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		1	1.0	59055.4	130841.0	2694280.0	108673.0	2559280.0	2355360.0	3	0.0010722517065988924	-4.671553475869566	False	0.0007056978567694721	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	Hemoglobin	Hemoglobin		4	4.0	4359790.0	4118580.0	9123360.0	4222370.0	8518500.0	8422890.0	0	0.001075035390174642	-1.037187465299389	False	0.0007318348144276007	False	False	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A7M6	RL29_ECOLI	rpmC	50S ribosomal protein L29	5	5.0	301990000.0	294494000.0	358389000.0	290976000.0	346859000.0	364191000.0	0	0.0012153574623587984	-0.2691001943277054	False	0.0007579717720857293	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS	Peroxiredoxin	Peroxiredoxin		5	5.0	59055.4	130841.0	1831400.0	108673.0	1659560.0	1569140.0	3	0.0012566597674714202	-4.08302767822516	False	0.0007841087297438578	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		3	3.0	59055.4	130841.0	17197800.0	108673.0	15271900.0	15648300.0	3	0.0013473332515897675	-7.332366555595421	False	0.0008102456874019865	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P39407	YJJU_ECOLI	yjjU	Uncharacterized protein YjjU	5	5.0	1456380.0	1483120.0	1580970.0	1439120.0	1613550.0	1586320.0	0	0.0014912763179882713	-0.12678787347897388	False	0.000836382645060115	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	Leptin	Leptin		1	1.0	59055.4	130841.0	6005870.0	108673.0	5338290.0	5173300.0	3	0.0020808637743944826	-5.789781727688881	False	0.0008625196027182437	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P37095	PEPB_ECOLI	pepB	Peptidase B	18	18.0	44256300.0	44301800.0	45439700.0	44548200.0	45272300.0	45316300.0	0	0.002176418493624159	-0.03132797163380337	False	0.0008886565603763723	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS	Hemoglobin	Hemoglobin		3	3.0	59055.4	130841.0	1673490.0	108673.0	1415800.0	1683290.0	3	0.0022090214621379002	-3.9986311627226008	False	0.0009147935180345008	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	7	7.0	1184680000.0	1192630000.0	1145420000.0	1200860000.0	1126390000.0	1142810000.0	0	0.0024269750314503346	0.06749689648543691	False	0.0009409304756926294	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P22564	RIHC_ECOLI	rihC	Non-specific ribonucleoside hydrolase RihC	1	1.0	409379.0	416887.0	786810.0	317696.0	658009.0	756453.0	0	0.002505846258643832	-0.9442982931104028	False	0.000967067433350758	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ACV8	YMJA_ECOLI	ymjA	Uncharacterized protein YmjA	1	1.0	2381850.0	2429420.0	2601820.0	2329540.0	2596680.0	2675920.0	0	0.0033213630829455995	-0.14108593189615032	False	0.0009932043910088866	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A8J2	DNAT_ECOLI	dnaT	Primosomal protein 1	2	2.0	7424380.0	7554180.0	6880860.0	7636200.0	6559950.0	6625880.0	0	0.003468569602221029	0.17246202157939408	False	0.0010193413486670152	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P52006	NUDI_ECOLI	nudI	Nucleoside triphosphatase NudI	3	3.0	4109970.0	3636320.0	5029320.0	3879180.0	4806130.0	5143120.0	0	0.0037258475116650107	-0.3656108533109413	False	0.0010454783063251437	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A7T7	RS18_ECOLI	rpsR	30S ribosomal protein S18	6	6.0	577811000.0	577156000.0	559511000.0	584409000.0	557658000.0	564719000.0	0	0.00372884516771922	0.048488195901040754	False	0.0010716152639832725	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15.0	29525200.0	29072300.0	27384000.0	29232400.0	27836600.0	27095700.0	0	0.0037881552938918038	0.09353402454476034	False	0.001097752221641401	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P77475	YQAB_ECOLI	yqaB	Fructose-1-phosphate phosphatase YqaB	3	3.0	10785200.0	10484900.0	9955810.0	10681500.0	9840130.0	9594690.0	0	0.003904116962773183	0.12053189293191825	False	0.0011238891792995295	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P78067	YNJE_ECOLI	ynjE	Thiosulfate sulfurtransferase YnjE	13	13.0	19335800.0	20103500.0	21781700.0	19667800.0	21227900.0	21355500.0	0	0.0041432859652242035	-0.12294720454720666	False	0.0011500261369576583	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P21156	CYSD_ECOLI	cysD	Sulfate adenylyltransferase subunit 2	6	6.0	10712000.0	10899700.0	11655700.0	11117100.0	11807400.0	12042200.0	0	0.004697246938898352	-0.1174736898116463	False	0.0011761630946157868	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P12295	UNG_ECOLI	ung	Uracil-DNA glycosylase	9	9.0	13992800.0	14052600.0	15734600.0	14547000.0	15573200.0	15327700.0	0	0.004836042500467271	-0.13083255998464619	False	0.0012023000522739156	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AG63	RS17_ECOLI	rpsQ	30S ribosomal protein S17	3	3.0	1132380000.0	1118250000.0	1079210000.0	1116200000.0	1076890000.0	1057840000.0	0	0.004861902226531518	0.06704788152098771	False	0.0012284370099320439	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		4	4.0	59055.4	130841.0	1845460.0	108673.0	2371660.0	2169360.0	3	0.004973994270637383	-4.418882769999548	False	0.0012545739675901726	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	Glutathione	Glutathione		2	2.0	59055.4	130841.0	4189280.0	108673.0	3679370.0	4752190.0	3	0.005465677658900698	-5.401597811084931	False	0.0012807109252483012	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P61949	FLAV_ECOLI	fldA	Flavodoxin-1	6	6.0	156293000.0	161961000.0	143436000.0	157370000.0	145805000.0	148561000.0	0	0.0056480241882013015	0.11954297018958396	False	0.0013068478829064297	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5.0	348738000.0	362661000.0	322245000.0	360056000.0	323032000.0	330282000.0	0	0.005874292741753106	0.13527022748238815	False	0.0013329848405645584	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P17993	UBIG_ECOLI	ubiG	3-demethylubiquinone-9 3-methyltransferase	7	7.0	18659800.0	19079000.0	19688500.0	19051500.0	20065400.0	19885500.0	0	0.006198363786791061	-0.07062121056114952	False	0.001359121798222687	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P76539	YPEA_ECOLI	ypeA	Acetyltransferase YpeA	4	4.0	7859620.0	8614870.0	10491500.0	8657160.0	9901320.0	10214100.0	0	0.00649812969669381	-0.28435247914855755	False	0.0013852587558808157	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A812	RUVB_ECOLI	ruvB	Holliday junction ATP-dependent DNA helicase RuvB	7	7.0	25806500.0	25653100.0	30464500.0	25827000.0	29575600.0	29301500.0	0	0.006500064475752114	-0.2091137913501927	False	0.0014113957135389443	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P31224	ACRB_ECOLI	acrB	Acriflavine resistance protein B	23	23.0	15836800.0	15808200.0	16931600.0	15587800.0	16607300.0	16497300.0	0	0.006638230928633741	-0.08318316597069221	False	0.0014375326711970726	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A962	ASPG1_ECOLI	ansA	L-asparaginase 1	3	3.0	5852800.0	5984290.0	6374340.0	6030390.0	6228230.0	6374470.0	0	0.0069977334160661086	-0.08691880788590918	False	0.0014636696288552013	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AED7	DAPE_ECOLI	dapE	Succinyl-diaminopimelate desuccinylase	9	9.0	19196600.0	19237400.0	20461900.0	18917000.0	19996600.0	20000800.0	0	0.007633623844139293	-0.07614563349145209	False	0.0014898065865133299	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P75849	YCBL_ECOLI	ycbL	Uncharacterized protein YcbL	2	2.0	23804200.0	23035700.0	19711000.0	22478800.0	19951500.0	21092400.0	0	0.007833826691967794	0.19024382895766845	False	0.0015159435441714586	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AGD1	SODC_ECOLI	sodC	Superoxide dismutase [Cu-Zn]	1	1.0	4015930.0	4037700.0	4182650.0	3935350.0	4154650.0	4252550.0	0	0.009414158128259006	-0.07055217219503611	False	0.0015420805018295871	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P39391	YJIT_ECOLI	yjiT	Putative uncharacterized protein YjiT	5	5.0	1122500.0	1129180.0	1043920.0	1097700.0	1014790.0	989335.0	0	0.009465421227799961	0.1360098623074328	False	0.0015682174594877157	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A6F9	CH10_ECOLI	groS	10 kDa chaperonin	8	8.0	689981000.0	697932000.0	630356000.0	683952000.0	643840000.0	655595000.0	0	0.009671766008836166	0.10248539261099154	False	0.0015943544171458444	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AE88	CPXR_ECOLI	cpxR	Transcriptional regulatory protein CpxR	9	9.0	18779500.0	19345600.0	19842800.0	19008900.0	20084000.0	20224300.0	0	0.010009464032120566	-0.0742415828443111	False	0.001620491374803973	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P64483	YEAK_ECOLI	yeaK	Uncharacterized protein YeaK	3	3.0	8924490.0	9438360.0	10432700.0	9110690.0	10311000.0	10274600.0	0	0.010160739526409857	-0.17507680423030614	False	0.0016466283324621015	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P69503	APT_ECOLI	apt	Adenine phosphoribosyltransferase	11	11.0	120724000.0	121574000.0	124982000.0	119022000.0	125093000.0	126150000.0	0	0.010246582555479652	-0.05831860465548495	False	0.00167276529012023	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AFK9	POTD_ECOLI	potD	Spermidine/putrescine-binding periplasmic protein	16	16.0	28814700.0	29066200.0	32078800.0	29843600.0	30904200.0	31185700.0	0	0.010719069843444345	-0.10226779358005901	False	0.0016989022477783586	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P77247	YNIC_ECOLI	yniC	2-deoxyglucose-6-phosphate phosphatase	6	6.0	8570680.0	8495460.0	9084040.0	8785350.0	9237500.0	9185810.0	0	0.010979614093488287	-0.0895697247347086	False	0.0017250392054364873	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AAK1	HYCB_ECOLI	hycB	Formate hydrogenlyase subunit 2	3	3.0	4382260.0	4316990.0	4681960.0	4194160.0	4727820.0	4738970.0	0	0.011095798193187267	-0.1340407282111323	False	0.0017511761630946158	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9T6	YBAQ_ECOLI	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	5	5.0	5133000.0	4858790.0	4223450.0	5269860.0	4400950.0	4497880.0	0	0.011307702559745093	0.21789253590066562	False	0.0017773131207527446	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AD12	YEEZ_ECOLI	yeeZ	Protein YeeZ	10	10.0	30960800.0	33230600.0	37405800.0	31388400.0	35237000.0	38101700.0	0	0.0114441176484096	-0.21245739687451262	False	0.0018034500784108731	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5	5.0	522721000.0	513171000.0	490355000.0	532860000.0	462780000.0	476585000.0	0	0.01153361920894263	0.13388466475288413	False	0.0018295870360690017	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A988	DPO3B_ECOLI	dnaN	DNA polymerase III subunit beta	12	12.0	21233500.0	21550400.0	19506800.0	21117600.0	19983200.0	20293200.0	0	0.011957680440958143	0.09610967500562356	False	0.0018557239937271304	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ACP1	CRA_ECOLI	cra	Catabolite repressor/activator	10	10.0	13744700.0	13844600.0	14096800.0	13665800.0	14050900.0	14276900.0	0	0.0126550059540113	-0.040328579491898595	False	0.0018818609513852587	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AES0	GSP_ECOLI	gsp	Bifunctional glutathionylspermidine synthetase/amidase	10	10.0	12484600.0	12564900.0	13138800.0	12491700.0	13060100.0	12885200.0	0	0.013207178762529241	-0.05810705034901384	False	0.0019079979090433875	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ABT2	DPS_ECOLI	dps	DNA protection during starvation protein	18	18.0	454863000.0	452320000.0	458973000.0	452219000.0	457909000.0	457042000.0	0	0.013494913448157786	-0.01533005175069798	False	0.001934134866701516	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEU7	SKP_ECOLI	skp	Chaperone protein skp	6	6.0	406078000.0	401490000.0	391913000.0	399058000.0	387099000.0	392807000.0	0	0.013552472993700495	0.042228827292349794	False	0.0019602718243596443	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	9	9.0	135357000.0	136929000.0	131302000.0	139402000.0	129818000.0	129398000.0	0	0.013587638985573367	0.07616234968052908	False	0.0019864087820177733	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P06616	ERA_ECOLI	era	GTPase Era	8	8.0	10700000.0	10455100.0	9831400.0	10299600.0	10000600.0	9691700.0	0	0.01368037236210121	0.09140206681571855	False	0.002012545739675902	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P23890	CADC_ECOLI	cadC	Transcriptional activator CadC	3	3.0	649592.0	599319.0	736790.0	633666.0	702459.0	694309.0	0	0.013753131981434184	-0.18055245588908206	False	0.0020386826973340304	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P21829	YBHA_ECOLI	ybhA	Pyridoxal phosphate phosphatase YbhA	5	5.0	13427600.0	13686700.0	12795400.0	13884300.0	12891700.0	12720400.0	0	0.013827342189318852	0.09418658632417366	False	0.002064819654992159	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A786	PYRB_ECOLI	pyrB	Aspartate carbamoyltransferase catalytic chain	10	10.0	7716480.0	7490470.0	8255830.0	7776050.0	8257940.0	8651700.0	0	0.013872610988209823	-0.13087841533366043	False	0.0020909566126502874	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A7S3	RS12_ECOLI	rpsL	30S ribosomal protein S12	3	3.0	423508000.0	428695000.0	409776000.0	438621000.0	402115000.0	403713000.0	0	0.01500569175620868	0.0866189796569211	False	0.002117093570308416	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS	Lysozyme	Lysozyme		1	1.0	59055.4	130841.0	11617300.0	108673.0	7502060.0	10685500.0	3	0.015646916341937326	-6.641337473382873	False	0.002143230527966545	False	True	Human	True	False	False	False	diann231	manual	min	1.660964047443681
P0A7D7	PUR7_ECOLI	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase	13	13.0	52928600.0	53242600.0	57814100.0	55437300.0	57045900.0	59208100.0	0	0.016233987723845985	-0.10714875617376848	False	0.0021693674856246735	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ABQ0	COABC_ECOLI	coaBC	Coenzyme A biosynthesis bifunctional protein CoaBC	9	9.0	6452300.0	6912580.0	7569810.0	6623280.0	7278450.0	7244640.0	0	0.01638196075331871	-0.14443713325705854	False	0.002195504443282802	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P69924	RIR2_ECOLI	nrdB	Ribonucleoside-diphosphate reductase 1 subunit beta	16	16.0	19131500.0	18944100.0	21637600.0	19646400.0	20704600.0	20591600.0	0	0.01657302733979441	-0.12471376838059191	False	0.0022216414009409305	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A8C4	YGFB_ECOLI	ygfB	UPF0149 protein YgfB	2	2.0	21939700.0	21345300.0	24165900.0	22586800.0	24381400.0	23942500.0	0	0.016683988057896816	-0.13811703511346987	False	0.002247778358599059	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15.0	36120100.0	35573700.0	37464700.0	36600100.0	37909500.0	37876000.0	0	0.016751357554072865	-0.06456161724888045	False	0.002273915316257188	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P45531	TUSC_ECOLI	tusC	Protein TusC	3	3.0	1953150.0	1971730.0	1728770.0	2177090.0	1619040.0	1611710.0	0	0.017834387077555473	0.29907458879616017	False	0.0023000522739153166	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEG4	DSBA_ECOLI	dsbA	Thiol:disulfide interchange protein DsbA	5	5.0	21806300.0	20438000.0	23352900.0	21179100.0	23295800.0	23759700.0	0	0.0179499674252929	-0.15073233886930204	False	0.002326189231573445	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A6A3	ACKA_ECOLI	ackA	Acetate kinase	15	15.0	917590000.0	900621000.0	926159000.0	901420000.0	936792000.0	942433000.0	0	0.01804153551872658	-0.04478734030954639	False	0.0023523261892315736	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
