protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02753ups|RETBP_HUMAN_UPS	2581672.664905932	2391266.064740384	2449706.728478192	77273.22985279582	89796.89843749993	58653.196647363	3	0.0004114510045420056	5.0393060492379975	False	0.00039428289797930016	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P69905ups|HBA_HUMAN_UPS	42859059.98307294	41891308.369409256	43504858.34301276	9340586.520680234	12967720.378525635	9104616.312658286	0	0.0004407069039107088	2.0295875120555484	False	0.00041892557910300644	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P10636-8ups|TAU_HUMAN_UPS	71588948.72287187	69657434.57376894	66073462.69851909	16341995.27812408	15644584.191069791	15046696.78031882	0	0.000529957688217471	2.1401044909180484	False	0.00044356826022671266	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P00441ups|SODC_HUMAN_UPS	12380475.111614712	13425900.817365428	12912983.072617233	77273.22985279582	89796.89843749993	58653.196647363	3	0.0005471623554971576	7.422355752829532	False	0.00046821094135041894	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
Q15843ups|NEDD8_HUMAN_UPS	42386791.43677092	38718144.38110449	40647769.36638598	9276422.291168014	10021868.581920262	9196363.90357711	0	0.0006411011514308734	2.095190608330266	False	0.0004928536224741252	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P08758ups|ANXA5_HUMAN_UPS	94506675.61457124	83759713.02701907	84580297.64533864	26302349.240234263	21733725.209372472	26325988.19768416	0	0.0007627380197771667	1.821582853688595	False	0.0005174963035978314	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P00167ups|CYB5_HUMAN_UPS	60522026.2948423	55739340.17409338	47737622.59712898	10644551.581069332	10653085.675571742	58653.196647363	1	0.0007672959311553417	2.9409539411735697	False	0.0005421389847215378	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P01008ups|ANT3_HUMAN_UPS	98684967.48347925	105644161.873162	104599621.91750684	29040730.914876044	28566076.00475743	28933740.972657323	0	0.000814686339310322	1.8358259857852008	False	0.000566781665845244	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0A953	790223523.6157451	790278880.5033036	787437588.9926882	773600974.0641493	777100927.0239857	773197407.106262	0	0.0009801448911591314	0.027084961705362544	False	0.0005914243469689503	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P02788ups|TRFL_HUMAN_UPS	216258104.6996295	197576943.10313877	196096533.68596756	49479693.96564624	51785373.59198517	54514626.74550925	0	0.00117777454260149	1.9691402266876559	False	0.0006160670280926564	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P09211ups|GSTP1_HUMAN_UPS	31689052.89610621	27179431.74442445	29323732.470591743	7934493.833989519	6567043.8347946685	8260605.213569694	0	0.0011836283809673674	1.9540149619921334	False	0.0006407097092163628	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
O00762ups|UBE2C_HUMAN_UPS	42365034.43185942	46952624.47521064	48959358.75241203	10903735.515437772	9051529.91517962	11095164.640366962	0	0.0012837432733138429	2.1548762371219214	False	0.000665352390340069	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
Q06830ups|PRDX1_HUMAN_UPS	48145113.96742591	51397545.53956423	45874261.23856693	14688186.239291009	14262623.599329272	13388908.528597448	0	0.0013436595686423813	1.7801115732857777	False	0.0006899950714637753	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P25772	3622335.420001701	3527507.720526851	3530987.468490449	2682720.5308024734	2865931.7499999977	2681079.7570273806	0	0.0013624246559351533	0.3761064824831336	False	0.0007146377525874817	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P61626ups|LYSC_HUMAN_UPS	30979301.965675272	27983852.25107724	32149935.773214184	77273.22985279582	89796.89843749993	7000652.339674768	2	0.0015833068930486544	3.668071654432971	False	0.0007392804337111878	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P01375ups|TNFA_HUMAN_UPS	25900399.191808533	30835265.68168551	26914608.56460585	6928398.2154573	9216687.932813372	7436688.700340139	0	0.0016493446804750306	1.8266979514026518	False	0.0007639231148348941	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0A7S9	2450640056.6125283	2522602629.76587	2525508211.455835	2210506416.727709	2287820861.066406	2219985306.050264	0	0.0016624389910430914	0.1585513775283332	False	0.0007885657959586003	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P00918ups|CAH2_HUMAN_UPS	120644784.7885564	138737099.84709138	139177609.34562537	31487833.7539939	34160659.94648284	27452966.976176884	0	0.0017159722805455033	2.0979193873812347	False	0.0008132084770823067	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0A6K6	815077615.3069907	801236844.4210833	813090017.4933296	848904007.5430758	851695154.0808027	859723229.1130716	0	0.001743200431437143	-0.07572277533663453	False	0.0008378511582060129	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P00915ups|CAH1_HUMAN_UPS	80906584.99735409	65668927.398015775	66585076.48756285	21196971.59336669	15485637.171725534	32030682.55558252	0	0.002244005788719546	1.6332796299085586	False	0.0008624938393297191	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P76270	51042982.96581734	49007117.054678485	50716187.50104485	42652206.76563064	45124272.26142267	43555432.91911225	0	0.0026708737984714862	0.199096352226187	False	0.0008871365204534253	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P55957ups|BID_HUMAN_UPS	24024874.772548147	26290599.835709702	27996040.59501022	7073272.471417992	7182954.995347073	6960597.607114943	0	0.0035472256539441304	1.8840156773464136	False	0.0009117792015771317	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P77433	14833378.409216205	13737258.502979146	14554354.25869866	11888503.532183375	11324624.174037464	12097611.97171026	0	0.004225498946834265	0.28841711888880045	False	0.0009364218827008379	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P68871ups|HBB_HUMAN_UPS	65327791.44476515	55951449.60738839	58361284.91406015	20056570.307248045	21420259.716239627	20914366.386906546	0	0.004473336273031776	1.525698471421016	False	0.0009610645638245442	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P05459	165402137.29405206	169584633.6762378	166664305.37469244	175037715.30805323	178385693.01455176	176631073.43435922	0	0.004585940785856873	-0.0794564092544343	False	0.0009857072449482504	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P62988ups|UBIQ_HUMAN_UPS	4366768.966771587	3903553.303086734	3400820.634560551	1029453.2001241704	1414309.9282273345	1166614.3771067758	0	0.004842343461013544	1.6927242447745054	False	0.0010103499260719568	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P04040ups|CATA_HUMAN_UPS	28194029.936461706	30195216.051417936	30380283.416109797	6812831.945991971	13037615.359704224	7221201.658103579	0	0.00499556843357466	1.7132817827148945	False	0.0010349926071956629	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0AEV1	656350.8788421213	514976.705583393	561342.9577608111	77273.22985279582	89796.89843749993	58653.196647363	3	0.005064522866429794	2.940369948941287	False	0.0010596352883193692	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P08263ups|GSTA1_HUMAN_UPS	93349767.62481432	114785159.2634206	115639424.22611928	26063351.749826837	32308253.070996817	31894584.43675203	0	0.005644477444197723	1.8427310942378456	False	0.0010842779694430755	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P04982	5535174.847949019	5245805.680936608	5458212.503927565	5909737.467080153	6221198.999999998	6214668.991818146	0	0.006917786991070313	-0.17595457546422377	False	0.0011089206505667817	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P02359	6000741624.871574	5895396997.265726	5919205494.786135	5497476425.894907	5635236850.530987	5654829843.334961	0	0.006989094190771247	0.08572924519062049	False	0.001133563331690488	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P63279ups|UBC9_HUMAN_UPS	21890860.16671309	20793311.7691282	17554946.281374384	5416454.829954958	5852486.588947568	5777405.334005514	0	0.0075697362875256	1.8212380672987187	False	0.0011582060128141943	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P01127ups|PDGFB_HUMAN_UPS	66198952.99638789	55946463.10273426	52878618.35387309	14032013.635473851	15471741.015351398	15797364.795581818	0	0.007697701642742242	1.9499344412076378	False	0.0011828486939379006	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P60785	191071109.49560872	184437191.4542317	186088386.8661523	176217170.32142508	172972582.73985004	172143933.03405276	0	0.007826266204193782	0.10732734392745588	False	0.0012074913750616068	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P76272	2749135.467515965	2175046.5616821363	2073191.5592715945	77273.22985279582	89796.89843749993	58653.196647363	3	0.008483477782102546	4.954186107854396	False	0.0012321340561853129	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P63165ups|SUMO1_HUMAN_UPS	39878869.87253522	49557712.18083844	43951631.82552408	77273.22985279582	13871798.818247534	16521370.057169648	1	0.008798270240985848	2.1301488584781336	False	0.0012567767373090194	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0AET2	253210620.312782	245144890.68125772	244797408.06092325	229319141.11467937	225647330.46027103	229784193.99444604	0	0.008909481108231346	0.11808034238559162	False	0.0012814194184327255	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0ACV8	2779338.249594	2968858.2641505217	2989585.445888727	2434030.1723759444	2400062.5000000005	2509203.5136130005	0	0.00926000956019628	0.2508393144908005	False	0.0013060620995564319	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AAI9	204380200.88601092	198835619.6136773	196175928.6067767	176170388.2782056	173320192.21965003	184917250.58075893	0	0.009465578812012447	0.16555807579148857	False	0.001330704780680138	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AA97	7239390.58018904	7260714.617521227	6971849.174479139	6018616.324944283	6005134.5444320105	6477973.620503993	0	0.009580572221733624	0.2147937646754741	False	0.0013553474618038443	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AFK9	223460624.24094352	230481705.33644703	226448465.7187886	214245637.0241688	206920992.78990316	214185283.29521325	0	0.00977243017122211	0.09880772038446026	False	0.0013799901429275506	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P01133ups|EGF_HUMAN_UPS	8049801.644826496	8208001.947130624	8528153.820998488	2383420.1713242726	2172919.2202234827	58653.196647363	1	0.009948477173908466	2.425122751224581	False	0.0014046328240512568	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P09323	8435723.876389276	7543050.402438982	8257955.180651169	6034483.5535838455	6472766.176829833	6523104.885398678	0	0.01004669240452684	0.3488925871593746	False	0.0014292755051749633	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P41159ups|LEP_HUMAN_UPS	48330353.05761222	42882041.00853054	35081965.56997539	12894374.815989396	9865317.056379767	9940277.604625886	0	0.010889839297596147	1.9494290149562024	False	0.0014539181862986694	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P00709ups|LALBA_HUMAN_UPS	16422085.89022649	11520314.335584017	13203640.891464408	77273.22985279582	89796.89843749993	58653.196647363	3	0.010929476511250556	7.510054311660534	False	0.0014785608674223755	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0A6B4	64819187.534908965	62467306.85005207	64220060.54800815	68896020.47789888	67327084.22601095	67798033.19537711	0	0.011290936308326716	-0.09132485849353099	False	0.0015032035485460819	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P63204	18929584.31519779	13420848.565905793	14561335.069797514	77273.22985279582	89796.89843749993	58653.196647363	3	0.011436115059207283	7.699250556123711	False	0.0015278462296697882	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P27830	28814118.225694355	30130992.30774808	30392135.79342899	27400721.49666818	26166738.32245552	27350483.53892176	0	0.012347060822734476	0.1428021343703563	False	0.0015524889107934945	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P52006	11844689.89035018	10740573.70763641	11417516.856140656	9388128.296673646	8950003.652311662	9237330.454657428	0	0.012446919457687335	0.3022676442576432	False	0.0015771315919172006	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P75809	9568553.832842356	9132278.120045666	8692060.369689537	8056824.503991265	7654041.311525513	7258546.919371833	0	0.0128002097098281	0.2540876319433939	False	0.0016017742730409068	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P99999ups|CYC_HUMAN_UPS	25688189.17254889	19599951.98665633	19747940.23725592	5399248.245337897	5546691.212667194	6506069.069852065	0	0.013573831663533903	1.8978472498759313	False	0.0016264169541646133	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P33136	356874133.8542279	361515448.0841846	353810766.9072569	330813011.46198666	343228208.9170755	337966416.19214165	0	0.013892399377994722	0.08335433300591424	False	0.0016510596352883194	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P02741ups|CRP_HUMAN_UPS	5941549.6187746655	9020838.89036329	7885311.216143626	77273.22985279582	89796.89843749993	58653.196647363	3	0.01391231754874673	6.661349607872785	False	0.0016757023164120258	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P0AA91	11637007.876774317	10913894.167966248	10589360.789431851	8822302.212103978	9701826.18477909	9448907.563748777	0	0.013955131929305191	0.2445482041342338	False	0.0017003449975357319	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P01344ups|IGF2_HUMAN_UPS	11122879.732283073	7551656.057254935	8462923.33588475	77273.22985279582	89796.89843749993	58653.196647363	3	0.01395975256940638	6.9095863316614485	False	0.0017249876786594382	False	True	Human	True	False	False	False	diann231	directlfq	min	1.0
P11875	386551937.0723825	387621708.33296704	398813237.3729183	365512382.25578666	372662437.6623693	369320045.7870219	0	0.015655161085923408	0.08288686962686542	False	0.0017496303597831445	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0ADP7	11328815.070406346	10246639.363305628	12000736.46646656	7638811.711489633	6349562.79991618	8729994.4671066	0	0.01590961113029188	0.5635793078681377	False	0.0017742730409068506	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A763	219612163.6759824	220494565.8724116	213666233.05042365	226902222.25845084	233030955.35821325	236009150.0633707	0	0.01641291899783315	-0.09017804144500469	False	0.0017989157220305572	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P51024	7023980.3680018205	6640454.012565024	5957162.95395055	4293409.529612713	4372853.210133518	4530022.739563144	0	0.016810093893745225	0.5723105981306715	False	0.0018235584031542633	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A9P6	375461951.9276655	367077746.3287834	375142631.2063559	356049598.3940387	353599927.61232585	356222445.0556528	0	0.01730470956870653	0.06847604310641067	False	0.0018482010842779694	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AC19	55604555.07888179	55101529.89260524	52981868.64077496	51358359.03902987	49774508.12054914	50038965.99089986	0	0.01735438720368638	0.11475879582245843	False	0.0018728437654016758	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0ABC3	325233085.2463758	328040068.5715234	331205758.1056903	344410927.244951	337602961.70442754	337422334.98214376	0	0.017943193535917227	-0.050339314725998965	False	0.001897486446525382	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A8Y5	171252243.9369661	168869130.2038927	176146452.03145912	188678492.9906799	180179778.45572188	185965615.0058857	0	0.018385950430559385	-0.10391020825982776	False	0.0019221291276490884	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AG99	97299176.99235168	88526950.02679864	92655847.1139752	79581544.90417124	83744059.76099713	76053509.85297902	0	0.018615093594211915	0.218286661628551	False	0.0019467718087727945	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A8A8	52422109.26217105	49615282.87898957	51469736.62418774	48272563.486901015	45715383.99850874	45421967.49828248	0	0.018785518339614404	0.13897248403096205	False	0.001971414489896501	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P07023	17706340.524945147	16897301.821879018	17822302.208036233	18678648.010862894	18775919.25382676	19283015.138483305	0	0.01963497929514458	-0.11402372897211638	False	0.001996057171020207	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P37613	45481038.74086671	44867634.78334933	43246812.67097402	49718851.30615907	47283409.63165552	47782754.53554864	0	0.02058320733181844	-0.1160410342636773	False	0.0020206998521439135	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P11557	93895238.90500271	90225457.74231233	90899629.39255068	95337777.20088828	98818270.08745338	98481716.85258448	0	0.020596759415739865	-0.08957770909502057	False	0.0020453425332676196	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P37665	131967930.1221179	128829882.63703024	132007748.41865385	139727375.40857852	135354753.08134508	140269405.07222548	0	0.0207478647228996	-0.08051752628499836	False	0.0020699852143913258	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A932	210512148.80872133	218373636.88495588	222404240.4701849	247038008.2130245	231674053.24760613	237323423.45824167	0	0.021329035110783302	-0.13673095214685516	False	0.002094627895515032	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P08390	66288467.83048464	70549987.6529176	72710034.34155391	83894775.43713976	78223229.56929898	77416921.64185685	0	0.023009289999721502	-0.19295190674381665	False	0.0021192705766387384	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P00960	122835200.35944957	109582352.96602194	109020442.70910132	94346055.27765194	92366500.74261	87356096.57400312	0	0.023240166694466758	0.3170862887200357	False	0.002143913257762445	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P31142	167792029.93388307	162523045.37696064	167856427.9739739	174124805.85888937	171932791.55593225	176932564.30724198	0	0.02381861882166396	-0.07014130933305202	False	0.002168555938886151	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P07822	1205252.3968682594	1273971.527703712	1447977.9795274443	1750766.4449584798	1575914.3320146252	1591145.1257976172	0	0.024910801779618387	-0.32451889131114103	False	0.002193198620009857	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P09029	5664665.525901754	5387161.599430688	5174772.166779034	4859974.479861818	4646026.968214427	4681710.358059625	0	0.02535583013946915	0.19371874678715245	False	0.0022178413011335633	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P02932	4541932.196984581	4055704.102807863	4018154.21562774	3454354.010831014	3170264.2679898227	2602709.702887759	0	0.025406127563215357	0.4512457668286233	False	0.0022424839822572694	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P30871	58455612.29511948	60284306.403003	59018640.46982574	56242965.866061546	56360182.79956769	57696167.9605617	0	0.026177634985760694	0.06184638223154028	False	0.002267126663380976	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A790	69471474.82009988	69420646.48841584	69580836.41893177	72291600.46589068	73164518.30861995	74530740.12125017	0	0.02710440781885012	-0.07755709047915563	False	0.002291769344504682	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A8J8	263708851.7965088	269010167.4184778	273021573.15930355	252705850.08026695	254514141.19076332	254596363.8457138	0	0.027290650224869806	0.08087217798631383	False	0.0023164120256283886	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A6U5	53904798.67383978	54176715.673268124	52016179.24130236	60705608.485575095	58759127.72967728	56554911.56216732	0	0.02810548754146086	-0.13678395113653075	False	0.0023410547067520947	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AB26	73665997.33709429	74141555.0106532	70636015.16060703	66769858.60158774	68299560.43287782	68788303.45571183	0	0.02835116859082364	0.09969801377797219	False	0.0023656973878758013	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0AEY5	21248903.790788148	23440331.52843819	25518868.063693177	29472065.874680944	29491018.17850325	27558450.909059063	0	0.029511116031698433	-0.301421704853397	False	0.0023903400689995074	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P69425	53396224.62214469	53427735.43132753	49983550.71351383	46747787.86472853	48515138.72563081	46633589.11837941	0	0.03026799785217158	0.1441554990931008	False	0.0024149827501232135	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P52644	5938005.026236743	5749830.419730667	5045198.534257555	4374670.466870462	4172526.10065965	4707715.648756562	0	0.030886316567259677	0.33617193829029246	False	0.0024396254312469196	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P21507	129274001.05173394	131101012.02611925	128898120.49764048	126165605.38204733	125067278.13900644	127773126.23984396	0	0.031052205692481776	0.038562052913278494	False	0.0024642681123706258	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P75849	40928109.87629324	37999800.46576584	36811689.60856197	34828898.62346296	33551938.851498064	32127971.81398748	0	0.03244268175503587	0.20356060786814256	False	0.0024889107934943327	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0ADC3	10522386.847181495	9864602.57674808	9845064.071222931	7952440.528707908	9074949.893240076	8890408.69358484	0	0.03269682572260098	0.2221357637149488	False	0.002513553474618039	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A6R3	65872258.91375472	64294835.08736704	58325849.1963706	52407265.137367606	51692242.72175751	55921783.2982982	0	0.03381991690561093	0.23624664147404284	False	0.002538196155741745	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A8Z0	31173714.705413293	32533266.837409727	31347810.36729327	33789204.03562228	32810304.975535907	34408861.17337001	0	0.035136343168039326	-0.08764358557120341	False	0.002562838836865451	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P17952	41375293.03177813	39922180.51461951	41935439.43775252	44201254.8021117	43333360.74930837	42975126.32189163	0	0.03517255844224082	-0.08276987873490996	False	0.002587481517989157	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A9T8	5078616.006441577	4433113.652247656	4658585.279227679	4193478.845152624	3923913.1561269057	3774156.3391278055	0	0.03549555007369944	0.2529352491949357	False	0.0026121241991128637	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P76569	12199398.317135576	10934540.27792206	11041943.896852368	9428866.172692904	9261538.784346882	10410636.810586352	0	0.03595538152440387	0.2319077916014927	False	0.00263676688023657	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P0A894	24941268.2837182	25096445.852009483	25381511.7852537	26474545.677921817	26496800.61814104	27650746.759885628	0	0.03599405521143344	-0.09624289475149084	False	0.002661409561360276	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
P30850	318913601.6409612	323006750.85585535	321722117.2599601	311752436.0154547	317593145.5381926	312937201.60313225	0	0.03602678650928031	0.03233789372507874	False	0.0026860522424839825	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.0
