protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P09211ups|GSTP1_HUMAN_UPS	103540305.01473232	106423325.13251773	104306262.31098723	19135315.91061271	24162390.98342246	24018990.224264696	0	2.454143053557553e-05	2.2229677683975404	False	0.00036231884057971015	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P24175	98531.47287410776	105299.54687499988	157500.21388486156	1720259.3641342863	1794904.4392323543	1840262.608062784	3	2.5793135630585815e-05	-3.8896075777828463	False	0.00038647342995169087	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
O00762ups|UBE2C_HUMAN_UPS	144630954.49762735	149760323.6491063	148894701.34378943	29633054.171188887	28583040.34109684	30415016.0944524	0	4.1718630475155586e-05	2.3223526363758347	False	0.00041062801932367153	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P12081ups|SYHC_HUMAN_UPS	546497729.685113	559835272.8165067	573044422.7673044	111360908.17938472	105839061.70185958	115866260.6381784	0	5.324227870822922e-05	2.3340455075622044	False	0.0004347826086956522	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
Q15843ups|NEDD8_HUMAN_UPS	138335043.0142442	129337570.71690056	131421256.1914158	28109934.944452677	32236099.56491823	27882517.44004249	0	5.559801865710148e-05	2.1774106072101973	False	0.0004589371980676329	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P55957ups|BID_HUMAN_UPS	76925772.63935666	79268513.54596052	83040083.0186518	14419836.900221406	16840541.426967688	13926660.386001516	0	7.16201505294398e-05	2.404443747124877	False	0.0004830917874396135	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS	156083140.48561117	163307111.2413474	157160816.0222866	33652788.136171	32660700.102263395	31104178.211873524	0	8.658063216906853e-05	2.2903754929595985	False	0.0005072463768115942	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P00915ups|CAH1_HUMAN_UPS	236994636.8578225	238814546.4744776	238017771.20639065	49857679.77444478	45777066.37160672	54566018.21042107	0	0.0001025824684866792	2.2486822248553793	False	0.0005314009661835749	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P00918ups|CAH2_HUMAN_UPS	417401415.16458064	429209763.33246255	408660774.5113953	85772819.02212636	81671061.65429562	81203554.90589428	0	0.00015209544530698938	2.3358264988720396	False	0.0005555555555555557	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P69905ups|HBA_HUMAN_UPS	155354559.86940387	160899511.1651075	169699615.49594733	31543724.910798147	26603041.439280216	32831857.531081133	0	0.00015513957569336515	2.4172193072807007	False	0.0005797101449275363	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P51965ups|UB2E1_HUMAN_UPS	14179146.068602849	14684074.999999983	14824026.182920268	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0001775994686023439	6.9083480107210615	False	0.0006038647342995169	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P68871ups|HBB_HUMAN_UPS	185893314.1960322	182092704.06734264	173399938.90672764	49935559.095770754	51020498.02528728	46299646.41515581	0	0.00018128695461249852	1.8783339525728444	False	0.0006280193236714976	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
Q46856	176478610.77353093	178727447.99403518	178180361.5132878	189412121.35568652	191266647.5748672	189434766.8148197	0	0.0001904868586599228	-0.0960681594714373	False	0.0006521739130434783	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS	172295255.2760321	164190642.84064734	175408720.08663595	34578043.31740836	34633525.01716148	37690937.39925779	0	0.00022228813378298066	2.259551169251006	False	0.000676328502415459	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P01375ups|TNFA_HUMAN_UPS	103245417.3971598	96602510.24890706	106070994.47529916	18488647.275187917	22404923.132706653	20961712.90268638	0	0.0002671667382874108	2.3061806132191114	False	0.0007004830917874397	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS	341969798.2764904	358153742.842584	338818784.7272081	70554369.4773512	74159710.85935974	71830151.65361303	0	0.0003332382170759668	2.2623819195513617	False	0.0007246376811594203	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P62988ups|UBIQ_HUMAN_UPS	17366442.338017825	17624361.392785974	16863695.539126817	5585506.993029963	5228178.137510818	3919419.454414481	0	0.0003424259060957344	1.8154077035136622	False	0.000748792270531401	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P60785	180553088.9118178	182979371.1446191	182249823.70804563	193975785.65537152	194300268.5249786	191968517.47312585	0	0.0003598106030993398	-0.08833555571239103	False	0.0007729468599033817	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P08263ups|GSTA1_HUMAN_UPS	345365141.9247945	370109209.1298916	353224627.60616297	78069567.78133585	84186775.9560568	80582128.51029384	0	0.0003743601081541259	2.1377866380357045	False	0.0007971014492753624	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P05413ups|FABPH_HUMAN_UPS	198070673.07075852	219090964.63773608	217833952.3515703	50687813.55616774	46053697.44339432	40978676.560830645	0	0.0004120579319476148	2.2050065218192905	False	0.0008212560386473431	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P02741ups|CRP_HUMAN_UPS	23570408.81084456	22591650.680118844	24237985.978057157	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0004169610548953589	7.596712167436926	False	0.0008454106280193237	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P0AF93	979069934.462567	968940134.58665	977951332.680248	1089303515.813524	1096856201.4393303	1111476806.914865	0	0.0005143209808850346	-0.17252165110169634	False	0.0008695652173913044	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P06983	211452223.9754029	207967711.76309943	208876377.93295777	229822691.30304512	226366808.3123518	225651880.2215554	0	0.0005254147524260842	-0.11799104137950693	False	0.000893719806763285	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P07395	899915585.0445315	906672441.7679654	906831270.921997	940939442.431648	940395078.590512	933199360.3174736	0	0.000590660285121479	-0.05278401464724215	False	0.0009178743961352658	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P02768ups|ALBU_HUMAN_UPS	878175043.747215	834205169.1260737	899232953.3003073	180804946.1142324	177559393.28905633	187790016.7434347	0	0.0005941521801342915	2.2575605661396203	False	0.0009420289855072465	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P00167ups|CYB5_HUMAN_UPS	154729028.58753195	160647798.50945994	145778869.13307065	32939753.594694864	35128216.7755658	30847190.41932571	0	0.0005960873925165279	2.220990352407461	False	0.000966183574879227	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P63279ups|UBC9_HUMAN_UPS	86133917.8284695	79300781.03282781	83498322.59876329	17703389.216876723	17769238.86957674	16835413.56419481	0	0.0007275506401807558	2.250652955982951	False	0.0009903381642512078	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P0ABF4	98531.47287410776	105299.54687499988	157500.21388486156	2338517.390542595	2625932.339597205	2518124.574280214	3	0.0007766527724116147	-4.372140827750158	False	0.0010144927536231885	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P0A8U2	711513.4129653171	811526.0884719428	748497.3927272166	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0008207691788766093	2.642876449648817	False	0.0010386473429951691	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P37325	605778.8119517999	579455.5624999995	523989.0231130215	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0008449394098824898	2.232548683222595	False	0.0010628019323671498	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P01112ups|RASH_HUMAN_UPS	164419924.60431284	159372059.21433523	149080639.78160974	36935069.21590708	35680234.19179615	33557365.64146166	0	0.0008698163559216172	2.155039185478833	False	0.0010869565217391304	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P10599ups|THIO_HUMAN_UPS	22255756.71388614	22685561.277516223	20526324.322788987	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0009211793441556477	7.491917830879994	False	0.0011111111111111113	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P01133ups|EGF_HUMAN_UPS	21041843.453348126	18314267.88858941	17853388.073750157	3786688.599300733	103576.81998457928	4447695.986629587	1	0.0009452941134833736	2.778488121371745	False	0.0011352657004830918	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P0AEF0	3355860.669429469	3023475.123013652	3283873.783774018	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0009615008687281321	4.73171016292855	False	0.0011594202898550727	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P76308	818712.9831167413	737789.3980872451	718146.7827562845	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0010125962204542193	2.644851756793898	False	0.0011835748792270533	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P61626ups|LYSC_HUMAN_UPS	81868397.97289084	89419766.87410785	86569151.60273129	19075248.68852312	19020193.60426721	19132598.67858981	0	0.0010796296387716655	2.1717788546313765	False	0.0012077294685990338	True	True	Human	True	False	False	True	diann231	directlfq	min	1.160964047443681
P0A9L5	58603013.40567971	59634449.50756488	60595628.74597629	65808173.64568968	66197466.12321767	67798325.92616133	0	0.0011435059276907137	-0.1599714973129171	False	0.0012318840579710146	True	False	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P05706	1047830.9269624164	1194022.3866087953	1160407.961624568	137819.40351159484	103576.81998457928	122296.58100160578	3	0.001227456179708558	3.2257016483011562	False	0.0012560386473429953	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	1.160964047443681
P00893	98531.47287410776	105299.54687499988	157500.21388486156	6974449.952182027	6208267.616118392	6915135.572499399	3	0.0013223384822592997	-5.797575622889259	False	0.001280193236714976	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P77756	4447564.611075895	5014694.338100812	5134300.266220476	10174509.415023636	8890284.74181907	9411985.495102003	0	0.0013276702889435583	-0.9641576769169287	False	0.0013043478260869566	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P61769ups|B2MG_HUMAN_UPS	11391082.443050226	10578675.68610246	12306714.122293193	2713144.430247452	2488633.097630022	122296.58100160578	1	0.0014480888967435307	2.6866160761144915	False	0.0013285024154589373	False	True	Human	True	False	False	False	diann231	directlfq	min	1.160964047443681
P00490	308835537.3106476	300378682.055364	302821699.29025054	333206747.7703754	326319878.19911224	331231162.82001984	0	0.0014966300272913448	-0.11944176082621376	False	0.001352657004830918	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0AB55	50339073.17527051	52784220.25441595	50739689.37031059	43440672.23718315	44374450.03830154	42370366.690595545	0	0.001539804639973181	0.24107753345149524	False	0.0013768115942028986	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P01344ups|IGF2_HUMAN_UPS	39322799.68263663	40221499.99999996	38781915.31200794	5887270.861524819	4941564.349688601	122296.58100160578	1	0.0015783116184163795	3.4336178517808897	False	0.0014009661835748795	False	True	Human	True	False	False	False	diann231	directlfq	min	1.160964047443681
P30745	98531.47287410776	105299.54687499988	157500.21388486156	1693173.3073350044	1766137.8214274368	1506280.5203694224	3	0.0015834454101744896	-3.780571752306041	False	0.00142512077294686	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P24193	24847987.460115954	24892631.41936544	25689865.23927745	28173656.90900693	28244483.27826868	27668454.9127058	0	0.0017104478696440158	-0.15672814225700807	False	0.0014492753623188406	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A7D7	173414173.3835596	176766935.4176038	177310595.47540587	161843376.26120475	161407781.33669317	163581316.5032335	0	0.00200780829432099	0.11572299905325238	False	0.0014734299516908215	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P07649	7056176.912166795	7265208.949590966	6968190.275322513	6116870.740570901	6020110.294840687	6349843.926184149	0	0.0021704837136300946	0.20364975796601073	False	0.001497584541062802	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A7H6	15154052.683931008	15124550.875031516	17362160.313168332	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0022002571470944674	7.0333323523493565	False	0.0015217391304347828	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P77736	98531.47287410776	105299.54687499988	157500.21388486156	955165.344201696	1167737.436114255	1084525.7424796412	3	0.002250634430075937	-3.150023242887363	False	0.0015458937198067635	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A8I8	37502637.524709456	36185062.87806096	36371171.01401247	32298824.86185985	32072359.612332348	32860424.10726156	0	0.0022929258011862635	0.1787781455798564	False	0.001570048309178744	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0AEW4	4064302.857484767	4511366.534811039	3843067.873830723	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0023334976021394394	5.093654294956897	False	0.0015942028985507248	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P02753ups|RETBP_HUMAN_UPS	12256126.009115418	14515798.015848724	16117765.549249273	137819.40351159484	1559325.234426915	122296.58100160578	2	0.0024052504547460393	4.5590635265126265	False	0.0016183574879227054	False	True	Human	True	False	False	False	diann231	directlfq	min	1.160964047443681
P00441ups|SODC_HUMAN_UPS	50815977.2018065	45987442.35528249	51062448.677814536	137819.40351159484	11543775.728749195	122296.58100160578	2	0.0024822943929087536	3.6469545786386433	False	0.0016425120772946861	False	True	Human	True	False	False	False	diann231	directlfq	min	1.160964047443681
P0AEE5	17328471.393380743	16522882.812603995	16505200.12118196	19043007.71727231	19440345.326298703	19635884.25767959	0	0.0025013630899936887	-0.20683620131554012	False	0.0016666666666666668	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P45955	56034082.769604966	56323950.52880683	54462145.3001451	50559725.836176895	50021229.23075433	48383035.17009408	0	0.002559695598320248	0.1633301845826593	False	0.0016908212560386474	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0C079	4489953.959003242	4504576.000000001	4175047.391073973	5566822.604154029	5401414.135259583	5200584.184165071	0	0.002693315173544448	-0.2960054311501805	False	0.001714975845410628	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P60752	57043734.72139714	57803975.86232473	58905475.13766856	63156800.22337131	62993631.145844445	61717079.06254932	0	0.0029221712236851684	-0.11267616095159633	False	0.0017391304347826088	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A8R7	1158510.469953488	1066691.875	952361.0517599396	137819.40351159484	103576.81998457928	122296.58100160578	3	0.003282704536776607	3.127128621145001	False	0.0017632850241545896	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0AED0	328085664.2401463	328619189.97740346	321212111.2933624	352747659.8801287	352813883.8238928	349755409.9982267	0	0.003353684863911983	-0.10989248587617091	False	0.00178743961352657	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P13016	26661496.58765436	28207543.05303302	26789421.778065696	22062189.2639008	23511297.25987554	23443712.228483807	0	0.0035578387743500414	0.24264646572271614	False	0.0018115942028985507	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A8E5	2481011.072658945	2679628.0000000037	2845520.879554762	1663451.3424006517	1807527.2164092597	1937361.5329400136	0	0.003593451272590862	0.5659245638781925	False	0.0018357487922705316	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P17445	6905097.907059171	6487606.616074625	6631965.915437337	5862211.791921227	5480350.797262545	5456175.943070784	0	0.0039819896921851955	0.2534255985190735	False	0.001859903381642512	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0AAG3	2497773.199599152	2404604.5000000014	2928025.3790565603	137819.40351159484	103576.81998457928	122296.58100160578	3	0.0040548772659701445	4.428294285648571	False	0.001884057971014493	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P64506	3280816.319313032	3090048.2500000005	3125716.461577922	2493484.010178712	2499465.794393789	2722715.5760301114	0	0.0041450460349853205	0.29961762958542365	False	0.0019082125603864736	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P99999ups|CYC_HUMAN_UPS	81581045.81049326	66532660.97444075	80972505.01522465	18187824.89429591	20985377.03759994	23693651.73593129	0	0.004302932466144427	1.8655191619055262	False	0.001932367149758454	False	True	Human	True	False	False	False	diann231	directlfq	min	1.160964047443681
P17854	121973069.6343484	120215196.042182	124096263.80508846	111477330.37660688	115134064.73375832	113379614.84967393	0	0.004768743716948497	0.10746816903827858	False	0.0019565217391304345	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A9M8	2162198667.021788	2203125109.5420847	2174571670.116019	2315537706.300078	2306272416.884733	2318550583.457834	0	0.004817097646593257	-0.08574307341981427	False	0.0019806763285024156	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P76245	2969146.376706847	3122653.383990748	3690830.733872925	5492965.909178957	4798751.390088952	4795503.331896503	0	0.005247149519715788	-0.6250327018857492	False	0.0020048309178743963	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0ABA6	721352958.9985151	733062966.4324213	724801658.0189072	692922753.6329135	673425185.3253461	679510201.3882073	0	0.00528676987532366	0.09110413699810438	False	0.002028985507246377	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A9W6	72365441.80162562	74358507.03840397	71326634.8915657	64957645.70839288	65665190.74906074	61867581.68784378	0	0.0053685639052123875	0.17987621996520578	False	0.0020531400966183576	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P27250	10312144.79538178	11107032.076236697	10849119.95247754	8640510.649052516	7360602.886352989	7996972.720150615	0	0.005586836869800845	0.42719807024277157	False	0.0020772946859903382	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P75874	74198476.84321266	73755940.59885168	75939408.24930198	68308303.96170992	70228076.8596597	70305564.41478032	0	0.005788472457807854	0.10040324192036208	False	0.002101449275362319	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P00709ups|LALBA_HUMAN_UPS	37727670.84785646	36742799.99999997	38491568.47503859	8977422.167169748	103576.81998457928	122296.58100160578	2	0.006025435041194252	3.617543666859514	False	0.0021256038647342996	False	True	Human	True	False	False	False	diann231	directlfq	min	1.160964047443681
P37349	56172987.42462253	54568088.84068319	57572696.83448983	49567097.440349646	51343206.890598215	48835695.81569751	0	0.006028051139300186	0.16863576927659177	False	0.0021497584541062802	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0AFA9	98531.47287410776	105299.54687499988	157500.21388486156	1841580.1366947093	1406179.8242947937	1702605.5224151188	3	0.006110303477628968	-3.776141170213475	False	0.002173913043478261	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P06610	115591369.6060342	111730447.75559282	115607630.7280799	105020995.24653149	104598443.74469058	102871645.09809878	0	0.006138093760163264	0.1340967691418556	False	0.0021980676328502416	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0ACE0	482487703.3992325	493224747.6930292	480418489.96592605	453940865.16084105	455681354.2506856	463984405.7366899	0	0.00643255342801838	0.08417119137550749	False	0.0022222222222222227	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P24171	79438706.75713462	79699023.2037035	81343268.20755126	75587797.15903273	72756978.53199652	74690034.78340454	0	0.006434394625957968	0.10865400420272184	False	0.002246376811594203	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A972	3134929506.9099126	3316910487.9069514	2977851342.2291765	3968513251.2053313	3918429999.590979	3799145434.563086	0	0.0065297701341395405	-0.30950969008801343	False	0.0022705314009661835	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A6P9	8574605263.961466	8628417234.3795	8572877700.826462	9157203024.9888	9376036181.886831	9208867741.724855	0	0.006664744602991875	-0.10605454791464611	False	0.002294685990338164	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P45578	644221682.7204759	681886550.7626925	672912424.2670826	572090467.5456477	597993813.7844564	594238949.203633	0	0.006679410161290739	0.18017848870624772	False	0.0023188405797101453	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0AAT2	4985050.156123903	4927976.048743669	4849739.553089113	3390181.42534852	3649372.153207689	3856687.601130682	0	0.006985566083829628	0.43813248938959776	False	0.002342995169082126	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P00887	16370817.249170693	16163729.33459318	15580538.577064635	17939717.961191148	17367293.505380668	17593432.273040976	0	0.007198809755997093	-0.1367905417644417	False	0.0023671497584541066	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0AFC3	13147801.513901742	13537880.307636308	12426338.62547348	20324336.85506361	20217206.661313217	23072045.843496587	0	0.0073012530103147176	-0.7017229273764147	False	0.002391304347826087	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A8M6	154791317.1732275	141403130.26762274	137943931.53646415	115733389.1312609	113742473.15189251	102552000.86569797	0	0.0075316660147444845	0.38685065138846697	False	0.0024154589371980675	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P23256	1486936.407858817	1200725.2095254774	1147578.8414416858	137819.40351159484	103576.81998457928	122296.58100160578	3	0.007769410326148449	3.3985247453973666	False	0.0024396135265700486	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P0A720	34172032.28191904	33409634.09759128	34452882.819281705	28604108.276762106	29081535.634230666	30703155.503949605	0	0.008362867315061051	0.20712226700032532	False	0.0024637681159420293	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P41159ups|LEP_HUMAN_UPS	153073570.77491024	126647915.42709124	116290894.47322634	16729467.58009547	18204152.29045922	20348938.181204617	0	0.008693531091613547	2.8406492552776417	False	0.00248792270531401	False	True	Human	True	False	False	False	diann231	directlfq	min	1.160964047443681
P76342	3834357.579456668	4074719.061989774	4397296.050660236	5424054.806267754	5245298.282550031	5443249.246237153	0	0.008748887665707368	-0.3887839319396721	False	0.0025120772946859906	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
P24228	10587525.17444897	10833958.67526711	10900010.03028244	12184229.211890476	12970355.949587395	12433616.590600785	0	0.008814032816994046	-0.21778601728558888	False	0.002536231884057971	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.160964047443681
