Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML
A0JLT2	A0JLT2		MED19		598169	943871	727163	1.18664e+06	703068	1.22664e+06	550800	605397	732203	478217	683541	750573	890535	762437	884180	564156	1.06574e+06	684449
A0MZ66	A0MZ66		SHTN1		2.70576e+06	2.8445e+06	2.55891e+06	2.69902e+06	2.21636e+06	2.8241e+06	2.70129e+06	2.6616e+06	2.74102e+06	2.40065e+06	2.46971e+06	2.59661e+06	2.74008e+06	2.67385e+06	2.72016e+06	2.19418e+06	2.65008e+06	2.61371e+06
A2RRP1	A2RRP1		NBAS		4.66474e+06	5.0627e+06	4.6931e+06	5.07809e+06	4.13924e+06	4.61508e+06	4.49339e+06	4.92314e+06	4.84092e+06	4.13349e+06	4.35412e+06	4.61747e+06	4.86983e+06	4.96233e+06	5.15448e+06	4.27634e+06	4.83857e+06	4.32951e+06
A2RTX5	A2RTX5		TARS3		532963	670208	409648	444956	384552	512167	439856	412427	335364	480829	463758	436954	610889	430211	472017	443369	503560	277812
A3KN83	A3KN83		SBNO1		2.7534e+06	3.23499e+06	2.95606e+06	2.9967e+06	2.73338e+06	3.25712e+06	2.83938e+06	2.70198e+06	2.90482e+06	2.52522e+06	2.87181e+06	2.92257e+06	3.11141e+06	3.07679e+06	2.90134e+06	2.81696e+06	3.0939e+06	2.67026e+06
A4D1E9	A4D1E9		GTPBP10		2.25689e+06	2.32064e+06	2.21624e+06	2.10354e+06	2.20373e+06	2.14165e+06	2.17681e+06	2.08032e+06	2.34648e+06	2.0684e+06	2.18808e+06	2.16221e+06	2.39957e+06	2.43372e+06	2.12929e+06	2.34748e+06	2.15263e+06	2.24088e+06
A5A3E0	A5A3E0		POTEF		9.67785e+07	1.0328e+08	9.61099e+07	9.99825e+07	9.796e+07	1.09548e+08	1.03206e+08	9.77234e+07	1.07379e+08	1.08119e+08	1.04173e+08	1.02362e+08	1.14358e+08	1.13124e+08	1.00762e+08	1.32066e+08	1.06806e+08	9.21658e+07
A5D8V6	A5D8V6		VPS37C		1.91783e+06	1.84771e+06	1.68584e+06	1.90443e+06	1.87456e+06	1.82866e+06	1.98421e+06	1.52998e+06	1.65671e+06	1.25807e+06	1.88896e+06	1.80803e+06	1.99791e+06	1.67221e+06	1.1183e+06	1.7185e+06	1.17128e+06	1.96975e+06
A5PLN9	A5PLN9		TRAPPC13		3.10892e+06	1.9554e+06	2.12044e+06	1.03392e+06	3.09082e+06	1.79922e+06	1.50856e+06	2.15586e+06	1.09203e+06	635804	3.00239e+06	1.9079e+06	1.91661e+06	2.14619e+06	1.76461e+06	989298	1.50689e+06	2.74215e+06
A5YKK6	A5YKK6		CNOT1		1.03705e+07	1.11565e+07	1.08023e+07	1.16107e+07	8.8816e+06	1.07471e+07	9.99455e+06	9.98271e+06	1.05352e+07	9.45964e+06	9.59705e+06	1.01121e+07	1.06765e+07	1.08669e+07	1.10405e+07	1.0292e+07	1.02566e+07	1.00852e+07
A5Z2X5	A5Z2X5		YPR010C-A		1.23031e+06	640594	1.63211e+06	695728	1.44762e+06	639295	1.22789e+06	1.29517e+06	574211	1.56804e+06	1.37428e+06	1.37267e+06	781414	561279	584158	553553	597079	1.28679e+06
A6NCE7	A6NCE7		MAP1LC3B2		1.12224e+07	1.15792e+07	1.18208e+07	1.13007e+07	8.46101e+06	8.99508e+06	1.05166e+07	1.14104e+07	1.03223e+07	1.11053e+07	9.59834e+06	1.04182e+07	1.04009e+07	1.02116e+07	1.04923e+07	1.22749e+07	9.99474e+06	9.9006e+06
A6NDG6	A6NDG6		PGP		1.31149e+07	1.43737e+07	1.29436e+07	1.3889e+07	1.26239e+07	1.58139e+07	1.25239e+07	1.29705e+07	1.37195e+07	1.33459e+07	1.31961e+07	1.27863e+07	1.40329e+07	1.36714e+07	1.37785e+07	1.38101e+07	1.42714e+07	1.24056e+07
A6NDU8	A6NDU8		RIMOC1		3.44674e+06	3.27784e+06	3.31513e+06	3.35482e+06	3.26651e+06	3.44098e+06	3.46377e+06	3.31594e+06	3.5863e+06	3.57333e+06	3.34442e+06	3.41559e+06	3.44245e+06	3.39695e+06	3.43289e+06	3.5557e+06	3.31916e+06	3.27122e+06
A6NED2	A6NED2		RCCD1		827125	879435	797902	880090	932925	1.03717e+06	902186	818247	822151	629403	874325	827600	897741	825744	812827	849508	854254	664304
A6NFI3	A6NFI3		ZNF316		309286	281124	308025	300096	306130	380023	192847	336137	287989	183330	353867	296921	341194	255607	343512	197544	326179	297182
A6NGK3	A6NGK3		GAGE10		5.78195e+06		3.08709e+06		3.06008e+06		5.34472e+06	4.1956e+06	3.90067e+06	2.07848e+06	3.65379e+06	5.14123e+06	2.47266e+06	2.49947e+06	1.15046e+06	479919	1.13734e+06	4.59715e+06
A6NHL2	A6NHL2		TUBAL3		1.58779e+07	1.24826e+07	1.71935e+07	2.2279e+07	1.43231e+07	1.36858e+07	1.49105e+07	1.69815e+07	1.75379e+07	1.57747e+07	1.6617e+07	1.37741e+07	1.98364e+07	1.91072e+07	1.54306e+07	1.40489e+07	1.51208e+07	1.24653e+07
A6NHQ2	A6NHQ2		FBLL1		6.62048e+06	3.5046e+06	6.71584e+06	2.92661e+06	6.23605e+06	3.14764e+06	5.85278e+06	7.74373e+06	8.23099e+06	7.97348e+06	6.98427e+06	6.84355e+06	6.70442e+06	7.25655e+06	6.86589e+06	5.35705e+06	5.38729e+06	8.05792e+06
A6NHR9	A6NHR9		SMCHD1		6.09901e+06	6.32747e+06	6.21576e+06	6.42535e+06	5.31471e+06	6.2552e+06	5.91374e+06	6.02198e+06	6.09568e+06	5.80279e+06	5.63271e+06	6.00045e+06	6.10993e+06	6.26096e+06	6.1965e+06	5.7068e+06	6.09097e+06	5.93824e+06
A6NJ78	A6NJ78		METTL15		539618	428139	405909	448608	794305	723203	456982	521586	536886	393508	505823	570051	634712	550542	579438		588890	502814
A6NKD9	A6NKD9		CCDC85C		63731.6	73648.7	52322.8	54170.4	107263	70097.5	53265.6	86784.6	89141	69671.9	98528.3	81695.7	119139	60042.5	52249.4		75516.8	33451.7
A6NNZ2	A6NNZ2		TUBB8B		9.54533e+07	9.48196e+07	9.74128e+07	1.00548e+08	5.8354e+07	6.01882e+07	9.40213e+07	9.92358e+07	9.25352e+07	9.37328e+07	6.09905e+07	7.33597e+07	8.28332e+07	9.31477e+07	1.01179e+08	9.71141e+07	7.31052e+07	1.00606e+08
A8MPS7	A8MPS7		YDJC		2.95514e+06	2.83176e+06	2.91711e+06	2.48273e+06	2.88606e+06	2.83287e+06	2.71117e+06	2.76085e+06	2.98092e+06	2.37844e+06	3.00518e+06	2.81366e+06	3.19635e+06	2.86858e+06	2.802e+06	2.19829e+06	3.06532e+06	2.8577e+06
A8MWD9	A8MWD9		SNRPGP15		2.81751e+07	4.55408e+07	3.97393e+07	6.47451e+07	3.95521e+07	5.06359e+07	2.19596e+07	2.59243e+07	3.00755e+07	2.44702e+07	2.59172e+07	3.73634e+07	3.27333e+07	3.43213e+07	3.766e+07	3.60569e+07	3.90945e+07	1.89408e+07
A8MXV4	A8MXV4		NUDT19		1.28436e+06	1.35118e+06	1.38421e+06	1.47017e+06	883295	980449	1.191e+06	1.40813e+06	1.12773e+06	1.21995e+06	1.09927e+06	1.00942e+06	1.176e+06	1.3082e+06	1.3533e+06	1.17471e+06	1.12372e+06	1.32562e+06
B2RUZ4	B2RUZ4		SMIM1		807856	155088	817281		353355		835362	819234	579903	315868	658480	903225	716068	656848	523079	56586.5	359052	1.01952e+06
C9J7I0	C9J7I0		UMAD1		999187	916616	778389	866124	693366	1.00681e+06	878021	952475	851010	788250	895264	888146	1.03802e+06	981743	874792	741386	1.0208e+06	780546
C9JLW8	C9JLW8		MCRIP1		2.32116e+06	1.79204e+06	2.17071e+06	2.00358e+06	1.78136e+06	1.5258e+06	2.3851e+06	2.19002e+06	2.0739e+06	2.30218e+06	1.9023e+06	2.16679e+06	2.06529e+06	1.89996e+06	1.96823e+06	2.18754e+06	1.79263e+06	2.1983e+06
DECOY_sp|A4D1F6|LRRD1_HUMAN Leucine-rich repeat and death domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LRRD1 PE=1 SV=2	DECOY_sp|A4D1F6|LRRD1_HUMAN Leucine-rich repeat and death domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LRRD1 PE=1 SV=2				2.18045e+06	2.84075e+06		3.04231e+06	1.71027e+06	2.22607e+06		2.51617e+06			2.08296e+06				2.65244e+06		2.22224e+06	
DECOY_sp|A5PLN7|F149A_HUMAN Protein FAM149A OS=Homo sapiens OX=9606 GN=FAM149A PE=1 SV=2	DECOY_sp|A5PLN7|F149A_HUMAN Protein FAM149A OS=Homo sapiens OX=9606 GN=FAM149A PE=1 SV=2				1.39765e+06		1.51137e+06	799406							888500				385845			
DECOY_sp|O00206|TLR4_HUMAN Toll-like receptor 4 OS=Homo sapiens OX=9606 GN=TLR4 PE=1 SV=2	DECOY_sp|O00206|TLR4_HUMAN Toll-like receptor 4 OS=Homo sapiens OX=9606 GN=TLR4 PE=1 SV=2								1.02621e+06		1.22333e+06		1.67417e+06	1.92443e+06		1.24426e+06				2.26739e+06	1.38762e+06	
DECOY_sp|O00488|ZN593_HUMAN Zinc finger protein 593 OS=Homo sapiens OX=9606 GN=ZNF593 PE=1 SV=2	DECOY_sp|O00488|ZN593_HUMAN Zinc finger protein 593 OS=Homo sapiens OX=9606 GN=ZNF593 PE=1 SV=2				4.97354e+06	2.42578e+06	5.39795e+06	2.58614e+06	3.87297e+06	1.93209e+06	4.30493e+06	4.74196e+06	2.2285e+06	4.86088e+06	3.57774e+06	3.89597e+06	2.09562e+06	2.42593e+06	2.4273e+06	2.76507e+06	1.88087e+06	4.73592e+06
DECOY_sp|O75197|LRP5_HUMAN Low-density lipoprotein receptor-related protein 5 OS=Homo sapiens OX=9606 GN=LRP5 PE=1 SV=2	DECOY_sp|O75197|LRP5_HUMAN Low-density lipoprotein receptor-related protein 5 OS=Homo sapiens OX=9606 GN=LRP5 PE=1 SV=2				1.20549e+06	1.43497e+06	2.3864e+06	1.39022e+06	3.92069e+06	312003	1.26036e+06	1.19313e+06	974172	1.36456e+06	4.52258e+06	1.3165e+06	1.32553e+06	2.36877e+06	1.20436e+06	1.22134e+06	1.31783e+06	1.46882e+06
DECOY_sp|P04710|ADT1_YEAST ADP/ATP translocase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AAC1 PE=1 SV=1	DECOY_sp|P04710|ADT1_YEAST ADP/ATP translocase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AAC1 PE=1 SV=1					832420			1.13519e+06	931002					1.28681e+06	1.62437e+06	847888	841975			787608	1.6917e+06
DECOY_sp|P06785|TYSY_YEAST Thymidylate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC21 PE=1 SV=1	DECOY_sp|P06785|TYSY_YEAST Thymidylate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC21 PE=1 SV=1				1.82583e+06	1.65927e+06	2.00372e+06	1.6536e+06	1.30675e+06	1.66637e+06	2.20496e+06	1.57485e+06	1.8496e+06	2.36439e+06	1.42332e+06	1.57053e+06	1.49324e+06	1.5982e+06	1.58699e+06	1.94693e+06	1.61314e+06	1.85803e+06
DECOY_sp|P08069|IGF1R_HUMAN Insulin-like growth factor 1 receptor OS=Homo sapiens OX=9606 GN=IGF1R PE=1 SV=1	DECOY_sp|P08069|IGF1R_HUMAN Insulin-like growth factor 1 receptor OS=Homo sapiens OX=9606 GN=IGF1R PE=1 SV=1							4.52757e+06		4.00913e+06	4.23331e+06		4.3661e+06	4.31031e+06			4.41457e+06		4.45038e+06	3.95803e+06		4.31616e+06
DECOY_sp|P15705|STI1_YEAST Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STI1 PE=1 SV=1	DECOY_sp|P15705|STI1_YEAST Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STI1 PE=1 SV=1				2.07119e+06		2.10159e+06	1.10887e+06	1.69459e+06	1.37588e+06	1.7376e+06	1.89546e+06	1.15589e+06	2.65405e+06	1.87655e+06	1.83858e+06	1.53932e+06	1.56676e+06	1.34203e+06	521835	1.43249e+06	2.29537e+06
DECOY_sp|P24174|MANC_ECOLI Mannose-1-phosphate guanylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=manC PE=3 SV=3	DECOY_sp|P24174|MANC_ECOLI Mannose-1-phosphate guanylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=manC PE=3 SV=3				6.02389e+06					2.72818e+06	6.93181e+06	7.74746e+06					6.64641e+06		5.45097e+06			7.42266e+06
DECOY_sp|P34227|PRX1_YEAST Peroxiredoxin PRX1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRX1 PE=1 SV=1	DECOY_sp|P34227|PRX1_YEAST Peroxiredoxin PRX1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRX1 PE=1 SV=1				3.50189e+06	1.85049e+06	3.28812e+06	1.70789e+06	4.22967e+06	2.57681e+06	2.82018e+06	2.81744e+06	2.33537e+06	2.35602e+06		3.75817e+06	2.70985e+06	2.58795e+06	2.12134e+06	1.80575e+06	2.86435e+06	2.74417e+06
DECOY_sp|P38282|SP381_YEAST Pre-mRNA-splicing factor SPP381 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPP381 PE=1 SV=1	DECOY_sp|P38282|SP381_YEAST Pre-mRNA-splicing factor SPP381 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPP381 PE=1 SV=1				176885	866716	95430.3			212948	370528							455123	285035	6.7526e+06	138443	
DECOY_sp|P38756|TCD1_YEAST tRNA threonylcarbamoyladenosine dehydratase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TCD1 PE=1 SV=1	DECOY_sp|P38756|TCD1_YEAST tRNA threonylcarbamoyladenosine dehydratase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TCD1 PE=1 SV=1				1.11277e+06	1.09712e+06	1.30062e+06	1.3836e+06	950793	963601	1.09589e+06	1.24476e+06	1.07982e+06	1.07988e+06	982645	1.05793e+06	1.2384e+06	1.11501e+06	1.36449e+06	1.18312e+06	1.16199e+06	1.09275e+06
DECOY_sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3	DECOY_sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3						3.45473e+06	1.40721e+07					1.4122e+07		2.79022e+06	2.85637e+06		1.39265e+07		1.7295e+07		
DECOY_sp|P43602|ROG3_YEAST Protein ROG3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ROG3 PE=1 SV=1	DECOY_sp|P43602|ROG3_YEAST Protein ROG3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ROG3 PE=1 SV=1				2.86422e+06	170371	2.32272e+06		2.49144e+06		3.53673e+06	2.60227e+06	2.24043e+06	1.54036e+06	2.12282e+06	3.07506e+06	1.80395e+06	2.07023e+06	1.18139e+06	258993	984150	3.43954e+06
DECOY_sp|P47075|VTC4_YEAST Vacuolar transporter chaperone complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC4 PE=1 SV=2	DECOY_sp|P47075|VTC4_YEAST Vacuolar transporter chaperone complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC4 PE=1 SV=2				3.4931e+06	4.02808e+06	4.56849e+06	4.56311e+06	3.93123e+06	4.02962e+06	3.66704e+06	3.77459e+06	4.1256e+06	5.04144e+06	3.76369e+06	3.97279e+06	4.44873e+06	4.35779e+06	4.27365e+06	5.12304e+06	4.16926e+06	3.85224e+06
DECOY_sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3	DECOY_sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3				2.85925e+07	2.67721e+07	2.97721e+07	2.8483e+07	2.22108e+07	2.50407e+07	2.86205e+07	2.60374e+07	3.09084e+07	2.63891e+07	2.41214e+07	2.54233e+07	2.90658e+07	2.93413e+07	3.06518e+07	2.97665e+07	2.79712e+07	2.9492e+07
DECOY_sp|P53855|ATG2_YEAST Autophagy-related protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATG2 PE=1 SV=1	DECOY_sp|P53855|ATG2_YEAST Autophagy-related protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATG2 PE=1 SV=1										2.13418e+06											
DECOY_sp|P53914|NAT10_YEAST RNA cytidine acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE33 PE=1 SV=1	DECOY_sp|P53914|NAT10_YEAST RNA cytidine acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE33 PE=1 SV=1				4.1248e+06	2.91495e+06	4.559e+06	3.33791e+06	3.18779e+06	2.70482e+06	3.84705e+06	4.04507e+06	2.97068e+06	4.13157e+06	3.37584e+06	4.08802e+06	2.6825e+06	2.89166e+06	3.10906e+06	3.39112e+06	3.06927e+06	3.87045e+06
DECOY_sp|P76316|DCYD_ECOLI D-cysteine desulfhydrase OS=Escherichia coli (strain K12) OX=83333 GN=dcyD PE=1 SV=4	DECOY_sp|P76316|DCYD_ECOLI D-cysteine desulfhydrase OS=Escherichia coli (strain K12) OX=83333 GN=dcyD PE=1 SV=4							684145			844079		816412			625217	731936			866083		517122
DECOY_sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4	DECOY_sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4					2.73292e+06		2.65579e+06	909992	3.23556e+06	565241	1.16936e+06	1.2451e+06					1.01094e+06	1.62356e+06	431814	910020	
DECOY_sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1	DECOY_sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1				1.5588e+06	1.7458e+06	1.70494e+06			1.08846e+06				1.54232e+06	1.05223e+06						1.36745e+06	
DECOY_sp|Q08379|GOGA2_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3	DECOY_sp|Q08379|GOGA2_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3					507699	1.00338e+06					848622	526501	695954		1.16958e+06		750395			853244	819447
