Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d
A0FGR8	A0FGR8		ESYT2		30427.4	31147	30365.6	31133.1	30814.7	29084.9	31408.3	28412.4	29618.2	29751.5	30784.5	31752.6	30978.6	29517.4	29945	28851.9	29485.8	32136.4
A0JLT2	A0JLT2		MED19		45687.2	48204.6	42176.2	48269.5	47749.5	47909.6	44825.8	49926.2	42158.3	45576.6	45004.9	44045.8	46587.5	54464.2	48515.6	47337	48606.4	49226.7
A0JNW5	A0JNW5		BLTP3B		12258.5	11199.7	11783.7	10509.1	11495.1	10657.7	11640.4	12996.6	12100.4	14091.3	11433.8	11567.6	12879.6	11915.5	11536.7	11567	11585.1	12644.8
A0MZ66	A0MZ66		SHTN1		45757.4	44904.4	42272.2	43276.2	43905.1	40986.4	45346.1	45382.6	43953.7	43331	44001	45305.3	43784.3	45303.9	44737.6	46450.2	45026.5	44451.6
A0PJW6	A0PJW6		TMEM223		9713.98	9562.31	9201.53	8573.36	8695.79	7829.05	8641.83	6831.82	8909.14	8369.67	7434.99	8755.99	9326.84	8613.97	8561.04	7201.2	7980.26	7649
A1L020	A1L020		MEX3A		3220.21	2678.81	3532.32	2610.33	2870.44	3010.78	2961.38	3808	2716.1	3473.4	2809.93	3417.32	3628.92	3269.79	2463.44	4947.09	3267.62	3368.22
A2IDD5	A2IDD5		CCDC78		203950	198353	209057	214920	195713	175743	233534	269567		225564	246214	192978	171572	242423	253632	264755	250501	251785
A2RRD8	A2RRD8		ZNF320		3186.65	3831.78	3462.37	3020.56	4075.38	2795.59	3460.66	3865.06	4222.07	3271.39	3420.54	4390.4	4468.43	4853.42	4608.63	3841.03	4293.6	4332.14
A2RRP1	A2RRP1		NBAS		84112.3	80559.4	80605.5	82484	78823	82087.6	77559.1	81255.5	78751.3	78771.4	80822.8	80075.2	81185.6	77905.6	80613.7	78608.5	77982.1	78986.5
A2RTX5	A2RTX5		TARS3		85586.3	89806.4	88538.1	84889.6	87712	94971.1	88339.5	91921.2	86379.4	86242.8	94547.8	86259.5	91667.7	84579	83834.3	84743.7	81408.8	85884.5
A2VDF0	A2VDF0		FUOM		4579.78	4385.03	2580.74	4304.43	2864.65	2409.86	2348.02	3230.48	4809.28	4442.83	4363.54	3924.24	2979.51	2101.61	4223.08	4153.31	4644.89	3748.73
A3KMH1	A3KMH1		VWA8		25383.9	25442.9	24682.5	27450.4	24722	24604.4	21356.7	22494.1	24887.3	24550	25007.3	27812.5	22350.2	24476.6	26150.4	22674.1	23266	25029.4
A3KN83	A3KN83		SBNO1		52010	54182.5	50264.6	53670.4	52232.2	48942.6	53849.6	57609.4	57246.7	51068.7	54161.9	57241.3	53306.2	54995.1	55154.2	57274.9	55290.3	55368.4
A4D0V7	A4D0V7		CPED1		8981.99	9801.14	8261.65	7561.45	9083.5	7487.74	9003.02	8997.5	9746.43	7816.93	9960.72	9716.13	9344.6	10243.7	9410.55	10263.2	8293.87	8101.34
A4D126	A4D126		CRPPA		4248.43	7292.57	5973.2	4975.36	4725.73	6186.78	5521.78	6753.11	7295.75	7184.89	7408.96	7438.02	6558.83	7998.91	7284.38	6204.06	8235.83	7987.31
A4D1E9	A4D1E9		GTPBP10		44643.6	42159	42953.9	46163.2	44113.1	42185	43775.5	40214.5	40911.9	40498.4	43895.8	41956.9	44580.4	42641.9	41775.2	43978	40969.3	40025
A4D1P6	A4D1P6		WDR91		9705.12	9238.37	7891.71	9561.92	10325.9	8945.98	9222.79	9624.99	9192.28	10138.9	9680.86	9993.67	10885.2	9585.89	9312.74	8620.09	8867.1	9030.18
A4FU69	A4FU69		EFCAB5		68097.3	71933.1	55020		54547.6		69447.9	110628	96105.3		65378.7		49215.5	110451	112349	123095		130827
A5A3E0	A5A3E0		POTEF		474810	417306	473807	367929	472698	393909	450732	512778	452341	497620	484518	473117	437053	413652	343230	455823	204515	392064
A5PL33	A5PL33		KRABD3		1435.52	3879.77		561.353				1338.63		1694.3	314.272					895.99	2277.02	
A5PLN9	A5PLN9		TRAPPC13		20800.8	14470.9	20902	20489	20546.4	20846.5	20249.9	17593.2	18068.3	16853.2	20006.3	19178.4	19571.1	21528.9	22164.8	21082.9	17302.9	21065.8
A5YKK6	A5YKK6		CNOT1		237205	230775	233352	230849	230439	228899	232981	229753	236881	234494	239037	229591	229621	230331	232506	225209	230073	229411
A5Z2X5	A5Z2X5		YPR010C-A		42059.9	41259.7	37062.7	42568.9	39588.8	43347	20677	20869.9	21626.2	39259.7	21401.1	44054.2	44980.2	19458.8	22057.5	23714.9	22854.6	22161.5
A6NCE7	A6NCE7		MAP1LC3B2		102021	93512.5	97445.1	106258	104671	97584	101877	96950.3	104218	86110.7	103169	97272.9	102276	103306	100988	102013	95297.5	103676
A6NDB9	A6NDB9		PALM3		2140.13	2099.94	1634.4	1383.3	1917.55	2370.36	2776.71	2022.57	2505.86	2537.46	2628.02	2368.04		3400.64	2706.42	2518.85	2657.73	2493.14
A6NDG6	A6NDG6		PGP		305149	297470	280171	302025	282433	290059	312810	325703	318105	355420	322907	306333	280327	325619	332687	330200	360953	348505
A6NDU8	A6NDU8		RIMOC1		56368.5	57891.6	58316.9	55704.1	53556.4	54240.7	58231	58713.5	59063.4	60147.2	59222.5	57194.9	61966.3	57816	59252.7	60257.1	58749.5	60207
A6NED2	A6NED2		RCCD1		22993.2	24973.6	21111.2	22997.8	21868.7	22561.7	24984.5	24748.5	23101.2	24978.7	23165.9	22105.3	24064	26546.2	23192.7	26344.7	25175	23922.7
A6NEF3	A6NEF3		GOLGA6L4		239889	233919	253362	269739	270834	262621	149951	123116	135792	248673	154094	272386	287771	136366	147070	115339	134017	129621
A6NER3	A6NER3		GAGE12J		25368.3	29509.2	26765.6	27093.4	27551.2	30291.8	25130.2	30441.8	29518.3	27639.4	28800	27090.9	23576	27318.8	27462.3	30071.9	24175.7	23452.1
A6NFI3	A6NFI3		ZNF316		35128.1	34979.9	33344	35400.4	32072.2	32212.3	36197.8	33580.4	34364.5	31606.8	31549.6	30764.7	32669.5	37363.1	33719.7	34342.1	33300.8	34696.3
A6NFQ2	A6NFQ2		TCAF2		59335.7	59877.5	67747	64235.6	61216	60772.8	74098.4	65013.7	66282.8	62374.2	67553.5	69085.7	71071.6	66413.4	64045.7	64440.5	62259.6	64556
A6NGB9	A6NGB9		WIPF3		6270.79	7373.14	5319.11	5584.93	5913.93	5888.6	5739.23	5545.24	5789.02	5850.48	6678.15	6645.84	6874.8	6309.2	6303.38	6717.14	5239.52	4252.31
A6NHL2	A6NHL2		TUBAL3		1.38365e+06	1.35072e+06	1.3486e+06	1.33088e+06	1.36593e+06	1.27779e+06	1.51453e+06	1.4203e+06	1.39997e+06	1.16697e+06	1.50178e+06	1.56275e+06	1.50394e+06	1.5759e+06	1.47436e+06	1.64777e+06	1.45687e+06	1.80409e+06
A6NHR9	A6NHR9		SMCHD1		238597	236398	235234	240131	235855	233396	239651	241091	243145	232058	239129	241330	234803	242184	242713	243495	239474	241892
A6NHT5	A6NHT5		HMX3		11547.9	11810.8	11769.3	11445.2	10320.3	13119.8	11175.9	11030.2	11657.3	10393.1	10632.2	11676.5	10293.9	11613.1	11532.8	11335.8	11100	11128.1
A6NHX0	A6NHX0		CASTOR2		13706.6	15619	14093.6	15000.3	14001.8	13404.7	15076.6	13242.5	15170	13997.6	13935.7	12298.8	14213.7	13136.1	13981.2	12696.2	13557.4	14079.2
A6NJ78	A6NJ78		METTL15		47225.9	47161.7	45533.9	50118.2	47531.1	52209.1	48512.9	45083.2	47079.4	45633	51281.6	47584.6	49812.1	45815.5	46947.8	48289.8	45337.8	47059.7
A6NKD9	A6NKD9		CCDC85C		18748.6	19556.8	23213.6	20646.9	19518	16683.4	19875.1	21912	20421.8	20779.1	20159.3	20399.5	17742.4	17277.4	17966.5	20542.6	21550.3	18877.3
A7E2V4	A7E2V4		ZSWIM8		11840	14442.2	13934.3	13613	12527.1	13647.1	12927.2	11084.3	13663.2	9200.86	13634.3	11983.2	12891	12867.1	12370.8	12517.2	13191.7	13820.1
A8CG34	A8CG34		POM121C		14853.3	15368.9	15112.5	13005.8	14324.6	13481.2	17078.6	17993	14967.2	15033.1	15214.1	16209.2	12638.4	14182	16977.1	16400.8	17464.4	16219.3
A8MPP1	A8MPP1		DDX11L8		9123.22	8688.76	9336.64	9412.21	9890.34	7470.39	7242.06	8080.1	7498.52	7860.36	7772.94	8843.24	9255.3	6603.54	7759.95	9329.27	8272.39	8274.57
A8MPS7	A8MPS7		YDJC		39043.8	43640.9	38235.8	39173	40119.6	42063.6	44277.3	43621.9	45538.2	37801.2	43252.7	44011.3	40955.4	46551.2	45555.3	43967	45808.2	46914
A8MW92	A8MW92		PHF20L1		20477.6	20560.6	21396.9	22569.4	19310.5	21403.2	16566.7	19374.7	19836.3	16950.8	22162.6	21040.3	19968.4	19311.2	21495.1	20695.5	23180.7	18660.1
A8MWD9	A8MWD9		SNRPGP15		637073	618005	661904	659120	618310	711635	733077	687125	690712	663854	695309	683447	666723	763207	720461	717946	704921	767839
A8MXV4	A8MXV4		NUDT19		32605.2	33050.1	36346.8	32780.9	33488.8	33214.3	34732.6	31782.7	30672.9	33509.7	33747.8	33829.7	37658.8	33149.9	31241.3	31093.8	32342.9	31668.8
A9UHW6	A9UHW6		MIF4GD		16027.2	15933.4	15699.2	16126.4	16070.1	16936.5	15887.9	14601.6	15401.6	15335	15526.5	17501.5	16161.6	15581.5	15445.9	15498	16003.3	16397
B2RUZ4	B2RUZ4		SMIM1		34333.9	34696.9	34335.5	34208.7	34634.6	32381.1	35882.2	36454.5	37744.4	35067.5	35141.9	36643.1	33111.1	37091	36363.1	39326.4	37679.2	38972
C9J7I0	C9J7I0		UMAD1		12694.7	11401.5	8337.85	10647	10939.2	10935.9	11930	12658.3	11948.7	12089.5	11027.1	8461.28	10928.2	13193.1	12280.2	11381.8	12857.7	11256
C9JLW8	C9JLW8		MCRIP1		64349.9	69843.9	71913.9	69084.2	57954.3	63578.6	68752.4	58745.6	65313.4	69267.2	73110.9	68171.3	67255.7	68923.9	66443.3	64689.2	63374.6	68360.3
C9JVW0	C9JVW0		INAFM1		3342.68	4606.93	2834.89	3890.14	3690.38	4010.48	2467.1	3143.92		3036.17	3328.74	3291.29	2486.05	2290.24	2924.92	2723.07	2849.7	
D6VTK4	D6VTK4		STE2		5342.07	5487.48	5249.72	5643.97	5225	6040.63	5625.79	3232.52	4556.99	4571.53	4256.99	4241.08	4282.38	4441.25	4139.94	3985.39	2762.98	4448.38
E9PAV3	E9PAV3		NACA		731865	715303	739338	715004	681684	688746	641352	683727	680988	738868	697325	754290	728109	649145	678887	689757	689369	704551
E9PRG8	E9PRG8		RSMC		255694	248587	234848	217162	244245	251704	247595	247858	253309	252670	234299	250303	242662	244425	282809	265844	273522	308994
L0R819	L0R819		ASDURF		11929.4	13779	12586.8	11267.3	15050.6	9438.52	21665.1	26549.8	20241.6	15873.9	19860.7	13287.7	13975.1	23848.7	23415	27636.6	26817.3	26510
O00115	O00115		DNASE2		26610.1	24861.4	25478.7	28236	24734	26276	29021.3	30125.7	28092.5	28948.2	28690.6	30124.9	27275.8	27329.8	29005.1	29840.1	29111.4	31900.8
O00116	O00116		AGPS		157463	161646	160565	160779	158640	155376	167203	167199	162479	155544	168239	159782	160132	167111	162883	161304	159794	160410
O00124	O00124		UBXN8		3963.62	4125.62	3573.14	4369.09	3540.09	4073.62	3173.64	4881.72	4132.58	4802.97	3082.03	4182.7	4445.8	3222.94	4613.06	4752.68	3752.26	4263.51
O00139	O00139		KIF2A		162536	164637	161225	162301	163443	154089	165555	174732	169538	166789	166419	163872	156792	175361	162153	179883	172964	175817
O00148	O00148		DDX39A		497464	528300	496650	506721	493723	476757	496103	515556	502512	508692	500820	505917	519120	485164	502710	508685	502514	510039
O00151	O00151		PDLIM1		225323	236740	228029	225293	214013	218999	234936	241453	238364	237149	243344	238031	229678	232396	234267	247906	247136	251302
O00154	O00154		ACOT7		141917	149775	148895	142123	145646	153382	154024	160088	153223	144495	156451	153293	149496	159558	158717	155470	160342	154382
O00159	O00159		MYO1C		17646.3	16666.6	17293.4	17921.9	17362.4	17340.5	17635.4	17730.1	16296.1	16811.1	16319	17893.1	17839.8	18210.7	18114.6	18199.9	19213.3	16651.2
O00161	O00161		SNAP23		76658.8	78810.6	80312.9	79068.2	73690.2	75277.4	79636.1	77984.6	73461.8	76270	77593.3	84023.2	77007.5	77981.8	80599.1	83682.6	81960.1	79730.7
O00165	O00165		HAX1		52985	57564.8	52482.9	54955.3	55923.8	52444.8	56322.2	66582.6	60155.7	56042.1	55889.1	52953.2	52554.4	53718.7	58405.4	58920.9	60090.9	57889.4
O00170	O00170		AIP		182762	189358	189051	170885	189818	182678	191645	188270	187288	191577	187242	186414	181514	193614	197422	192961	191859	194981
O00178	O00178		GTPBP1		82023.8	80682.6	80015.7	79000.1	78575.4	77563.3	82922.8	84331.3	83204.3	81001.9	83803.6	85239.4	81127.5	81643.9	86017.8	87248.8	86093.2	85102.5
O00180	O00180		KCNK1		2792.88	3990.92	6538.26	3750.94	4153.66	4259.52	3393.87	4847.31	3396.53	4873.48	2951.67	4878.3	5045.07	3318.3	3206.62	3660.03	2549.19	4494.52
O00186	O00186		STXBP3		55571.2	54930.2	57755.1	55475.1	55003	57463.7	58472.3	54952.9	59218.6	52616.2	57456.2	56439.3	55835.5	59934.6	57141	56208	56038.2	59810.6
O00189	O00189		AP4M1		6034.14	4942.86	5508.86	5289.17	7313.02	5781.58	4454.09	5925.79	5747.5	5014.91	5208.85	6046.82	4727.42	5960.7	7441.47	6097.56	5347.87	5532.1
O00192	O00192		ARVCF		44710.9	44883	42822	42019.4	42014	41877.3	48121.4	44148.9	43967.6	43342.6	49426.2	45245.8	43379	43425.1	44814.1	43926.7	47271	46604.7
O00193	O00193		SMAP		127789	139726	124123	111066	113732	122956	130488	137300	123352	134672	109861	125657	130059	133024	126478	133700	134359	116731
O00203	O00203		AP3B1		67475.6	69319.6	66372.8	70478	67566.3	67010.1	70133.6	67970.7	67933.7	65859.1	69161.1	67777.2	70281.5	71740	66858.8	68329.7	69274.2	67333.8
O00214	O00214		LGALS8		38498.2	38419.5	41777.2	38188.8	41394.2	40187.5	38866.8	33494.5	35057.1	35734.9	35067.3	40964.3	44410.3	36750	37200.8	36972.2	34194.1	37033.4
O00217	O00217		NDUFS8		612329	624929	660081	631234	620605	620421	604848	646953	669772	643874	657901	635986	624050	607562	618248	597234	596392	632314
O00220	O00220		TNFRSF10A		18247.4	17515.8	17433.5	19678.9	19699.3	19996.2	19417	20781	18922	19055.9	20685.6	19692.5	22388.7	21887.5	22427.3	19664.4	22320.6	23744.5
O00221	O00221		NFKBIE		30986.4	27499.3	24797.8	32012.3	26511.6	27975.2	27595.9	28569.5	29364.8	31524.1	26828.5	28944.4	28494.8	26642.9	27600.8	27909.8	27444.4	26506.7
O00231	O00231		PSMD11		488874	503325	484843	484995	479564	472262	523273	511705	525971	484132	529701	510120	483327	526079	539247	524773	524007	530905
O00232	O00232		PSMD12		398755	390958	375273	385023	353960	369038	399604	412108	407320	416929	393594	408804	368678	394192	414580	424607	417414	411193
O00233	O00233		PSMD9		202418	223571	201467	207680	206075	194015	209330	221306	216064	192975	218617	211165	207654	217408	219223	222502	221493	228567
O00244	O00244		ATOX1		196969	193494	207879	193539	201495	200268	202264	183405	199801	178272	204720	194738	198515	208828	202155	197546	188719	202429
O00255	O00255		MEN1		34258.6	35791.7	31144.5	34794.7	32847.3	36179.2	35438.3	33952.8	32856.3	30824.3	35758.1	33601.8	33836.7	36653	33032.2	35761.8	34055.7	34887.6
O00257	O00257		CBX4		26775.9	26170.2	27248.6	25742.6	27895.4	22995.7	24014.3	23690.6	23139.3	24284.1	26457.9	23610.4	25694.5	21248	22303.3	23386	24234.2	23053.2
O00264	O00264		PGRMC1		47348.4	43015	43340.6	48111.3	41894.5	44111.5	44174.3	43479.5	38351.6	42385.2	42579.8	47060.5	43302.7	43289.8	44670.9	43829.4	42861.3	47358.2
O00267	O00267		SUPT5H		201444	204661	198625	207930	189820	190606	202866	206972	206458	208374	205033	201826	196124	202728	199840	204535	203969	202494
O00268	O00268		TAF4		24040.8	22534.7	25141.5	25649	23374.3	27328.9	27032.9	25814.7	25032.3	25447.3	25853.1	27396.8	27140.2	27215.6	26966.7	25284.7	24229	26003.9
O00273	O00273		DFFA		90265.9	86151.1	90089.3	90159.9	89633.4	87365.3	87269.8	88736.9	86472.6	85415.9	88387	87440.5	90041.6	86491	87566.7	88345.7	88092.2	89728.4
O00287	O00287		RFXAP		5557.25	4888.8	5318.94	3659.56	5510.52	5682.19	4718.48	5269.64	5947.13	4621.4	5320.06	5910.28	4599.6	5439.61	5966.86	5240.23	4917.96	5320.15
O00291	O00291		HIP1		27830.8	28596.9	26948	25615.3	26283.5	27168.7	23834.7	24828.9	25253.8	26769	27728.8	26879.1	26903.1	25433.9	24780.4	25554.6	24953.9	26193.3
O00299	O00299		CLIC1		2.1956e+06	2.40013e+06	2.30884e+06	2.3521e+06	2.1949e+06	2.21849e+06	2.32647e+06	2.46132e+06	2.40795e+06	2.33107e+06	2.46115e+06	2.34099e+06	2.28212e+06	2.35845e+06	2.41029e+06	2.55246e+06	2.49935e+06	2.52669e+06
O00303	O00303		EIF3F		104553	108111	107483	112872	101673	109555	107515	116723	113133	114176	115174	112475	97572.8	120786	119228	114795	119142	120220
O00308	O00308		WWP2		13255.2	12383.3	11217.6	13941.8	12703.8	14082.8	14952	15662.1	13223.5	12225.5	15255.8	12633.2	11328.5	15252.9	15872.8	15164.6	14662.4	13955
O00311	O00311		CDC7		11876.8	11867.2	12239.8	11820.2	14224.5	13024.5	13547.2	12895.6	11980.7	12796.3	12204.7	12380.7	12327.1	13317.1	11975	11209.8	11715.6	11860
O00330	O00330		PDHX		54660.3	50972.2	59365.5	57218.8	54100	53130.3	59264	54333.1	58091.2	56476.4	52021.3	59192.7	49043.4	56631.1	55526.2	53517.5	53007.3	56447.1
O00358	O00358		FOXE1		10925	9035.97	11023.1	11551.9	9592.31	12017.8	9864.5	7808.05	9399.25	7741.14	10332	9204.37	11069.2	9478.68	9768.72	7717.63	9264.19	9069.71
O00399	O00399		DCTN6		36983.4	36304.6	36261.6	38660.9	38009.6	39621.9	42654.7	40841.4	38280.4	40005.4	38400.7	38474.9	35341.6	44020.8	41004.9	41145.2	36150	38326.5
O00401	O00401		WASL		7739.79	8636.67	7512.46	8057.75	8363.58	8112.55	11413.5	11579.6	9884.05	10211.1	11118.8	7871.73	10965.4	12648.4	11116	11482.7	12044.2	10043.7
O00410	O00410		IPO5		769988	789688	750986	775411	777455	765886	805090	788893	780920	758839	785396	785686	772644	795501	791092	795774	802235	791934
O00411	O00411		POLRMT		152689	152987	149442	153094	153865	144618	156781	153915	151837	153671	155142	149538	150939	159112	154401	152206	162369	162581
O00418	O00418		EEF2K		36233	36022.9	35537.1	34985.7	33777.5	36631.9	35777.2	38889.1	36863.9	37166.9	36116.8	37177.3	37760.6	35205.8	37011.1	37521.1	37881.5	36308.5
O00422	O00422		SAP18		246390	260102	207895	215489	225145	221518	242238	267108	248431	221699	243017	238111	221018	249061	258609	255466	265411	259148
O00425	O00425		IGF2BP3		701135	704580	735106	717414	685185	681485	700368	723946	722729	693788	714350	743014	709617	713647	730472	717713	746714	718213
O00429	O00429		DNM1L		214199	215057	209251	211409	204118	204135	219554	222552	212592	217418	215569	207886	213522	213115	220967	220264	219462	213878
O00442	O00442		RTCA		98324	100070	106950	101418	103913	100786	101543	99323.3	98250.4	101523	108874	107467	111567	108999	107683	105794	100393	108568
O00443	O00443		PIK3C2A		23515.9	23294.3	20494.5	20849.5	23673.4	23496.2	24931.8	24256	24729.8	23199.5	26710.6	23915.1	24772.2	26288.1	25983.3	24261.9	21916.4	25828.9
