Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.38031e+07	3.2584e+07	3.5066e+07	3.48172e+07	3.55682e+07	3.51119e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	9.31729e+07	9.1233e+07	9.02143e+07	9.26011e+07	9.07703e+07	9.07168e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	2.83531e+06	3.29567e+06	3.08101e+06	3.22272e+06	2.98099e+06	2.93441e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	3	3	3.26689e+06	3.80832e+06	3.5899e+06	3.69829e+06	3.88374e+06	3.83185e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.40854e+07	1.37569e+07	1.54017e+07	1.52866e+07	1.50508e+07	1.49858e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	17	17	7.15709e+06	7.11863e+06	7.49235e+06	7.6797e+06	7.42343e+06	7.33549e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.34939e+08	1.29554e+08	1.31997e+08	1.37043e+08	1.28542e+08	1.29962e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.44264e+07	2.35794e+07	2.44508e+07	2.3995e+07	2.40498e+07	2.4522e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1	3.07898e+07	3.5699e+07		3.3497e+07		
P00803	LEP_ECOLI	lepB	Signal peptidase I	5	5	1.62204e+07	1.54298e+07	1.63206e+07	1.61019e+07	1.63977e+07	1.49898e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.32171e+08	1.33117e+08	1.36653e+08	1.33722e+08	1.3651e+08	1.35096e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	6	6	3.58311e+06	3.05648e+06	3.81439e+06	3.56944e+06	3.26251e+06	3.26101e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.07302e+06	1.15048e+06	1.26994e+06	1.29986e+06	1.07047e+06	1.28431e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	42	42	6.29698e+07	6.34237e+07	6.40498e+07	6.3807e+07	6.50936e+07	6.40495e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	6.71664e+06	6.04526e+06	6.74255e+06	7.24498e+06	6.26544e+06	5.95114e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.07884e+07	1.03747e+07	1.06442e+07	1.06517e+07	1.08652e+07	1.00188e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	986440	1.25148e+06	823419	1.05704e+06		1.06543e+06
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.01719e+06	1.06965e+06	1.13036e+06	962156	710891	1.14148e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.69309e+06	1.66821e+06	1.7777e+06	2.15723e+06	1.67913e+06	1.79287e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	6.21774e+07	6.13928e+07	5.32625e+06	6.07684e+07	9.07356e+06	5.72444e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		9	9	8.93167e+07	8.78337e+07	9.0429e+06	9.26876e+07	8.95594e+06	9.24037e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	3.11197e+06	2.67163e+06	2.92413e+06	2.86417e+06	2.54599e+06	3.08891e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.7463e+07	1.87182e+07	1.778e+07	1.84832e+07	1.80684e+07	1.77232e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	1.96564e+06	2.30842e+06	2.28426e+06	1.84185e+06	2.14644e+06	1.98467e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3		2.70346e+06	2.34303e+06	2.18855e+06	1.93497e+06	1.77876e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	12	12	5.07234e+07	5.00387e+07	5.23793e+07	4.88023e+07	5.24737e+07	5.12158e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	11	11	8.81538e+07	8.92846e+07	8.4929e+07	8.21132e+07	8.708e+07	8.63377e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	39	39	1.18847e+08	1.18761e+08	1.15713e+08	1.17886e+08	1.15224e+08	1.15106e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	43	43	1.26635e+08	1.24596e+08	1.23796e+08	1.27808e+08	1.25037e+08	1.24915e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	33	33	6.31995e+07	6.28061e+07	6.26727e+07	6.14839e+07	6.36417e+07	6.43716e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.0728e+07	2.79345e+07	3.02317e+07	3.0358e+07	2.95902e+07	2.94275e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	39	39	7.25239e+07	6.96012e+07	6.92497e+07	7.20383e+07	7.05046e+07	7.0412e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.92823e+07	7.88554e+07	8.16887e+07	7.85804e+07	8.37228e+07	8.10883e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	9.15284e+07	9.92154e+07	9.77957e+07	9.12627e+07	1.00531e+08	1.01386e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	34	34	1.78289e+07	1.85898e+07	1.78343e+07	1.85548e+07	1.81598e+07	1.82954e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		15	15	7.43328e+07	7.40737e+07	9.1808e+06	7.21908e+07	8.95143e+06	8.32074e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8	5.20481e+07	4.95561e+07	7.97608e+06	4.86117e+07	6.3379e+06	5.08713e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3	5.98638e+07	6.20561e+07	5.87253e+06	6.05976e+07	6.05425e+06	6.85673e+06
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1	1.79456e+07	1.86228e+07	1.97372e+06	2.01222e+07	1.73988e+06	1.68028e+06
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1	3.85437e+07	3.66589e+07		3.84461e+07		
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7	4.85314e+07	4.88062e+07	3.18534e+06	4.78027e+07	3.04352e+06	4.14243e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		6	6	6.75186e+07	6.69859e+07	7.79502e+06	6.8425e+07	7.58802e+06	8.44266e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8	8.08149e+07	8.31894e+07	7.48843e+06	7.83003e+07	7.53897e+06	7.83225e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	9.42584e+08	9.10834e+08	8.76649e+08	9.45584e+08	8.79296e+08	9.02404e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.00498e+09	1.02334e+09	9.91242e+08	9.78821e+08	1.00419e+09	9.88322e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	7.59219e+08	7.74048e+08	8.01378e+08	7.7615e+08	7.93357e+08	8.00765e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		4	4	1.25245e+07	1.21425e+07		1.10316e+07		
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		2	2	9.354e+06	8.87552e+06		9.99466e+06		
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		22	22	1.25342e+08	1.33126e+08	1.42931e+07	1.28687e+08	1.39939e+07	1.4279e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18	7.49472e+07	7.38371e+07	9.34032e+06	7.61691e+07	7.56482e+06	7.72076e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22	6.80701e+07	6.57852e+07	6.86346e+06	6.7219e+07	7.53957e+06	7.05222e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	2.02016e+07	2.0686e+07	2.19798e+07	1.88952e+07	1.65291e+07	1.84409e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	15	15	1.17071e+07	1.11312e+07	1.22476e+07	1.22318e+07	1.19301e+07	1.09768e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	12	12	4.30118e+07	4.41354e+07	4.28999e+07	4.4423e+07	4.35281e+07	4.30059e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.1945e+08	1.20545e+08	1.29166e+08	1.20817e+08	1.29054e+08	1.29426e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	18	17	2.08338e+08	1.99154e+08	2.06614e+08	2.06311e+08	2.03817e+08	2.06524e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.25452e+06	1.15742e+06	1.06474e+06	1.28709e+06	1.03089e+06	1.12287e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	14	14	4.2804e+07	4.09931e+07	4.36057e+07	4.26835e+07	4.36399e+07	4.06457e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.07648e+06	8.80894e+06	9.15082e+06	9.0951e+06	8.90289e+06	8.89233e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.42902e+06	6.07935e+06	5.40102e+06	6.60913e+06	6.21135e+06	5.58624e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.01397e+06	1.22796e+06	1.04675e+06	1.25908e+06	1.14467e+06	1.23417e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	9	9	7.32893e+06	8.06371e+06	7.58828e+06	8.11546e+06	7.75983e+06	7.53617e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.93734e+06	2.64326e+06	2.31431e+06	2.80128e+06	2.36631e+06	2.26175e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.67725e+06	6.94484e+06	6.66235e+06	6.79059e+06	6.21417e+06	7.23861e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.42161e+07	3.46529e+07	3.62601e+07	3.69614e+07	3.68282e+07	3.64208e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.23866e+07	2.58415e+07	3.2383e+07	3.1865e+07	3.25738e+07	3.45612e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.22374e+07	3.04205e+07	3.07599e+07	3.17017e+07	3.21121e+07	2.93018e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		16	16	2.63962e+07	2.6356e+07	2.34743e+06	2.67385e+07	3.1328e+06	2.67114e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	25	25	8.23795e+07	8.42898e+07	8.40739e+07	8.29169e+07	8.5116e+07	8.35426e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	14	14	1.7225e+07	1.73063e+07	1.67944e+07	1.75465e+07	1.72181e+07	1.7302e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.52973e+07	3.44477e+07	3.51633e+07	3.51349e+07	3.78602e+07	3.52755e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.42257e+07	2.56479e+07	2.54622e+07	2.43647e+07	2.42337e+07	2.39098e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	24	24	1.35722e+08	1.32097e+08	1.33614e+08	1.28755e+08	1.32302e+08	1.31887e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	23	23	7.67536e+07	7.57479e+07	7.84851e+07	7.71309e+07	7.71754e+07	7.52978e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	7.74158e+06	7.50436e+06	7.98449e+06	8.04663e+06	7.94487e+06	8.37005e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.99715e+08	3.68826e+08	4.0591e+08	3.87641e+08	4.33609e+08	4.38602e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7	7	3.33549e+07	3.37459e+07	3.43493e+07	3.42341e+07	3.31254e+07	3.51803e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.24221e+06	1.34513e+06	1.41908e+06	1.31927e+06	1.51559e+06	1.43458e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.42339e+06	5.78462e+06	5.9522e+06	5.71965e+06	6.75848e+06	6.85032e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	4	4	2.61617e+06	2.77887e+06	3.30148e+06	2.99756e+06	2.98776e+06	3.53651e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	1.36744e+07	1.35714e+07	1.28779e+07	1.45621e+07	1.29578e+07	1.27372e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.04598e+07	2.00047e+07	1.95682e+07	1.99445e+07	1.89897e+07	1.93479e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.24511e+06	5.50751e+06	5.14283e+06	5.84692e+06	5.68699e+06	5.11039e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	34	34	2.02452e+08	2.03235e+08	1.98979e+08	1.98873e+08	1.97152e+08	1.97173e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	1	1	5.99429e+06	6.01999e+06	5.75227e+06	5.82059e+06	5.93538e+06	6.25356e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.43993e+07	2.37972e+07	2.24202e+07	2.49679e+07	2.47635e+07	2.07817e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		9	9	7.14204e+07	7.44901e+07	9.76715e+06	6.49352e+07	9.03758e+06	9.58189e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	12	12	5.06728e+06	5.00484e+06	5.62611e+06	5.4348e+06	5.33679e+06	5.08036e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	3.27084e+07	3.43222e+07	3.32197e+07	3.37401e+07	3.44493e+07	3.38869e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2	210021	213824	326329	336599	310426	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.65708e+06	9.94798e+06	1.04531e+07	8.52229e+06	8.67987e+06	1.00614e+07
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	2	2	751288	1.00381e+06	1.01644e+06	682701		767843
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	6	6	9.7242e+06	9.19652e+06	1.03963e+07	9.80522e+06	1.08987e+07	9.88397e+06
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.40854e+07	1.418e+07	1.31183e+07	1.32378e+07	1.38208e+07	1.32986e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15	2.39226e+07	2.34191e+07	2.38486e+07	2.33877e+07	2.43248e+07	2.38599e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	17	17	9.33891e+06	9.67364e+06	1.02511e+07	9.21731e+06	9.71778e+06	9.51751e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	7.79073e+06	7.05987e+06	7.94659e+06	7.63286e+06	7.23582e+06	7.63795e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	23	23	5.02862e+07	5.13597e+07	4.99858e+07	4.90912e+07	5.08091e+07	4.97394e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	7.54682e+07	7.30566e+07	6.87734e+07	6.86625e+07	7.71478e+07	8.1808e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	20	20	2.34707e+07	2.31942e+07	2.30766e+07	2.31935e+07	2.20371e+07	2.18294e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	7.29275e+06	7.25307e+06	7.08458e+06	7.11436e+06	6.76891e+06	7.373e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		18	18	3.32834e+07	3.29743e+07	2.62852e+06	3.30945e+07	3.85195e+06	3.43264e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.67449e+07	5.70986e+07	5.51775e+07	5.79644e+07	5.71116e+07	5.6539e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	3	3	1.33114e+06	1.35449e+06	1.11118e+06	1.45446e+06	1.3546e+06	1.39278e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	23	23	2.64941e+07	2.56204e+07	2.62485e+07	2.66051e+07	2.64634e+07	2.58497e+07
P06616	ERA_ECOLI	era	GTPase Era	9	9	7.89067e+06	7.71115e+06	8.77565e+06	7.66726e+06	8.97023e+06	8.73717e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.11406e+06	5.17552e+06	5.3904e+06	5.30587e+06	5.69076e+06	5.60504e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	4.8428e+06	4.54803e+06	4.47668e+06	4.84121e+06	4.53765e+06	5.32069e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.7078e+07	2.56831e+07	2.50928e+07	2.64874e+07	2.37341e+07	2.36814e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	4	4	1.32335e+06	1.6022e+06	1.93851e+06	1.67437e+06	1.53326e+06	
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	3.05361e+06	2.88458e+06	3.23374e+06	3.07328e+06	3.02436e+06	2.41461e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		16	16	4.62224e+07	4.3974e+07	3.99199e+06	4.38099e+07	4.68988e+06	4.59535e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	3.87849e+06	4.19918e+06	4.22989e+06	4.03327e+06	3.93476e+06	3.78595e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	37	37	3.05187e+08	3.01995e+08	3.1113e+08	3.09728e+08	3.12743e+08	3.09978e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	1.35504e+07	1.30343e+07	1.39603e+07	1.38957e+07	1.31172e+07	1.34855e+07
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.61639e+07	8.25982e+07	8.68588e+07	8.70283e+07	8.91786e+07	8.79737e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	18	18	7.12564e+07	7.23059e+07	7.47011e+07	7.30119e+07	7.28231e+07	7.3681e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	7	7	8.18431e+06	8.53909e+06	8.35744e+06	8.53563e+06	8.35784e+06	8.31986e+06
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	5.26671e+07	5.48039e+07	5.68319e+07	5.31002e+07	5.60633e+07	5.49002e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	8	8	1.24867e+07	1.26244e+07	1.29032e+07	1.31311e+07	1.21484e+07	1.26399e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	4.97652e+06	5.16112e+06	4.87797e+06	4.85079e+06	4.93124e+06	4.73113e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	3.77231e+06	3.85542e+06	3.60836e+06	3.78948e+06	3.73184e+06	3.07064e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.47554e+08	1.43861e+08	1.40756e+08	1.47042e+08	1.40189e+08	1.45619e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	2	2	4.56558e+06	4.31574e+06	4.29095e+06	3.98894e+06	4.23186e+06	3.1211e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.30847e+09	1.22478e+09	1.33257e+09	1.27118e+09	1.32607e+09	1.40073e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	6	6	5.40909e+06	5.05724e+06	5.3112e+06	5.43894e+06	5.285e+06	5.02134e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.4143e+06	2.34599e+06	2.14883e+06	1.73369e+06	2.08635e+06	1.93313e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.39967e+07	2.45989e+07	2.32269e+07	2.30971e+07	2.34427e+07	2.39172e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.15398e+07	1.19202e+07	1.1839e+07	1.27441e+07	1.1844e+07	1.15052e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.28735e+07	3.28602e+07	3.40381e+07	3.33728e+07	3.38492e+07	3.25975e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17	6.69898e+07	6.47712e+07	6.48784e+07	6.48688e+07	6.2404e+07	6.50182e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.14315e+07	2.17706e+07	2.24133e+07	2.14644e+07	2.08419e+07	2.20781e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	16	14	6.59754e+07	6.56727e+07	6.22388e+07	6.73602e+07	6.42361e+07	6.23287e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.38294e+06	4.36516e+06	4.38201e+06	4.42422e+06	3.89507e+06	4.08675e+06
P07023	TYRA_ECOLI	tyrA	T-protein	9	9	6.32772e+06	6.59808e+06	6.52043e+06	6.91612e+06	6.70279e+06	6.46151e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.3117e+07	2.29484e+07	2.33877e+07	2.37926e+07	2.37468e+07	2.30961e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	2	2	4.8862e+06	5.18074e+06	5.10351e+06	5.41972e+06	5.3738e+06	5.22483e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1	1.38722e+06	1.79958e+06		1.30736e+06	1.07347e+06	1.58458e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	47	47	1.17856e+08	1.20048e+08	1.18374e+08	1.19161e+08	1.15275e+08	1.15035e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	4	4	3.11825e+06	3.25511e+06	3.48283e+06	3.2357e+06	3.56856e+06	3.35843e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.12825e+07	1.0815e+07	1.1373e+07	1.04494e+07	1.10972e+07	1.14572e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	322281			362498	264542	314784
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	8.72949e+07	8.61785e+07	8.70258e+07	8.62278e+07	8.7627e+07	8.92963e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	10	10	7.03665e+06	7.63631e+06	7.72896e+06	6.86284e+06	7.45078e+06	7.35308e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.62666e+07	1.60927e+07	1.69679e+07	1.61103e+07	1.64576e+07	1.67586e+07
