protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P61320	11655037.025764871	11648293.233645117	11802507.915241033	12678802.009194916	12551497.43058009	12786941.092172945	P61320	P61320		lolB	0	0.0005146559413685784	-0.11494284457533456	False	0.0002899314707432789	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P77717	3338869.237977283	3457451.324456247	3341785.091764999	2775149.4755184297	2848602.756697757	2685307.710417829	P77717	P77717		ybaY	0	0.0006800663281023963	0.28703093417846137	False	0.00031628887717448606	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9X9	81506759.40371947	79153177.75269765	78939085.16224547	67303322.783076	66125734.86184245	65968930.4410175	P0A9X9	P0A9X9		cspA	0	0.0007353821297553389	0.26497116813571503	False	0.00034264628360569324	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P00579	41751557.429889046	41586888.40075234	41892936.35128216	43832835.09091147	43458330.84678891	43401718.11746784	P00579	P00579		rpoD	0	0.0007718298354400995	-0.06158445393801816	False	0.0003690036900369004	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7L3	95103077.85903355	96845290.06122436	93900941.01624784	85535406.04403035	82646174.58904055	82401186.37033443	P0A7L3	P0A7L3		rplT	0	0.0009896700159572878	0.18996760092870943	False	0.00039536109646810753	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A8P6	18711.32851529622	11832.611330000003	66081.32928569058	962273.4866633425	996626.4446864248	841002.7193267852	P0A8P6	P0A8P6		xerC	3	0.001016658658103339	-4.856832329615595	False	0.0004217185028993147	False	True	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	546778.5891173367	663907.2376527862	560309.410185175	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			3	0.001164672093283091	-4.196015994388829	False	0.00044807590933052194	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	775555.8033965458	919415.8909262306	917217.2669927768	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			3	0.0012594078617524575	-4.756714925153473	False	0.00047443331576172906	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0A858	207871540.231983	209667398.30578616	214265846.60735065	230087390.59016365	229119643.75142983	234254291.5405037	P0A858	P0A858		tpiA	0	0.0013244242954665608	-0.13433656237928737	False	0.0005007907221929363	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9L3	64158007.07912281	64278828.99681977	65990375.34200308	60070561.2435906	58653059.64490232	58472852.105140485	P0A9L3	P0A9L3		fklB	0	0.001972549141971588	0.13388026005038534	False	0.0005271481286241434	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P10903	3156655.442467116	3119575.42799003	3248569.5586169357	3509079.000093494	3513427.379804025	3611235.560964952	P10903	P10903		narK	0	0.002041600361613452	-0.1588885911224467	False	0.0005535055350553505	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P60785	47169918.67802911	47641594.15327402	47155184.38367492	45469691.43649153	45414150.61661461	45977919.71606071	P60785	P60785		lepA	0	0.0022027251963414405	0.052833115739998764	False	0.0005798629414865578	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	507302.3553571131	640466.5655318549	527980.577164682	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)			3	0.0022812117044515128	-4.11626216409027	False	0.000606220347917765	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0AB77	72671928.38944581	70285344.57228641	70466756.60496138	79693574.33348125	77803965.09744081	77400741.38051447	P0AB77	P0AB77		kbl	0	0.002418730271532148	-0.13831353510888833	False	0.0006325777543489721	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	5009343.354009702	4730330.817456794	4188891.870886005	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			3	0.0026082507555021043	-7.171430496181365	False	0.0006589351607801792	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0AFX0	1692990.3019139534	1857965.237773602	1731759.04214148	1371426.1924619144	1252837.7377803137	1297999.4678376743	P0AFX0	P0AFX0		hpf	0	0.0026649336602515452	0.42959304265642645	False	0.0006852925672113865	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AFK9	36915133.83740417	37733844.38758262	37469130.31172259	35637119.071465746	34934007.47972761	34947537.129646644	P0AFK9	P0AFK9		potD	0	0.002789991809321049	0.08752111192004865	False	0.0007116499736425936	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	771283.1639738637	803525.8716564433	959366.7180130928	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			3	0.0028698196361040896	-4.712972246103648	False	0.0007380073800738008	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P33219	756532.0777644186	716987.2439981853	736794.7102781488	643436.0498714497	615337.6716851192	651646.9777784226	P33219	P33219		yebF	0	0.0032455404028070003	0.21036098282439306	False	0.000764364786505008	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P02358	301505207.1054716	309371495.3508491	311409712.0519064	346973683.89355254	349317553.0030752	346458307.70219666	P02358	P02358		rpsF	0	0.0032548899930847927	-0.17710593026941895	False	0.0007907221929362151	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	801642.6602422225	694565.3139689593	616579.5828758876	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.0034069585249883708	-4.450603372512614	False	0.0008170795993674223	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0AEK4	170397799.16413644	168509332.1310584	165238211.2321648	178451611.1459098	180956617.1320822	182059793.13414025	P0AEK4	P0AEK4		fabI	0	0.0036530016315172126	-0.10303642084597446	False	0.0008434370057986294	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P31475	4206306.265905917	4092989.440941946	4105240.587731837	3831234.4607621823	3886026.862680496	3801796.6851043855	P31475	P31475		yieP	0	0.0037895276110847453	0.10684506287201605	False	0.0008697944122298367	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A8B5	3996122.820623032	3798656.843961186	3868714.615366933	4754137.289333551	4570927.699730743	4452564.837914857	P0A8B5	P0A8B5		ybaB	0	0.0042460655076566635	-0.24032764979125626	False	0.0008961518186610439	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ADT5	12945016.919444151	13487191.215009095	12891777.506209193	14964070.926809922	14314962.047592811	14645951.085318835	P0ADT5	P0ADT5		ygiC	0	0.004556884389498247	-0.1596322107752335	False	0.0009225092250922509	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AEE8	414615.73426068615	376323.00000000006	383286.5692627589	306929.3442983368	277641.624234629	256962.540633013	P0AEE8	P0AEE8		dam	0	0.004588982973252945	0.4806166262129244	False	0.0009488666315234581	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AA16	36607389.3139014	36072042.58770835	37167038.16961256	38831648.11376562	38666373.08676451	39498749.26950663	P0AA16	P0AA16		ompR	0	0.004821764472406014	-0.0909801974699754	False	0.0009752240379546654	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P67826	2613493.8334583407	2775968.3852727395	2637568.212190686	3120045.085620958	3001741.015940491	3043858.672571985	P67826	P67826		cutC	0	0.005162240765170814	-0.19137000641759433	False	0.0010015814443858726	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9S5	68734663.29395784	68768039.14670645	69978502.12512198	64474289.618726365	65929154.55863409	66026535.35469942	P0A9S5	P0A9S5		gldA	0	0.005316699948786805	0.07896551721024066	False	0.0010279388508170797	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6T3	15595028.514945362	15847767.133842615	15837958.814192329	16269336.329748342	16492232.412848938	16325527.135707162	P0A6T3	P0A6T3		galK	0	0.005446803612064039	-0.054090758690325716	False	0.0010542962572482868	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7R9	345407818.7871041	346573050.8046081	347968073.9676862	362824467.8298533	368857608.8679047	363238139.0182563	P0A7R9	P0A7R9		rpsK	0	0.005527438082402477	-0.07431304704379248	False	0.0010806536636794942	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AF20	5267350.909803423	5126194.413881326	5109113.255060144	4654387.9151057	4646475.751934004	4698343.340766422	P0AF20	P0AF20		nagC	0	0.005741014030793121	0.14717053978723516	False	0.001107011070110701	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7J7	248381488.8677544	240445152.5333117	248697910.3150265	269010338.6851615	263578379.98904392	264080103.69216052	P0A7J7	P0A7J7		rplK	0	0.005910556847500496	-0.1112890396067338	False	0.0011333684765419082	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	176886.50816951628	267039.3400116832	245657.55508898725	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			3	0.0061305727094809305	-2.835252619899202	False	0.0011597258829731155	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P37665	23609461.08445116	23598013.132658083	23453429.978140745	24035842.413635008	23861627.408551723	23908061.313113995	P37665	P37665		yiaD	0	0.006219696829085034	-0.023182767781855886	False	0.0011860832894043227	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P68206	2911758.511866379	3007826.815909848	2697318.2745548533	3643900.678441342	3746950.356017105	3649367.979266001	P68206	P68206		yjbJ	0	0.006853285126150645	-0.35752734271269376	False	0.00121244069583553	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P45578	57540247.57655428	60909279.74290917	57983655.57825964	68580187.94719839	72546052.16744664	74885543.40604301	P45578	P45578		luxS	0	0.006985655438728587	-0.29198809093070266	False	0.001238798102266737	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AE12	4873960.02766824	4896592.670069078	4833548.216077305	4637833.723233617	4655021.617695047	4542863.964168767	P0AE12	P0AE12		amn	0	0.0071447959327208925	0.07797589273269907	False	0.0012651555086979442	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6P1	862783986.1155809	870883935.9899538	864108102.8172371	921605111.3865782	947679980.1518372	940666556.5349264	P0A6P1	P0A6P1		tsf	0	0.007195298647660783	-0.11326825579393847	False	0.0012915129151291514	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9Q1	106844997.74940884	105676339.28223124	107255590.40421893	116363123.08511096	112977989.28944775	116064400.21379584	P0A9Q1	P0A9Q1		arcA	0	0.0073523584046831835	-0.11122525896033551	False	0.0013178703215603585	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A8J8	44414290.69499653	43904047.048735246	44098300.27353063	45970935.76024693	45725229.680505775	46645968.76616455	P0A8J8	P0A8J8		rhlB	0	0.007453116337491032	-0.06315621147835576	False	0.0013442277279915658	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P24173	707855.8714253858	726005.3429653547	705103.0144678392	581086.8865676069	559647.6157148713	614617.0768997668	P24173	P24173		rfaC	0	0.00766859109668499	0.28515233896885706	False	0.001370585134422773	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P00363	247856528.7544817	249403688.68544924	251376031.04962495	260968321.00803772	259787984.82511908	265747875.15976325	P00363	P00363		frdA	0	0.007957128033161936	-0.0711895306094737	False	0.00139694254085398	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P76049	2356691.2812265344	2482359.500000002	2400720.1110922387	2086206.332553845	2187361.9512331206	2202647.8986413344	P76049	P76049		ycjY	0	0.008003354764479978	0.1607928979084017	False	0.0014232999472851872	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37902	5229149.796539088	5448428.7812540885	5318963.82466951	4631348.782312191	4815279.401459069	4920525.005958028	P37902	P37902		gltI	0	0.00829566011320681	0.15498588102377903	False	0.0014496573537163943	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0CE47	6520320284.87974	6346622535.452684	6610621743.48009	6896004365.795519	7063703167.308428	7189814959.41458	P0CE47	P0CE47		tufA	0	0.008568269602939643	-0.11881179402348767	False	0.0014760147601476016	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	66081.32928569058	1536639.4671232488	1110831.8305074228	1199181.7233999148	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			3	0.009647147379666852	-5.315059362718927	False	0.0015023721665788088	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0ACF8	186831762.2847452	184856862.7091881	182321675.12280795	174378027.69978857	171338309.27266246	177211735.67606416	P0ACF8	P0ACF8		hns	0	0.00983153772794462	0.08330027770723479	False	0.001528729573010016	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AE82	7214577.574592445	7064778.579287223	6996928.960824934	6687259.788974132	6789549.470149562	6629712.439124642	P0AE82	P0AE82		cpxA	0	0.01008181836506037	0.08158274909679897	False	0.001555086979441223	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AGK4	26651633.02627536	27024010.900806576	27238352.65042857	25072648.91707445	25733408.2578036	24768042.46759952	P0AGK4	P0AGK4		yhbY	0	0.010112369105518828	0.09849739665334026	False	0.0015814443858724301	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6X7	82747235.44877662	80446959.13562874	82806455.22646618	77980209.13848625	74848283.73639587	75161101.74893562	P0A6X7	P0A6X7		ihfA	0	0.01030208209762539	0.10969414472245356	False	0.0016078017923036375	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0C0S1	17761528.938117374	17069791.287350502	17347689.21874841	16108690.20211592	16301464.125520734	15923602.283932408	P0C0S1	P0C0S1		mscS	0	0.010413676847416476	0.11043842785872827	False	0.0016341591987348446	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A805	72139959.01043679	73517443.12701124	70673925.49260963	75782492.05117086	78066242.16452168	77078100.96767525	P0A805	P0A805		frr	0	0.011013140229633633	-0.09419323159330686	False	0.001660516605166052	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ACN7	1800254.8627697895	1702316.8056561423	1681649.790433467	1546223.8861694434	1414178.276005071	1506970.7045710904	P0ACN7	P0ACN7		cytR	0	0.011279435479964713	0.21470067499637654	False	0.0016868740115972588	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P07023	7409369.713486828	7281249.920150678	7365951.85255011	7631106.633148756	7567266.037591631	7524320.012003401	P07023	P07023		tyrA	0	0.011286176996171496	-0.042925253906482	False	0.001713231418028466	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	18711.32851529622	980965.6999443966	970797.1082542312	3097591.1773704374	2678054.329079864	2767997.035213101	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			1	0.011557076175146888	-2.1163084735900304	False	0.0017395888244596733	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0AEN8	10811471.79557454	11028335.447099956	10691636.171269152	10337197.452663872	9975032.602868425	9912119.96835062	P0AEN8	P0AEN8		fucU	0	0.011597876050074325	0.1061235213221893	False	0.0017659462308908804	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0C037	12353015.782768603	11555836.026249556	11805585.38703566	13387787.647480613	13540101.588685876	13096917.22234868	P0C037	P0C037		yaiE	0	0.011629761556107798	-0.1643870396712435	False	0.0017923036373220878	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ABZ6	77869139.52986138	75332401.28119846	77398411.71294208	82586728.21210206	82991751.28077422	82100270.7481712	P0ABZ6	P0ABZ6		surA	0	0.011706788173188066	-0.10307788097020981	False	0.0018186610437532947	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P69441	205484472.7945651	209002771.43269724	208991047.48215	216832964.1415576	221815746.8055772	224131390.8334669	P69441	P69441		adk	0	0.011894693520702692	-0.08819096098781577	False	0.0018450184501845018	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AFL3	18775474.649855528	17923791.099054907	18303185.133871663	16901174.121031187	16590516.790394736	16598394.395228771	P0AFL3	P0AFL3		ppiA	0	0.012106587291952907	0.13497083726654086	False	0.0018713758566157091	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P25745	21258335.0012094	20964677.69406604	20872823.705450736	21652825.59667318	21856193.71449196	21659589.36219382	P25745	P25745		mnmA	0	0.012169119990797152	-0.04663238718202156	False	0.0018977332630469163	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AAJ8	8859960.53818691	8608765.133188011	8738879.54541396	8372564.211714275	8377013.135782245	8175382.702744708	P0AAJ8	P0AAJ8		hybA	0	0.012403135532822034	0.07239433767419191	False	0.0019240906694781236	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
Q46948	11988039.4252082	11716901.576754294	11682165.487457916	11006246.498234687	11330366.30916596	10921439.9954605	Q46948	Q46948		yajL	0	0.012410421160252743	0.0895200972223343	False	0.0019504480759093307	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A812	3629905.623837304	3638372.061756718	3486963.8799498114	4280391.951345958	3994852.049948576	4042457.879469029	P0A812	P0A812		ruvB	0	0.012758561550826787	-0.1956931884359445	False	0.0019768054823405376	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	18711.32851529622	11832.611330000003	292783.0169948432	856575.4558358361	901210.2630069676	870000.4604762634	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			2	0.012852006548665678	-3.022782189733708	False	0.002003162888771745	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
