Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.87368e+07	4.00496e+07	4.04846e+07	3.93277e+07	4.05232e+07	3.94614e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	27	27	1.01243e+08	9.63801e+07	9.91823e+07	9.94973e+07	9.85956e+07	9.77446e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2		3.92313e+06	3.66017e+06	3.87693e+06	3.5618e+06	3.65914e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.9155e+06	3.55409e+06	4.02518e+06	4.29671e+06	3.66122e+06	4.00132e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	12	12	1.61561e+07	1.45899e+07	1.56891e+07	1.56021e+07	1.60071e+07	1.58591e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	8.1443e+06	8.34204e+06	8.65554e+06	8.46686e+06	8.52065e+06	8.16732e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	8.69935e+07	8.95788e+07	8.85784e+07	9.51309e+07	9.1319e+07	9.39889e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.34563e+07	2.30905e+07	2.38236e+07	2.38629e+07	2.34584e+07	2.39696e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.43261e+07	1.37793e+07	1.40173e+07	1.43203e+07	1.32591e+07	1.31334e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.33415e+08	1.29768e+08	1.35755e+08	1.32186e+08	1.32808e+08	1.34868e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	5.52567e+06	5.119e+06	5.84276e+06	5.81228e+06	5.17413e+06	6.0833e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.61067e+06	1.44714e+06	1.25478e+06	724441	1.785e+06	1.26599e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	39	39	6.47651e+07	6.31889e+07	6.44165e+07	6.53347e+07	6.32913e+07	6.52286e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	7.62295e+06	8.31795e+06	7.61211e+06	8.28044e+06	7.4846e+06	8.51788e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.0418e+07	1.00214e+07	1.05093e+07	1.08542e+07	1.09274e+07	1.08681e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2			195579		181709	178410
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	900373	843498	1.03605e+06	901027	948849	
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.06427e+06	1.05217e+06	1.07727e+06	1.02721e+06	1.05605e+06	1.04345e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		6	6		7.71594e+06		7.79815e+06		7.8358e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		7	7		1.85018e+07		1.81525e+07		1.94121e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.75326e+06	1.6325e+06	1.95043e+06	1.52848e+06	1.92883e+06	1.94469e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.84813e+07	1.94446e+07	1.91898e+07	1.97434e+07	1.90715e+07	1.91465e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.2521e+06	2.1371e+06	1.96302e+06	2.71384e+06	1.87179e+06	1.95721e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2		3.18179e+06			3.0709e+06	3.24741e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.39154e+07	5.19453e+07	5.23926e+07	5.03882e+07	5.53036e+07	5.37796e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	13	13	8.21209e+07	8.25919e+07	8.2045e+07	8.87037e+07	8.07188e+07	9.00306e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	37	37	1.13139e+08	1.15825e+08	1.12867e+08	1.193e+08	1.14939e+08	1.19307e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	42	42	1.27949e+08	1.2851e+08	1.26846e+08	1.31062e+08	1.26276e+08	1.31514e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	32	32	6.24254e+07	6.23416e+07	6.20366e+07	6.17598e+07	6.18872e+07	6.29491e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.17773e+07	3.02158e+07	3.262e+07	2.87133e+07	3.30802e+07	3.00172e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.83737e+07	7.68949e+07	7.70916e+07	7.80326e+07	7.70817e+07	7.69228e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	27	27	7.62446e+07	7.99078e+07	7.46807e+07	7.92148e+07	7.55694e+07	7.93379e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.07592e+08	1.12878e+08	1.11965e+08	1.12336e+08	1.02005e+08	1.08304e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	31	31	1.96914e+07	1.93423e+07	1.94055e+07	1.96914e+07	1.97787e+07	1.97131e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		8	8		1.5021e+07		1.50799e+07		1.55914e+07
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		5	5		8.77334e+06		9.74952e+06		9.11288e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2		1.34219e+07		1.39522e+07		1.4286e+07
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		4	4		8.6376e+06		8.09149e+06		8.3193e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		4	4		1.4537e+07		1.38566e+07		1.44776e+07
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		5	5		1.35024e+07		1.47902e+07		1.40459e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	8.59793e+08	9.25238e+08	8.55373e+08	1.00428e+09	8.77152e+08	9.79777e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.00066e+09	9.99441e+08	9.9281e+08	1.02043e+09	9.76311e+08	9.98742e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	8.21263e+08	8.0093e+08	8.2323e+08	8.33311e+08	8.19676e+08	8.43305e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		11	11		2.4429e+07		2.46758e+07		2.5682e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		10	10		1.45982e+07		1.58792e+07		1.57591e+07
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		13	13		2.17735e+07		2.05147e+07		2.17035e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	4.01075e+07	4.18114e+07	4.40761e+07	4.00304e+07	3.93694e+07	4.19807e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	3.23832e+07	3.38635e+07	3.4894e+07	3.58937e+07	3.40062e+07	3.3634e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	14	14	3.99137e+07	4.19129e+07	4.06436e+07	4.04935e+07	4.04752e+07	3.95181e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.22171e+08	1.1915e+08	1.19079e+08	1.18491e+08	1.16663e+08	1.20856e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	17	16	2.00005e+08	1.87042e+08	1.99533e+08	1.89696e+08	1.91869e+08	1.8584e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.29978e+06	1.51626e+06	1.11617e+06	1.45466e+06	1.19907e+06	1.41528e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	12	12	4.05115e+07	4.39875e+07	4.32672e+07	4.54526e+07	4.28552e+07	4.52332e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.48849e+06	8.94568e+06	7.94638e+06	9.02898e+06	8.98648e+06	8.50746e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.69295e+06	6.78507e+06	7.06764e+06	6.70112e+06	7.01734e+06	6.58571e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	1	1	1.06475e+06	1.25547e+06	1.38985e+06		1.33443e+06	1.25982e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	7.71823e+06	7.19718e+06	7.88751e+06	7.8101e+06	7.6428e+06	7.66938e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	4	4	2.63842e+06	2.09283e+06	2.66916e+06	2.00871e+06	2.50602e+06	1.79628e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	7.12503e+06	6.37127e+06	7.32018e+06	7.21865e+06	6.20154e+06	7.58023e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.71756e+07	3.68247e+07	3.80156e+07	3.80646e+07	3.7404e+07	3.61847e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.1704e+07	3.04237e+07	3.18582e+07	3.04972e+07	3.09503e+07	3.18475e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.22598e+07	3.22421e+07	3.00969e+07	3.25184e+07	3.19735e+07	3.3012e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		4	4		2.28967e+06		2.05408e+06		2.26742e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.42453e+07	8.34492e+07	8.21224e+07	8.29648e+07	8.24842e+07	8.30826e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	12	12	1.82792e+07	1.80794e+07	1.85415e+07	1.8471e+07	1.72838e+07	1.92452e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.23325e+07	3.50497e+07	3.47202e+07	3.42659e+07	3.61531e+07	3.38884e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.45555e+07	2.38265e+07	2.47959e+07	2.50765e+07	2.49285e+07	2.63546e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	22	22	1.41258e+08	1.40649e+08	1.40011e+08	1.43114e+08	1.4199e+08	1.44139e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	27	27	8.1354e+07	8.10848e+07	8.03425e+07	8.05716e+07	8.36676e+07	7.92946e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	8.07627e+06	7.46265e+06	7.81449e+06	7.84587e+06	7.75462e+06	8.02775e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.86485e+08	3.90225e+08	3.89237e+08	4.01594e+08	3.84728e+08	4.04583e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.55517e+07	3.67593e+07	3.71912e+07	3.67792e+07	3.65779e+07	3.64019e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	3	3	1.86425e+06	1.81933e+06	1.62834e+06	1.62161e+06	1.74709e+06	1.85033e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	4.22832e+06	4.29827e+06	4.43091e+06	4.80232e+06	4.43434e+06	4.73165e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	4.66118e+06	3.80069e+06	4.86707e+06	3.05405e+06	4.2772e+06	3.62293e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	9.95375e+06	9.33301e+06	9.09124e+06	9.66664e+06	9.95267e+06	9.54245e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.81602e+07	1.80217e+07	1.76244e+07	1.81021e+07	1.78891e+07	1.85294e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	4.78019e+06	5.2566e+06	5.31144e+06	5.21045e+06	4.94523e+06	5.77029e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	36	36	1.96787e+08	1.99378e+08	1.93893e+08	2.02775e+08	1.94839e+08	1.99681e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	1	1	5.81963e+06	7.03509e+06	6.29722e+06	7.28958e+06	6.08477e+06	6.42913e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.17748e+07	2.08274e+07	2.20687e+07	2.24519e+07	2.13933e+07	2.3054e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		5	5		1.56531e+07		1.65534e+07		1.71306e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	5.73222e+06	5.86529e+06	6.25623e+06	6.07167e+06	5.74429e+06	5.96478e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	16	16	2.69964e+07	2.77172e+07	2.78576e+07	2.98112e+07	2.78817e+07	2.96089e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2				1.2769e+06		1.32034e+06
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	7.64884e+06	8.14083e+06	8.47334e+06	9.2815e+06	8.56067e+06	9.33338e+06
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.08411e+07	1.14923e+07	1.16773e+07	1.11021e+07	1.09804e+07	1.05481e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	14	14	1.31567e+07	1.27906e+07	1.34484e+07	1.34094e+07	1.34088e+07	1.35859e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	14	14	2.22071e+07	2.2597e+07	2.2635e+07	2.25499e+07	2.29484e+07	2.23531e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	9.49284e+06	9.80943e+06	9.63489e+06	9.96363e+06	9.77784e+06	9.87195e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.44219e+06	8.18934e+06	9.35852e+06	9.16698e+06	8.56321e+06	8.66287e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	25	25	5.17161e+07	4.91019e+07	5.10833e+07	5.17143e+07	5.01103e+07	5.03989e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	2.4149e+07	2.21387e+07	3.26145e+07	2.73809e+07	2.66828e+07	2.75684e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	21	21	1.92982e+07	1.91032e+07	1.93862e+07	1.9865e+07	1.81167e+07	1.88791e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	6.7933e+06	7.39076e+06	7.44049e+06	7.65347e+06	7.83393e+06	7.03184e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		11	11		6.29202e+06		6.69976e+06		6.75117e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	6	6	5.0479e+07	5.04329e+07	5.11277e+07	5.0151e+07	4.94431e+07	4.95979e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.14246e+06	989821	1.2639e+06			1.06617e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	23	23	2.66234e+07	2.60216e+07	2.74459e+07	2.59262e+07	2.72332e+07	2.69658e+07
P06616	ERA_ECOLI	era	GTPase Era	9	9	1.13149e+07	1.11742e+07	1.17712e+07	1.07128e+07	1.22232e+07	1.05362e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.80738e+06	5.95044e+06	5.58556e+06	5.36782e+06	6.55195e+06	5.39946e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	5.1074e+06	5.22421e+06	5.40197e+06	4.8371e+06	5.32478e+06	4.94675e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	2.37321e+07	2.3146e+07	2.31593e+07	2.31692e+07	2.29621e+07	2.37318e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	4	4	4.48219e+06	4.09537e+06	4.27803e+06	4.7024e+06	4.36093e+06	5.04964e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	3.42204e+06	3.29423e+06	3.03765e+06	3.21229e+06	3.19085e+06	3.10412e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		12	12		8.90533e+06		9.22119e+06		9.30876e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	4.4216e+06	4.68986e+06	4.96266e+06	4.5988e+06	4.79739e+06	4.40734e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	37	37	3.05324e+08	3.02e+08	3.0088e+08	3.12605e+08	2.99908e+08	3.13571e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	8	8	5.91021e+06	4.82972e+06	5.59428e+06	5.6002e+06	5.62899e+06	4.84911e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.65958e+07	7.59763e+07	8.28789e+07	7.67048e+07	8.03068e+07	7.77788e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.69366e+07	7.66949e+07	7.56092e+07	7.43702e+07	7.52236e+07	7.483e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	8.44815e+06	8.21955e+06	8.22617e+06	8.10421e+06	8.30338e+06	7.84735e+06
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	6.12699e+07	6.15841e+07	6.0931e+07	6.19194e+07	6.03325e+07	6.15378e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.35888e+07	1.41326e+07	1.4439e+07	1.43099e+07	1.34388e+07	1.40409e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	3.07762e+06	3.27842e+06	3.07778e+06	3.32066e+06	3.25377e+06	3.35204e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.96421e+06	4.54182e+06	4.7007e+06	4.74608e+06	4.8572e+06	5.05041e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.27834e+08	1.17009e+08	1.27385e+08	1.18541e+08	1.29324e+08	1.28496e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	3.13378e+06	3.12721e+06	3.60535e+06	2.84723e+06		3.61981e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	19	16	1.34441e+09	1.29556e+09	1.30418e+09	1.3158e+09	1.29773e+09	1.32226e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	4	4	5.45246e+06	5.11772e+06	5.45712e+06	5.22563e+06	5.08335e+06	5.25135e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.15073e+06	2.16317e+06	2.03849e+06	2.08823e+06	2.29025e+06	2.41575e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	1.19841e+07	1.28435e+07	1.31094e+07	1.23975e+07	1.3087e+07	1.3161e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.28323e+07	1.31324e+07	1.16482e+07	1.24413e+07	1.32026e+07	1.23662e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	13	13	3.11676e+07	3.11217e+07	3.18997e+07	3.12109e+07	3.23657e+07	3.11363e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17	6.48575e+07	6.36027e+07	6.35064e+07	6.37489e+07	6.45978e+07	6.19867e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	8	8	2.11676e+07	2.04577e+07	2.18156e+07	2.06302e+07	2.20697e+07	2.0791e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	15	13	6.38028e+07	6.47959e+07	6.39943e+07	6.65028e+07	6.20211e+07	6.68552e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	3.51134e+06	4.49767e+06	3.74025e+06	3.97928e+06	3.74231e+06	4.29896e+06
P07023	TYRA_ECOLI	tyrA	T-protein	9	9	7.03859e+06	7.35466e+06	6.91639e+06	6.88128e+06	6.71294e+06	6.58221e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.56315e+07	2.45882e+07	2.56811e+07	2.49401e+07	2.43154e+07	2.50976e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	4.98262e+06	4.98832e+06	4.96487e+06	4.931e+06	5.11009e+06	4.79557e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	48	48	1.07902e+08	1.07925e+08	1.07651e+08	1.09796e+08	1.0863e+08	1.09703e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	2.54978e+06	2.60074e+06	2.45999e+06	2.81899e+06	2.65395e+06	2.3882e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.03306e+07	1.04912e+07	1.07896e+07	1.05093e+07	1.09066e+07	9.97904e+06
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	3	3	2.57637e+06		2.63518e+06	2.59605e+06		2.59647e+06
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	34	34	9.32671e+07	8.87792e+07	9.27338e+07	9.28246e+07	9.26279e+07	9.24797e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	9	9	8.0543e+06	7.95126e+06	8.5009e+06	8.51011e+06	9.03844e+06	7.86552e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.72371e+07	1.78567e+07	1.83933e+07	1.71868e+07	1.78076e+07	1.74522e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	937649	1.30605e+06	1.1313e+06	1.24031e+06	1.21469e+06	1.11165e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	5	5	3.28102e+06	2.48137e+06	3.2989e+06	2.82976e+06	3.51791e+06	2.67666e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	22	22	3.14266e+07	3.02343e+07	3.16159e+07	3.04014e+07	3.08802e+07	3.10349e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	12	12	4.06039e+06	3.64636e+06	3.72375e+06	3.77649e+06	3.80586e+06	3.65801e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	18	18	1.05511e+07	1.12404e+07	1.1467e+07	1.07529e+07	1.11859e+07	1.06429e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	32	32	9.85305e+07	1.00861e+08	9.9571e+07	9.99868e+07	1.01184e+08	1.02635e+08
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	1	1			2.80952e+06		3.62942e+06	
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	1	1	1.1778e+06	1.16477e+06	1.22793e+06	1.16192e+06	1.00071e+06	1.14928e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	4.40971e+07	4.36251e+07	4.5103e+07	4.49513e+07	4.51045e+07	4.30909e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.14329e+07	3.07882e+07	3.0399e+07	3.01048e+07	3.00979e+07	3.05386e+07
