Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	23	23	2.20564e+07	2.11409e+07	2.2563e+07	1.98466e+07	2.16197e+07	2.26695e+07	2.19093e+07	2.16908e+07	2.21691e+07	2.21373e+07	2.32942e+07	2.33716e+07	1.71999e+07	2.34708e+07	2.19988e+07	2.2591e+07	2.19899e+07	2.17154e+07
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	1.1001e+06	1.06867e+06	819253	897261	1.00119e+06	1.05228e+06	958747	871345	691084	934804	872339		558152	1.23309e+06	1.0273e+06	672661	967944	1.16896e+06
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	26	26	3.10054e+07	3.1234e+07	2.67409e+07	2.97126e+07	3.16835e+07	3.01958e+07	3.09119e+07	3.12989e+07	3.02392e+07	3.47863e+07	3.44224e+07	2.75626e+07	2.9583e+07	3.42361e+07	3.0195e+07	3.16443e+07	3.15901e+07	3.01051e+07
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	5	5	505503	492472	615456		477648	542292	476754		397419	506596	427549	735599		545858	505737	327396	486888	605099
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	24	20	6.93804e+06	6.54738e+06	6.54581e+06	5.40876e+06	6.22114e+06	6.996e+06	6.88837e+06	6.6389e+06	6.82145e+06	7.33302e+06	7.13433e+06	7.37494e+06	5.79689e+06	6.65239e+06	7.06761e+06	6.28961e+06	6.71222e+06	6.86672e+06
A4D126	ISPD_HUMAN	CRPPA	D-ribitol-5-phosphate cytidylyltransferase	2	2					314118			338480				458312						
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	9	9	4.50086e+06	4.24134e+06	3.16794e+06	3.36326e+06	4.34146e+06	3.91053e+06	4.33288e+06	4.10634e+06	4.07117e+06	4.37096e+06	4.46801e+06	3.45165e+06	4.00603e+06	4.53143e+06	3.72137e+06	4.15465e+06	4.24998e+06	4.01876e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	5	5	619303	616906	707909	493644	707010	643873	741323	597681	711377	592937	793696	763334	540464	678943	785569	723590	679258	765694
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	5.0422e+06	4.39063e+06	4.42578e+06	3.81608e+06	4.97772e+06	5.02837e+06	3.3306e+06	3.9667e+06	3.83954e+06	4.35951e+06	4.28971e+06	4.46814e+06	4.2187e+06	4.47245e+06	4.60044e+06	5.3534e+06	4.03324e+06	4.94336e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	59	59	5.90596e+07	5.52754e+07	5.05785e+07	5.33841e+07	5.79544e+07	5.21479e+07	5.55705e+07	5.67606e+07	5.43371e+07	5.88643e+07	5.71925e+07	5.22037e+07	5.03659e+07	6.04688e+07	5.35192e+07	5.6964e+07	5.63502e+07	5.47261e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	4.78804e+06	4.21912e+06	4.2387e+06	5.20766e+06	4.23766e+06	4.28414e+06	4.13236e+06	4.02752e+06	4.18476e+06	2.2395e+06	1.88944e+06	1.68395e+06	1.40615e+06	1.72945e+06	1.78869e+06	2.16961e+06	1.41437e+06	2.04421e+06
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2	3	0	4.91553e+07	4.53634e+07	4.39655e+07	4.89137e+07	4.34258e+07	4.3984e+07	4.8263e+07	4.49154e+07	4.83532e+07	3.86352e+07	4.27296e+07	3.76498e+07	4.7444e+07	4.16508e+07	3.5409e+07	4.42069e+07	3.97322e+07	4.08184e+07
A6NDG6	PGP_HUMAN	PGP	Phosphoglycolate phosphatase	6	6	3.70811e+07	3.79009e+07	3.74922e+07	3.86141e+07	3.7984e+07	3.85185e+07	3.94688e+07	3.56415e+07	3.53895e+07	3.39515e+07	3.94776e+07	3.99972e+07	4.16458e+07	3.5332e+07	3.76653e+07	3.9719e+07	3.76522e+07	3.66792e+07
A6NDR6;Q99687	ME3L1_HUMAN;MEIS3_HUMAN	MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	1	0					889454	710621	769387											
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	4	4	3.49257e+06	3.60839e+06	4.97052e+06	3.47318e+06	3.72502e+06	4.83192e+06	3.57781e+06	3.89835e+06	4.0837e+06	3.57216e+06	3.91271e+06	5.20252e+06	1.96485e+06	4.29965e+06	3.86273e+06	4.32592e+06	3.59342e+06	4.34418e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3	3	2.84656e+06	2.98829e+06	3.06302e+06	2.74939e+06	2.88604e+06	3.19697e+06	3.15487e+06	2.44835e+06	2.97152e+06	2.63962e+06	2.75608e+06	3.57818e+06	2.90554e+06	2.36674e+06	3.3003e+06	3.14069e+06	2.99555e+06	3.00466e+06
A6NER3	GG12J_HUMAN	GAGE12J	G antigen 12J	5	1	1.44765e+08	1.35787e+08	1.31526e+08	1.3457e+08	1.42406e+08	1.31664e+08	1.82802e+08	1.9987e+08	1.80687e+08	5.8369e+07	6.15255e+07	5.42763e+07	5.00138e+07	6.67081e+07	5.69696e+07	1.1492e+08	1.12189e+08	1.01624e+08
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	2	2	813250		912554	432918	852328	1.04375e+06		797924	722151	897577	830328	1.01695e+06		907465	627017	622830	667872	867849
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	2	0	759039	880583	633365		849208	959146			814751	874076	827004	981265	612821	894111	977759	673903	800943	1.04564e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	7.87756e+07	8.57319e+07	9.52231e+07	6.99061e+07	8.91871e+07	7.93617e+07	1.0964e+08	1.14828e+08	9.31091e+07			3.81833e+06	4.41456e+07	5.19512e+07	3.85399e+07	9.01605e+07	8.05572e+07	7.55749e+07
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	58	58	2.57687e+07	2.52978e+07	2.44566e+07	2.40433e+07	2.603e+07	2.48479e+07	2.54263e+07	2.52211e+07	2.52225e+07	2.55823e+07	2.61847e+07	2.42499e+07	2.23004e+07	2.72541e+07	2.50578e+07	2.54061e+07	2.51729e+07	2.57164e+07
A6NHT5	HMX3_HUMAN	HMX3	Homeobox protein HMX3	1	1	577110	604013			541352	532446	243949	622528	515582	543938	618216			667301		539592	298206	
A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154	1	1		3.95469e+07	4.25158e+07	4.26077e+07		3.89579e+07	3.45915e+07		4.02928e+07		3.70607e+07	4.03925e+07	5.64851e+07			4.12291e+07	3.92449e+07	
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2	1	1.3653e+06	909074	782926		922540	845181	667799	974240	864367	1.17852e+06	585874	903774		1.25204e+06	1.05885e+06	658917	1.04835e+06	1.16875e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N(4)-cytidine methyltransferase METTL15	2	2	817731	889145	962630	524150	960346	909579	778166	877601	863246	760836	777324	1.09888e+06		1.02266e+06	1.17553e+06	1.08086e+06	1.07711e+06	1.35191e+06
A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	2	2	112770	61846.1	219832	91864.3	138026	144544	83180.4	77120.5	130916	82965.2	85789.8	128009	107432	93559.7	148893	114317	96722.8	130537
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	10	1	3.07864e+06	3.00532e+06	3.54729e+06	2.22197e+06	3.16919e+06	3.41371e+06	2.71405e+06	2.8837e+06	3.2549e+06	3.24914e+06	3.02721e+06	3.4755e+06	1.89054e+06	3.16665e+06	3.1975e+06	2.75498e+06	3.29631e+06	3.04638e+06
A8MPS7	YDJC_HUMAN	YDJC	Carbohydrate deacetylase	4	4	1.33621e+07	1.52494e+07	1.51876e+07	1.18237e+07	1.49106e+07	1.40413e+07	1.51033e+07	1.29241e+07	1.3178e+07	1.23639e+07	1.27977e+07	1.3898e+07	9.98813e+06	1.42842e+07	1.3144e+07	1.28972e+07	1.4055e+07	1.45802e+07
A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1	2	2		427316	322338				371595		457278		534764	417258						473759
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	2.37743e+08	2.77599e+08	2.55194e+08	2.31706e+08	2.66549e+08	2.44571e+08	3.21989e+08	3.18558e+08	3.02098e+08	1.99645e+07	2.4979e+07	2.59382e+07	1.13757e+08	1.57675e+08	1.42113e+08	2.35055e+08	2.03775e+08	1.90486e+08
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	8	8	4.90755e+06	4.52505e+06	3.38445e+06	5.41069e+06	5.00857e+06	3.35343e+06	4.93038e+06	5.18253e+06	3.54082e+06	4.54791e+06	4.935e+06	3.42316e+06	4.73401e+06	4.89546e+06	3.28867e+06	4.31339e+06	4.70976e+06	4.00323e+06
B2RUZ4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1	1	1	1.14398e+06	1.20448e+06	2.00811e+06	1.35416e+06	1.3838e+06	1.69042e+06	1.50642e+06	1.27412e+06	1.61782e+06	1.40668e+06	1.75695e+06	1.98998e+06	984369	1.45973e+06	1.52147e+06	1.55065e+06	1.36146e+06	1.54791e+06
B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	2.19043e+07	4.08108e+07	1.44456e+07	3.83177e+07	3.36099e+07	1.92837e+07	2.3614e+07	1.55865e+07	1.51846e+07	9.26329e+07	1.37545e+08	4.64183e+07	5.89873e+07	4.41112e+07	3.59243e+07	3.84799e+07	2.88747e+07	2.55184e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1	0			6.40452e+06			6.36668e+06												
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	3	3	1.64662e+06	1.67786e+06	2.2778e+06	1.61351e+06	2.27411e+06	1.96151e+06	1.72015e+06	1.84816e+06	2.05206e+06	1.9101e+06	2.0471e+06	2.20286e+06	1.57069e+06	1.90715e+06	1.6982e+06	1.82086e+06	1.88249e+06	2.27298e+06
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	4	4	4.46954e+06	4.96098e+06	4.05453e+06	4.93244e+06	4.69669e+06	4.4903e+06	4.9889e+06	5.11637e+06	4.5995e+06	4.22541e+06	3.97323e+06	2.74225e+06	3.50204e+06	4.61667e+06	3.34098e+06	4.37972e+06	3.52879e+06	3.71151e+06
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	2	2	277296		7.40082e+06	4.87156e+06		278589	6.24645e+06	6.27495e+06	6.25167e+06							4.5488e+06		
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	5	3	3.793e+08	3.94224e+08	4.04867e+08	4.36782e+08	3.91853e+08	3.91654e+08	4.16743e+08	4.38432e+08	4.02769e+08	3.68342e+08	3.29504e+08	3.74067e+08	3.52057e+08	3.73951e+08	3.66453e+08	3.94163e+08	3.98511e+08	3.82807e+08
E9PRG8	RSMC_HUMAN	RSMC	28S rRNA/ribosome and sororin micro-cofactor	3	3	3.92135e+07	3.79749e+07	4.63661e+07	4.18711e+07	3.84011e+07	3.92332e+07	4.00684e+07	4.00961e+07	4.20963e+07	3.69307e+07	3.51376e+07	4.03758e+07	3.9904e+07	3.45203e+07	3.30761e+07	3.77979e+07	3.78266e+07	3.67128e+07
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	5	5	1.58156e+07	1.77059e+07	1.49911e+07	1.67386e+07	1.69654e+07	1.74339e+07	1.89718e+07	1.60012e+07	1.76348e+07	1.84429e+07	1.91143e+07	2.20761e+07	1.74328e+07	1.60609e+07	1.69918e+07	1.98329e+07	1.89735e+07	1.86978e+07
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2	2	4.85558e+06	3.91994e+06	4.07641e+06	3.69539e+06	4.29385e+06	4.23405e+06	4.331e+06	4.29124e+06	3.6376e+06	3.52226e+06	3.76739e+06	3.40916e+06	4.11079e+06	4.91949e+06	4.03693e+06	4.00027e+06	4.00239e+06	4.05107e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	17	17	3.29973e+07	3.23454e+07	3.21634e+07	2.9425e+07	3.19014e+07	3.09913e+07	3.25278e+07	3.38097e+07	3.13384e+07	3.24501e+07	3.13981e+07	3.0555e+07	2.62334e+07	2.95543e+07	3.01934e+07	3.18804e+07	3.24779e+07	3.11179e+07
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	2	2		579407			599199	530937	531680	744342			554236				476286	529742		565511
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	18	17	4.3303e+07	3.85691e+07	4.07531e+07	3.92758e+07	4.28825e+07	3.95563e+07	3.9774e+07	4.16381e+07	4.05909e+07	4.28108e+07	4.27953e+07	4.3233e+07	3.99053e+07	4.48373e+07	3.9868e+07	4.0698e+07	4.32832e+07	4.08579e+07
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	3	3	6.50809e+07	8.4925e+07	7.18173e+07	8.89653e+07	8.96711e+07	7.3536e+07	9.2061e+07	9.82766e+07	8.7489e+07	8.85111e+07	6.65173e+07	5.5653e+07	7.24581e+07	5.19381e+07	5.6134e+07	7.92753e+07	7.55073e+07	6.50577e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	11	11	9.68851e+07	9.58111e+07	1.02337e+08	8.78049e+07	9.5035e+07	9.98663e+07	9.71475e+07	9.91029e+07	1.0419e+08	8.99485e+07	8.61115e+07	8.27042e+07	7.61397e+07	8.85681e+07	8.60843e+07	9.03174e+07	9.57351e+07	9.36918e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	11	10	4.48121e+07	4.41218e+07	4.72158e+07	4.58384e+07	4.39968e+07	4.45087e+07	4.52251e+07	4.61865e+07	4.6514e+07	4.14322e+07	4.10498e+07	4.09183e+07	3.77151e+07	3.9883e+07	3.86412e+07	4.23991e+07	4.54356e+07	4.22885e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	12	12	2.45043e+07	2.58822e+07	2.68357e+07	2.05829e+07	2.59751e+07	2.67905e+07	2.74266e+07	2.3932e+07	2.88276e+07	2.81264e+07	3.11302e+07	2.87836e+07	1.90098e+07	2.9626e+07	2.69451e+07	2.84316e+07	2.79023e+07	2.31111e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	8	8	5.07604e+07	5.04475e+07	5.01756e+07	5.16777e+07	4.57862e+07	5.03371e+07	5.02389e+07	4.77901e+07	5.12704e+07	5.11751e+07	4.95697e+07	5.09661e+07	4.42884e+07	4.97379e+07	4.89083e+07	4.67834e+07	4.88881e+07	4.925e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	7	7	1.01282e+07	9.86657e+06	8.52611e+06	9.87677e+06	1.08481e+07	7.70608e+06	1.0479e+07	1.01491e+07	9.83197e+06	1.03341e+07	1.08824e+07	1.01835e+07	8.42175e+06	1.05675e+07	9.22685e+06	1.05039e+07	1.04307e+07	1.06294e+07
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	8	8	2.23878e+07	2.07453e+07	2.10152e+07	2.19034e+07	2.13928e+07	2.2016e+07	2.27798e+07	2.09595e+07	2.01837e+07	2.34726e+07	2.25307e+07	2.22568e+07	2.09775e+07	2.24652e+07	2.12736e+07	2.25819e+07	2.29778e+07	2.18597e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	8	8	1.17085e+07	1.24028e+07	1.12559e+07	1.11737e+07	1.29504e+07	1.273e+07	1.03164e+07	1.20258e+07	1.18689e+07	1.23064e+07	1.26269e+07	1.16365e+07	9.90513e+06	1.28018e+07	1.18562e+07	1.16887e+07	1.12951e+07	1.08733e+07
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	11	11	7.66599e+06	7.50827e+06	5.54013e+06	6.61897e+06	7.3867e+06	6.07205e+06	7.73498e+06	7.84885e+06	7.12571e+06	7.72961e+06	7.65962e+06	6.21486e+06	7.59249e+06	7.63503e+06	6.80779e+06	7.0045e+06	7.42016e+06	6.91376e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	3	3	265487	312941	197461	267417	304253	189584	250771	206268		355815	408455	433740		310456	254814	307153	273975	279769
O00192	ARVC_HUMAN	ARVCF	Splicing regulator ARVCF	5	5	360681	486642	464752	468549	401822	401817		412540	473153	426382	319394	300072		366904	401849	361957	370305	362340
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	3.4529e+07	3.1596e+07	5.26337e+07	2.16867e+07	3.35778e+07	4.25724e+07	3.96014e+07	4.34564e+07	4.59322e+07	2.61606e+06	2.85189e+06	3.62099e+06	7.64646e+06	2.18806e+07	2.31777e+07	3.22329e+07	3.26325e+07	3.15247e+07
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	21	18	2.72213e+07	2.33715e+07	2.49095e+07	2.46215e+07	2.58733e+07	2.739e+07	2.62184e+07	2.55007e+07	2.58055e+07	2.49426e+07	2.63496e+07	2.68503e+07	2.50549e+07	2.42673e+07	2.45255e+07	2.53545e+07	2.44771e+07	2.52737e+07
