Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.38704e+08	1.36529e+08	1.36922e+08	1.35376e+08	1.35281e+08	1.35722e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	3	3	2.95401e+06	2.62507e+06	2.79313e+06	2.88079e+06	2.75186e+06	2.68491e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.28155e+06	1.34625e+06	1.71032e+06	1.40324e+06	1.39171e+06	1.56369e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	42	42	6.27465e+07	6.18543e+07	6.3991e+07	6.36018e+07	6.47907e+07	6.31678e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.14688e+06	7.18521e+06	8.67926e+06	7.2978e+06	7.70797e+06	7.28584e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.07161e+07	1.00478e+07	1.04456e+07	1.02318e+07	1.07604e+07	1.00026e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	574662	837989	564193	808198		680697
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.49561e+06	1.33347e+06	1.4407e+06	1.53145e+06	1.16596e+06	1.461e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.0964e+06	978573	963582	1.12582e+06	978769	1.04603e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		1	1			2.23829e+06		2.4518e+06	1.92789e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		6	6			1.04395e+07		1.05654e+07	1.0505e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.55669e+06	2.34557e+06	2.2742e+06	2.48556e+06	2.13065e+06	2.57934e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.86158e+07	1.77633e+07	1.79608e+07	1.84268e+07	1.851e+07	1.81585e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	3.13628e+06	3.00341e+06	2.73895e+06	3.24915e+06	3.15895e+06	2.76868e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3	2.67107e+06	2.50992e+06	3.26035e+06	2.67485e+06	2.59594e+06	2.36286e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.78992e+07	4.83544e+07	5.01105e+07	4.84803e+07	5.05773e+07	4.85174e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	10	10	9.70638e+07	9.79868e+07	9.85613e+07	9.68102e+07	1.01661e+08	9.8525e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	39	39	1.1265e+08	1.15395e+08	1.17429e+08	1.15922e+08	1.16078e+08	1.17596e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	42	42	1.267e+08	1.27208e+08	1.27234e+08	1.31722e+08	1.28143e+08	1.26635e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	31	31	6.14739e+07	6.06311e+07	6.16247e+07	6.15272e+07	6.27841e+07	6.26029e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.04834e+07	2.94647e+07	3.15281e+07	3.02245e+07	3.15646e+07	3.10626e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	37	37	7.29163e+07	7.13894e+07	7.34015e+07	7.22421e+07	7.42424e+07	7.31937e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	8.15564e+07	7.91451e+07	8.07022e+07	8.07114e+07	8.43675e+07	8.13479e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	9.88825e+07	9.88202e+07	9.35003e+07	9.51363e+07	9.80042e+07	9.51735e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	32	32	1.82285e+07	1.8222e+07	1.81612e+07	1.84655e+07	1.81634e+07	1.80081e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		5	5			7.96802e+06		8.37757e+06	7.69644e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		2	2					1.84379e+06	1.78444e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2			7.90138e+06		9.57916e+06	8.78792e+06
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		2	2			2.85758e+06		3.60847e+06	4.15027e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		1	1			6.99976e+06		7.43686e+06	7.50398e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		4	4			5.62914e+06		5.65576e+06	5.84656e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	9.53545e+08	8.88162e+08	9.57329e+08	8.74853e+08	9.21968e+08	9.85847e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.99193e+08	9.87566e+08	9.70244e+08	9.88895e+08	1.00194e+09	9.84548e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	7.77552e+08	7.77069e+08	7.67987e+08	8.16375e+08	7.64262e+08	7.68354e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		7	7	868583		1.39576e+07		1.37558e+07	1.32303e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		5	5			8.16923e+06		7.93149e+06	6.95949e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		9	9			1.51474e+07		1.57785e+07	1.41405e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	7	7	3.67964e+06	3.71807e+06	4.42983e+06	4.03051e+06	4.15115e+06	3.56029e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	14	14	1.48557e+07	1.58405e+07	1.6209e+07	1.67136e+07	1.605e+07	1.49946e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.20641e+07	4.18892e+07	4.19193e+07	4.17661e+07	4.28013e+07	4.23814e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.31745e+08	1.28888e+08	1.25223e+08	1.28022e+08	1.26638e+08	1.25329e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	17	2.08364e+08	1.95784e+08	2.05052e+08	1.9232e+08	2.04077e+08	2.07467e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.01451e+06	933666	1.03218e+06	809337	960949	1.13413e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	6.69003e+07	6.61391e+07	6.62262e+07	6.48808e+07	6.59525e+07	6.44421e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	7.36496e+06	8.26925e+06	8.63414e+06	7.50169e+06	8.34987e+06	8.53456e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	13	13	6.57284e+06	6.813e+06	6.89989e+06	6.46269e+06	7.52584e+06	6.80927e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	2	2	2.83998e+06	3.63096e+06	2.18366e+06	2.64315e+06	2.78658e+06	2.39823e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	9	9	9.29203e+06	1.05206e+07	1.07104e+07	1.0988e+07	1.0834e+07	1.07101e+07
P03023	LACI_ECOLI	lacI	Lactose operon repressor	1	1	2.7798e+06	2.93e+06	2.57266e+06	2.8009e+06	2.19501e+06	2.69156e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.51514e+06	5.93806e+06	5.68306e+06	5.65459e+06	5.08934e+06	6.08311e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	4.00624e+07	4.15449e+07	3.92877e+07	3.99964e+07	4.07474e+07	3.95476e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.25022e+07	3.233e+07	3.1245e+07	3.41314e+07	3.25793e+07	3.36918e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.29721e+07	3.29472e+07	3.17755e+07	3.31505e+07	3.41945e+07	3.29235e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		2	2			2.02783e+06		1.7856e+06	2.07642e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	25	25	7.92408e+07	7.91908e+07	8.18108e+07	7.93023e+07	8.0834e+07	7.93496e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	12	12	2.29886e+07	2.32109e+07	2.27089e+07	2.28036e+07	2.33748e+07	2.26705e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.47483e+07	3.4667e+07	3.59557e+07	3.67479e+07	3.75504e+07	3.63815e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.58195e+07	2.5957e+07	2.60485e+07	2.5791e+07	2.52033e+07	2.5277e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	22	22	1.37632e+08	1.39642e+08	1.40967e+08	1.41374e+08	1.41638e+08	1.39994e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	25	25	7.38851e+07	7.30184e+07	7.57504e+07	7.52311e+07	7.59825e+07	7.34725e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	7.8292e+06	8.27407e+06	8.08932e+06	8.24616e+06	7.86769e+06	8.1787e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.20867e+08	4.1876e+08	3.92161e+08	3.80628e+08	4.12196e+08	4.14263e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.74205e+07	3.73207e+07	3.68434e+07	3.74816e+07	3.72765e+07	3.74688e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.56712e+06	1.42722e+06	1.54774e+06	1.67826e+06	1.52768e+06	1.57419e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.8063e+06	5.4066e+06	6.05714e+06	5.91777e+06	6.57864e+06	6.15962e+06
P04983	RBSA_ECOLI	rbsA	Ribose import ATP-binding protein RbsA	1	1					147044	
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	4	4	5.13775e+06	3.7822e+06	4.55156e+06	4.47087e+06	4.72903e+06	4.57915e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	1.17447e+07	1.19708e+07	1.18302e+07	1.20792e+07	1.20033e+07	1.17751e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.94041e+07	1.89307e+07	1.86398e+07	1.92047e+07	1.92035e+07	1.92654e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	3	3	5.38201e+06	5.54321e+06	5.12926e+06	6.03211e+06	5.64476e+06	5.48348e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	37	37	1.97155e+08	1.98896e+08	1.96404e+08	2.01015e+08	1.98362e+08	1.95817e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	5.96644e+06	6.10905e+06	5.96686e+06	5.96003e+06	6.41212e+06	6.39343e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.86333e+07	2.84383e+07	2.89714e+07	2.78275e+07	3.08702e+07	2.77979e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		3	3			7.53089e+06		7.8301e+06	7.81629e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	6.44075e+06	6.08861e+06	6.19029e+06	6.01456e+06	6.01571e+06	6.11573e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	3.73503e+07	3.84134e+07	3.77846e+07	3.64268e+07	3.81849e+07	3.85099e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2	587182			875269	787413	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	7	7	5.28415e+06	6.48973e+06	7.52423e+06	5.33083e+06	6.31631e+06	7.20784e+06
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.17857e+07	1.27905e+07	1.27852e+07	1.34902e+07	1.25263e+07	1.17186e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	12	12	1.22798e+07	1.23456e+07	1.20763e+07	1.2132e+07	1.26435e+07	1.22838e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	14	14	3.86585e+07	3.80829e+07	3.71872e+07	4.03137e+07	3.83692e+07	3.9056e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	9.03462e+06	9.48571e+06	9.57976e+06	9.3006e+06	9.44302e+06	8.87332e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	8.31992e+06	8.83994e+06	8.49311e+06	8.90686e+06	8.32101e+06	8.72414e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	25	25	5.35771e+07	5.44688e+07	5.42025e+07	5.35641e+07	5.54571e+07	5.43648e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	5.77705e+07	4.88915e+07	5.48106e+07	5.32104e+07	5.86675e+07	5.84504e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	18	18	3.18471e+07	3.21481e+07	3.42626e+07	3.21585e+07	3.35982e+07	3.29598e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	5.53394e+06	5.83943e+06	6.05018e+06	5.50192e+06	5.68542e+06	6.3155e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		4	4			2.04063e+06		2.63437e+06	2.03019e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.41774e+07	5.08845e+07	5.27389e+07	5.16933e+07	5.25195e+07	5.37471e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	3.0962e+06	3.10503e+06	2.59109e+06	2.67388e+06	3.07923e+06	
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	23	23	2.8195e+07	2.69848e+07	2.65646e+07	2.69422e+07	2.74763e+07	2.67302e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	9.80177e+06	9.92262e+06	9.07956e+06	9.62363e+06	9.47271e+06	9.26514e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	5	5	5.68496e+06	5.82416e+06	5.79447e+06	6.12444e+06	5.81975e+06	5.78956e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	5.49537e+06	5.455e+06	5.74179e+06	5.56585e+06	4.97253e+06	5.18899e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.52247e+07	2.51011e+07	2.56991e+07	2.51176e+07	2.58812e+07	2.56591e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	1	1	1.74423e+06	1.84321e+06	2.22152e+06	1.87012e+06	2.37087e+06	1.38863e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.30095e+06	2.45958e+06	2.54918e+06	2.7012e+06	2.43727e+06	2.29778e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		7	7			3.26146e+06		3.64082e+06	3.16856e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	5.11034e+06	5.07868e+06	4.83532e+06	4.95577e+06	4.98515e+06	4.47141e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	36	36	3.28163e+08	3.19642e+08	3.19759e+08	3.30253e+08	3.19282e+08	3.16442e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	7.87332e+06	8.42522e+06	9.15141e+06	8.80413e+06	8.67651e+06	8.67756e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.30525e+07	8.69928e+07	8.43752e+07	8.44755e+07	8.66807e+07	8.42075e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.4755e+07	7.24292e+07	7.46658e+07	7.54352e+07	7.37872e+07	7.52912e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.57193e+07	1.76446e+07	1.72715e+07	1.64082e+07	1.6504e+07	1.66107e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	5.74246e+07	5.62477e+07	5.461e+07	5.81585e+07	5.37285e+07	5.49232e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	8	8	1.25453e+07	1.18929e+07	1.29018e+07	1.23638e+07	1.20551e+07	1.25476e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	3.60171e+06	3.98494e+06	4.06901e+06	4.03631e+06	4.32252e+06	3.80547e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	5	5	4.61618e+06	4.18524e+06	4.35592e+06	4.51374e+06	5.00206e+06	4.95585e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.38607e+08	1.41006e+08	1.36582e+08	1.35843e+08	1.42626e+08	1.40846e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	2	2	8.05073e+06	8.94294e+06	1.09365e+07	8.74553e+06	9.68422e+06	9.82108e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.33766e+09	1.3326e+09	1.26525e+09	1.29318e+09	1.28413e+09	1.31555e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	4	4	4.7199e+06	4.81426e+06	4.93258e+06	4.83596e+06	4.88198e+06	4.84825e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.20922e+06	2.1197e+06	1.83581e+06	2.02454e+06	1.99104e+06	1.72771e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	10	10	1.20312e+07	1.239e+07	1.15852e+07	1.14952e+07	1.24876e+07	1.22393e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	7	7	1.24822e+07	1.20368e+07	1.19475e+07	1.25397e+07	1.22607e+07	1.19295e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	14	14	3.20422e+07	3.23782e+07	3.19717e+07	3.25822e+07	3.18991e+07	3.12709e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.45511e+07	6.35505e+07	6.45253e+07	6.51065e+07	6.45227e+07	6.54325e+07
P07013	PRIB_ECOLI	priB	Primosomal replication protein n	1	1	356696					
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.1095e+07	2.0377e+07	2.18406e+07	2.02265e+07	2.08988e+07	2.06594e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	13	13	1.87075e+07	1.93497e+07	1.85483e+07	1.82836e+07	1.98991e+07	1.89475e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.3115e+06	4.48898e+06	4.98471e+06	4.78513e+06	4.54209e+06	4.69827e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	6.36908e+06	6.75065e+06	6.56542e+06	6.08679e+06	6.82889e+06	6.32095e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.45122e+07	2.41029e+07	2.39487e+07	2.38143e+07	2.4149e+07	2.35514e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	4.9352e+06	5.33406e+06	4.78931e+06	4.79664e+06	5.08212e+06	5.07559e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	47	47	1.13091e+08	1.1343e+08	1.1798e+08	1.14916e+08	1.17447e+08	1.14767e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	5	5	3.02476e+06	3.11745e+06	2.90135e+06	2.73616e+06	2.92803e+06	3.06496e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	14	14	1.02256e+07	1.03012e+07	1.03215e+07	1.07162e+07	1.04214e+07	1.04847e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	136280	77753.4		120098	127578	103441
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	36	36	8.60031e+07	8.47065e+07	8.4206e+07	8.58379e+07	8.46765e+07	8.69591e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	9	9	7.36802e+06	7.41724e+06	7.99336e+06	7.81117e+06	7.44018e+06	7.7356e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.73656e+07	1.67559e+07	1.69208e+07	1.68257e+07	1.66134e+07	1.6708e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	3	3	1.44218e+06	1.43304e+06	1.71758e+06	1.67415e+06	1.30714e+06	1.24174e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	3	3	4.01941e+06	3.91217e+06	4.00629e+06	4.09138e+06	4.13786e+06	3.95194e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	23	23	2.81528e+07	2.87779e+07	2.73947e+07	2.90646e+07	2.92031e+07	2.8759e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	13	13	3.57518e+06	3.59348e+06	3.77932e+06	3.57646e+06	3.60347e+06	3.37621e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	23	23	1.21325e+07	1.19483e+07	1.22512e+07	1.20652e+07	1.19613e+07	1.20343e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	31	31	8.99488e+07	8.84134e+07	9.5893e+07	9.0616e+07	9.37941e+07	8.92343e+07
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	3	3	4.33753e+06		4.09806e+06	5.21734e+06	5.3203e+06	4.74931e+06
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.92999e+06	1.72563e+06	1.68272e+06	1.87659e+06	1.65594e+06	1.6439e+06
