protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P27692	36715618.81053837	38269067.98229484	39915356.9404148	37953335.9525102	36668133.36048518	37808359.91561721	37156210.79018112	37341447.59246641	37799365.71863383	18495809.46295605	19275005.25733768	19512754.454984	16872041.208613187	18438417.161079943	18502765.04348122	19410478.55033481	20230921.69775003	19914229.838132977	P27692	P27692		SPT5	0	1.9462668832292037e-17	0.9928898231043058	True	0.00010301554598239371	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P07251	265011172.46006307	271432969.7570083	268340311.1489008	273312524.2109096	251989427.40317792	255677690.20909667	263425680.30520287	258012229.49354655	259019434.20413244	135215187.31783646	132955088.6862787	142488099.25954446	144444467.56984234	123117101.83631158	130365277.22372869	128341334.01894271	128625995.10860474	128567816.28618564	P07251	P07251		ATP1	0	3.262431447000163e-17	0.9866368248292435	True	0.00011238059561715678	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0A7V8	29992895.908493355	30324237.514430474	26595795.14671844	31351145.26842734	31408745.713126384	26187928.450495627	29968575.854657155	28399699.97610937	29947715.33500864	115848094.86867072	111591515.10916658	107475990.2487756	116523817.93458712	112927562.58615255	107296918.14981852	112291318.56254578	115942671.63588189	113312317.92720364	P0A7V8	P0A7V8		rpsD	0	4.0231904347361856e-17	-1.9393581682598153	True	0.00012174564525191984	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P06169	9175913804.12111	8739457806.477846	8827919119.04801	8318900578.993946	8566478134.99328	8602125617.452322	8636257516.579208	8613041494.968605	8749723292.022436	4016806606.534307	3792006727.4809394	3962338959.177117	4651995748.2156725	3963474652.453694	4006485761.019814	4221032744.479744	4399159594.143765	4218883370.6366887	P06169	P06169		PDC1	0	4.659853182689538e-17	1.0711683448788738	True	0.0001311106948866829	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P45523	3899725.4414744223	4726945.135305467	4018916.68289653	3554471.784222969	4119449.7336074463	5180138.196870897	4672080.433480221	4282017.174684223	5147520.410090939	17601960.443525497	17202299.216432694	16764489.224494915	18955203.556966662	17936366.403876446	18910643.44754298	17548087.686219636	18525406.15676157	17974112.410027284	P45523	P45523		fkpA	0	4.8903176702857594e-17	-2.027188125943451	True	0.00014047574452144597	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P76558	21455095.498681672	22511681.125908583	23282986.65930449	20963471.65980805	20798271.044538338	18146346.339985028	18830706.122042064	19126760.72379369	19409053.989513997	73273671.10076588	76007021.01923081	80341878.98810555	71925337.4458931	73711372.09791508	76122284.80162805	78509759.75377047	77221121.4150679	77928895.4912238	P76558	P76558		maeB	0	5.3017828454319605e-17	-1.8923796677765568	True	0.00014984079415620904	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P0AC69	1066630.6838791417	1302213.1007430705	1712078.2023930326	940804.5528031464	937192.4208418272	950596.5185746142	1459468.5545762316	1084321.1089531456	1413847.1178760745	5874260.009274138	5683172.531165599	6112336.910568309	6469890.852731915	5922531.135892041	5903372.844225578	6176445.329019424	6011094.954315896	5916452.729349332	P0AC69	P0AC69		grxD	0	5.430906505790375e-17	-2.3148426127874533	True	0.00015920584379097212	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P00931	146890286.159199	145400075.51534346	150337079.19384545	138285913.12399366	140628030.75121844	139205961.94386196	144345321.76477754	139897828.14951712	147581521.1108999	75053349.01511174	73904130.6274451	77480584.32481025	67946685.13662176	66875962.72033665	72267917.9048385	72087994.7589319	69172906.05929846	72527826.76649764	P00931	P00931		TRP5	0	9.082914708401584e-17	0.9976995705804015	True	0.00016857089342573516	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P02359	18751619.7560034	18872805.66227603	16563336.083500342	18135040.794152614	17003254.86317108	14569009.160794212	17376385.005290244	19034149.48989468	18194986.835954286	72545810.89819032	73368465.23022696	73127700.46927592	80871249.60309508	74571751.13336411	77185009.48346236	74333974.57553059	76090442.403514	74612642.922577	P02359	P02359		rpsG	0	1.2464343925363677e-16	-2.094043222510476	True	0.00017793594306049823	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P0ABS1	1662240.1766136622	1652373.6083654251	1111669.0328639098	1415705.7519342771	1572010.047082781	1169306.5428623264	1423355.620849645	1313983.225926796	1959431.42450804	7129832.578575788	7143698.503313176	6948362.081131531	6727402.312521119	7253216.650716732	7019868.052126389	7073917.769781916	7098058.193874319	7200660.828963129	P0ABS1	P0ABS1		dksA	0	1.2550643337848684e-16	-2.259650385392817	True	0.00018730099269526128	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P00330	9193379421.025291	9797017800.465025	9336732445.92656	9487667654.847464	9175813539.551931	9091323753.374134	9526582111.246618	9092596336.641718	9784388837.933489	4477150575.465866	4816539936.18432	5008268437.83647	5327420800.689373	4344322814.972454	4732646210.959007	4770070589.921839	4621068215.176804	4737765608.446817	P00330	P00330		ADH1	0	1.7242634585194926e-16	0.9799051735978505	True	0.00019666604233002435	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
Q46851	11191401.805576866	13224055.814581202	14184894.862846386	10589077.964956658	12293670.746207144	9626954.064838812	14930709.91116872	10697221.763394352	11705725.16900814	40636772.47516313	40411837.72132621	39821610.4311883	41652429.237206295	36649327.70925097	40842561.83612263	42767542.68542905	40459777.59395604	38980377.21179109	Q46851	Q46851		gpr	0	2.1055426626165193e-16	-1.7399287127938434	True	0.00020603109196478742	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P28495	39957758.84551372	39769078.57943053	39327629.48203697	37017022.24017886	36999178.960996985	37540047.746839605	39067125.880965896	39659702.34656686	38512728.89835028	20513133.66177054	21165430.41011639	18099340.72410561	21604039.60731357	19620981.215954646	20528764.950581294	19374739.04523594	20430191.80203953	20287228.559885748	P28495	P28495		CAP1	0	2.269256788564359e-16	0.9375127899880359	True	0.0002153961415995505	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0A6A8	42065751.05494183	39664064.8109892	37209894.81802692	38332640.99725752	36892313.64969003	29570532.507456053	37441421.89481504	38311251.6440479	31434716.806192216	173503707.40891123	176982036.98088324	167775604.02030042	189834661.1807156	167428474.16468468	171657951.39616957	172392286.9782408	177335565.96199068	178238676.75345206	P0A6A8	P0A6A8		acpP	0	2.431032728593618e-16	-2.2509225975846627	True	0.00022476119123431357	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P20606	113784650.22989649	123234340.16405052	124508970.5400285	114361665.74356095	120626650.37736186	116058604.09267937	116011636.4656309	114974811.937447	118170947.36056946	54566426.565315545	56025184.93651266	60655492.67924546	61983630.02815989	52611664.02067758	53631281.54680465	57051035.57037401	55718762.8664152	53980228.2730536	P20606	P20606		SAR1	0	2.557431612920504e-16	1.0685730508939622	True	0.0002341262408690766	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
Q03640	57228110.479039215	56020233.57461264	53814661.40177015	53786486.673690125	53561023.21279628	53008105.57927532	54945361.1589406	57155162.269586205	52933330.605747625	25171935.466662936	27086928.38927464	26699048.661885403	26921092.862771176	24179025.39033298	26638708.5389478	26896570.59519997	24326307.87693675	25281799.977914076	Q03640	Q03640		TCB3	0	2.7986926725615095e-16	1.0784079418080617	True	0.00024349129050383968	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P17505	128452537.5177748	138684592.81072852	130221379.89922462	131259301.31849848	128676792.3430603	124312873.72184192	133896245.9913215	132426467.03476451	127786894.0758676	73882009.61658022	68942365.59746164	72255209.68031903	71309748.17209785	63910864.504839234	64722280.00183416	66097869.37297003	65016019.16307549	67242607.42781872	P17505	P17505		MDH1	0	3.4289753258280166e-16	0.9386903258047529	True	0.00025285634013860276	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0ABB0	16457855.006252602	19608239.41024654	16958144.95156108	14311715.19641446	18113048.68307125	17128230.45303122	18620810.683630537	14464603.750828044	16132488.985978471	81279572.62342288	80465684.71201317	72178734.067259	73585099.25389886	76402655.72990711	77024685.20611037	76217933.29003525	77524111.83240017	80038574.62356202	P0ABB0	P0ABB0		atpA	0	3.453530796467361e-16	-2.194299934094118	True	0.0002622213897733658	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P40185	320287970.7989739	342821703.6443281	340280511.98503727	315399828.7228875	321173536.7427328	320123793.36828685	333929851.3139869	317473878.3282209	330119842.5148287	172306041.3086346	164968757.02540165	177350030.5309632	171470397.36581466	150482771.3979615	163259407.83884174	172286190.298476	164320318.10757348	164521987.12950864	P40185	P40185		MMF1	0	3.489470893159321e-16	0.9707152339115991	True	0.0002715864394081289	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0AA04	6416336.358827607	5742232.192549972	5018330.044223199	5676150.2876660805	5652029.503337023	4274785.734284461	5811683.175736224	4986738.795532459	6070372.776409632	26161249.65259505	25050576.71791309	22682032.610007707	25599213.716464803	25334450.85265051	24847113.652980704	24199021.18344784	24678253.212812856	23684687.47466899	P0AA04	P0AA04		ptsH	0	3.839665668536622e-16	-2.162269774101432	True	0.00028095148904289194	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P16120	217694814.3591081	226631804.3647436	222875080.73348832	213285152.46046072	212421855.08244345	205087104.66328207	214677024.9749404	215916724.13536036	226742572.4244809	107329408.69761965	108177625.98268074	94396561.00796868	95609686.71317735	102225925.5809385	99674529.65257156	106937082.73624538	105276674.69522904	102380491.09123649	P16120	P16120		THR4	0	4.174278294678027e-16	1.084562532868347	True	0.000290316538677655	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P07913	2802463.0124135604	2775705.7215833887	3566256.3430924867	4469677.23724423	3992907.232638067	4623113.045705736	4412567.17052309	3830445.2398763727	4807788.86925007	17052621.25616837	16805110.57406471	14768230.49304629	17219553.85804457	16050773.423011074	17158559.046618436	15834350.563015424	17455674.555771343	16888972.52641631	P07913	P07913		tdh	0	6.021875759560861e-16	-2.0806145313546436	True	0.0002996815883124181	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P28777	61675747.72939956	63896553.11656348	67071355.81220188	60673130.57409489	61219875.25133608	60528928.63639282	62093011.12266199	60616202.98537959	64196879.35361639	30947116.134649634	33391205.13184106	28535288.097843107	34082068.897247344	30284871.617796287	30066016.80530668	31194354.725641407	31175427.6870987	28398209.477179423	P28777	P28777		ARO2	0	8.536711130611333e-16	1.0150256843076433	True	0.00030904663794718113	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P00925	8071037675.709732	8451487365.695405	8809312186.862719	7935497300.082569	7995831790.445801	8473016437.348408	8226446175.572515	7957462062.17679	8254623333.250868	4426158317.93823	3985397282.3647575	4467694934.78502	3822932479.1554937	3730311512.575068	3947960725.449576	4060626056.2691255	4277824642.564588	4029227180.9633694	P00925	P00925		ENO2	0	9.274774982967315e-16	1.013256504953178	True	0.00031841168758194423	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P38221	13282264.206681555	13738626.87192374	13318159.003017783	13149655.322369223	13723870.938255263	12640810.910597503	12709125.338620195	13446234.333486523	12826076.169890633	7101422.058307981	7382836.366661321	6852133.694998247	7378018.956935141	6961107.374804987	6919680.537901386	6594921.1409354	7355956.882161832	6736888.586146402	P38221	P38221		CDS1	0	1.0657711113382033e-15	0.9090685474472756	True	0.0003277767372167072	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0A7D4	23698599.74258302	22667598.483164072	20300033.901067555	21713882.589853704	22977128.45352849	16729219.667574266	23533544.272222698	21077016.5787897	21906081.987160496	92770702.78976716	98711305.34055649	85381283.63906303	90773621.27003704	90218010.5909866	87936766.38623944	90379276.89577577	93116121.20194209	88535584.15241319	P0A7D4	P0A7D4		purA	0	1.1449007896439752e-15	-2.071253324535684	True	0.0003371417868514703	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P02309	290822086.5284846	315682463.4517378	301241281.7478676	308331362.67553145	287455331.5295377	285711214.0209253	305260138.00838035	297850625.42059976	300546444.27733594	151947922.7882328	153573248.21823847	144656561.05887204	178388672.88498482	143785096.38147807	150618890.18619156	149364186.97397044	148054957.5165778	149219819.72427484	P02309	P02309		HHF1	0	1.181138566329232e-15	0.9753967026417154	True	0.00034650683648623337	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P08566	101720688.74081872	104571363.35660586	109378363.53178523	98094477.5015878	98896448.4216755	101441751.82713276	100986210.90151128	98878995.7188376	104316036.94461508	52943871.27160464	54423432.784754366	54933031.443535306	49106336.5983121	47299319.92328927	53408349.30056624	48958699.39779981	49809049.63622183	54947660.09264083	P08566	P08566		ARO1	0	1.2060463144188198e-15	0.9791381570083889	True	0.00035587188612099647	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P07273	3625551.900985121	3633394.781372862	3412173.8560295864	3311544.4807982477	3629372.562503629	3649248.1931716353	3792286.728246456	3561798.575387011	3460599.248941275	1482343.5025093656	1671636.8528998955	1276174.6219179418	1419784.507259354	1391307.4151889454	1575378.344664448	1567473.590893644	1621057.675630744	1660941.2490245264	P07273	P07273		DST1	0	1.2471932916351056e-15	1.2308915565849454	True	0.00036523693575575957	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P07213	55695763.129658185	56345918.55221952	58919343.30845589	55093672.34872821	53813628.39833293	52683163.48870671	56848412.14893752	54685208.20704126	58416482.68984121	27243066.564398915	28194416.34574276	28334959.313261077	23459201.58198854	25815377.81190781	27938748.428126827	28477624.33660944	27029613.97340844	27100382.68025431	P07213	P07213		TOM70	0	1.489121731154016e-15	1.0446531759261066	True	0.00037460198539052256	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P15019	526994875.0621991	524296599.5421188	513102695.5219657	516356549.3805471	489695877.2607799	489740785.1975314	519901274.316412	500645569.8753392	499830773.6367574	261586053.976713	266241014.33056653	246888853.3655877	253519118.35952044	238513446.27022988	250808672.59491172	249546358.28178445	250430113.7832995	249638957.8757789	P15019	P15019		TAL1	0	1.6082627799170348e-15	1.0146313410426957	True	0.0003839670350252857	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0AG80	5076828.681864139	3283760.0982667943	3179154.6479103537	3882052.617361599	3275467.913726462	4444253.400478013	2738079.892198582	2268877.740235599	3870998.071998914	15937107.031225149	15895837.88215968	15468190.36053138	14316919.246893523	15110794.542981014	16322692.609544003	16947193.212138616	15475761.769723028	17154935.884141758	P0AG80	P0AG80		ugpB	0	1.9602968309636387e-15	-2.155250251180929	True	0.0003933320846600487	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P23254	474647950.23154026	440145667.5604004	457081890.96224177	445833017.3976184	425151125.301965	421688484.1032664	443408106.50831926	462816215.94058233	440822137.9466022	237359870.72265092	216192378.70336848	196662128.8560556	201512932.7785322	224001906.79374385	196221953.75665453	220017052.16093388	222839009.29060623	212384159.45246792	P23254	P23254		TKL1	0	2.058302601738397e-15	1.0576759621836265	True	0.00040269713429481175	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P00817	590413905.1798778	640560349.4638296	615048998.5913504	595648455.5403575	590519205.6774881	572796522.8918751	619961935.6405442	573493959.6347208	602428870.7160205	288410160.41041243	311701785.3352258	340230827.07815623	309017293.172009	266651803.67236495	287781776.6034824	302466936.2212205	304793854.5053822	295568789.45093465	P00817	P00817		IPP1	0	2.1514445821899746e-15	0.9966983391180746	True	0.00041206218392957484	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P15624	83101784.25544226	83688537.67029384	84947612.77814454	79561075.68276471	83260298.09101053	78428794.86110207	80087336.29666394	83510920.9147159	77820488.840429	45514807.64360192	42562614.87798154	44895540.16998815	47569338.74442732	42919021.8636104	39700980.40937824	40028517.8306625	39179704.05629744	41429760.17762049	P15624	P15624		FRS1	0	2.1835785530697407e-15	0.9362237282529736	True	0.0004214272335643379	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P53278	39335736.18832267	37275697.31477525	37115187.545018494	35298422.43877667	35261905.24516575	35964674.74768315	36733599.58595421	38007381.05642517	37176229.33340232	19519739.61089561	19769518.00469486	18415750.672226965	16847541.64053916	19076119.34259008	17359201.58857752	18720544.987591542	18675244.93654655	18325229.913731422	P53278	P53278		YGR130C	0	2.3616302973753225e-15	0.9945856690235515	True	0.000430792283199101	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P40037	48370790.85994698	47603667.886485	47780793.41556371	43603183.45209709	46621742.16857914	46587672.47935942	45375928.15826425	48560324.74727467	49010762.37530171	23378604.958592217	23216800.61919628	25567460.14241534	22005589.52234783	22077449.539999016	26901583.012664445	22634140.83713268	23260139.071001835	24551580.94338587	P40037	P40037		HMF1	0	2.534542528075222e-15	0.9875458878044604	True	0.00044015733283386403	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P38249	127882414.51347382	124116162.203272	120162314.56654064	119876824.74522956	118358048.3425823	111387959.23496965	122876513.94025196	124293208.20302436	123022531.20541178	62253745.58991237	64893648.02188613	54259158.80592547	56218458.991291165	60637544.54583772	53945223.90183729	62906997.53306299	57939834.904295176	58374057.57179879	P38249	P38249		RPG1	0	2.8217569007708927e-15	1.0389931513709845	True	0.00044952238246862713	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P39976	84303193.73647676	88275382.77687667	87890512.31961754	81396509.31223369	80850189.65593037	86613697.37549907	84544838.85971357	81340799.60973635	88653809.70682456	41598413.92390118	45023417.44823165	45612471.47029868	41993475.21569599	38459989.57549569	39151510.95661999	42381380.099315226	41269767.11076326	42708939.00411874	P39976	P39976		DLD3	0	3.160482024299199e-15	1.0141781778274752	True	0.0004588874321033902	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P27250	687869.5577528737	1037855.567480588	591685.2004676523	1042845.2673211684	893181.616498024	484119.42711401056	695989.191244675	933974.6131089808	550330.7715694341	5462831.8580434015	5372112.221902377	4909281.460239632	5060701.914707305	5242738.340880183	4474685.660972254	5326802.803794764	4908723.190243739	4989567.051694405	P27250	P27250		ahr	0	3.6116707314958306e-15	-2.7252952652478233	True	0.0004682524817381532	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	0.5
P38631	23280569.22140572	24709505.07206467	22730247.46227594	21862788.79276789	22990619.812108103	23062629.57237813	21722128.44897028	22867222.336625237	24103228.49667457	11195637.215742111	11451738.446511148	10544138.658994569	9017479.033439942	10948574.753702698	9522964.632878248	11262219.330112103	10677249.618345903	11534370.98146887	P38631	P38631		FKS1	0	4.089129091699512e-15	1.108497132066605	True	0.0004776175313729163	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P0CX31	454821198.6579434	502504140.4066911	478933068.7461833	483174505.9191945	450497763.2194866	445094406.3497968	471464177.5454669	472487488.71596205	476917911.9852205	217833364.3381153	241093890.9631217	242377261.8608364	273032029.55267507	218100082.143011	240716132.5261714	239256592.35186148	233077318.39636075	237266983.88224304	P0CX31	P0CX31		RPS24A	0	4.225718220314467e-15	0.9832007142030096	True	0.00048698258100767937	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P10081	750195313.6332128	775778441.0945662	796368217.4297612	693386076.5584049	731011824.307197	746824923.8369693	761260680.4920068	739457853.5169148	743698811.5581297	387792952.8120504	413509448.5070834	341404404.866088	419287763.4138063	357163291.90439594	360935099.7784347	377848032.1353359	364971259.9985967	368901986.9464428	P10081	P10081		TIF1	0	4.349084701876947e-15	0.9902594449890242	True	0.0004963476306424425	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
P00899	39819769.82438203	39467955.126934014	39995345.18854663	38164527.82312438	36597123.65870588	36853193.00120352	36733262.769595794	36857178.3878322	39290686.45937785	18938229.254443884	18983947.73768714	17974777.594461422	16062118.966566566	17444605.348344903	17755230.234543387	17402226.51297615	19003823.83661766	18857427.97212286	P00899	P00899		TRP2	0	4.905286656872887e-15	1.081731096837476	True	0.0005057126802772055	True	True	Yeast	False	False	True	True	umpire	directlfq	min	0.5
