protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Ids	Protein.Group	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AES4	14227623.23446393	8757336.205823388	12291847.085733209	11169237.676213635	10304715.147495862	9461269.80532237	10141401.177513534	9509633.445993356	13616944.85921956	57081897.52650852	56371865.04080677	53471559.9821188	57946955.46174933	58258618.48685074	55923563.31990153	57909970.31679402	62491252.61297008	59699053.23099393	P0AES4	P0AES4	0	2.7079988782059344e-17	-2.383686065305544	True	6.637702148201787e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P23254	1647644232.957528	1557609954.22379	1675490252.3946157	1647927186.6281474	1550490060.5158074	1548501658.7167544	1580970243.732025	1596788996.1967394	1596138547.574084	776523650.4443966	729086250.8328294	785666919.5799645	677586156.1126993	783900159.8004804	738072574.0513667	783548823.2643633	780244960.7384577	795672447.90748	P23254	P23254	0	2.960359674810028e-17	1.0719857239866484	True	7.241129616220131e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P23248	3176468531.260305	3281410709.498153	3173777661.646799	3182650009.0338883	2977147987.4794226	3047032430.419628	3175431584.328732	3066393091.6434426	3158951863.739628	1520552211.573164	1510207129.7395158	1335100777.0279455	1541398742.7011008	1445778867.8106952	1414296217.4747615	1564508344.641758	1509800297.8272882	1464892701.5262406	P23248	P23248	0	3.010915114723981e-17	1.0855675052487277	True	7.844557084238475e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q12499	265764859.4739702	275664193.2548579	281072096.56846493	265958794.4820033	255970195.65900853	264419587.0840349	266781018.42432296	259170779.38394192	270898209.35598785	133161994.59746394	128866941.3388002	133721873.55851276	118257088.22556752	119985591.7473088	137313979.22825077	128757499.8502532	132794134.21555664	138483457.62011912	Q12499	Q12499	0	3.121985669994426e-17	1.0382935291774977	True	8.44798455225682e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0AEX9	308915433.3085834	302252143.89181805	292828383.9355517	279367781.86405	292222920.02391684	275029342.1886297	277385045.63905084	341322613.19318604	286105716.9775486	1282376279.3407454	1181402591.4025865	1280044925.3846064	1288218841.6556926	1222876135.0213072	1213319699.5657103	1220843180.2408257	1269527916.773734	1226946627.6267743	P0AEX9	P0AEX9	0	3.829091081006388e-17	-2.07461992782023	True	9.051412020275162e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P05317	2272506236.764089	2236467762.4325786	2247341840.0583205	2150356054.4432926	2111638214.1647344	2176160606.3375406	2246050918.564304	2280706777.6862006	2298505261.1260257	1084151040.4891882	1087822040.1261656	1242823282.1414747	1124113976.0952778	1021085738.6911896	1052757218.4102384	1088695277.8068938	1109900005.7276487	1091310774.618868	P05317	P05317	0	4.1761605332021017e-17	1.0155348643512287	True	9.654839488293508e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P60438	47047439.94833299	44021752.3870521	28724940.30495465	39055297.16669688	40047661.37019613	33050887.88733405	37010036.745316856	42344438.44430981	33397562.380515665	184748383.3107637	174998260.07720894	171689742.0266592	182524595.9232442	196095283.2420008	175542452.47090843	173650186.46112412	187116951.96332127	183509797.5450777	P60438	P60438	0	4.762452242958273e-17	-2.2413486286763424	True	0.00010258266956311852	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P25343	115912323.68665634	113945451.98373502	116375071.89476667	114277239.23796631	109101281.84792432	118812803.61945118	113045396.23096772	110478185.11629672	114964188.156952	52257101.62767169	53644882.38774755	53236928.08894403	49656402.21800417	53044731.44043342	62460437.34224874	52591750.56888822	53505217.04314709	52056659.32642244	P25343	P25343	0	5.456889937935063e-17	1.0898488470289713	True	0.00010861694424330196	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q07551	615345120.4148933	626802793.8320094	633785562.5897186	588891187.7450103	574863851.9026773	622097451.8833443	609788385.9321351	606523403.6708896	627276350.4146464	280288510.49751407	290143154.77066493	248418164.54460344	308918702.525227	286890592.5320112	276785951.33633566	298727378.6056311	274797923.4079417	286838412.2593069	Q07551	Q07551	0	5.86561866412437e-17	1.109320372415338	True	0.0001146512189234854	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P15254	66800.99946900703	33682.76185417935	71389.35561504764	52656.44822399959	5182879.978216437	72084.26238152731	1607069.220079137	52184.13399835013	39806.19090300663	34198348.460520655	33391202.10087549	35433072.70715353	37112439.00927083	34621322.4614104	34120615.497762896	34064740.19178033	33551747.827072416	34727174.187332176	P15254	P15254	7	6.394070919870196e-17	-5.438100900164948	True	0.00012068549360366884	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P33892	587391732.8503957	612470261.3574245	584701099.5719473	597809884.6311074	584005265.9306854	585725804.3581172	576703738.1958253	570944904.1486723	566718178.4804075	270378855.4826873	263059293.69207013	266784039.2763111	271739434.27270204	280654198.0346346	268045606.9348373	282570719.1329429	275377426.12551486	286506950.88112074	P33892	P33892	0	6.906754916847728e-17	1.0951806738632053	True	0.0001267197682838523	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P32861	1107138398.3289893	1085427646.5984707	1060554376.2024614	1072587490.6739588	1108676799.4500904	1061808350.4708452	1032395653.5043032	1105963651.625679	1088054553.615769	493558693.54584914	517862057.3190116	444043230.6198967	506835557.1250527	468321747.4598808	416786979.039961	508743378.2377495	492561046.6893735	515079197.22930765	P32861	P32861	0	1.2708423324076796e-16	1.15576089518799	True	0.00013275404296403574	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P07806	973768387.6641706	1038335593.2862751	1011942208.4477848	976566038.479054	965882444.4585078	968515812.38859	969467819.282533	1007423536.6421592	974019421.4490927	497401252.8739256	491569391.1831787	464125312.8002125	478113621.5528019	468464888.3105811	449903995.3894653	486695335.0645105	467189859.03116965	470540361.13243264	P07806	P07806	0	2.2114125169245527e-16	1.0559330936682312	True	0.00013878831764421918	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P02309	867429952.1151975	875604284.5109605	900602233.6340145	888960522.038626	846246843.6816262	850591304.0373056	872999394.134346	890784482.6135108	845609684.0195148	417942365.83787125	436446118.6622348	438372849.4491157	500137113.59025687	441304636.0053766	461979189.4152713	423058168.1497574	430981945.8106256	412999727.0053229	P02309	P02309	0	2.290788522288331e-16	0.9839642753603641	True	0.00014482259232440262	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P10081	2361200106.5217023	2450882934.661176	2544139424.4689136	2355118142.283205	2340652165.8424616	2344629194.664453	2382092694.3736706	2364364083.277613	2249275234.954417	1131904666.7301135	1108533748.809917	997442436.9651272	1260969284.7558672	1069601736.8601286	1053183358.7728394	1153810304.9970498	1124917077.3512957	1096645621.8037815	P10081	P10081	0	2.344399326842792e-16	1.097526927871223	True	0.00015085686700458604	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00498	256929676.72006795	270616775.3912674	256989276.9867819	251076670.2305672	255821839.618172	256819547.92431408	248662014.42789537	246908542.913708	254171809.5282586	125181323.5282794	130203912.73337802	132369565.18069206	140152363.16477996	127726104.28756924	126632244.87315536	128990567.83116998	130024886.72099511	129937936.83262308	P00498	P00498	0	2.9122930154815824e-16	0.97236563719351	True	0.0001568911416847695	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P77455	66800.99946900703	3246075.4509215974	71389.35561504764	52656.44822399959	68345.26959387641	72084.26238152731	67036.65912848967	52184.13399835013	39806.19090300663	18532463.9220645	15878541.343062714	15977261.983633677	16766476.17596891	16277439.70119168	16431672.629587805	17195529.419535093	17181935.183326516	18709669.28884945	P77455	P77455	8	2.9723072827982605e-16	-5.35528491777296	True	0.00016292541636495295	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P15624	309752516.0441162	308281932.9711136	295224981.66482675	310079891.9753483	301521814.092155	296993055.9571159	321742115.5223973	318549354.9285519	290372803.5572586	141819235.8626381	141808002.6423484	154768319.75730792	148428574.1173591	140746307.08973718	129637722.86480652	147750103.58264208	136101025.4273601	131845244.41829608	P15624	P15624	0	4.118471234274953e-16	1.1126280176464847	True	0.0001689596910451364	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P80210	524409879.95878166	556207675.5550089	531835388.5719894	512036055.3228725	537852210.336906	541951781.143306	531494804.3040529	508943900.2696929	548075840.7983612	276130491.0369937	243927399.9748319	256535714.8518853	253443801.307912	249047629.7433117	266092195.32737583	262560792.62216195	250488534.9814901	257900757.3532565	P80210	P80210	0	5.302265252462471e-16	1.04915644687196	True	0.00017499396572531983	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P35189	29369289.347202104	29461888.653298423	30061459.712377284	28418663.828836832	29622429.70729484	28836485.16180969	28260820.95507352	27794471.086069323	31056253.95488303	14855801.556658767	16168991.500680944	14288831.797651866	15107178.328919267	13147034.390879488	13546335.57774848	14321896.943931146	14964250.334430154	14583233.090343053	P35189	P35189	0	6.184912204321221e-16	1.0050283812005472	True	0.00018102824040550325	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q04336	122437219.6338958	132303428.02569428	134095626.25315093	122067612.8816035	124981032.79443206	128257519.8292143	127132029.0430698	122530017.16575974	122981595.56915152	53591960.94645019	55226978.74193315	56688006.37309486	46225962.33092124	58493011.1167312	64429273.11079428	56094772.33982586	55571302.688875385	57584127.75762838	Q04336	Q04336	0	6.230001890342128e-16	1.1737359867495465	True	0.00018706251508568671	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00961	12913286.955271464	10719064.868123744	8352919.089803105	18357459.600024644	12426654.263409408	11010452.318819877	13189301.740836954	8690501.933702052	8560139.039564453	57142174.46428964	61132428.373563305	56393544.07242756	65092285.13147474	65682609.14455967	59406215.01107687	61138615.1040166	64582065.04767787	63263996.29500432	P00961	P00961	0	6.29843962894011e-16	-2.4098243365257614	True	0.00019309678976587016	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0A705	94021833.5283126	69027315.59652518	72511296.81282479	59776212.07521987	76981104.60653491	61570479.47802016	58437713.36976985	68403035.33753541	66675333.06724198	336281258.1010301	316920194.7778025	323356728.4323675	352369651.34277934	297714194.4311592	313046274.1579887	315032573.23942447	311305512.66524094	316283171.51291406	P0A705	P0A705	0	6.663452363865292e-16	-2.19975791166153	True	0.0001991310644460536	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q05022	216052519.567787	222302144.8897221	226262118.06126943	206828616.39846152	210619350.164493	207700205.02752256	204643818.5301259	218291670.7942536	209881135.4647208	101168661.9371969	102152604.36229368	95135264.69940892	91835461.61703251	102728618.59184822	106978701.8902342	98099750.92095296	98923290.6731861	109501221.78625888	Q05022	Q05022	0	7.861610817879307e-16	1.0846283692923482	True	0.00020516533912623704	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00946	66800.99946900703	1869962.022906349	71389.35561504764	52656.44822399959	68345.26959387641	72084.26238152731	67036.65912848967	52184.13399835013	39806.19090300663	9820414.625716336	9236064.08040453	9737729.340416055	10980379.835111296	11080228.712898104	10537322.263319146	11370112.126428982	10766864.142559333	10557596.774096051	P00946	P00946	8	7.993749075369078e-16	-5.3169700196307925	True	0.00021119961380642048	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P00942	4311617462.352872	4278404960.356307	4599795820.883948	4484762530.628349	4191908694.509431	4428693514.339507	4305322903.223644	4140299193.271287	4455219626.943538	2052132844.367544	1968876401.8763504	2315631405.68894	1982049428.2859588	2107304414.636481	2037330243.7986965	2037425025.023038	2147422809.8275232	2077264588.866808	P00942	P00942	0	8.782757161147479e-16	1.065707942320708	True	0.00021723388848660392	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P27472	455371335.0106969	438312641.5236379	448592830.45332855	434090143.5407884	454163427.3784639	425194314.8776969	447401912.9684102	475392586.8503312	435408435.79145074	223049295.41170144	205973757.21074	204142739.01459363	192808259.3005121	222434768.29608488	199496907.9225636	208624153.5992909	205047068.0079073	204451364.37401155	P27472	P27472	0	9.562903394004741e-16	1.1050437286848982	True	0.00022326816316678736	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38431	277981049.2270768	275635994.26089764	262736387.9909573	266997879.6712808	257350560.3487849	253998231.0458664	253382737.72913703	269107521.34617865	251447804.5843905	123321098.77682088	131239880.12038574	114625387.79513536	131907655.53125274	128439163.49231651	103515147.52990824	123500142.21908665	128697935.33884127	118474415.69366013	P38431	P38431	0	1.00235655849703e-15	1.1016825238090306	True	0.0002293024378469708	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P21954	493494561.0862837	476409976.2985004	485752748.365864	495353959.9555286	478082277.9206145	445674336.8824811	472284622.148629	505122644.2311454	492152615.4400324	230588258.5878188	229478832.56785583	238961446.4714525	255565904.7132551	245938338.4831982	213793506.2935397	216649401.88935184	234645024.953772	223201341.7449633	P21954	P21954	0	1.0730154081055603e-15	1.056443350089973	True	0.00023533671252715425	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q02725	321799632.80615574	328514332.0220584	302856346.7819466	309626488.1747277	297136045.5451762	293032957.8687634	309311535.95932335	317239725.6622458	309264769.25497305	147972150.79627746	145993758.92521852	148349919.21582898	127320928.04304822	157418126.94072998	136404618.59270176	148656956.42543325	147097930.93288168	145132116.4205381	Q02725	Q02725	0	1.313551246273206e-15	1.0963078972240288	True	0.0002413709872073377	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00931	413190795.7836372	419701007.12289166	426342126.07198673	396619706.1336947	377550582.08421737	409851289.5273196	397756444.5998584	400034089.98309785	404070977.05493903	197785276.38003832	195226160.62177253	168392500.3016795	199030676.0184742	183384293.49109903	181783907.50570363	194043195.9759568	183920920.2673472	192165476.8838786	P00931	P00931	0	1.5999911012322737e-15	1.1040566043090982	True	0.00024740526188752113	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P28777	166867317.82270485	164614652.9327172	154905968.8283563	151769002.2505544	163397337.9055657	166675749.4058532	157974994.75409663	155994625.29922518	161589932.86800212	76688015.22372611	70842977.63579775	76517740.11115544	79873786.6067033	72802538.43155918	87413555.71223767	69577116.73196551	66916588.15204692	71204987.61011747	P28777	P28777	0	1.6321658429184763e-15	1.1036766853204663	True	0.0002534395365677046	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00360	29784416445.53451	28528740391.939507	31111985132.90898	29632777207.22423	27180616346.871094	28888115880.944103	28377575409.2195	28638756631.43904	28368621757.959187	13189753598.391026	13683351089.054058	13380737065.605412	16267782311.568552	12797828029.49778	13156081424.986506	13707157772.344831	13057744151.557247	13210443109.699509	P00360	P00360	0	1.7174713128178666e-15	1.0891445178484511	True	0.000259473811247888	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P34167	539497598.836104	501970607.45719016	518207601.10795367	519868260.62831765	484489221.4654181	482738228.1912055	500162093.8892735	529350290.1007277	499032156.2619669	254318970.94441256	236579101.77879244	234066238.92650944	254927381.2981177	236346594.9319597	203651084.73120624	242045881.61907205	240963252.2031721	229587995.8573725	P34167	P34167	0	1.908389305172189e-15	1.1013347967267744	True	0.0002655080859280715	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00549	36322677900.78892	38594403145.85101	38073609918.434105	35741372888.36059	35398631148.04362	37701172859.75325	35338094567.50418	35324605323.43639	36187615478.00533	16698635868.118418	17103435707.115437	15175034831.37958	17843046747.532227	15976249839.54382	16818738015.51276	17348132891.961	17461315552.563747	17282286663.403732	P00549	P00549	0	1.9409076964188356e-15	1.115406777581896	True	0.0002715423606082549	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00330	31654546819.396065	30843764166.65773	29617048176.36459	33292491030.52781	29956158731.74218	31266977100.39216	30335236911.85178	30593981598.681515	31305944237.94668	14321743661.901585	14601346098.007896	13993172597.19509	16457272149.229006	14337068838.200905	14491463752.50664	15005753852.46208	15320911917.313583	15024767810.322453	P00330	P00330	0	2.22492642664769e-15	1.0621550258815382	True	0.00027757663528843836	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P10659	808135234.5986102	894960979.8479593	821535625.0954881	781044040.8321086	818098552.761812	798449542.1369145	846050075.7110045	828966024.6863875	831098409.4075294	385590185.2271292	403511638.7046012	363569007.8230812	435257899.9212774	383321478.0774276	387803336.3842646	412573297.4234924	347250346.6309052	414548783.4772724	P10659	P10659	0	2.4626672234120356e-15	1.071971871236587	True	0.0002836109099686218	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P46367	1209650244.663725	1189563542.9019585	1300808604.1790826	1196869086.1429825	1156433402.371767	1255343862.589798	1207970936.8889346	1201652655.2123811	1251327278.1132066	606185435.6738466	577113811.0055486	602527077.6619903	666469561.2612625	562163651.159101	595258196.1096555	620029593.8834527	584220746.1646577	613074009.3392181	P46367	P46367	0	2.7942286954769693e-15	1.0152754983830046	True	0.00028964518464880525	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53278	155728710.66223595	148887769.6772763	145377769.98949558	145031142.56823868	154698485.86715737	143341910.16745055	158506252.57171446	142367829.90059614	143347118.6743722	70277914.7904704	69812047.10401005	63477942.37305816	54647569.05691861	73998005.38457677	64884607.26205009	66762325.119220965	67627198.03667884	70877516.27763887	P53278	P53278	0	2.9152302211960435e-15	1.1505989588432284	True	0.00029567945932898866	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P32499	185569514.9866176	182098275.032992	185866394.5546201	169560520.56017902	178666833.78838748	168707446.7728811	172780205.06209388	173828755.4193479	172716648.64129776	79144129.74162418	84735966.30119452	79624515.99356864	78867561.03568447	72683665.15917012	85815981.04228172	86999388.5427298	83585832.38163556	84345698.37827323	P32499	P32499	0	3.0236352628194118e-15	1.111449426990799	True	0.0003017137340091721	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0AAT9	21555397.10041655	16792686.6829878	12569391.371538475	13889649.892745884	16399173.504267462	13814625.82816461	18583028.83726894	18379861.14733465	11895943.325710492	56207867.82782816	60713797.14183339	53211582.045873545	59465228.19168283	58783833.91546356	60405589.06540765	59939850.90151117	57591808.81462969	60689340.31579157	P0AAT9	P0AAT9	0	3.3194923583172226e-15	-1.872963686155032	True	0.00030774800868935555	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P15454	337744433.58237696	341752565.05924904	348088358.579195	321874124.30016124	318594720.56729746	313422951.9127203	328710688.0542944	319292019.2150963	316858772.37288684	136796432.58142897	164695064.44328925	154154808.71117944	152804987.11513814	156543029.82259446	162553140.20656186	165422225.74074566	162883399.03387478	159622243.51837292	P15454	P15454	0	3.55405632207687e-15	1.057636647950904	True	0.000313782283369539	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0C2H6;P0C2H7	2521728631.0018063	2453355768.2276573	2269092413.302441	2346578663.0755525	2350425502.690199	2299961669.699824	2301057149.163662	2397617826.567704	2244077207.056653	1220146353.365296	1191109774.6172729	1091972539.5710342	1287824951.5481012	1220591956.6122663	1063433674.3003756	1184364128.7716677	1153382154.877047	1104428627.4953885	P0C2H6;P0C2H7	P0C2H6;P0C2H7	0	3.665450311528077e-15	1.0102097691204759	True	0.0003198165580497225	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0AGE9	103795598.35360035	109621797.27465044	90285521.90766048	96036276.20658109	94469440.96412414	80617272.66849042	104128564.26341322	96035667.35561287	97467844.37012777	473058416.3324121	434689937.86670464	431761428.5823699	420643172.8679938	456567685.2834147	432074972.69600654	447903574.7070556	467030995.4076384	453792608.66957295	P0AGE9	P0AGE9	0	4.00422759265625e-15	-2.203148649223622	True	0.0003258508327299059	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P33416	226012417.1591151	221664047.26134944	203474184.4136802	208731287.22246817	216428494.96250743	200801576.24762663	205236070.63631427	209168361.0379008	215093343.2116851	101881032.1444544	100669119.80450463	85622618.37221076	94610179.75495988	99230341.92191029	86604034.63257611	92322460.6981722	95520059.077129	99784964.37641034	P33416	P33416	0	4.781180711127841e-15	1.15491435876691	True	0.0003318851074100893	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
