protein	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0CX47	5151118.856863438	5211490.496144342	5134133.4392511705	5180236.772049699	5156471.843356613	5057928.744772329	5095527.253728887	4912553.327797239	5148130.587066467	2981013.782948839	3119025.365377365	3016773.3497640863	3086577.529933372	3014725.3187262807	2938645.832130323	2993712.69589354	3172703.85898839	3032700.320326863	P0CX47	P0CX47		RPS11A	0	4.55419786262591e-19	0.7512748298183907	True	5.325844872663891e-05	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0AB77	71004.21288391226	89793.75176808858	80527.92369644936	71355.84310408564	76638.51482358626	90487.82629481392	70395.36788904133	65378.88780204893	77704.1667620662	276631.9358504976	276787.5703003163	274231.461830912	281649.00648510526	285874.1921264459	278241.1212858045	291907.56802245486	283028.0277667731	293633.4791180934	P0AB77	P0AB77		kbl	0	5.693764643242457e-19	-1.8744315927964146	True	5.8100125883606086e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P23857	76104.52121035496	73105.34337190572	79596.94921654854	74301.97561219176	80794.86148608818	68625.25969032438	68008.04781935645	60450.39141333816	60203.08288721754	251427.14883544733	236849.85598710825	254850.31817641808	259217.22979399245	252100.49328198345	264300.7168749676	261881.61375439295	257241.99768806697	260657.98765846677	P23857	P23857		pspE	0	7.518621731543884e-19	-1.8418850362279457	True	6.294180304057325e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P00957	140404.98786691265	146454.08389487333	144924.47465409033	144714.51539964273	131030.19026484375	139328.00466539364	166913.86791259432	132078.9263330006	126628.43408533918	391658.3339207727	417593.9669524063	400984.2736072666	402874.7518510327	404536.4539517546	422287.23923807766	414995.4008861906	415278.0849603875	414354.6433280228	P00957	P00957		alaS	0	7.598014273138827e-19	-1.5338534500036138	True	6.778348019754043e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0ADG7	126102.34752137716	153706.36753322987	160137.71235133015	172429.46690045373	152451.17881367716	151804.17583031158	145151.4755164589	142753.9385413837	140655.9003177969	486259.8037928525	518210.3504165037	531728.1832038041	545452.4176400318	515376.7121341023	521258.40803413815	515110.0415260186	512127.0727559248	528111.5275493526	P0ADG7	P0ADG7		guaB	0	8.243344211599886e-19	-1.7967322100212266	True	7.26251573545076e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0A6F3	814287.3754046109	857762.2853133444	818524.6427704402	835365.4229375344	880621.1668935318	833197.125305477	806749.3929883458	782340.8844829722	769914.5856616704	2950763.4834839283	2934136.721668939	2920151.4082246763	3099165.1218364383	3064786.6485820008	2920377.7651585056	2966500.571093559	2992455.9807225256	3006166.253640233	P0A6F3	P0A6F3		glpK	0	9.130955440123688e-19	-1.8598081042407315	True	7.746683451147478e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
Q12680	563289.9081613197	578029.8890675793	584467.261982684	567727.2619187869	575890.2240824095	573367.1505020978	547618.9193202863	581081.9548353936	577403.4695011757	328694.6399109239	310554.323143792	336881.37752098136	309925.28878637974	316102.34178226866	320044.2080770734	313146.8199249099	328908.8084865426	318828.3549726517	Q12680	Q12680		GLT1	0	9.268501515248759e-19	0.8366435840607411	True	8.230851166844196e-05	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0AEK2	28393.81070022068	25939.17212407561	25877.69239692177	21351.833938990167	27737.877972980627	24422.076479847685	28209.7419938096	26945.693959288183	25409.32358549284	87861.1129814847	86152.05079167041	91611.36316711055	86882.13123552874	83731.9817138696	87261.97716670236	90118.6004378878	91096.24791452488	91512.9352995766	P0AEK2	P0AEK2		fabG	0	9.987087921689201e-19	-1.7649040528993145	True	8.715018882540913e-05	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P32565	430633.14948299626	440985.3054476337	445342.42977397575	413764.0833846048	427198.9072068147	432004.4276892521	429293.0428734187	430542.8079270911	432214.1198864208	241390.0230219924	245496.2837738864	226192.3615599709	234098.61683333176	236045.58544053524	231320.90494009087	242069.10944066223	249348.9331697861	230115.04060460036	P32565	P32565		RPN2	0	1.0342640076834773e-18	0.8618284857433589	True	9.19918659823763e-05	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P32497	551260.1221131309	538716.0067175028	553465.1253060619	528258.0422815229	530704.9656946065	524181.49724480737	531506.7465471571	546940.3251303773	542855.6818504911	310711.2971334027	296377.7671301792	316124.1330617913	301536.99518393824	302465.113954638	310443.5907336123	306184.489655633	291186.4100442645	317291.8469757531	P32497	P32497		NIP1	0	1.239339147694865e-18	0.816707444267888	True	9.683354313934346e-05	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0A6K6	112021.3464671602	106740.7657426698	105886.95046275524	96044.19745441528	107060.48849326324	96705.5768795548	98930.10574033	99868.45216884876	106975.12117582752	359482.29000328365	366077.62233655166	353353.3660068968	379968.4027896072	379807.9720327079	368575.86885411385	373378.5658879658	362728.838607748	360418.6172289853	P0A6K6	P0A6K6		deoB	0	1.3576999796230976e-18	-1.8284586286704094	True	0.00010167522029631064	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0A7D4	401092.06267963327	411693.53080060106	427828.177156697	375331.54403420846	375993.32225673896	367922.3856851895	386100.1440428649	408617.3185737542	390612.54904177366	1361431.6646461147	1315690.007352255	1346696.7373079816	1406432.303803917	1365774.5230991673	1385554.5889913614	1409309.1429667317	1424193.0854829275	1371510.7464514505	P0A7D4	P0A7D4		purA	0	2.300325895129658e-18	-1.8048441226490188	True	0.00010651689745327783	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P36010	876808.0559652047	907167.9239822018	901908.9500836156	920776.3426621944	929416.4069047098	889260.5795819197	879855.4834052871	879417.3497250918	923122.1697533194	445600.4283745022	444744.9398313912	459638.3444696961	475601.3177156031	488373.5590148779	486060.6376365868	451364.1801310759	467750.9690095664	455785.9899290495	P36010	P36010		YNK1	0	2.3548122395960476e-18	0.9575499466925769	True	0.000111358574610245	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P15992	4236957.047974052	4113278.189320839	4276832.596483474	4117457.113829791	4042884.2193738106	4121897.158432061	4148899.571351328	4261822.454720986	4117007.610815485	2385466.148255592	2207913.7712109983	2253286.9989476777	2334914.5697883344	2333681.596938575	2296001.5036045657	2374458.3558740118	2303034.275221508	2334758.055884911	P15992	P15992		HSP26	0	2.611185651827189e-18	0.8462525810175379	True	0.00011620025176721217	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P16659	132463.02730085183	132690.15766967868	138972.53437566807	121687.08165133752	110722.78996772418	112961.57273144295	121110.57785017704	131555.56840559625	103641.36616533218	413723.4763137864	415917.2483939132	428179.2822611234	425111.275271296	419860.9938424107	433493.2389951056	431130.2279609384	412273.7542420603	421428.6785845651	P16659	P16659		proS	0	3.3185628237618118e-18	-1.781327301402888	True	0.00012104192892417934	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P46672	1299921.120137473	1349531.198409653	1326167.775718597	1287034.4533485423	1319725.6718539938	1348243.5138219104	1334409.7188522443	1305466.5513745826	1343832.1412842807	715690.7841921564	714674.891567818	719949.2509683379	742619.5210055168	709387.3663536111	734757.8465326678	716833.2802256459	705677.8768356595	699985.9724707486	P46672	P46672		ARC1	0	3.4553636196216792e-18	0.8831865312714585	True	0.0001258836060811465	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q07551	2031287.2174761784	2021581.3470668995	2013866.517799852	1986970.1640451348	2052819.1865841963	1940613.3967053369	2061870.5937576413	1988445.198125891	2022286.336262685	1011533.1628248218	1056930.1543781292	1065629.590317051	1054929.210138383	1048028.9877183964	1061905.128648815	1015418.1858128038	1012067.4034297754	1027071.3421065792	Q07551	Q07551		YDL124W	0	3.774651733787051e-18	0.9539820049816594	True	0.0001307252832381137	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P00445	2261339.5828309003	2367395.679436825	2277303.082119684	2308972.41463714	2231809.8834568057	2206122.6699649403	2274667.996446788	2292282.463312189	2190141.045741876	1151741.0835321648	1169400.8199439778	1194251.2587023966	1164990.980469412	1125128.14938962	1080127.0343892137	1191377.2183896564	1170641.0317967196	1230367.719382531	P00445	P00445		SOD1	0	5.23566784933702e-18	0.9619117934284482	True	0.00013556696039508087	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P08518	513581.7637824345	511834.8801357969	540630.4735397955	502180.6472581374	526525.6666696736	531909.281341465	521088.9026164899	518119.88219576713	528618.7170611307	283445.1948610374	275352.1491147741	284010.0845613958	271398.08277745487	297840.0976125521	297397.38297210017	276951.51960732194	290363.0573053683	286620.185398334	P08518	P08518		RPB2	0	5.337197092154269e-18	0.872922402636461	True	0.00014040863755204804	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q01476	115656.02782835644	119602.39487644122	118046.91717972745	117975.28729087031	112808.26996047958	118442.42463122022	121541.4392575287	119663.90511631526	120706.15056821468	61779.65113764696	64083.97122462699	65022.23874939671	68525.54727892463	62007.34190497825	62074.55415213376	65087.01950554975	68683.49035822683	63585.19501803277	Q01476	Q01476		UBP2	0	5.690769019828522e-18	0.8738633569072157	True	0.0001452503147090152	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0A6M8	830898.2889770776	809450.7926281863	821937.1301046223	827634.0004000262	825899.2429305885	786514.9323264854	819456.4953347266	806299.747709117	745876.0258904878	2829125.163200675	2703046.368560321	2835268.717072926	2880001.684236232	2897517.2780294893	2796349.8515375075	2842643.315012829	2870533.1778027937	2842229.9909990057	P0A6M8	P0A6M8		fusA	0	5.8842577958050195e-18	-1.8094971953252603	True	0.00015009199186598237	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
Q12019	350725.0722153134	356266.6166193103	350448.6508321363	346739.9029400343	362972.5313049914	359811.44132097845	357503.9796767762	344503.9369154525	368584.9550798365	207713.4552316387	197544.9314414088	204070.7275295148	195793.99396093225	209371.86023163103	207337.3914201457	187682.1079048529	193561.1270451193	196909.53574006923	Q12019	Q12019		MDN1	0	6.396384034956396e-18	0.8289851275389637	True	0.00015493366902294956	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P61889	666116.667422277	706207.7037302896	706639.8054967781	597572.7367000117	704155.7490358867	624671.4290046837	648028.8326769931	658209.43569658	677526.0624743685	2033488.7405303	2094130.0518637104	2106244.7180917338	2159956.503827157	2041359.4844670729	2107687.7312625786	2149896.2138974112	2204535.768352289	2190432.656145335	P61889	P61889		mdh	0	7.086368966923938e-18	-1.6722277094490754	True	0.00015977534617991673	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P04805	73181.1744025045	60075.59968839249	60410.460964804384	77363.12518360706	63742.76092905603	72711.6602574284	68729.37718694318	74293.1911811315	65001.66645661485	193241.5669186705	200205.0035086597	201931.88923756024	196617.86089830875	203140.42146473212	201608.49501446573	183134.4141100832	201025.88166436172	204082.7788255837	P04805	P04805		gltX	0	7.360543497867609e-18	-1.5360627320954843	True	0.00016461702333688392	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0A6Y8	587349.6803429205	586118.5622035858	591335.6722632741	574158.0705456767	601076.7944435552	577518.8099026155	564108.8732314116	569824.1731319093	632323.2735409498	1951126.659069724	1975352.5898247496	2005546.879962613	2065501.304105504	2048461.05184292	1993375.079487252	2012394.8956237256	2064031.7112486768	1966523.09757442	P0A6Y8	P0A6Y8		dnaK	0	7.76868765151675e-18	-1.7749276910257379	True	0.00016945870049385106	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P21170	29630.636351167555	33010.09042367759	31089.11806971297	25723.879097199013	21962.27338812032	31472.12847178716	27849.54973552321	31032.65671378534	27760.38366454649	99296.37721642914	108091.38402281252	95666.94415230192	102534.88268955157	99131.50170371242	104123.02216097472	103011.38392869316	103650.83992051342	98165.47805496944	P21170	P21170		speA	0	8.310352369014398e-18	-1.8157707556190739	True	0.00017430037765081826	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P0A7U3	102070.62682481608	103186.92030423316	123721.63867507868	109546.62818050996	111644.07843224837	131736.57122305495	104253.91476401384	114754.84796140098	131332.741756606	367303.022927591	367231.5153948523	367318.2737407613	365597.502491852	395075.73174923286	402854.4544663286	372426.28627161926	370151.13646166166	380042.1816969428	P0A7U3	P0A7U3		rpsS	0	8.825339466835283e-18	-1.7146443407528804	True	0.00017914205480778543	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P33775	349154.2021674002	350627.9653674464	348571.41920586355	338845.0802729838	332449.858111891	356281.4534491262	349690.17148087855	341314.4110254295	340951.8144258524	190863.0077180061	191358.78739558108	193038.2946249068	206786.4952181001	184572.33059381167	184468.6797778165	182052.9121627999	200959.6773509408	187247.60100076205	P33775	P33775		PMT1	0	1.0936897429002159e-17	0.852395146797587	True	0.0001839837319647526	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P36013	540017.5133280025	553644.4671417709	577518.8586787364	550172.3936170781	542750.9657280806	552451.0784804304	540294.029872539	555562.8707742427	563172.5157089848	312355.99145140644	292632.5237992149	307465.7581525956	328586.3153273964	298601.21619462525	328996.1292256926	317345.98931210145	305129.8241623442	322950.4936133524	P36013	P36013		MAE1	0	1.500079511006505e-17	0.8222108065945761	True	0.0001888254091217198	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P06715	32176.46652894957	28279.125917612964	31637.47010071884	25999.203003098424	29708.10559308622	28889.05968735597	26005.17226963472	28227.44865312548	27399.67844031868	82865.6900321168	82870.2525110627	83809.9585795489	87653.31543037624	83811.84173083157	88371.39434342936	85916.29138123819	86242.8021902409	91602.23264015852	P06715	P06715		gor	0	1.6582204909251947e-17	-1.5815677230239842	True	0.00019366708627868693	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P07702	639469.8352565959	655923.8385411956	656886.6531758447	613950.8896234889	648810.7363301542	651798.0066510076	644787.9363526995	635565.717290029	666637.6231693124	378017.7468315956	346302.0447393103	376145.3796476038	373562.7106965293	349227.51458304445	376552.0350409371	367351.7728954737	348680.6906060326	345105.62976403214	P07702	P07702		LYS2	0	1.719392871127245e-17	0.834198853020488	True	0.00019850876343565415	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P47120	391223.18286097166	394625.9285657675	384659.55654585984	381418.0958133968	375668.616750485	380589.3412630291	370536.2574383217	385300.8582088006	385668.6253679015	206756.9530563584	186141.0664520275	212068.48742230996	217650.0792137667	200830.7708113068	204516.03496623356	210084.05134620483	215289.6567717651	209376.61104319524	P47120	P47120		LIA1	0	1.823245755127781e-17	0.8890609591779108	True	0.0002033504405926213	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P41818	132210.85748649607	133829.54599550742	127010.25416986238	128566.37063773516	132411.42244058367	129312.4099601853	132124.86743865145	129069.74239279794	134652.59387754256	65135.009712979285	61954.95672988828	65749.26989629888	73309.6664913369	66004.90782385193	64456.80330998461	65757.11832167588	69631.4882000512	63293.66727831569	P41818	P41818		GLC8	0	1.9860504357211454e-17	0.9861222637867425	True	0.00020819211774958846	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
Q04894	704636.8948523824	702465.5131950439	717858.289646291	710115.3108940618	737017.5670917946	708217.9619315078	681532.6598868333	718232.6551482556	701431.5796161642	428860.8931360977	421182.796612144	451810.7224982578	424762.670344533	448039.0562653752	450295.5430591604	430608.87665686704	415941.3499877951	436469.30816458655	Q04894	Q04894		ADH6	0	1.9939504375764163e-17	0.7074776405633652	True	0.00021303379490655565	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P53731	373604.74191677145	394875.1693538582	378001.7999536329	374873.2631179853	370755.87073458254	376102.1637432823	372299.4760569674	391158.6926924709	373571.4253182301	203337.11705355227	220312.91133438656	212293.83809794605	213007.58111267563	215728.51305064865	212064.3822397918	202843.97276304127	219643.6935672543	218573.0911064679	P53731	P53731		ARC35	0	2.014724896382706e-17	0.8283014733050832	True	0.00021787547206352282	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P16649	612578.9324665215	606148.5663497299	613571.811134258	586579.123828347	592361.9657788852	607877.9873301786	611899.5826318278	578199.7204428525	585595.6467801959	350452.8076353857	353146.0926902579	336593.7318775073	344089.1326719917	352144.8773020038	337741.1935524278	344266.6736748021	343464.49451769225	318496.77901943214	P16649	P16649		TUP1	0	2.052577595403105e-17	0.8084573159016725	True	0.00022271714922049	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P38715	1135655.2165296718	1146873.4895978828	1197083.1747370127	1122661.801988002	1129147.8271936476	1172956.586421585	1122086.3446887862	1162365.9197263836	1161327.0304658904	632309.1003012186	658857.473680534	661205.1336452722	615751.7285361448	640952.4613826817	610315.713703658	625886.7028986737	594948.0024924789	571872.151803476	P38715	P38715		GRE3	0	2.1909033088694985e-17	0.8830404790171251	True	0.00022755882637745715	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0AES4	47401.63516301793	55580.20562559868	51606.60629868756	47598.66870308743	47045.79515872655	46638.98924146707	47649.62539590587	40642.47109233665	43441.23890806342	149447.59910440503	151026.83173461273	158091.44956694334	165554.7689808931	156341.8782471401	149995.49648458773	157322.23027528363	155597.38600113132	163861.75229652	P0AES4	P0AES4		gyrA	0	2.3294033404204886e-17	-1.718516351087115	True	0.00023240050353442435	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P40533	171788.47840033288	176438.54300240264	170115.1031641284	171949.61549622606	167488.95242095308	167695.2878028434	168256.41041023916	177991.22971942552	176035.9711310145	97985.60385038232	91974.49467124805	91229.90768168838	98158.7089525759	97196.97159917733	103897.11424373974	99472.0059632832	97172.85348376082	91789.37251270047	P40533	P40533		TED1	0	2.7788794729282596e-17	0.8329574792863953	True	0.0002372421806913915	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P04802	2124330.6540529807	2058634.202777876	2065420.8533519767	2017226.834846293	2051180.106691356	2052884.007426518	2032594.083772461	2024091.5291687504	1985557.346895007	1135838.2420452812	1154234.3524176432	1137280.4880245288	1164500.97091493	1143291.862831524	1123709.7562709432	1164706.7504358669	1171908.577366423	1198822.8202689872	P04802	P04802		DPS1	0	2.965926587516978e-17	0.8248483032470116	True	0.00024208385784835868	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P0AG18	33685.62623083758	33164.92966107596	31331.20281934521	33263.785824173705	29658.23895331138	34721.74013733878	34489.838632763545	35671.82567379279	35444.609334799534	92386.4281996771	85207.75305479974	86363.09506508858	90195.86429359484	89553.85672528172	91194.81692175388	88004.74682520621	93793.3468136037	91806.10203608133	P0AG18	P0AG18		purE	0	3.2916140254156426e-17	-1.4234268866800095	True	0.00024692553500532585	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
P12709	8440350.402501488	8888449.761165794	9011859.877492664	8855109.58953758	8889854.645916387	8659459.70216027	8690004.755316496	8535794.314871222	8729276.387252452	4940722.321605753	4834902.139243044	4840577.764232519	4780741.605283712	4976107.504408109	4995996.527835983	4777324.335781002	4954886.165721069	5146601.469046963	P12709	P12709		PGI1	0	3.360951139028241e-17	0.8307588813927	True	0.000251767212162293	True	True	Yeast	False	False	True	True	diatracer	directlfq	min	0.5
P45577	54992.91544395011	60292.39507399277	53502.73177615304	57893.51323345963	51777.20721115109	48790.12578335774	51047.0028041188	52889.90007627676	46005.47739902282	187633.56201602728	192125.5896972671	193308.8376430912	205393.9323292104	198664.9172080872	189455.03017000764	197922.79632681012	191915.33137387468	182429.9787528425	P45577	P45577		proQ	0	3.495474772889795e-17	-1.8654939138780733	True	0.00025660888931926024	True	True	Ecoli	False	True	False	True	diatracer	directlfq	min	0.5
