Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7E5	P0A7E5		pyrG		837972.0	2466800.0	866688.0	2431490.0	781544.0	2452440.0	714082.0	699826.0	2391490.0	612662.0	749858.0	838474.0	2619200.0	2485590.0	2352810.0	2229990.0	2413780.0	738767.0	0	2.779117752608504e-16	-1.6751685399758662	True	0.00017078297425118235	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P68066	P68066		grcA		1075420.0	2735020.0	1060590.0	2645920.0	831132.0	2602210.0	1072990.0	909633.0	2893300.0	993051.0	1013480.0	1026910.0	2731320.0	2827510.0	2781300.0	2670930.0	2811950.0	752241.0	0	3.062788547721051e-16	-1.4995260667297658	True	0.00017735155018392014	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AEM9	P0AEM9		tcyJ		4630370.0	16943400.0	4547430.0	16599400.0	3573410.0	15302800.0	3917660.0	4265790.0	17198100.0	3798210.0	3928890.0	4018690.0	16754500.0	16660200.0	16815100.0	16862400.0	15734900.0	3972810.0	0	3.3546492264446605e-16	-2.0220473819989797	True	0.00018392012611665793	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A9J6	P0A9J6		rbsK		1282850.0	4117040.0	1296150.0	4408500.0	1103220.0	3923560.0	1334410.0	1368500.0	4208740.0	739374.0	1384440.0	1300030.0	4420710.0	4414610.0	4337190.0	4357730.0	4269370.0	1144450.0	0	4.17235912917984e-16	-1.811881183514327	True	0.00019048870204939572	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AG67	P0AG67		rpsA		9143330.0	35390800.0	10039400.0	35353900.0	7662870.0	33041300.0	8599020.0	8635880.0	34224900.0	8293900.0	8021330.0	8534220.0	34190400.0	36713000.0	35820600.0	35815900.0	33187800.0	8788980.0	0	4.598617647572161e-16	-2.013225094492632	True	0.00019705727798213348	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A7F3	P0A7F3		pyrI		1263690.0	3457180.0	1341610.0	3497100.0	1199420.0	3168860.0	1116080.0	1269070.0	3267820.0	1169840.0	1349100.0	1246350.0	3547850.0	3328700.0	3384670.0	3581960.0	3603990.0	933694.0	0	4.999545218183716e-16	-1.501863158744886	True	0.00020362585391487127	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P36683	P36683		acnB		7068060.0	27495900.0	7124570.0	28231100.0	6004990.0	26589400.0	6984490.0	6455800.0	28916600.0	6953480.0	6122960.0	6750030.0	28679400.0	29157500.0	28177300.0	29076400.0	27298800.0	6941540.0	0	5.135903331942366e-16	-2.069920319370304	True	0.00021019442984760906	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0ABB0	P0ABB0		atpA		3938590.0	15415900.0	3697450.0	15998800.0	3371110.0	14746600.0	3545790.0	3341230.0	15564000.0	3333570.0	3401230.0	3262810.0	15917800.0	15583100.0	15808800.0	15038900.0	14761400.0	3478380.0	0	5.825808090582139e-16	-2.1459096388434293	True	0.00021676300578034685	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P09551	P09551		argT		2523980.0	8605900.0	2473700.0	9026890.0	2170340.0	8371740.0	2273290.0	2386750.0	9124940.0	2010840.0	2271650.0	2422600.0	9226020.0	9144430.0	8627230.0	9114380.0	9132640.0	2288530.0	0	5.862628764150194e-16	-1.9486454568640965	True	0.00022333158171308464	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P04079	P04079		guaA		1123690.0	3949200.0	1427480.0	4171730.0	972585.0	3940230.0	1368480.0	1070270.0	3742460.0	1054680.0	959043.0	1189460.0	4074570.0	3815350.0	3854730.0	4101680.0	3798190.0	846847.0	0	6.297227466653519e-16	-1.8239026440190538	True	0.0002299001576458224	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P00961	P00961		glyS		5622440.0	19832300.0	5598240.0	19775600.0	5381830.0	19878500.0	5671840.0	5536900.0	21246400.0	7932090.0	4123660.0	5014890.0	21742500.0	21870200.0	20051600.0	19115200.0	20861000.0	5273200.0	0	6.601060629008262e-16	-1.878161721569498	True	0.00023646873357856016	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AC41	P0AC41		sdhA		1584060.0	6800310.0	1621540.0	6948470.0	1589200.0	7015970.0	1507920.0	1455800.0	6926300.0	1277350.0	1430830.0	1405200.0	7309840.0	6826320.0	6831340.0	6524360.0	7234860.0	1384680.0	0	6.721324099744574e-16	-2.2352481853636545	True	0.00024303730951129795	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A7D7	P0A7D7		purC		1832780.0	6286150.0	1567940.0	7151770.0	1358610.0	6519740.0	1993080.0	1484860.0	6980040.0	2077380.0	1238400.0	1553720.0	6681550.0	6433930.0	6144970.0	6251760.0	6398840.0	1452440.0	0	7.143002153913039e-16	-2.015079696141617	True	0.00024960588544403577	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0ABU5	P0ABU5		elbB		1682780.0	7647570.0	1991900.0	7614480.0	2127270.0	8043760.0	1859220.0	1391390.0	8204150.0	2331030.0	1861610.0	1818330.0	8867580.0	8513910.0	8298960.0	7668960.0	8216700.0	1288950.0	0	7.265147929621477e-16	-2.1598895985891153	True	0.00025617446137677356	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A8V2	P0A8V2		rpoB		4631020.0	18195500.0	5218690.0	18440000.0	4726580.0	17717900.0	5368870.0	4359620.0	18111800.0	4209380.0	4607990.0	4719860.0	19038800.0	19221000.0	18571800.0	16755200.0	18129900.0	4117380.0	0	7.272328238819075e-16	-1.9682294785469534	True	0.0002627430373095113	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P24182	P24182		accC		2331760.0	6433690.0	2037410.0	6522660.0	2543460.0	6097560.0	1554720.0	1832770.0	6893550.0	2451910.0	2070150.0	2138610.0	6833840.0	6765710.0	6681780.0	6610300.0	6673070.0	2033890.0	0	7.640252823990477e-16	-1.6475890741374	True	0.00026931161324224913	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0ACD4	P0ACD4		iscU		1405240.0	4765510.0	1122290.0	4456510.0	1511210.0	4624030.0	1357450.0	1433270.0	5002910.0	1292650.0	1208260.0	916751.0	4751900.0	4962020.0	4871860.0	4532510.0	4300880.0	1098640.0	0	8.24822394543558e-16	-1.8974169081006038	True	0.00027588018917498687	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P00864	P00864		ppc		974869.0	2936160.0	821525.0	3003300.0	737409.0	2932150.0	1116990.0	864629.0	3280830.0	814417.0	853021.0	790738.0	3303560.0	3298480.0	3082100.0	3088260.0	3203400.0	848283.0	0	8.482018495938467e-16	-1.8464317926511087	True	0.00028244876510772466	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P47120	P47120		LIA1		8154360.0	3858330.0	8306470.0	3928880.0	7809620.0	3919230.0	7650670.0	7625280.0	4077270.0	7525980.0	7659250.0	7981080.0	3926850.0	4189050.0	3983850.0	3305400.0	3981030.0	7611470.0	0	8.699353560140038e-16	0.9996800027138418	True	0.00028901734104046245	True	True	Yeast	False	False	True	True	msfragger	manual	min	0.5
P67910	P67910		hldD		1292560.0	4637910.0	1424760.0	4997510.0	1343700.0	5318360.0	1377390.0	1575850.0	5201190.0	1486650.0	1473560.0	1243400.0	5200260.0	5292460.0	5121150.0	5051660.0	5074970.0	1227960.0	0	9.04272626710999e-16	-1.882689317562472	True	0.00029558591697320024	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P62399	P62399		rplE		6580750.0	24362400.0	6343160.0	23203800.0	5378540.0	22048700.0	5547790.0	6086260.0	24253500.0	5491920.0	5588150.0	5508060.0	23562000.0	24561500.0	24399700.0	23968500.0	22877900.0	5888450.0	0	9.137151263428315e-16	-2.024465760901589	True	0.000302154492905938	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P00350	P00350		gnd		10966800.0	42249100.0	10986400.0	41703900.0	9937640.0	42967700.0	10006700.0	9847530.0	44191800.0	9213540.0	9890040.0	10418900.0	44885200.0	44610600.0	42981200.0	41025000.0	43891700.0	9685680.0	0	9.392492248993798e-16	-2.094740844175641	True	0.0003087230688386758	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AFH8	P0AFH8		osmY		4023490.0	15632400.0	3964760.0	16043200.0	3447970.0	15768700.0	3668950.0	3671760.0	15916100.0	3319040.0	3428660.0	3728620.0	16580700.0	15893500.0	15749700.0	14731400.0	16590100.0	3306420.0	0	1.0707930591306534e-15	-2.1339064883638375	True	0.0003152916447714136	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AEU7	P0AEU7		skp		3274070.0	11050500.0	2915550.0	11030300.0	3149670.0	10921600.0	3550030.0	2824370.0	12424400.0	3622700.0	2894040.0	3109030.0	11152100.0	11077200.0	11459600.0	11747500.0	11295900.0	3013480.0	0	1.2768442888235146e-15	-1.8492474750299568	True	0.00032186022070415134	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P00946	P00946		manA		315249.0	1733030.0	310993.0	1742070.0	374916.0	1827780.0	330203.0	243807.0	1790180.0	243225.0	343994.0	28957.9	1862150.0	1947570.0	1743150.0	1841010.0	1747480.0	240014.0	1	1.315672133299063e-15	-2.739221068377826	True	0.0003284287966368891	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P60438	P60438		rplC		3207180.0	11296300.0	3191180.0	11140500.0	2476110.0	10230600.0	2787500.0	3052050.0	11283600.0	2691520.0	2645090.0	3034370.0	11136000.0	11211400.0	11091200.0	11848700.0	10610500.0	2812000.0	0	1.3215868897729165e-15	-1.9469601085177024	True	0.0003349973725696269	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0A836	P0A836		sucC		3487640.0	13409600.0	3672470.0	14048100.0	3026160.0	12939300.0	3291420.0	3278740.0	14121200.0	3359380.0	2992190.0	3375260.0	13802100.0	14269400.0	13736100.0	14142300.0	13246900.0	3271390.0	0	1.323504497406083e-15	-2.0558333797342647	True	0.0003415659485023647	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P07991	P07991		CAR2		4575420.0	2388540.0	4779800.0	2148920.0	4401060.0	2231400.0	4572620.0	4363530.0	2215420.0	4449820.0	4472210.0	4561080.0	2303750.0	2343730.0	2130150.0	1894180.0	2354000.0	4200080.0	0	1.595687621487441e-15	1.0127567576028076	True	0.0003481345244351025	True	True	Yeast	False	False	True	True	msfragger	manual	min	0.5
P0AAT9	P0AAT9		ybeL		1847990.0	5067310.0	1937890.0	5292100.0	1325390.0	4680900.0	1740750.0	1747910.0	5320550.0	1779740.0	1560120.0	1587640.0	5294680.0	5235430.0	5539400.0	5122980.0	4996510.0	1775760.0	0	1.6234856134569878e-15	-1.6049444100790866	True	0.0003547031003678403	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P53090	P53090		ARO8		29539400.0	14854700.0	29862700.0	14596100.0	29241400.0	16216200.0	28730000.0	27370600.0	15481300.0	28269200.0	27408700.0	28521500.0	15776400.0	16134800.0	14857300.0	14288800.0	15889200.0	27558800.0	0	1.6264772727323436e-15	0.8933127667051854	True	0.000361271676300578	True	True	Yeast	False	False	True	True	msfragger	manual	min	0.5
P15288	P15288		pepD		2625460.0	10953200.0	2582380.0	11044300.0	1509840.0	9922510.0	2543380.0	2734260.0	11652000.0	3044930.0	2051490.0	2314090.0	11177400.0	11799600.0	11288800.0	11612200.0	10468200.0	2564400.0	0	1.6616739639379263e-15	-2.1851976587987583	True	0.00036784025223331586	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P63284	P63284		clpB		1194420.0	4224680.0	1353270.0	4206760.0	1302200.0	4351510.0	1105770.0	1241320.0	4508490.0	1371690.0	1030420.0	1299640.0	4731390.0	4416550.0	4400740.0	4655350.0	4722360.0	1086700.0	0	1.7268644466166588e-15	-1.8722438995213335	True	0.0003744088281660536	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P37330	P37330		glcB		2062250.0	5972670.0	2064060.0	5979690.0	2175700.0	5915420.0	2342140.0	2107360.0	6208940.0	1867630.0	1838850.0	1968460.0	6522470.0	6617540.0	6245040.0	5959300.0	6130040.0	1957770.0	0	1.7811659460406184e-15	-1.5953477716353603	True	0.00038097740409879144	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P13517	P13517		CAP2		6939240.0	3564380.0	6984150.0	3273720.0	7243050.0	3491870.0	6806630.0	6886770.0	3340160.0	6458620.0	6850110.0	6883170.0	3560300.0	3546710.0	3315700.0	3355460.0	3544250.0	6924370.0	0	1.8826107159279745e-15	0.9997907437586269	True	0.0003875459800315292	True	True	Yeast	False	False	True	True	msfragger	manual	min	0.5
