protein	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69441	95993.30654625192	136594.5604924785	148083.8527845158	152862.01343842462	118593.76886886264	127520.55500670188	144457.52955871544	163882.8406598765	119271.30244070508	614647.2371973702	586499.4837636029	599705.2839731318	631140.8481031018	649671.8432955348	656057.9045304717	629487.9297590669	619107.5622367488	646555.3256748634	0	1.990302150412616e-18	-2.2221349609951973	True	5.2226759092203975e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0AD49	157281.95102189342	146244.6900751222	154036.19347398117	119934.75879497768	137049.19502154097	123891.07133849616	171286.0726168324	146446.92175315984	153598.4041692122	666648.2713373284	691558.6279131976	715177.3052302785	699480.5671333057	698955.8868516933	678170.2402264327	746956.5735349426	715922.8876502529	690995.8282383339	0	2.3807219059796666e-18	-2.2669242361867363	True	5.6974646282404336e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P17891	2856138.392942095	2887715.1602410213	3009283.8421990783	2841285.5082169585	2905742.234476185	2967327.9784438587	2818069.2568325414	2934239.2686429108	2950622.698759283	1489358.1336372823	1339689.0370763836	1440462.52358993	1536829.5795226074	1469094.245545935	1567984.212213057	1492044.4696580074	1446493.6433113578	1558305.602263408	0	3.840577084716797e-18	0.9721503759668334	True	6.172253347260469e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0C0V0	90413.02903611028	89805.93904625007	57708.95988019666	93076.34309365852	71659.79722421458	68881.66119968978	80442.61110924048	70748.4385954201	80537.35245855384	330006.293143592	335528.72632577625	330146.2667750849	308367.3112871371	333668.7720613698	318841.3027520757	305090.3629301792	339742.4400792213	329609.6799682434	0	4.482421672073614e-18	-2.0592344795963946	True	6.647042066280506e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P33602	100326.73701662966	117250.5243233574	105406.16518968128	88331.43413181257	101250.16554086116	112814.78400395247	135907.42562034095	101538.88352959858	105070.56589992008	477428.8908539557	514111.43345859577	510139.33834244695	502450.242532949	477575.0557286647	529968.09587727	482733.5758681709	486035.1454230376	499269.9938713469	0	5.1129195971514596e-18	-2.2104809457805072	True	7.121830785300541e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P38720	19359016.46732433	19328383.96123415	19836862.11168036	18709258.640002176	18786975.898713395	18640369.345710963	19204120.67447398	19072501.466091257	19781204.07856152	9580503.579374423	9390935.041686833	9909893.211116152	9702905.560007598	10080173.400252398	10359071.359937534	9993150.213860128	9856770.2592321	10286269.854633842	0	6.203878167044049e-18	0.9539610062393404	True	7.596619504320577e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P32497	3919329.632964092	3887316.6428208095	3903991.1350776623	3967167.451815348	3818314.1356455	3732806.27974265	3696282.737225305	3796188.22671518	3802865.586867912	2118251.7093527536	1943957.156148563	1977312.9552748888	2033335.6170743955	2021908.9063091464	2136619.332956369	2098515.672002354	1964990.9755103425	2093797.9471542544	0	6.983529097245059e-18	0.9087918402760757	True	8.071408223340615e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q06697	386758.6353577876	401827.60864849534	376538.21690806455	398094.3452899004	387997.5655424793	398670.1083851033	395399.55344921	380050.8372534542	402847.4681510464	203252.04424909264	204038.7898690293	189675.3305811977	186614.5205557698	213028.7239192752	191993.42742717452	214491.70034596327	200604.1969481589	198758.14546538895	0	8.030032374312277e-18	0.9689611942301941	True	8.54619694236065e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P63284	228515.01829487996	304411.4204657294	295385.15647901344	240510.7542557023	284558.5655237465	252431.4166157404	218813.0548649693	253729.7211259473	244694.48049197855	961356.1674439772	1033341.9645697182	993945.8512222924	978158.83123518	1010523.1069586236	982914.4761462272	1062844.4312681428	1057794.7414028929	1052857.9056672635	0	8.092482264801881e-18	-1.9751853735925045	True	9.020985661380687e-05	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P38626	1477051.283821195	1426317.098547592	1544767.818192179	1495775.4988578868	1467733.203343652	1504672.045050271	1520852.3908975506	1537379.6829260706	1478048.048610936	690936.8379607595	732427.0188302357	742268.5768367015	701386.663715604	705974.2499040412	782539.7478702225	730898.5163965583	732682.5670067661	713610.805733946	0	8.621739366413687e-18	1.0421279056078059	True	9.495774380400722e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P05737	25121947.63751182	25620275.853877235	25413964.793907296	24555460.165113848	24503397.298235007	24919819.9080139	23748834.78720459	24252928.860193077	24450874.90540228	13563040.70473708	13119260.980626237	13931984.935477875	13654176.334659526	13558488.733260484	13527897.594363865	11996523.984095505	13150418.782453012	13803639.123214914	0	1.159006430448478e-17	0.887670829553861	True	9.970563099420758e-05	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P37387	49376.41227806838	51578.33656935404	59380.13512169836	49389.55282933896	56808.65411181493	33515.73654227625	51393.175096888895	59822.71700336961	37086.64511345041	231404.87070287485	229743.53098225253	235366.4055501465	219551.1956699744	227624.2452731208	224316.81734227596	234035.51399760903	244129.3059302648	230348.8848102053	0	1.1985231041560781e-17	-2.2114666082453653	True	0.00010445351818440795	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P38174	1587383.110418787	1698703.009992452	1613995.1054893525	1580257.483851406	1585339.660911832	1615138.8742149975	1597597.251380594	1597459.5311939784	1558266.4947915743	843927.1585945912	826671.9824306181	858753.2134857288	829500.3862044676	789059.4221912742	913172.7833024056	801717.2517116846	877159.3748577209	867598.5923094642	0	1.2034054942367796e-17	0.9239794615854611	True	0.00010920140537460831	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q12449	1841529.9826406145	1834519.5430748696	1814971.0669357544	1801929.880237213	1807864.3839402765	1704336.2863172663	1803687.163508821	1727145.025305635	1793408.6291198055	928813.8483448856	849887.1285237056	874878.8936939819	883681.193043324	955161.4600607506	901450.7355875536	957261.3206917852	961818.8091765146	964043.112070242	0	1.2681945608505538e-17	0.962512800741166	True	0.00011394929256480867	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P22259	1292710.490874807	1368226.1535270326	1291581.127577211	1078879.6019511446	1193848.6522527218	1089603.2625649616	1297608.7871447438	1182970.990955002	1280633.3334894774	5542194.636551597	5295949.146666184	5393135.475463423	5709698.722213952	5577372.169075082	5505684.094456081	5721483.895665339	5453489.622014707	5834438.680738482	0	1.3225876608265238e-17	-2.1754477458995503	True	0.00011869717975500902	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0A7J7	471402.46874970646	487793.4310029193	592624.4304425512	523019.2009070342	447195.70543035335	391464.6765900178	507076.8025892993	511322.2291573636	519943.47208757605	2081333.816868976	1927227.528592127	1925751.6426314584	1879721.1376924925	2009619.909434717	1900408.6182214024	1903479.1793128303	2068952.2793291933	1986247.5336015893	0	1.546337480495137e-17	-1.9898675455262402	True	0.00012344506694520938	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P27614	1795530.0136101528	1857125.9662876895	1876374.701870092	1841196.3239576588	1799148.80557001	1888615.3725362471	1864585.196097027	1762836.855262848	1845426.6077107147	919885.133057781	940950.9743240854	926005.53906647	976003.5593010124	980627.9678975642	909029.251826295	920721.9540533052	1004170.3522378048	838376.7485132712	0	1.6556545663823957e-17	0.9739925863539917	True	0.00012819295413540974	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38625	4943693.492809127	5092038.489639206	5366040.67139562	5165948.7115576845	5109191.737887439	5032707.351702066	5090032.155307615	5251584.033510271	5165891.010281312	2535727.1875814446	2661390.6457728813	2717353.77808871	2674214.116575254	2577616.0123205557	2727486.022232005	2832686.124653412	2705778.8600464803	2627652.7894454105	0	1.679934115272699e-17	0.9417966223522544	True	0.00013294084132561013	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P15288	372846.7089638138	434229.1939647662	384157.1290412623	309940.8517247771	395890.7190173312	371297.800628998	292031.3456831913	351394.916529658	437854.7978180118	1552826.9691058833	1428016.012516302	1479145.1936845004	1465110.0077688834	1459465.7179665118	1607760.329996935	1518148.4084646376	1574261.998718604	1568114.330571148	0	2.2195191887705186e-17	-2.0271225846313627	True	0.0001376887285158105	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q02725	3530995.526867973	3595984.305439388	3569567.643389696	3423012.299064796	3474114.899479112	3309192.2437763843	3449318.476418484	3483467.759281724	3450028.9554201546	1840302.4710047613	1908590.4559613783	1907616.844704195	1917938.9522619413	2020972.1893815168	1849723.124943835	2042741.099269893	1976607.092832936	2003861.146478413	0	2.4427771496890606e-17	0.8407589372894807	True	0.00014243661570601082	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P14843	997972.3010187187	1054131.8626828927	1040290.9607926272	1014950.6262452048	971503.2387065324	996556.7124849736	1015753.481737782	988360.4167978038	1040252.1844471084	496789.3417464645	480350.9457232083	473003.11503223446	499665.8385379724	522677.10118617694	516616.67505533487	520735.8015658519	432893.17862715374	502405.9256308354	0	2.4622538404497384e-17	1.0367695390523288	True	0.00014718450289621118	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0AG86	263437.95746817923	309752.0117220663	266954.26510999526	232796.6858897248	261472.99880799276	288069.41042789177	251377.56130797145	284092.0197295471	292079.66612329026	1233833.0645005507	1157370.7465863077	1170895.173260532	1215717.4251579412	1217202.9460708858	1177878.5567702618	1251385.5044344394	1222946.3667784904	1280916.6285917514	0	2.5782451271992856e-17	-2.157175880579083	True	0.00015193239008641155	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P0A9M0	147404.7905601238	144360.76878146408	175118.13725190377	139402.83437548127	164165.1602148344	120396.31361940446	157695.2330501902	178350.41335203443	133517.61001619723	657920.6232703255	586058.3169035896	655793.9415701482	643173.810374731	658168.0418627663	623774.3408352748	658322.0632350153	649429.6624400803	610096.9229461775	0	2.870673696144338e-17	-2.0776958203477958	True	0.00015668027727661193	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
Q12443	6493295.872937244	6704924.379141625	6695429.766141323	6436628.0501808375	6887648.621461335	6623019.865760356	6529235.330651609	6629514.688574194	6269079.401298194	3120228.3429845152	3366610.5801557787	3421856.497030674	3253875.246604092	3214091.432828795	3246925.7173755146	3098903.8500262555	3477205.987445762	3312417.0638156305	0	4.990447643280749e-17	1.0059649610107217	True	0.0001614281644668123	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P07257	1867283.222428651	1859924.2112214973	1842496.380966761	1879751.275811078	1709458.0585738344	1833798.339710862	1802813.831555921	1804008.3596465916	1806127.0963823427	899116.5674056626	903000.5399955938	977827.4802197705	948763.5580243228	950076.8415975936	994416.7021274442	869327.0388327177	965596.8904407514	974444.4168574216	0	5.496735621148262e-17	0.9516203613711638	True	0.00016617605165701263	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P39676	7534748.128342632	7332457.29495048	7464515.388240013	7023673.411618616	7058777.843529642	7090290.515796245	7292946.368912025	7128734.567856893	6970511.280974944	3889339.326492677	3529365.958342316	3724033.523241049	4027690.22410934	3645438.010545802	3798196.9703467474	3611314.895471816	4007915.174451831	3637992.460665654	0	5.63533297325648e-17	0.9380813279544822	True	0.000170923938847213	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P39986	2331809.1412047106	2279032.4649880333	2305946.1202031	2277384.4838276585	2206205.689886033	2308365.663675168	2310479.120076529	2127938.961697181	2273944.6354832584	1085674.487450758	1116471.321230807	1149640.6367107234	1146663.5809952589	1077787.8039460662	1245320.8553907874	1249153.429613224	1206914.5483247328	1184524.4290705924	0	6.787727914414481e-17	0.9648815135954526	True	0.00017567182603741335	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P15624	3478206.710062863	3363436.845987492	3407536.5083327885	3145124.4254873213	3274049.837295546	3341341.304974813	3280844.812516724	3324165.2479406805	3388537.7952799294	1643186.8153202937	1734989.186291385	1806918.2831919333	1787527.4491511509	1744302.1314474044	1693191.152392679	1599873.0738851193	1875639.5508828196	1736987.990807471	0	6.87665676440967e-17	0.9414824526008477	True	0.00018041971322761374	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0A6K6	203732.0569063286	225119.745414545	259588.5622649488	208871.84321983333	189117.97273244735	174933.1219311268	209957.34155497537	199431.7301508068	220298.9657231321	788313.1559485435	883618.1091803794	832960.7109979367	901563.0709934576	880291.9077163687	849573.8041719235	876613.017063108	890512.1117741705	873397.1901473332	0	8.5915099690002e-17	-2.0399960968641775	True	0.0001851676004178141	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P38197	637401.6925410156	654139.8220713524	672328.058693767	634996.1663909027	679984.9183020584	689056.6205540686	636384.4917995181	658304.7866617542	641018.0856424166	293107.857104512	322551.68504895194	304860.797670962	290399.56178087177	304336.67902706703	308796.3888829682	322580.0586250832	326847.9583591245	259745.342779371	0	9.171182379794601e-17	1.1109936232910107	True	0.00018991548760801443	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0AG80	278728.26885874907	284072.9679323335	259473.53082584165	254890.9303036113	284159.1482028073	281149.5374453828	349598.80981658096	194714.29217978072	308450.8082882265	1123456.5996767725	1108436.9222759537	1158190.1285791376	1077825.8541527854	1152119.5613725004	1208828.57188747	1113800.0425260167	1223250.126135273	1213820.805433856	0	9.372878708406867e-17	-2.0565192197241364	True	0.00019466337479821482	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P38088	9669688.096645538	9753581.478444029	9828390.774259193	9272701.067241482	9255029.223616036	9453236.185751855	9593086.392484048	9354024.91963646	9045876.655791383	5110162.954677841	4920192.915450581	5033122.818409024	5306073.381776943	5081526.201562543	5057176.482862663	5208853.963395928	5131825.50554679	4594865.761932611	0	9.444537200657158e-17	0.9072036243490865	True	0.00019941126198841515	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q00816	1122926.3684650313	1137102.1657593332	1125852.7120389391	1052939.559263579	1068849.0288785556	1117473.242879164	1128224.049056421	1105397.3460865354	1069862.9293820737	590326.146373917	579130.3572934541	533037.421818489	557505.4811513254	558955.797448138	567581.736685727	515507.9308871032	560959.6920784746	567431.1611726731	0	9.573653216576903e-17	0.9809109155608859	True	0.00020415914917861551	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q05775	2048975.431725707	2090345.83917333	2136767.136845333	2047028.75363928	1993687.9417902003	2017216.9756046264	2171644.7633145987	2132503.907897876	2065121.6351219232	1046073.5663453004	1050229.5030473748	1048561.8659821457	1137465.5692217138	1067812.316087769	1169137.0621178776	1105770.8963263717	1122370.28904769	1043303.243395344	0	1.0443941832802012e-16	0.9338047549596834	True	0.0002089070363688159	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P36013	1749836.4774915013	1807205.7936265669	1858593.517452819	1701440.081593922	1762842.1951800836	1699171.7395175816	1719738.982666297	1769648.2519758255	1707200.2749740444	791311.931591231	833469.1262542747	902178.1673741078	899216.3650560742	913314.1077613964	942187.578693904	830670.7693933037	909500.3871595836	908702.52118438	0	1.358661884510795e-16	0.9922089453266029	True	0.00021365492355901624	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0AES4	177147.17039719512	168761.11112118597	146997.0278560188	173080.74088141133	151760.00696974233	138157.31663718986	150407.0205690659	113793.3605041616	147066.84515181888	640798.22082595	604061.0700360868	576801.4037509811	653226.7067210807	617249.5508486123	593831.8098789866	652746.4566102953	616441.4894902726	642885.801661234	0	1.3705080016901405e-16	-2.033729163882286	True	0.00021840281074921662	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P07244	9556036.898206787	9218137.496596375	8913734.143925183	9091321.759191314	8786494.485654084	9141289.196012223	9280327.026536614	8794929.065227479	8765712.520421827	4897315.294989973	4644621.69814552	4690122.867371706	4986637.26444699	4720422.089929062	4286584.38495844	4954379.277648884	4910309.974886925	4503091.892402819	0	1.396839368983652e-16	0.9370164192583593	True	0.00022315069793941696	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q03640	3511545.9345772658	3493198.3281955714	3518547.3650772795	3337807.035129436	3285455.725570341	3458222.2640724475	3352962.3777715173	3461963.3751461594	3276626.3969101277	1905493.7641448977	1869335.5145660103	1704906.9597910054	1843407.1501343497	1885032.6981941457	1834555.9780712305	1976813.8446844288	1817894.6142628728	1744317.35622867	0	1.407790635253083e-16	0.8884691642918335	True	0.00022789858512961734	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P06782	1239340.8670884704	1223895.7720340462	1255419.7213928967	1148206.0859830445	1188801.5227070088	1231844.6018536603	1251135.031742099	1265899.447351885	1221558.060622078	619714.4623407641	597290.3107939481	616391.9124427629	602983.4685737041	651630.3637954133	619364.6852270793	538719.885076977	652734.2301063581	661405.8251234125	0	1.663534915120193e-16	0.987704935083047	True	0.0002326464723198177	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q92392	942032.1251860448	1018660.1617776488	950881.2513461614	976964.681011588	970544.3338549752	980139.7223322344	983602.7826929244	1044095.1147796232	1002733.7318133636	422353.2729426699	469713.68971091375	459454.8309762342	428157.7336992945	470557.1811197319	457105.3189058144	471302.6106967964	494718.14501514856	490047.0240419669	0	1.928693498538291e-16	1.0911122405816194	True	0.00023739435951001804	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P0ACI6	225701.3967819692	203647.62501916615	209394.08941365968	248934.28240450996	223170.4938199533	169337.5390224838	209372.28259943725	148779.42791280756	244643.25343494007	850330.6563867789	886517.2814596156	897624.6246360801	860431.6679218657	904301.2201473332	966162.280837136	901181.684281596	965648.59455387	950863.5255461616	0	1.9378464121567934e-16	-2.119622725258929	True	0.00024214224670021843	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P13035	77135.46048865233	61279.04136924508	74082.22141502188	64178.85527631661	86130.51439181536	79721.897985993	91776.82249694676	125215.00314422928	66680.9987407512	377244.21668637777	392244.1296917992	373172.4503859008	389688.0959326424	422256.4991984299	398904.61665975495	363755.076358267	412594.8929018857	387426.8348607814	0	1.9801582371544299e-16	-2.276022527518659	True	0.00024689013389041876	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P23254	17538124.36709195	18508754.18717798	18505960.487420585	17463569.46504677	17603340.044940203	17314236.083614215	17152256.835366063	17733176.142824586	17468663.043013446	9770905.50884286	9564750.200308915	9865764.21253919	9536859.94646594	10360706.866924044	9798635.119278776	9310404.623464905	9475323.05351091	10348956.81704198	0	2.1447614023608848e-16	0.8555333452942977	True	0.0002516380210806192	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53254	1036466.7150746228	1103507.7968162224	1089128.1290547282	1108034.3780783522	1104420.7543897885	1089254.7376039703	1156200.0191717565	1082212.6363308989	1157643.003391504	506828.7363027192	515183.35811233625	465522.692540487	522892.0632516632	517649.8496727333	491139.6006061284	495221.5814862343	551990.2950166048	562854.821839201	0	2.193669435037599e-16	1.1005498726964635	True	0.0002563859082708195	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q01476	836411.7364233539	887290.7154508554	833418.2448611807	859196.2265654216	854086.0342158966	839385.0544302869	804041.1826366454	843291.3580130778	836977.0971852118	428636.67648177705	431159.1529166134	445277.424976323	455865.2919537615	458541.1316353938	476074.2186457383	448889.63084642886	509710.1779430435	469864.3694419757	0	2.5737947023190474e-16	0.880827894378309	True	0.00026113379546101984	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P16659	576817.3375250475	564476.5295121449	538672.0078952323	501605.0707784745	453766.4862412155	492479.1696946183	453055.8836468832	485260.23916200624	539650.5251786853	2033799.885473332	2044540.7738868536	2128209.909139126	2075021.9725882236	2061860.465787911	2266623.269564534	2213727.87711864	2118849.2833527103	2080033.001543176	0	2.656046683741324e-16	-2.046201061389293	True	0.00026588168265122026	True	True	Ecoli	False	True	False	True	diann231	directlfq	min	0.5
P36010	4135260.4678097055	4241272.285237516	4563105.122157258	4237033.7959893225	4225215.974173199	4480621.46919594	4284126.987249153	4332737.977303688	4325553.395425661	2138735.8876949367	2222729.329650145	2155157.224492924	2060008.8990263348	2292294.067065758	2339645.632344001	2049167.0363020457	2148610.2107671844	2265488.966458346	0	2.768038667052437e-16	0.9808515250423137	True	0.00027062956984142056	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
