Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7Z4	RPOA_ECOLI	rpoA	DNA-directed RNA polymerase subunit alpha	10	10.0	24166800.0	26281200.0	24954500.0	19525700.0	24441600.0	22556000.0	21384400.0	25214800.0	22297300.0	96465000.0	102451000.0	98551800.0	99113600.0	105775000.0	99133600.0	102651000.0	106019000.0	103083000.0	0	7.593756045958365e-18	-2.1149713124136613	True	0.00012921486586266306	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A6L2	DAPA_ECOLI	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6.0	2202330.0	1933880.0	2616840.0	1001510.0	2209220.0	2823140.0	1594410.0	1438330.0	2255000.0	14121500.0	14754600.0	13405700.0	13480600.0	14314500.0	13675600.0	15228600.0	13716200.0	14597800.0	0	8.447929184274363e-18	-2.8161364721093327	True	0.00013536795471326608	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	18	18.0	1987240.0	1695610.0	1322970.0	2597690.0	1940020.0	1845590.0	2171430.0	1441600.0	1449570.0	9010690.0	9282420.0	9074540.0	9551860.0	10218200.0	9035120.0	9594470.0	9615580.0	9600750.0	0	1.4556548835638606e-17	-2.3689465451840808	True	0.00014152104356386907	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A870	TALB_ECOLI	talB	Transaldolase B	16	16.0	21302300.0	22048500.0	21504300.0	16922200.0	20101200.0	19720900.0	19328600.0	18977100.0	19665000.0	85248900.0	85442200.0	78314900.0	80477300.0	85989000.0	84490600.0	84958600.0	84800400.0	85127800.0	0	1.6302688463780578e-17	-2.071642265765492	True	0.00014767413241447208	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	12	12.0	2919270.0	2725140.0	2093850.0	2263780.0	2045230.0	2544630.0	2029490.0	1721670.0	2573120.0	9575250.0	9540720.0	9598680.0	8903850.0	9859940.0	9492750.0	9142530.0	9863790.0	9708720.0	0	1.9143761648587823e-17	-2.0344439872558717	True	0.00015382722126507507	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A9Q7	ADHE_ECOLI	adhE	Bifunctional aldehyde-alcohol dehydrogenase AdhE	31	31.0	18526300.0	16152300.0	17375400.0	15919800.0	15463100.0	15297500.0	15678400.0	16618700.0	16110100.0	71620800.0	73070200.0	72113900.0	68754700.0	71190600.0	73449800.0	73851900.0	75518400.0	74308000.0	0	2.166835333491909e-17	-2.151816961683028	True	0.0001599803101156781	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A8M0	SYN_ECOLI	asnS	Asparagine--tRNA ligase	14	13.0	9746490.0	10837600.0	10214500.0	11918700.0	11374600.0	9497910.0	9961760.0	10378900.0	8669590.0	35401500.0	34384300.0	35710100.0	34536100.0	37271600.0	38310600.0	36053600.0	36485800.0	37648100.0	0	2.901864689931383e-17	-1.8149092541275256	True	0.00016613339896628108	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P33734	HIS5_YEAST	HIS7	Imidazole glycerol phosphate synthase hisHF	23	23.0	27875500.0	28879100.0	28575500.0	28147300.0	27109600.0	26795700.0	27384900.0	27888700.0	27413100.0	13295400.0	14371300.0	13261900.0	11376400.0	13525500.0	12555800.0	13460600.0	12715500.0	13058400.0	0	2.9137382456719067e-17	1.0881853232904046	True	0.0001722864878168841	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P45523	FKBA_ECOLI	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA	10	10.0	26630300.0	24688500.0	29709900.0	25078800.0	25622200.0	24319000.0	25374900.0	19943400.0	28601800.0	106420000.0	104424000.0	99850500.0	101366000.0	111689000.0	109221000.0	109881000.0	106349000.0	109858000.0	0	3.0541972090329434e-17	-2.0601806752851837	True	0.0001784395766674871	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A8T7	RPOC_ECOLI	rpoC	DNA-directed RNA polymerase subunit beta'	29	29.0	12285900.0	11438900.0	12460700.0	6443880.0	9807710.0	10137300.0	6143000.0	9141070.0	12110800.0	51005700.0	52421100.0	54959200.0	49590400.0	51722600.0	49186500.0	50609400.0	54604900.0	54028400.0	0	3.6753147062465417e-17	-2.3793996136080398	True	0.00018459266551809007	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0ABH7	CISY_ECOLI	gltA	Citrate synthase	10	10.0	103775000.0	110119000.0	85787000.0	84602600.0	97557800.0	89946800.0	85837400.0	101803000.0	84743900.0	426711000.0	402907000.0	391085000.0	413599000.0	430394000.0	392246000.0	424548000.0	427135000.0	408355000.0	0	3.9958112681820095e-17	-2.1385211879579495	True	0.00019074575436869309	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P14843	AROF_YEAST	ARO3	Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited	8	7.0	33684700.0	32311200.0	32470400.0	35003700.0	31860900.0	32618600.0	32254700.0	33421600.0	33203000.0	16881700.0	16732900.0	15124100.0	17238700.0	16049700.0	16053100.0	14606000.0	16622800.0	16424600.0	0	4.034660507623184e-17	1.0262975369713325	True	0.0001968988432192961	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0ADE8	YGFZ_ECOLI	ygfZ	tRNA-modifying protein YgfZ	7	7.0	3512250.0	4455610.0	3241820.0	3064030.0	3401080.0	3281040.0	2838700.0	3549820.0	3163530.0	15630500.0	14298700.0	13595200.0	15104800.0	14864900.0	15437300.0	14529000.0	15092900.0	14704100.0	0	4.093976980880325e-17	-2.126961815126238	True	0.00020305193206989912	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P37685	ALDB_ECOLI	aldB	Aldehyde dehydrogenase B	9	9.0	16371300.0	16283000.0	16039000.0	16339100.0	14573000.0	13972200.0	16163000.0	17317800.0	13960600.0	67725400.0	62972400.0	67859700.0	64879700.0	70626900.0	67855400.0	66968700.0	67422500.0	66484300.0	0	4.1359360599451686e-17	-2.0957778950299164	True	0.0002092050209205021	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
Q02821	IMA1_YEAST	SRP1	Importin subunit alpha	7	7.0	26494800.0	25388200.0	24672300.0	25704000.0	24494000.0	24839000.0	24109600.0	24482000.0	24577300.0	11990000.0	12387400.0	12359800.0	10639200.0	12092100.0	11076300.0	10497600.0	12302200.0	11473800.0	0	4.654727433237025e-17	1.100501015739322	True	0.0002153581097711051	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P77674	ABDH_ECOLI	patD	Gamma-aminobutyraldehyde dehydrogenase	12	12.0	19142700.0	19677300.0	18153600.0	18644300.0	18879200.0	16481700.0	18901800.0	17486500.0	16933100.0	76044600.0	74126700.0	71052200.0	76107100.0	78520600.0	76975200.0	77733600.0	76693000.0	75757200.0	0	1.156305577814973e-16	-2.0555728872683807	True	0.0002215111986217081	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	6	6.0	47822.5	29353.8	66903.0	49927.2	73026.5	65334.7	1454660.0	51770.1	61327.0	7363390.0	7038630.0	7983700.0	8042450.0	7960020.0	7938700.0	8343070.0	7894660.0	7605250.0	8	1.2053298629291853e-16	-5.206685606767721	True	0.0002276642874723111	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P32454	APE2_YEAST	APE2	Aminopeptidase 2, mitochondrial	34	32.0	47889300.0	48419500.0	49438100.0	45419000.0	44856800.0	45482900.0	47137000.0	47123600.0	48088100.0	22080600.0	22274200.0	22470700.0	18695400.0	21155000.0	21924300.0	20777700.0	20750400.0	22318200.0	0	1.3326706452582447e-16	1.1391109900226333	True	0.00023381737632291412	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P14907	NSP1_YEAST	NSP1	Nucleoporin NSP1	20	20.0	74161000.0	72557800.0	74657300.0	68707300.0	69328400.0	75603000.0	71335900.0	70708100.0	71908000.0	34172900.0	33377000.0	34928800.0	26825400.0	34019600.0	33363200.0	31665200.0	32197300.0	32004500.0	0	1.3383140477102207e-16	1.1494422236963104	True	0.00023997046517351713	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0AG80	UGPB_ECOLI	ugpB	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	13	13.0	6654060.0	7753470.0	7325940.0	8821850.0	5611380.0	5798360.0	7786200.0	5826090.0	5671460.0	32971000.0	36287800.0	38198400.0	37700000.0	36889100.0	35973800.0	37688600.0	37669400.0	38651200.0	0	1.712362075986515e-16	-2.438556838685169	True	0.0002461235540241201	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P39265	ALSB_ECOLI	alsB	D-allose-binding periplasmic protein	5	5.0	1185200.0	2192480.0	1490790.0	1651110.0	1684770.0	1539970.0	1350100.0	1361970.0	1586660.0	9847600.0	9623620.0	10797600.0	9712570.0	9471810.0	10368400.0	10274600.0	10180800.0	10550400.0	0	1.755533520905707e-16	-2.693271274969616	True	0.00025227664287472314	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A7K2	RL7_ECOLI	rplL	Large ribosomal subunit protein bL12	5	5.0	122803000.0	115435000.0	125744000.0	118754000.0	109099000.0	111567000.0	109922000.0	113989000.0	109255000.0	506318000.0	478934000.0	504181000.0	515542000.0	497195000.0	512371000.0	481213000.0	487972000.0	486714000.0	0	1.8196271212708758e-16	-2.108602072737837	True	0.0002584297317253261	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P25373	GLRX1_YEAST	GRX1	Glutaredoxin-1	5	5.0	65744600.0	66683800.0	67048900.0	67314600.0	60747900.0	63697400.0	64763400.0	64666700.0	62552900.0	27601400.0	30027400.0	33823600.0	27677800.0	28234200.0	29598200.0	30945600.0	31555500.0	30591900.0	0	1.822503989667953e-16	1.1107842236861059	True	0.0002645828205759291	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P60624	RL24_ECOLI	rplX	Large ribosomal subunit protein uL24	6	6.0	20922300.0	20902300.0	22097000.0	17536900.0	19375200.0	18111700.0	18682800.0	20174100.0	21205900.0	88158600.0	83727600.0	87990900.0	85477800.0	91415000.0	91734600.0	86355900.0	91892700.0	90176600.0	0	1.8427859499970666e-16	-2.1544267886576125	True	0.00027073590942653216	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0AFG0	NUSG_ECOLI	nusG	Transcription termination/antitermination protein NusG	4	4.0	3181830.0	4352870.0	3651600.0	3453810.0	3706770.0	4873130.0	3228630.0	2405960.0	3531700.0	15339300.0	15168700.0	14253800.0	16415000.0	15782400.0	14445900.0	15750200.0	14730900.0	15994900.0	0	1.9527920794235909e-16	-2.089969152768011	True	0.00027688899827713515	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	13	13.0	1039570.0	1905650.0	2284070.0	1558400.0	1662940.0	982884.0	1927470.0	1588710.0	1891940.0	8659320.0	9239680.0	9218930.0	8445090.0	8073820.0	8972610.0	9587120.0	8702010.0	8936580.0	0	1.9812882684413618e-16	-2.427374324843188	True	0.00028304208712773813	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0CX55;P0CX56	RS18A_YEAST;RS18B_YEAST	RPS18A;RPS18B	Small ribosomal subunit protein uS13A	8		690498000.0	690339000.0	684527000.0	683699000.0	635065000.0	651197000.0	687684000.0	657165000.0	686828000.0	310466000.0	292761000.0	334818000.0	300027000.0	299507000.0	315823000.0	318289000.0	329050000.0	316262000.0	0	2.360453327297374e-16	1.1068226868299003	True	0.0002891951759783411	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0A6X7	IHFA_ECOLI	ihfA	Integration host factor subunit alpha	5	5.0	12062200.0	11833300.0	10973700.0	12642000.0	11003200.0	10615100.0	10667800.0	11471800.0	11612900.0	50996500.0	52165000.0	50817400.0	55637800.0	53010000.0	53523900.0	52007500.0	52013400.0	53846400.0	0	2.4876437596206555e-16	-2.203950945939453	True	0.00029534826482894417	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A8V2	RPOB_ECOLI	rpoB	DNA-directed RNA polymerase subunit beta	29	29.0	12420300.0	11111200.0	11223200.0	10270100.0	10178900.0	10524500.0	10750900.0	10014700.0	9953100.0	50293500.0	50204300.0	48058700.0	49840200.0	50981500.0	50809900.0	51133800.0	53080700.0	53429700.0	0	2.9713812194229745e-16	-2.247012475430284	True	0.00030150135367954716	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P37291	GLYC_YEAST	SHM2	Serine hydroxymethyltransferase, cytosolic	22	21.0	473486000.0	458216000.0	484695000.0	440865000.0	433821000.0	456936000.0	465608000.0	454163000.0	471928000.0	217791000.0	214499000.0	232228000.0	182258000.0	209960000.0	215903000.0	217564000.0	228438000.0	220532000.0	0	3.2235285622824655e-16	1.0940909770908465	True	0.00030765444253015014	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q00764	TPS1_YEAST	TPS1	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit	13	13.0	116747000.0	114265000.0	116035000.0	109925000.0	107728000.0	118385000.0	114559000.0	111632000.0	114744000.0	55240100.0	52907000.0	57962800.0	50644000.0	54507500.0	57617700.0	54345900.0	55921100.0	55364400.0	0	3.436068997053927e-16	1.0501708333633888	True	0.0003138075313807532	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
