Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P40482	P40482		SEC24		136149.0	132590.0	136540.0	136304.0	133299.0	135024.0	73171.6	75235.0	77079.9	137913.0	74744.1	136116.0	140029.0	74645.5	79640.7	76844.8	73489.1	75245.8	0	4.149104679835149e-20	0.8477497528504714	True	5.328424723890719e-05	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P05055	P05055		pnp		34102.6	32546.0	32490.5	30597.7	31073.8	28656.4	118422.0	113707.0	112452.0	31697.4	113077.0	34031.0	33277.6	116965.0	119510.0	118894.0	117210.0	117623.0	0	7.029896169514699e-20	-1.860937778152912	True	5.8128269715171485e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P53598	P53598		LSC1		198823.0	201554.0	200870.0	205064.0	203010.0	203413.0	109071.0	105095.0	109405.0	203239.0	110671.0	208286.0	209859.0	110434.0	108321.0	112674.0	114502.0	109610.0	0	1.2618518212577132e-19	0.8899022907442221	True	6.297229219143577e-05	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0AEK2	P0AEK2		fabG		10074.5	8162.01	9201.92	10107.9	9130.89	8949.96	30672.8	32838.8	30948.7	10421.2	32068.1	9563.38	9305.92	32538.3	30947.1	32535.6	31319.5	32757.1	0	1.4847492794099392e-19	-1.7550326215523582	True	6.781631466770006e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A870	P0A870		talB		24473.5	29144.5	26060.3	25367.3	26365.4	30216.6	98030.0	95417.2	97284.7	32374.8	94104.4	27484.3	25653.3	101056.0	96094.9	94613.2	101998.0	99550.3	0	1.51036398163143e-19	-1.8291367250191917	True	7.266033714396434e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A8P3	P0A8P3		yggX		8928.79	10794.5	11586.6	10682.2	10924.4	12547.7	41807.2	41792.3	40312.2	11923.9	41063.2	11939.2	11970.4	42758.7	41560.7	42522.2	43743.0	44289.6	0	2.0477026849074347e-19	-1.9068251277911124	True	7.750435962022864e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0ABK5	P0ABK5		cysK		52254.8	49105.7	48662.3	52454.5	50745.8	50296.6	165031.0	164233.0	161933.0	52553.7	165196.0	55756.1	57833.9	173974.0	173483.0	168076.0	167689.0	171246.0	0	2.2386908586920886e-19	-1.6856718613789103	True	8.234838209649293e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A9M8	P0A9M8		pta		19024.0	20012.4	18303.7	20730.8	19523.4	19745.8	60070.4	57883.0	60108.0	21200.1	58830.7	21484.6	22829.8	58798.1	62347.8	62046.0	61129.1	58258.2	0	2.3863453194654523e-19	-1.560849289601821	True	8.719240457275721e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P06715	P06715		gor		9411.12	8936.9	9650.64	10366.0	9660.97	9271.74	29240.9	28072.1	28360.9	10418.3	28456.5	9644.13	10848.9	28408.5	29200.7	29580.8	29790.1	30458.2	0	4.653918560794719e-19	-1.5681970539424086	True	9.203642704902151e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P77395	P77395		cnoX		31385.6	34926.0	32002.1	34281.0	32369.2	34574.4	121928.0	122925.0	124321.0	32775.5	117047.0	38044.6	35953.7	127932.0	124778.0	127827.0	123818.0	124582.0	0	6.144515553427377e-19	-1.8641738685775562	True	9.688044952528579e-05	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A7T3	P0A7T3		rpsP		88018.7	72844.9	80870.5	77703.5	80199.8	82928.4	246329.0	244311.0	244013.0	82492.7	241491.0	87967.8	83701.8	246613.0	257911.0	253810.0	258405.0	256664.0	0	6.61900990134496e-19	-1.6104303340905382	True	0.00010172447200155009	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P21170	P21170		speA		18542.3	17113.4	19833.2	14271.7	19819.8	17500.8	64316.3	66242.3	67578.3	18852.2	62300.0	19622.2	20066.1	61030.2	63028.3	65993.5	65172.5	63794.6	0	9.524722960416553e-19	-1.8068074075523708	True	0.00010656849447781438	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P08312	P08312		pheS		19117.7	19764.6	19292.6	18855.9	19197.6	17734.1	62429.2	63440.3	65555.2	21596.8	64271.5	20828.0	20202.8	65674.2	66161.7	67361.5	67725.8	64917.0	0	1.047517889614227e-18	-1.7342737697733788	True	0.00011141251695407868	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
O14467	O14467		MBF1		200553.0	194914.0	193791.0	193502.0	191182.0	190698.0	100934.0	98716.5	97807.4	190540.0	104005.0	199884.0	200618.0	97231.7	102757.0	96295.8	93477.2	99795.0	0	1.1884478640470709e-18	0.9785024861090752	True	0.00011625653943034297	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0AES4	P0AES4		gyrA		14662.4	15149.1	12971.3	14350.6	14588.6	13624.8	44872.3	45057.4	44969.0	15508.7	44896.1	16777.8	16509.5	48633.0	44753.7	46701.8	47002.9	47428.6	0	1.302041383825884e-18	-1.626957735401361	True	0.00012110056190660725	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P00957	P00957		alaS		61013.2	54369.8	51703.2	51686.7	53257.1	49873.3	166182.0	154978.0	160838.0	58071.0	160191.0	61023.8	59232.2	163133.0	162410.0	160178.0	160332.0	161194.0	0	1.391232819899362e-18	-1.534827280106193	True	0.00012594458438287153	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0AE08	P0AE08		ahpC		108458.0	109576.0	111871.0	113370.0	117107.0	113492.0	362106.0	369582.0	369243.0	106472.0	372659.0	117815.0	114177.0	371691.0	373238.0	381820.0	373035.0	387578.0	0	1.4464366846865568e-18	-1.7311788803794605	True	0.00013078860685913584	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A6M8	P0A6M8		fusA		154936.0	148232.0	151265.0	151073.0	146125.0	140581.0	514767.0	510592.0	497675.0	157218.0	507887.0	153689.0	157893.0	524790.0	528622.0	523499.0	524577.0	528958.0	0	2.3439699860743355e-18	-1.7760733169076455	True	0.00013563262933540012	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P05042	P05042		fumC		14657.3	13425.6	16277.2	17522.4	16057.0	16366.1	52875.4	51746.6	51565.6	16022.3	54344.8	15599.2	16718.9	54244.9	55606.1	54956.4	50825.2	53340.9	0	2.440399082832275e-18	-1.7491092745191845	True	0.00014047665181166443	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P36139	P36139		PET10		113619.0	108199.0	112726.0	113683.0	113201.0	115536.0	61813.6	54336.9	60483.8	111110.0	58511.8	115262.0	108984.0	56628.0	55561.2	56894.0	59298.9	60334.1	0	2.518398740121974e-18	0.9504058594586766	True	0.00014532067428792869	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P12758	P12758		udp		20541.3	18522.1	17139.1	19064.3	18629.8	20463.3	79638.1	72859.7	75483.2	21720.9	72608.0	22575.8	22513.9	78190.3	75349.2	74967.5	72475.1	76917.2	0	2.577702445523581e-18	-1.9049758772966723	True	0.000150164696764193	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P15274	P15274		AMD1		91634.4	92382.8	91330.2	92592.6	93068.6	88230.6	51665.5	50278.0	46923.5	94917.7	47813.8	93367.5	94285.0	52072.4	50196.4	47960.6	51888.5	52255.0	0	3.480033883264735e-18	0.8829537853610127	True	0.00015500871924045728	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P33767	P33767		WBP1		156430.0	152121.0	157513.0	159074.0	158852.0	158467.0	87090.9	78947.7	84977.1	158571.0	80020.9	165211.0	162620.0	79482.1	84306.1	82696.2	83333.8	85693.4	0	4.314022506743193e-18	0.936556243739714	True	0.00015985274171672158	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0A9Y6	P0A9Y6		cspC		49609.1	45898.5	42396.5	37549.4	35504.9	45020.8	128388.0	131504.0	133188.0	46110.6	131203.0	45217.2	46066.6	136294.0	139211.0	143397.0	135815.0	136888.0	0	6.490701817651643e-18	-1.6280382987004014	True	0.00016469676419298587	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A7J7	P0A7J7		rplK		52691.4	50528.6	47124.2	51353.8	51741.1	49138.9	188936.0	188577.0	182984.0	53665.8	182154.0	58208.8	58865.6	189142.0	185198.0	196055.0	179526.0	196678.0	0	8.472090805655672e-18	-1.8355005524503514	True	0.00016954078666925015	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0AG18	P0AG18		purE		21793.9	20160.3	24361.2	18901.8	22040.7	21846.6	63573.3	58646.6	57857.9	22022.0	58661.4	20397.2	17725.2	59884.0	57825.3	58745.4	60549.9	61839.6	0	8.598693750983942e-18	-1.5062036752849435	True	0.00017438480914551443	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P35845	P35845		SWH1		52663.0	50668.8	52410.1	51776.1	52540.7	53374.6	29420.3	25847.2	27788.6	51966.8	28017.0	55297.3	52279.9	28264.2	28051.9	28110.2	29043.1	29405.4	0	8.741592453608592e-18	0.8972384009783514	True	0.00017922883162177874	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0A7M9	P0A7M9		rpmE		13849.2	13683.8	10972.5	12359.1	13070.7	10515.9	50245.3	49502.5	49584.4	14763.8	49624.2	15365.4	14228.7	52392.9	51932.3	53795.0	53030.2	54733.2	0	8.90359832658833e-18	-1.9680888782250916	True	0.00018407285409804302	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A6P1	P0A6P1		tsf		70246.4	65833.8	71204.4	64724.7	68770.4	66944.4	224465.0	216714.0	218304.0	70167.3	216917.0	73459.4	74088.6	227690.0	223480.0	228432.0	233715.0	225411.0	0	1.0473427975303716e-17	-1.6879294701476684	True	0.00018891687657430733	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P24521	P24521		ERG8		29355.8	29252.3	29456.5	28453.0	28091.7	29355.7	16628.1	15972.4	14971.5	30430.1	16452.8	29126.0	29656.2	15593.0	17123.9	15199.7	16124.0	15850.0	0	1.0715786241952512e-17	0.8708140774853559	True	0.00019376089905057158	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0A6Q3	P0A6Q3		fabA		27116.8	27881.6	38677.3	30151.5	38194.3	29041.8	118788.0	118760.0	124458.0	33421.7	118534.0	33305.2	35127.1	112287.0	124400.0	117887.0	123780.0	112722.0	0	1.2089464840203089e-17	-1.8712227190176238	True	0.00019860492152683592	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P11154	P11154		PYC1		49816.8	48382.0	47677.8	49420.0	48687.3	47766.9	26183.4	26902.5	25421.5	51225.7	24662.7	49059.7	50364.6	26324.2	24548.4	26955.6	26590.1	26349.8	0	1.230751503500876e-17	0.919226534395859	True	0.00020344894400310017	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P0AF36	P0AF36		zapB		23911.2	21827.7	16847.2	16840.4	18386.7	19640.6	70949.1	69992.1	73836.7	24417.9	76661.5	21655.5	22046.3	72552.0	72344.3	77149.7	76006.4	73544.4	0	1.285332838817453e-17	-1.8370969322600126	True	0.00020829296647936445	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A6F5	P0A6F5		groEL		93305.5	91464.9	86300.2	88584.5	85702.7	92624.2	343377.0	331863.0	328416.0	105623.0	319616.0	103138.0	95449.3	341960.0	327005.0	353429.0	332082.0	346470.0	0	1.5722107785020482e-17	-1.8443405492190557	True	0.00021313698895562876	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
Q12019	Q12019		MDN1		107514.0	103413.0	101535.0	105937.0	107161.0	105682.0	60667.9	61620.2	58176.1	107615.0	63262.8	109830.0	108211.0	56852.6	61600.4	58383.2	57747.5	57305.6	0	1.6559448101293117e-17	0.8371652838848678	True	0.00021798101143189304	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P00956	P00956		ileS		13256.4	14163.3	13422.5	13100.1	13066.7	14030.0	47005.1	45368.6	46395.7	13786.3	45658.6	14675.2	15282.5	48551.7	46671.0	47831.3	48300.7	49160.9	0	1.6794897169392176e-17	-1.767849974572295	True	0.00022282503390815735	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P24182	P24182		accC		12496.2	12710.2	14949.5	9710.63	13413.8	11936.3	44233.8	42266.9	42274.2	14178.1	43343.0	14938.2	13726.3	42882.6	45058.3	46051.9	43675.8	41545.8	0	1.6968209607912982e-17	-1.72888335565233	True	0.00022766905638442163	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P34110	P34110		VPS35		48004.9	47084.9	48190.8	48882.3	48287.9	48233.5	25934.6	27691.8	27669.2	50443.5	26701.3	50540.9	49832.8	26243.2	27914.7	28588.3	27638.0	25539.7	0	1.9052750259120002e-17	0.8494553020825454	True	0.00023251307886068594	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P07395	P07395		pheT		29915.3	29169.1	29790.2	29665.5	30755.7	30503.5	104266.0	101231.0	100803.0	31338.6	100982.0	32099.7	32883.4	105505.0	103018.0	106253.0	104800.0	107548.0	0	1.9242274472714776e-17	-1.7587489237984237	True	0.00023735710133695022	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P36010	P36010		YNK1		375532.0	386612.0	396007.0	381654.0	375407.0	395366.0	203249.0	192315.0	189866.0	387538.0	196767.0	395744.0	398966.0	196084.0	207821.0	197903.0	201861.0	190807.0	0	1.964184687699003e-17	0.9752165995872427	True	0.0002422011238132145	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
Q00764	Q00764		TPS1		804452.0	790845.0	792268.0	803827.0	798615.0	785566.0	439940.0	471845.0	460800.0	791873.0	448990.0	815189.0	820451.0	436527.0	439522.0	443347.0	464375.0	486039.0	0	2.5300939534454122e-17	0.8160258277464267	True	0.0002470451462894788	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P09831	P09831		gltB		56735.7	70415.5	62265.0	61519.1	74979.2	60731.8	178475.0	183014.0	185107.0	61897.0	189800.0	62748.9	72822.2	201037.0	189139.0	182764.0	195386.0	190296.0	0	2.8327551691002366e-17	-1.5369777372698865	True	0.00025188916876574307	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A853	P0A853		tnaA		684658.0	680115.0	659628.0	681434.0	669018.0	647357.0	2323190.0	2252020.0	2259290.0	730070.0	2222450.0	727470.0	688008.0	2362550.0	2369880.0	2324140.0	2381020.0	2310040.0	0	3.119530656688868e-17	-1.754083098286186	True	0.0002567331912420074	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P37387	P37387		xylF		15659.8	18636.1	21913.8	17191.2	17986.8	19638.1	63730.4	70143.0	66843.6	18806.8	63726.3	23587.1	19374.4	63973.8	68461.1	67624.0	70919.5	67640.8	0	3.2463642942240396e-17	-1.8032535694689626	True	0.0002615772137182717	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P40893	P40893		REE1		120080.0	119849.0	127110.0	119545.0	120082.0	119780.0	60250.3	57857.9	59012.4	123435.0	61948.4	123398.0	128677.0	65119.2	61922.8	60318.1	58841.9	67062.0	0	3.2566234323110485e-17	0.9964563885192329	True	0.00026642123619453596	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P42588	P42588		patA		20678.7	19244.8	15802.9	18460.5	20399.1	15504.7	52293.0	48980.8	49717.1	17730.5	49578.6	16796.6	17025.4	51467.2	53218.1	49934.5	52411.7	52537.3	0	3.4407218148866546e-17	-1.5092547278788635	True	0.00027126525867080025	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A8N5	P0A8N5		lysU		12511.7	13130.9	12368.7	12127.9	11282.7	10884.9	33807.6	35433.2	35132.5	9645.11	33258.2	11797.8	14001.1	33550.9	33652.4	35918.2	33350.5	36304.7	0	3.6245770416952377e-17	-1.5264679548637388	True	0.00027610928114706453	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A6K6	P0A6K6		deoB		21550.9	20840.1	21130.4	23009.1	20690.6	22485.7	75734.1	73232.8	77918.2	23550.7	76530.6	22784.4	23207.2	76719.5	78082.5	78783.3	80597.9	78243.4	0	3.727795675454808e-17	-1.8041871748934615	True	0.00028095330362332886	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A6A8	P0A6A8		acpP		43561.7	40982.6	40510.3	40873.0	41625.5	38759.8	141507.0	149015.0	148008.0	39662.6	151505.0	50794.6	55729.0	149161.0	161562.0	156877.0	156212.0	157626.0	0	3.7290566562506706e-17	-1.8049649693046848	True	0.00028579732609959314	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P39187	P39187		ytfJ		14136.8	13417.3	11174.2	14579.1	13365.1	12329.5	48357.3	45444.6	44906.9	14836.5	46267.1	13951.1	14755.5	46603.5	48414.5	48622.4	45274.7	49831.9	0	5.73984067997005e-17	-1.7898083021132907	True	0.00029064134857585737	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P0A9Q7	P0A9Q7		adhE		78828.7	76510.4	71443.2	77833.6	75517.8	77389.0	260105.0	248476.0	247649.0	80545.7	254452.0	82726.6	81041.2	263703.0	259646.0	260573.0	267962.0	259869.0	0	5.87276135650595e-17	-1.726431951697092	True	0.0002954853710521217	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P36016	P36016		LHS1		80013.7	77477.8	78357.5	79315.8	80498.4	76598.4	45959.2	43690.2	45007.8	81659.7	44754.8	81131.5	82382.6	43215.5	44158.0	47406.7	44123.1	46789.7	0	7.145989545493441e-17	0.8245530415510913	True	0.000300329393528386	True	True	Yeast	False	False	True	True	diatracer	manual	min	0.5
P24186	P24186		folD		16000.1	14673.1	14005.8	14911.2	14222.9	16056.0	44772.7	47225.7	43236.1	11613.5	46752.8	11334.1	16531.1	47924.9	45655.4	45473.9	43237.2	44652.5	0	7.309199717499843e-17	-1.6606026232904627	True	0.00030517341600465027	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
P04693	P04693		tyrB		19375.4	14578.0	17136.2	16716.5	18794.9	17692.3	55651.8	55171.2	52728.3	18251.6	58580.7	21833.8	20179.8	58596.8	58214.9	52772.9	56419.1	56764.5	0	8.165025825712524e-17	-1.617397700428295	True	0.00031001743848091455	True	True	Ecoli	False	True	False	True	diatracer	manual	min	0.5
