Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ACJ8	CRP_ECOLI	crp	DNA-binding transcriptional dual regulator CRP	4	4.0	90605.1	94851.2	85312.5	79275.6	82057.2	100632.0	89598.2	94808.7	99655.0	318331.0	335066.0	333516.0	350822.0	332492.0	320024.0	334603.0	340117.0	338590.0	0	4.959719127290327e-19	-1.8786271411219306	True	5.3449951409135085e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A6P1	EFTS_ECOLI	tsf	Elongation factor Ts	12	12.0	311992.0	330446.0	293368.0	302732.0	278740.0	302696.0	309149.0	289732.0	265360.0	1215440.0	1163240.0	1121610.0	1187040.0	1177230.0	1176480.0	1132740.0	1168080.0	1204190.0	0	6.10182605965762e-19	-1.9741306036945139	True	5.8309037900874645e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A6W5	GREA_ECOLI	greA	Transcription elongation factor GreA	6	6.0	115300.0	89913.5	104717.0	88226.1	101716.0	98346.7	102300.0	107173.0	96272.7	347311.0	362094.0	355308.0	365646.0	347860.0	369255.0	345488.0	374154.0	347682.0	0	6.491208243122307e-19	-1.8303892693645054	True	6.316812439261419e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P23301	IF5A1_YEAST	HYP2	Eukaryotic translation initiation factor 5A-1	4	3.0	5861780.0	5937130.0	6204060.0	5891050.0	5875110.0	5985300.0	5791910.0	6129360.0	6040490.0	2895540.0	2730430.0	3007300.0	3080880.0	2896500.0	3042210.0	3017950.0	2833970.0	2936820.0	0	8.70105374486943e-19	1.0225475024460609	True	6.802721088435375e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P21954	IDHP_YEAST	IDP1	Isocitrate dehydrogenase [NADP], mitochondrial	15	13.0	1143730.0	1215960.0	1208780.0	1201360.0	1174310.0	1184720.0	1187760.0	1187820.0	1207100.0	607872.0	633355.0	611865.0	616234.0	623691.0	619628.0	582188.0	619769.0	619182.0	0	1.6080323127112383e-18	0.9528276740271715	True	7.28862973760933e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q10740	LKHA4_YEAST	LAP2	Leucine aminopeptidase 2	10	10.0	198213.0	205603.0	211536.0	200670.0	198898.0	205387.0	200479.0	202417.0	205140.0	101068.0	98065.6	102094.0	100004.0	102267.0	102441.0	95869.1	94911.2	98742.1	0	2.327986393505093e-18	1.029832631492707	True	7.774538386783285e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P39078	TCPD_YEAST	CCT4	T-complex protein 1 subunit delta	12	12.0	373086.0	378969.0	392002.0	368482.0	366807.0	365382.0	369677.0	366300.0	366394.0	171267.0	177657.0	174012.0	184212.0	182248.0	181890.0	164975.0	179836.0	173454.0	0	3.1085182699810313e-18	1.0742919180626749	True	8.260447035957241e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q46938	KDUI_ECOLI	kduI	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	8	8.0	719236.0	747620.0	714602.0	668693.0	675241.0	636427.0	624742.0	748035.0	569385.0	2414050.0	2489730.0	2341860.0	2438080.0	2444580.0	2280500.0	2517840.0	2447590.0	2317930.0	0	3.1872483995158313e-18	-1.8293513401498473	True	8.746355685131195e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P14907	NSP1_YEAST	NSP1	Nucleoporin NSP1	25	25.0	328535.0	330819.0	322258.0	309985.0	309124.0	324724.0	325106.0	326516.0	324559.0	155951.0	147596.0	150376.0	157483.0	157773.0	162877.0	146617.0	160866.0	153099.0	0	3.3791589035217274e-18	1.0590412828109022	True	9.232264334305151e-05	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0AEM9	TCYJ_ECOLI	tcyJ	L-cystine-binding protein TcyJ	12	12.0	163854.0	174152.0	170298.0	175994.0	152486.0	152103.0	161018.0	173903.0	162743.0	582570.0	560857.0	598611.0	590641.0	608017.0	601396.0	599020.0	595302.0	570888.0	0	3.756150975615165e-18	-1.836009684877256	True	9.718172983479106e-05	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A6L0	DEOC_ECOLI	deoC	Deoxyribose-phosphate aldolase	7	7.0	65063.2	54871.9	60106.6	43671.8	62473.1	61082.8	68654.2	68381.0	59062.9	248421.0	249602.0	238530.0	231045.0	236376.0	243589.0	228182.0	239003.0	255303.0	0	3.785129515503911e-18	-1.9977287664254195	True	0.00010204081632653062	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0ADZ4	RS15_ECOLI	rpsO	Small ribosomal subunit protein uS15	4	4.0	23587.9	31231.6	23830.6	33864.9	26984.7	24945.8	26035.7	19829.0	26883.7	112613.0	106937.0	114106.0	106354.0	106174.0	112264.0	112170.0	110903.0	116515.0	0	3.807674118558268e-18	-2.0730249476687903	True	0.00010689990281827017	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
Q12154	GET3_YEAST	GET3	ATPase GET3	6	6.0	508695.0	488092.0	483470.0	479167.0	466664.0	488811.0	474354.0	489993.0	478377.0	232259.0	231589.0	244890.0	237224.0	221113.0	225487.0	224039.0	229907.0	214896.0	0	3.967601989086018e-18	1.0799141108183563	True	0.00011175898931000974	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q01476	UBP2_YEAST	UBP2	Ubiquitin carboxyl-terminal hydrolase 2	20	20.0	104788.0	113112.0	109858.0	109886.0	108219.0	105463.0	107206.0	109154.0	107932.0	47806.5	51365.4	54198.6	52080.8	52789.3	52671.6	53179.0	58255.2	53978.4	0	4.1089711877738175e-18	1.0343707108513331	True	0.00011661807580174929	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P69783	PTGA_ECOLI	crr	PTS system glucose-specific EIIA component	7	7.0	553705.0	579588.0	552359.0	534210.0	514726.0	500174.0	518258.0	534597.0	499048.0	1936030.0	1870090.0	1886160.0	1915030.0	2010320.0	1984590.0	1873030.0	1934320.0	1938870.0	0	4.3759414395251986e-18	-1.8577131930379118	True	0.00012147716229348882	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A867	TALA_ECOLI	talA	Transaldolase A	10	10.0	146243.0	136500.0	133226.0	111652.0	145480.0	126818.0	126278.0	140632.0	97166.2	497176.0	486841.0	478472.0	523291.0	505335.0	515976.0	524106.0	474296.0	492862.0	0	4.846660934295536e-18	-1.9503124108613228	True	0.00012633624878522837	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P06103	EIF3B_YEAST	PRT1	Eukaryotic translation initiation factor 3 subunit B	20	20.0	586270.0	586274.0	604773.0	581314.0	561488.0	599981.0	566120.0	575136.0	573616.0	271844.0	282695.0	283383.0	296051.0	283466.0	304211.0	296277.0	288837.0	308527.0	0	5.4284294325771044e-18	1.0012103385259816	True	0.00013119533527696794	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P39187	YTFJ_ECOLI	ytfJ	Uncharacterized protein YtfJ	6	6.0	49694.9	41653.4	43438.2	51112.2	36468.6	46716.2	51832.4	37813.2	39941.6	176640.0	183275.0	183946.0	184877.0	185370.0	178882.0	199725.0	190692.0	192584.0	0	6.091567099436093e-18	-2.0717449172786058	True	0.0001360544217687075	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P25373	GLRX1_YEAST	GRX1	Glutaredoxin-1	3	3.0	1995650.0	2055910.0	2047390.0	1935710.0	1998510.0	1947470.0	1976220.0	2060140.0	1971510.0	979247.0	1081880.0	1017810.0	1045290.0	1098440.0	1111060.0	1078960.0	1033350.0	987810.0	0	6.1479378298224105e-18	0.9311575839124676	True	0.00014091350826044705	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P36139	PET10_YEAST	PET10	Protein PET10	10	10.0	455518.0	467838.0	460288.0	457150.0	468579.0	485020.0	461120.0	478445.0	470154.0	215335.0	231569.0	227091.0	223904.0	221060.0	224206.0	223331.0	231265.0	235620.0	0	6.151749575372639e-18	1.0479205419370337	True	0.0001457725947521866	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P63284	CLPB_ECOLI	clpB	Chaperone protein ClpB	17	17.0	30426.7	41450.6	35416.9	33787.0	38005.3	33921.7	29692.3	34632.6	32292.9	125568.0	133320.0	125680.0	134292.0	134926.0	133978.0	132644.0	140521.0	136518.0	0	6.3215327891265715e-18	-1.9513632744241105	True	0.00015063168124392615	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P07342	ILVB_YEAST	ILV2	Acetolactate synthase catalytic subunit, mitochondrial	10	10.0	233470.0	249563.0	231318.0	235534.0	235727.0	233148.0	234800.0	239695.0	229752.0	118117.0	122099.0	117541.0	123858.0	125623.0	114111.0	124964.0	131232.0	119870.0	0	7.084516279186727e-18	0.9519999276096044	True	0.0001554907677356657	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0ABU0	MENB_ECOLI	menB	1,4-dihydroxy-2-naphthoyl-CoA synthase	5	5.0	26573.6	35450.0	26901.0	33914.5	29466.3	27829.8	32056.1	32776.3	22580.3	111960.0	100999.0	113353.0	110656.0	108677.0	110483.0	110554.0	113379.0	110812.0	0	7.498442633163371e-18	-1.8889029541362523	True	0.00016034985422740526	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P33330	SERC_YEAST	SER1	Phosphoserine aminotransferase	12	12.0	1286980.0	1321940.0	1273660.0	1255750.0	1225550.0	1251470.0	1246410.0	1278360.0	1283280.0	655970.0	663321.0	664897.0	654364.0	664631.0	670320.0	693016.0	645549.0	708913.0	0	7.597173648823162e-18	0.9239216407644638	True	0.00016520894071914483	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P47120	DOHH_YEAST	LIA1	Deoxyhypusine hydroxylase	10	10.0	889982.0	887552.0	931479.0	865720.0	852126.0	894716.0	870568.0	909353.0	906178.0	422826.0	378453.0	402428.0	410755.0	397549.0	419925.0	428945.0	445409.0	439716.0	0	7.68615285874178e-18	1.0960300315305973	True	0.00017006802721088434	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0A6L2	DAPA_ECOLI	dapA	4-hydroxy-tetrahydrodipicolinate synthase	5	5.0	66036.7	65815.0	60377.2	50666.2	60616.6	61696.5	49747.6	58004.4	58233.2	180264.0	176708.0	195359.0	179783.0	184533.0	193163.0	179741.0	183071.0	189167.0	0	8.183963719657591e-18	-1.6454280858113606	True	0.0001749271137026239	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0AEK4	FABI_ECOLI	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	6	6.0	32183.8	34917.0	35808.8	26964.8	29633.9	22858.3	37389.0	32869.4	32070.5	117576.0	126162.0	123463.0	118153.0	115279.0	118669.0	124556.0	124492.0	114571.0	0	8.405681897402149e-18	-1.9274364063516805	True	0.00017978620019436348	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P50109	PSP2_YEAST	PSP2	Protein PSP2	16	16.0	228763.0	237540.0	235086.0	222899.0	227124.0	232496.0	229725.0	231968.0	222587.0	120645.0	123804.0	120526.0	111748.0	120037.0	131396.0	122919.0	115270.0	115778.0	0	8.830655289915087e-18	0.9345028407171253	True	0.00018464528668610302	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
Q07418	PEX19_YEAST	PEX19	Peroxisomal membrane protein import receptor PEX19	6	6.0	242110.0	245822.0	255982.0	244930.0	237635.0	244325.0	252961.0	238008.0	239714.0	102581.0	118351.0	120081.0	123368.0	109897.0	108213.0	120386.0	113624.0	113208.0	0	8.913917132866118e-18	1.0962416415882605	True	0.00018950437317784258	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0A7K6	RL19_ECOLI	rplS	Large ribosomal subunit protein bL19	4	4.0	191522.0	207408.0	190420.0	180518.0	197581.0	188172.0	179776.0	190667.0	217193.0	769505.0	706305.0	723850.0	745806.0	741608.0	732332.0	757300.0	761504.0	764822.0	0	8.980087659257663e-18	-1.943028546489941	True	0.00019436345966958212	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A786	PYRB_ECOLI	pyrB	Aspartate carbamoyltransferase catalytic subunit	7	7.0	62259.0	59028.6	54939.5	59896.2	57846.0	62855.2	53790.6	62221.5	50170.0	235085.0	228512.0	215485.0	238115.0	231588.0	227192.0	228611.0	235223.0	238329.0	0	9.806619059113552e-18	-1.9903917913373108	True	0.0001992225461613217	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P38879	NACA_YEAST	EGD2	Nascent polypeptide-associated complex subunit alpha	4	4.0	2758210.0	2707380.0	2812700.0	2614990.0	2635340.0	2666640.0	2650230.0	2741360.0	2663470.0	1294920.0	1249240.0	1269240.0	1234880.0	1258950.0	1368450.0	1328550.0	1300810.0	1241480.0	0	9.820260952817623e-18	1.0705456807980354	True	0.00020408163265306123	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P23869	PPIB_ECOLI	ppiB	Peptidyl-prolyl cis-trans isomerase B	4	4.0	94537.5	91119.0	98746.5	81703.8	87606.8	89057.3	79541.0	101294.0	95345.1	295005.0	286525.0	294003.0	300016.0	323694.0	302723.0	304230.0	299594.0	303311.0	0	1.0692038284699238e-17	-1.7259651414156312	True	0.00020894071914480077	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P09938	RIR2_YEAST	RNR2	Ribonucleoside-diphosphate reductase small chain 1	12	12.0	3275420.0	3415900.0	3518200.0	3246050.0	3359880.0	3399140.0	3318140.0	3319120.0	3331980.0	1624620.0	1632830.0	1721310.0	1663300.0	1707390.0	1788300.0	1619160.0	1622160.0	1715280.0	0	1.1373360340881558e-17	0.9997672476252241	True	0.00021379980563654034	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0A9P4	TRXB_ECOLI	trxB	Thioredoxin reductase	6	6.0	79229.6	89707.9	84920.2	62551.0	72551.3	77955.7	62785.5	81273.2	87373.3	281659.0	289730.0	281169.0	274337.0	283925.0	297846.0	282223.0	289379.0	280565.0	0	1.420750768285935e-17	-1.8745957501435913	True	0.00021865889212827988	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P23883	PUUC_ECOLI	puuC	NADP/NAD-dependent aldehyde dehydrogenase PuuC	7	7.0	9676.77	15418.8	17938.6	13081.4	19214.0	16236.4	14800.2	17914.1	16696.7	68055.5	70621.0	71059.2	68698.3	65605.0	73128.9	67722.1	69266.4	72252.2	0	1.7644007825014867e-17	-2.1516445164207973	True	0.00022351797862001947	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P43598	IGD1_YEAST	IGD1	Inhibitor of glycogen debranching 1	6	6.0	265523.0	273654.0	260600.0	253593.0	249504.0	265157.0	260623.0	253168.0	259550.0	125745.0	122102.0	114490.0	118215.0	115707.0	109884.0	117692.0	108558.0	115341.0	0	2.395808181722288e-17	1.1600816796183322	True	0.000228377065111759	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P17442	PHO81_YEAST	PHO81	Phosphate system positive regulatory protein PHO81	17	17.0	120061.0	124193.0	128372.0	118102.0	119602.0	122014.0	118282.0	123878.0	119290.0	61690.2	57893.4	60967.6	56285.9	63514.4	65688.1	56363.6	58309.7	61191.7	0	2.7658524219742606e-17	1.013230254618751	True	0.00023323615160349858	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0A870	TALB_ECOLI	talB	Transaldolase B	16	16.0	125916.0	144066.0	137412.0	133717.0	113432.0	122884.0	111373.0	155574.0	142741.0	458930.0	405519.0	433192.0	459044.0	438353.0	461539.0	440008.0	448535.0	438384.0	0	3.0015585091710817e-17	-1.7465783229026899	True	0.00023809523809523812	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P33136	OPGG_ECOLI	mdoG	Glucans biosynthesis protein G	12	12.0	38745.1	29327.6	36337.7	30346.3	31253.2	24578.3	31005.0	32770.5	30708.1	113199.0	109938.0	111566.0	121875.0	118449.0	117612.0	106631.0	115717.0	114529.0	0	3.009053424408891e-17	-1.8525690149536902	True	0.00024295432458697764	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P33767	OSTB_YEAST	WBP1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1	8	8.0	549222.0	574936.0	573527.0	567815.0	532596.0	554565.0	544157.0	565492.0	537814.0	254239.0	271434.0	262609.0	252689.0	275192.0	274177.0	290269.0	281563.0	274200.0	0	3.075427182562858e-17	1.037229443820899	True	0.00024781341107871723	True	True	Yeast	False	False	True	True	diann231	manual	min	0.5
P0C0V0	DEGP_ECOLI	degP	Periplasmic serine endoprotease DegP	7	7.0	26029.8	29274.2	20454.1	23430.5	22012.4	21220.8	24697.7	22635.1	24066.3	92864.6	97980.4	96168.3	92658.1	99729.6	97602.6	95498.8	103064.0	102954.0	0	3.173259908722547e-17	-2.0386729105523176	True	0.00025267249757045674	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	14	14.0	32927.5	30872.8	35654.0	23902.2	31583.9	28977.7	27224.7	35745.5	30536.7	148933.0	131038.0	136548.0	143375.0	139861.0	137233.0	142489.0	138139.0	147036.0	0	3.460354278150035e-17	-2.1885707403277093	True	0.00025753158406219636	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
P0A6F1	CARA_ECOLI	carA	Carbamoyl phosphate synthase small chain	5	5.0	30754.5	24796.9	24606.2	26324.7	26914.8	22524.0	22640.9	25942.9	27614.7	117887.0	110691.0	108941.0	108955.0	113008.0	117176.0	112344.0	105040.0	112082.0	0	3.519619882276196e-17	-2.1158678684114687	True	0.0002623906705539359	True	True	Ecoli	False	True	False	True	diann231	manual	min	0.5
