protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	351371.7333727711	354527.7812	412140.28619809326	862843.890439994	975209.216909862	970998.9759040788	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	0.0007859228153340311	-1.3291118268663167	False	0.0003297362110311751	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	1142270.3677198784	1047207.4455966824	1093622.5061078276	1971964.7293355372	2178406.536225373	2118915.618772498	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			0	0.001016176519904337	-0.9332425153971856	False	0.0003597122302158274	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	1660259.2112635635	1637192.0512792596	1567767.8551956876	4222273.776446538	4369261.136376075	3982558.703026129	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	0.0011341354741239793	-1.3698777222427299	False	0.0003896882494004796	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P64581	45543462.28474722	45971494.43596789	44992961.4549435	49413349.89721131	49500577.38444175	48489483.68817013	P64581	P64581		yqjD	0	0.0011604732305174365	-0.1107852718637386	False	0.00041966426858513193	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	159323.78516050786	153340.8281000001	157857.5484406908	496778.11769883166	543540.5125853464	533979.8000638728	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			0	0.0012923655990802912	-1.7423744689172687	False	0.0004496402877697842	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	1638296.0327802105	1398139.1450800386	1500372.1700802103	2435580.781295264	2429934.744166357	2325972.515339097	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	0.0015216870499534236	-0.6646129215704366	False	0.00047961630695443646	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P75949	11012142.402239362	11026714.9302855	11007270.205866951	11459089.212484324	11533398.180658732	11530991.530011142	P75949	P75949		nagZ	0	0.0015270702080379176	-0.06309663034304362	False	0.0005095923261390888	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AD59	8234873.156468754	8085436.137521343	8105789.950601525	7574151.009134463	7543015.565532916	7630755.011011382	P0AD59	P0AD59		ivy	0	0.0015928437361390842	0.10268875277356743	False	0.000539568345323741	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	887178.2859884837	910235.7340495072	951001.3819446051	2534384.099490762	2315900.4355994994	2286489.950764385	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	0.0018170351122500513	-1.3766721126784383	False	0.0005695443645083934	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	897466.159437694	1263046.3142917738	1138309.9673303252	2103180.9522285718	2041923.693473853	2324791.3480758574	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	0.001854887361853273	-0.9717913934821851	False	0.0005995203836930455	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	1238218.3712801686	1358619.3054180895	1083326.3787472353	3203652.818270981	2787268.7721734	2727290.515126157	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)			0	0.0020508437079042765	-1.2442622228741627	False	0.0006294964028776979	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	153947.5010944659	102070.40619999998	86716.14622186261	329449.4427566106	283235.7896784819	287505.3327068068	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			2	0.0025393094159682186	-1.3931409010906053	False	0.0006594724220623502	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P0A7V0	608719510.2867662	613725885.3377424	614604104.5233802	594091886.324803	599006577.5371639	596918053.770445	P0A7V0	P0A7V0		rpsB	0	0.0030925587457529915	0.03741760083275769	False	0.0006894484412470024	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P23909	30858435.63868229	31111132.13920622	30871789.471262097	30027659.7749682	30061365.5129296	30152150.861872114	P23909	P23909		mutS	0	0.0032166058246087684	0.04098174252874725	False	0.0007194244604316548	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P76594	1993462.4844949364	2006932.999999998	1904733.0351673297	2300829.9330580984	2249184.751531231	2189468.144316215	P76594	P76594		yfiQ	0	0.00360347823442032	-0.19066942794961655	False	0.000749400479616307	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A7S9	272708662.6125248	273726330.88281244	275154760.99776846	252518961.9661705	258505015.82740897	256429357.3540789	P0A7S9	P0A7S9		rpsM	0	0.004086352929633086	0.09833916050939714	False	0.0007793764988009592	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	369449.49008150015	268049.4999999997	281245.2105442419	1064674.9584884816	854497.5536700191	873750.3457038788	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)			0	0.004223153961988622	-1.6040405828233564	False	0.0008093525179856116	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P0AEK2	202929255.26532343	200473202.01587412	200815037.93989944	196129372.10579237	195579463.53642693	194315983.40550607	P0AEK2	P0AEK2		fabG	0	0.004282191955908762	0.04410619186897336	False	0.0008393285371702639	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A717	186743259.42987683	184503344.5839536	184710725.72351712	172203348.0574104	173751181.09631944	176651141.13296348	P0A717	P0A717		prs	0	0.00440748505482715	0.08925138093245442	False	0.0008693045563549161	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A7U3	189867818.85409772	195387871.5347348	193063017.42158332	175375905.78350034	174401760.68039563	173737076.98412153	P0A7U3	P0A7U3		rpsS	0	0.004539378215058472	0.14363460453742347	False	0.0008992805755395684	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	316244.43385371147	292776.8124999997	212520.6019322676	847903.1941622095	736713.9317616691	652733.1801098395	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	0.004608985306485317	-1.4453851882953375	False	0.0009292565947242207	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P0A7L0	451037778.3230463	454071242.0348067	460336983.5488749	430420189.0453921	424911218.0775186	416413270.6107413	P0A7L0	P0A7L0		rplA	0	0.004860474440010829	0.10256320783373062	False	0.0009592326139088729	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P00490	47529459.5112024	47989026.84832475	47989620.84005773	49113326.204391055	49850182.36162346	49704173.26815551	P00490	P00490		malP	0	0.004879357601223015	-0.05095881947162811	False	0.0009892086330935252	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P00888	8237941.251151433	8164882.235339577	8131676.549280309	7906728.545247791	7993698.250944868	7926809.775215947	P00888	P00888		aroF	0	0.004948485648505792	0.04220023170769553	False	0.0010191846522781777	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P46887	337974.9738755604	302415.93749999965	329531.03674350004	259950.1457772825	231960.36330485292	223056.33513591252	P46887	P46887		yecH	0	0.005341506239582139	0.4399923148516177	False	0.0010491606714628297	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P69222	36189965.24825536	35528106.59638601	35961622.4574502	34155707.791075565	34781382.600202814	34305892.919451326	P69222	P69222		infA	0	0.0054659351170275134	0.06070248403553614	False	0.001079136690647482	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A805	81316046.83800139	82155645.02813646	82541887.30030748	78984192.93373097	78725920.50293227	79926166.09748702	P0A805	P0A805		frr	0	0.005562029059111736	0.049982843138976045	False	0.0011091127098321342	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AEH5	14598522.331711795	14304448.283317458	14405995.563466225	15237356.45714545	15274737.562548123	15158067.627230266	P0AEH5	P0AEH5		elaB	0	0.005646461943295736	-0.07658616159123502	False	0.0011390887290167867	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P28635	57595583.319416925	58212248.89694437	58294326.34559416	59460846.66514739	59800227.25429891	60320894.4238924	P28635	P28635		metQ	0	0.005654479504307788	-0.04470840770544922	False	0.001169064748201439	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A7L3	104601963.58432467	104043897.73686408	104448693.45122528	100278222.88646393	100559789.87576096	99056332.12413692	P0A7L3	P0A7L3		rplT	0	0.005698201474525363	0.06214410032887655	False	0.001199040767386091	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A780	36543229.61745668	36125494.15575853	36128825.246604726	34704545.08513381	33784527.88975472	33979291.45423885	P0A780	P0A780		nusB	0	0.007172599532463901	0.08646748805170902	False	0.0012290167865707435	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AEU7	58811503.8702478	59651456.27266785	59393887.01607344	56966720.797421664	57924476.87985033	57232827.80883329	P0AEU7	P0AEU7		skp	0	0.007600304778472439	0.047268030271477225	False	0.0012589928057553958	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A877	4829158.300562993	4810390.660335388	4770783.144871726	5070791.6168983495	5017611.049008528	5143092.134894414	P0A877	P0A877		trpA	0	0.007605661741529206	-0.07995394837822842	False	0.0012889688249400478	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P69908	5826914.055718914	5641308.309403061	6107527.197239491	6778470.325461868	6716514.980631976	6958153.941586864	P69908	P69908		gadA	0	0.00784334281268462	-0.21873607404690712	False	0.0013189448441247003	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0ADZ7	47660212.94289623	46475653.70219893	45931955.507668205	43407127.23855576	42559536.666929446	43376066.12978721	P0ADZ7	P0ADZ7		yajC	0	0.007925022286515681	0.11492659605186878	False	0.0013489208633093526	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0ACF4	116668885.09050424	118177809.785982	117361901.50780714	123281240.56712969	126567856.25269105	124315288.7382654	P0ACF4	P0ACF4		hupB	0	0.008032035706202572	-0.08724212213390455	False	0.0013788968824940049	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P21165	80644464.01717892	80741697.94807841	81786968.93944271	78273925.963061	78486342.63678269	79278198.83654252	P21165	P21165		pepQ	0	0.008176835267671866	0.04296183262592852	False	0.0014088729016786571	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AA16	41500765.98581711	41232988.00501309	41241087.84240789	43764041.76770899	43263870.171287656	44233849.90352343	P0AA16	P0AA16		ompR	0	0.008185582549356685	-0.08239931794857747	False	0.0014388489208633096	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0ACE0	93545219.28810231	92789367.63980782	94032569.7986182	91101527.11069076	91497223.3844782	90699682.95530742	P0ACE0	P0ACE0		hybC	0	0.008519504208210073	0.03684016612913365	False	0.0014688249400479616	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	1535298.390639437	1536752.734569773	1550673.757346263	3997922.628809106	3333304.7167827	3547259.3309510103	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	0.008676023095036244	-1.2346624654588179	False	0.001498800959232614	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
P11988	592138.5698294002	663925.8750000002	636949.637417004	891297.7920498956	818483.1057089032	951873.4143501197	P11988	P11988		bglB	0	0.009256999099083183	-0.49163806701934776	False	0.0015287769784172664	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AE08	255638743.12691268	258220063.43908137	255589024.49898127	250891960.48791543	250273839.55383143	247229640.16544428	P0AE08	P0AE08		ahpC	0	0.009360535863688802	0.04002274583514	False	0.0015587529976019184	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P18843	89190430.00684536	88772375.87863436	88958356.57754979	90142547.11631252	90373920.49651064	90909144.70051897	P18843	P18843		nadE	0	0.009561993705279426	-0.024143171004254838	False	0.001588729016786571	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A7A5	817996.3378484681	748720.1249999993	817249.5516895555	947918.3128845708	964370.2619666492	898553.1445626086	P0A7A5	P0A7A5		pcm	0	0.009851755464650636	-0.2376385476730298	False	0.0016187050359712232	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A862	174870495.4624542	172251350.04509318	173245112.66296816	177103990.13006192	178043450.44554523	179307749.4732976	P0A862	P0A862		tpx	0	0.009892781905758246	-0.03853963623832416	False	0.0016486810551558752	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0ADP9	28664188.0725514	28336519.168777797	28003904.899003573	26998225.63897274	26882900.46497212	27487953.206803385	P0ADP9	P0ADP9		yihD	0	0.010384029476064469	0.06306045371456384	False	0.0016786570743405277	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A8L1	285776676.7692552	285697911.32110405	288703367.20903164	267576515.8489456	275479241.60163355	270052979.2402283	P0A8L1	P0A8L1		serS	0	0.011532923007772726	0.08118686206191673	False	0.00170863309352518	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A7M2	296201015.1296413	303787448.6485636	297140289.21556854	315200610.2428682	310478028.1342708	320399973.6418604	P0A7M2	P0A7M2		rpmB	0	0.012798863048155536	-0.07664501476319273	False	0.0017386091127098323	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P41407	6362593.12062096	6484950.05429413	6194483.304103348	6948234.414744646	6689064.477300424	6879929.098209707	P41407	P41407		azoR	0	0.012874306815088898	-0.10764880627752402	False	0.0017685851318944845	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A6A8	210930021.7240525	207517314.55072188	208744332.62619227	196511626.94383407	202119210.32802603	196994922.06635344	P0A6A8	P0A6A8		acpP	0	0.012956099615861758	0.07450024774937827	False	0.0017985611510791368	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P04036	19607227.25148304	19786095.873922355	19943253.48790064	18733511.22563403	19206341.81583928	18749162.120731395	P04036	P04036		dapB	0	0.013030266706233303	0.06585248787577569	False	0.001828537170263789	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P77348	8203021.093339247	8272838.381211539	8308730.5489618275	8929831.295221502	8669665.282819936	8716643.99791184	P77348	P77348		mppA	0	0.014254217941171399	-0.08650452993779834	False	0.0018585131894484413	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0ADT8	15860971.543215174	16323345.312296342	16177596.506907484	17154615.63169595	17226111.616297603	17192411.57031722	P0ADT8	P0ADT8		ygiM	0	0.014264407510951968	-0.09274852912776302	False	0.0018884892086330938	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P61175	509465406.0826175	503727440.1872994	502513049.66184473	477955730.7733454	486979678.7524629	471551594.3248541	P61175	P61175		rplV	0	0.014468401324534003	0.07744490283902952	False	0.0019184652278177458	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0A8A0	19846605.334945712	18984684.49548023	19474135.951877948	17749390.76595085	17729426.742787812	16597899.914534269	P0A8A0	P0A8A0		yebC	0	0.014481682020292751	0.16299163060832766	False	0.0019484412470023981	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AG86	89067567.13288392	87816754.52397738	88840054.3404512	85923144.30376817	86945413.43768236	86585905.82551333	P0AG86	P0AG86		secB	0	0.01448205304642646	0.034449222560611774	False	0.0019784172661870504	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P45578	71751858.40875787	72483363.94828184	73884146.92607418	69087678.0141938	68002242.61462289	70224620.24271813	P45578	P45578		luxS	0	0.015894694954984537	0.0732965794187842	False	0.0020083932853717026	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AG48	175195626.169025	182229641.50900155	181816779.840538	194039843.368648	189374346.4393528	192423630.06393385	P0AG48	P0AG48		rplU	0	0.016006818904308006	-0.09472954995445167	False	0.0020383693045563553	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0AG44	570915089.556443	555062261.5284643	565620075.2885333	533212562.6909469	530612656.6224389	535280536.1019023	P0AG44	P0AG44		rplQ	0	0.016066328821833023	0.08112091723173799	False	0.002068345323741007	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P15042	42838826.86675098	43159382.28091255	42790938.53077842	44168742.02189771	43960925.72086312	44767219.45294988	P15042	P15042		ligA	0	0.016133871419088675	-0.04529628224109131	False	0.0020983213429256594	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0ADU2	33373266.95964728	31700100.198620573	33072497.50343091	30578055.810390554	29623304.038247302	29728507.37919284	P0ADU2	P0ADU2		ygiN	0	0.01652426440114493	0.126127142857262	False	0.0021282973621103117	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P30126	518231.055121348	517769.8749999997	533333.8898641131	471049.87730818486	471530.7205024501	496105.2576710113	P30126	P30126		leuD	0	0.016548902293895367	0.12540157981885477	False	0.002158273381294964	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P0C018	105559588.71360388	105164676.29499452	98640539.5073438	112368322.01060992	119699010.89573242	114259240.96529806	P0C018	P0C018		rplR	0	0.01721166641673862	-0.16282401560921045	False	0.0021882494004796167	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P22525	5093606.924522358	5233812.562592328	5267336.609747228	5612125.986674499	5408118.019784278	5608828.8505480215	P22525	P22525		ycbB	0	0.017710793965528795	-0.09264674532520639	False	0.0022182254196642685	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.6609640474436812
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	304102.8471521828	384708.5312000004	86716.14622186261	874697.525197084	807972.351976684	794183.864226973	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			1	0.01782241021645819	-1.6752587891525013	False	0.0022482014388489208	False	True	Human	True	False	False	False	umpire	directlfq	min	0.6609640474436812
