Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML
A6NKD9	A6NKD9		CCDC85C		669950	781037	718472	849784	998642	881704	286863	823353	749292	654175	956797	575620	1.11322e+06	689658	948374	1.00452e+06	1.21535e+06	364990
A6NNZ2	A6NNZ2		TUBB8B		9.51423e+07	9.25749e+07	9.81235e+07	9.98813e+07	5.99158e+07	5.88104e+07	9.48146e+07	9.95891e+07	9.22112e+07	9.32366e+07	6.62225e+07	7.28009e+07	8.29053e+07	9.34996e+07	1.02039e+08	9.77549e+07	7.29143e+07	1.01589e+08
A7XYQ1	A7XYQ1		SOBP			1.22362e+06	1.20016e+06	1.22601e+06	1.05375e+06	1.02123e+06			1.0195e+06	980540	1.08901e+06		1.34856e+06	1.14797e+06			1.40413e+06	1.03475e+06
A8MPS7	A8MPS7		YDJC		9.16913e+06	8.64583e+06	8.82812e+06	7.49573e+06	8.95531e+06	8.83603e+06	8.53533e+06	8.71295e+06	9.06828e+06	7.89113e+06	9.26757e+06	8.76285e+06	9.79508e+06	8.93353e+06	8.75649e+06	7.0709e+06	9.32014e+06	8.9867e+06
A8MWD9	A8MWD9		SNRPGP15		5.02084e+07	7.02621e+07	5.39831e+07	7.85981e+07	4.1322e+07	6.44184e+07	3.93757e+07	4.93411e+07	5.27894e+07	4.31169e+07	4.3607e+07	4.81448e+07	5.22181e+07	5.60155e+07	6.15757e+07	6.51955e+07	5.43492e+07	3.92932e+07
A8MXV4	A8MXV4		NUDT19		1.25391e+06	1.32817e+06	1.39149e+06	1.43655e+06	861952	975532	1.20649e+06	1.40562e+06	1.11735e+06	1.20497e+06	1.10198e+06	1.00655e+06	1.16185e+06	1.29446e+06	1.3254e+06	1.1658e+06	1.10927e+06	1.30707e+06
B2RUZ4	B2RUZ4		SMIM1		807971	156824	767152		334247		816166	810338	579611	316952	655534	879392	716663	629289	522392	57502.9	355390	1.00642e+06
B7ZW38	B7ZW38		HNRNPCL3		809217	662684	743065	480902	322326	380559	559673	655067	363610		415355	494313	608631	592539	600516	620453	521014	499210
C9J7I0	C9J7I0		UMAD1		1.09537e+06	950569	894780	886704	1.15215e+06	1.16593e+06	970574	1.13634e+06	931144	803789	1.04477e+06	1.0784e+06	1.1259e+06	1.06378e+06	931038	651779	1.09488e+06	939097
C9JLW8	C9JLW8		MCRIP1		1.82826e+06	1.30811e+06	1.76344e+06	1.49173e+06	1.42875e+06	1.10926e+06	1.85741e+06	1.8301e+06	1.71081e+06	1.94437e+06	1.45118e+06	1.88376e+06	1.62172e+06	1.56487e+06	1.60879e+06	1.63199e+06	1.43213e+06	1.79907e+06
E9PAV3	E9PAV3		NACA		5.19126e+07	5.25489e+07	4.95043e+07	5.30647e+07	4.35613e+07	4.83884e+07	4.87255e+07	5.27726e+07	5.08711e+07	4.87841e+07	4.82869e+07	4.81813e+07	5.09698e+07	4.99104e+07	4.90985e+07	5.53087e+07	4.86719e+07	4.89078e+07
E9PRG8	E9PRG8		RSMC		1.21771e+07	1.4052e+07	1.26937e+07	2.19719e+07	1.15283e+07	1.645e+07	1.30088e+07	1.22055e+07	1.28978e+07	1.07418e+07	1.12256e+07	1.20905e+07	1.3587e+07	1.37686e+07	1.30819e+07	1.52771e+07	1.22388e+07	1.15731e+07
L0R819	L0R819		ASDURF		2.37773e+06	2.54948e+06	2.64757e+06	2.59319e+06	2.51087e+06	3.11068e+06	2.37215e+06	2.34732e+06	2.4927e+06	2.31551e+06	2.76241e+06	2.80989e+06	2.70947e+06	2.87069e+06	2.3447e+06	2.58797e+06	2.57719e+06	2.34848e+06
O00115	O00115		DNASE2		2.06055e+06	2.28507e+06	2.41176e+06	2.15137e+06	1.92656e+06	1.96691e+06	2.20519e+06	2.38326e+06	2.38587e+06	2.03709e+06	2.14424e+06	2.2477e+06	2.12487e+06	2.41758e+06	2.23155e+06	2.13049e+06	2.03222e+06	2.30775e+06
O00116	O00116		AGPS		6.48671e+06	6.95265e+06	6.35371e+06	7.09802e+06	6.31706e+06	7.73254e+06	6.50624e+06	6.34803e+06	6.7007e+06	5.76007e+06	6.43264e+06	6.60668e+06	7.09477e+06	7.11835e+06	6.48165e+06	5.77291e+06	7.20973e+06	6.19879e+06
O00139	O00139		KIF2A		4.68261e+06	4.90936e+06	4.80539e+06	5.12749e+06	4.07498e+06	4.48523e+06	4.65648e+06	4.75358e+06	4.81713e+06	4.66388e+06	4.49615e+06	4.68743e+06	4.89587e+06	4.80065e+06	4.94733e+06	4.97518e+06	4.74837e+06	4.79247e+06
O00148	O00148		DDX39A		1.71362e+07	1.71095e+07	1.69656e+07	1.68077e+07	1.71764e+07	1.45211e+07	1.72743e+07	1.74749e+07	1.8216e+07	1.69494e+07	1.64805e+07	1.72224e+07	1.7842e+07	1.93658e+07	1.81066e+07	1.73693e+07	1.71391e+07	1.78601e+07
O00151	O00151		PDLIM1		3.54986e+07	3.59147e+07	3.42476e+07	3.5653e+07	3.47475e+07	3.81818e+07	3.59675e+07	3.36711e+07	3.66364e+07	3.1018e+07	3.48183e+07	3.50617e+07	3.71067e+07	3.79447e+07	3.58434e+07	3.24199e+07	3.65606e+07	3.32852e+07
O00154	O00154		ACOT7		5.85351e+07	6.08207e+07	5.9186e+07	6.41023e+07	5.55875e+07	6.68614e+07	5.79337e+07	5.73155e+07	5.8684e+07	5.67691e+07	5.80987e+07	5.8965e+07	6.30798e+07	6.2061e+07	5.88335e+07	5.39145e+07	5.86129e+07	5.66876e+07
O00159	O00159		MYO1C		2.42564e+06	2.96277e+06	2.52315e+06	2.49603e+06	2.33319e+06	3.32324e+06	2.30056e+06	2.59399e+06	2.74112e+06	2.56654e+06	2.74523e+06	2.64544e+06	2.68754e+06	2.60123e+06	2.77447e+06	2.03049e+06	3.00587e+06	2.4617e+06
O00161	O00161		SNAP23		7.12904e+06	9.20674e+06	6.85133e+06	9.57162e+06	6.41086e+06	9.68476e+06	7.50882e+06	6.71074e+06	6.83584e+06	5.98112e+06	6.97386e+06	6.81933e+06	7.09443e+06	6.88666e+06	7.02021e+06	6.00301e+06	6.78635e+06	6.52976e+06
O00165	O00165		HAX1		3.66707e+06	4.24037e+06	3.80178e+06	4.35568e+06	3.03538e+06	3.84743e+06	4.0723e+06	3.82529e+06	4.17193e+06	4.03825e+06	3.31391e+06	3.50894e+06	4.10994e+06	4.25168e+06	4.09817e+06	4.06151e+06	3.88434e+06	3.95934e+06
O00170	O00170		AIP		7.71556e+06	8.13335e+06	7.59042e+06	7.9651e+06	7.09182e+06	7.58677e+06	7.80502e+06	7.82617e+06	7.6455e+06	7.31913e+06	7.22063e+06	7.30823e+06	7.89594e+06	8.25322e+06	8.04777e+06	7.60023e+06	7.53421e+06	7.63938e+06
O00178	O00178		GTPBP1		6.28417e+06	6.15468e+06	5.61064e+06	6.34487e+06	5.12399e+06	6.24137e+06	5.34039e+06	5.98371e+06	5.81942e+06	5.43639e+06	5.7736e+06	5.55917e+06	6.13277e+06	5.57748e+06	5.70299e+06	5.73031e+06	6.11958e+06	5.69132e+06
O00186	O00186		STXBP3		2.10028e+06	2.19755e+06	2.2502e+06	2.16877e+06	1.65552e+06	1.91965e+06	2.24673e+06	2.03917e+06	2.08221e+06	1.89197e+06	1.75268e+06	2.04119e+06	2.08136e+06	1.99661e+06	2.04836e+06	2.23968e+06	1.7175e+06	2.24498e+06
O00193	O00193		SMAP		6.10301e+06	7.88384e+06	5.97511e+06	6.57221e+06	6.51223e+06	8.041e+06	5.8873e+06	7.50119e+06	6.06393e+06	5.47151e+06	6.5673e+06	8.52037e+06	6.47633e+06	5.55478e+06	5.64949e+06	2.84339e+06	6.828e+06	5.38498e+06
O00203	O00203		AP3B1		4.22133e+06	4.16112e+06	4.51257e+06	4.46212e+06	3.59168e+06	4.03138e+06	4.26826e+06	4.26248e+06	4.42439e+06	4.62504e+06	3.89095e+06	4.15155e+06	4.39319e+06	4.26432e+06	4.3791e+06	4.15922e+06	4.16955e+06	4.03801e+06
O00214	O00214		LGALS8		1.1572e+06	2.03803e+06	1.2882e+06	2.17131e+06	906226	1.63399e+06	891925	1.1688e+06	1.68337e+06	527728	875588	1.06958e+06	1.9509e+06	1.84562e+06		1.65091e+06		1.17634e+06
O00217	O00217		NDUFS8		6.08603e+06	6.61998e+06	5.23523e+06	5.61272e+06	4.92333e+06	5.55648e+06	5.7053e+06	5.97537e+06	5.15266e+06	5.68533e+06	5.48498e+06	5.53531e+06	5.87005e+06	5.48941e+06	5.50152e+06	5.52005e+06	5.33164e+06	5.46527e+06
O00221	O00221		NFKBIE		2.49562e+06	2.41558e+06	2.44573e+06	2.28929e+06	2.22702e+06	2.72151e+06	2.2897e+06	2.3563e+06	2.30006e+06	1.95577e+06	2.49952e+06	2.51618e+06	2.72504e+06	2.28214e+06	2.25317e+06	2.30204e+06	2.45235e+06	2.06785e+06
O00231	O00231		PSMD11		1.93905e+07	2.04089e+07	1.99306e+07	2.05765e+07	1.68551e+07	1.93487e+07	1.92931e+07	1.97074e+07	1.97629e+07	1.91078e+07	1.8264e+07	1.92205e+07	2.00355e+07	2.00205e+07	1.99339e+07	2.02351e+07	1.89869e+07	1.89801e+07
O00232	O00232		PSMD12		1.71199e+07	1.73196e+07	1.70622e+07	1.86568e+07	1.56284e+07	1.9764e+07	1.68452e+07	1.71011e+07	1.78322e+07	1.59455e+07	1.61866e+07	1.71755e+07	1.74682e+07	1.77009e+07	1.7168e+07	1.46443e+07	1.68907e+07	1.66894e+07
O00233	O00233		PSMD9		9.35644e+06	9.80328e+06	1.00235e+07	1.05118e+07	8.01446e+06	9.74972e+06	8.70789e+06	9.39032e+06	9.43165e+06	8.6424e+06	9.14742e+06	9.61077e+06	1.01483e+07	9.86398e+06	9.94314e+06	9.22087e+06	9.69531e+06	9.29972e+06
O00244	O00244		ATOX1		7.18963e+06	8.94998e+06	8.72395e+06	9.61241e+06	7.80194e+06	1.04709e+07	7.66909e+06	8.20228e+06	7.77444e+06	6.13548e+06	8.01492e+06	7.99348e+06	8.98626e+06	8.21169e+06	8.54319e+06	6.93162e+06	7.97729e+06	8.62495e+06
O00255	O00255		MEN1		1.46448e+06	1.63524e+06	1.27819e+06	1.53964e+06	1.59014e+06	1.60106e+06	1.57831e+06	1.46503e+06	1.49086e+06	1.63165e+06	1.47777e+06	1.56631e+06	1.7191e+06	1.75979e+06	1.52423e+06	2.08386e+06	1.72911e+06	1.52931e+06
O00264	O00264		PGRMC1		2.7381e+06	2.80017e+06	2.78797e+06	2.57123e+06	2.62206e+06	3.06544e+06	2.77444e+06	2.6639e+06	3.1061e+06	3.01032e+06	2.6431e+06	2.81101e+06	2.76267e+06	2.94549e+06	2.78764e+06	3.17795e+06	2.9974e+06	2.60574e+06
O00267	O00267		SUPT5H		6.29184e+06	6.78026e+06	6.22624e+06	6.96354e+06	5.8641e+06	6.98841e+06	6.34537e+06	6.24068e+06	6.37662e+06	5.67897e+06	6.17338e+06	6.34287e+06	6.51213e+06	6.60863e+06	6.36243e+06	5.57447e+06	6.17274e+06	6.47921e+06
O00268	O00268		TAF4		649964	613500	646331	709361	693356	668616	729089	860944	720554	759780	596500	697503	761542	722724	738575	733557	802875	646449
O00273	O00273		DFFA		6.52608e+06	6.74173e+06	6.51642e+06	6.74673e+06	5.19046e+06	6.43682e+06	6.83283e+06	6.35294e+06	7.03817e+06	6.74541e+06	5.71712e+06	6.21699e+06	6.34352e+06	6.64812e+06	6.78744e+06	6.75933e+06	6.12676e+06	6.28866e+06
O00287	O00287		RFXAP		40119.4	33284.9	50622.4	25956.1	98335.8	53270	62274.3	23227.5	72539.2	26947.1	64825.1	69488	80821.4	46230.1	17035.1		59417.2	54530.9
O00291	O00291		HIP1		1.34657e+06	1.61704e+06	1.5341e+06	1.49214e+06	1.71331e+06	1.85802e+06	1.44215e+06	1.49934e+06	1.46269e+06	1.13075e+06	1.54272e+06	1.60391e+06	1.68119e+06	1.57748e+06	1.63827e+06	1.01965e+06	1.60091e+06	1.39876e+06
O00299	O00299		CLIC1		3.21416e+08	3.5764e+08	3.41365e+08	3.47808e+08	3.15851e+08	3.64462e+08	3.33738e+08	3.10483e+08	3.53462e+08	3.33436e+08	3.284e+08	3.37071e+08	3.6479e+08	3.51707e+08	3.47121e+08	3.39544e+08	3.59641e+08	3.20601e+08
O00303	O00303		EIF3F		2.29312e+07	2.39982e+07	2.15882e+07	2.56496e+07	2.07199e+07	2.54683e+07	2.24083e+07	2.24125e+07	2.36859e+07	2.12615e+07	2.14723e+07	2.16928e+07	2.33263e+07	2.38442e+07	2.36397e+07	2.16656e+07	2.23926e+07	2.07338e+07
O00308	O00308		WWP2		1.23236e+06	1.30386e+06	1.32384e+06	1.20866e+06	1.19969e+06	1.62558e+06	1.55984e+06	1.21467e+06	1.45729e+06		1.37036e+06	1.42644e+06	1.43452e+06	1.20315e+06	1.18547e+06	1.90174e+06	1.42419e+06	1.3862e+06
O00330	O00330		PDHX		2.45875e+06	2.4878e+06	2.54263e+06	2.38142e+06	1.88359e+06	2.20036e+06	2.52552e+06	2.35259e+06	2.46972e+06	2.78809e+06	2.19589e+06	2.39181e+06	2.37166e+06	2.41808e+06	2.41819e+06	2.86023e+06	2.3816e+06	2.33244e+06
O00399	O00399		DCTN6		4.82492e+06	5.66292e+06	4.74457e+06	5.24844e+06	4.2289e+06	4.63386e+06	5.58559e+06	5.23603e+06	5.08613e+06	5.87769e+06	4.5461e+06	5.32056e+06	5.12791e+06	4.96789e+06	4.67983e+06	6.21146e+06	4.20866e+06	5.44424e+06
