Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML
DECOY_sp|O15061|SYNEM_HUMAN Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=3	DECOY_sp|O15061|SYNEM_HUMAN Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=3				1.93012e+06	3.76406e+06					1.71123e+06		3.37912e+06		1.605e+06			3.77983e+06	3.86341e+06			
DECOY_sp|O94933|SLIK3_HUMAN SLIT and NTRK-like protein 3 OS=Homo sapiens OX=9606 GN=SLITRK3 PE=1 SV=2	DECOY_sp|O94933|SLIK3_HUMAN SLIT and NTRK-like protein 3 OS=Homo sapiens OX=9606 GN=SLITRK3 PE=1 SV=2						1.6908e+06		914968			2.00322e+06				1.31605e+06		1.26637e+06			1.25921e+06	1.82239e+06
DECOY_sp|O95466|FMNL1_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3	DECOY_sp|O95466|FMNL1_HUMAN Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3					8.58152e+06	8.60399e+06	8.19573e+06		8.70672e+06					8.32493e+06		9.22643e+06	9.74418e+06	8.45495e+06		8.46715e+06	8.38469e+06
DECOY_sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	DECOY_sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3				3.58594e+07	4.42132e+07	1.36712e+07	2.51746e+07	1.83506e+07	2.41423e+07	4.32506e+07	2.6651e+07	4.84273e+07	4.83954e+07	1.86069e+07	1.7539e+07	2.8829e+07	2.54309e+07	3.77177e+07	6.13558e+07	3.08421e+07	2.98317e+07
DECOY_sp|P32566|SMI1_YEAST Cell wall assembly regulator SMI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMI1 PE=1 SV=1	DECOY_sp|P32566|SMI1_YEAST Cell wall assembly regulator SMI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMI1 PE=1 SV=1				1.51559e+06	716539	1.48678e+06	700085	2.35303e+06	1.04607e+06	1.48944e+06	1.39306e+06	764627	1.24106e+06	2.10098e+06	1.75685e+06	863414	793111	726585	439942	1.03334e+06	1.491e+06
DECOY_sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5	DECOY_sp|P33992|MCM5_HUMAN DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5				5.39968e+06	5.16956e+06	6.22217e+06	6.35385e+06	8.80322e+06	7.3841e+06	6.8971e+06	5.79223e+06	6.76333e+06	7.35377e+06	6.62341e+06	7.35304e+06	7.87203e+06	4.1591e+06	5.06784e+06	7.03784e+06	8.26396e+06	6.52666e+06
DECOY_sp|P35913|PDE6B_HUMAN Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta OS=Homo sapiens OX=9606 GN=PDE6B PE=1 SV=2	DECOY_sp|P35913|PDE6B_HUMAN Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta OS=Homo sapiens OX=9606 GN=PDE6B PE=1 SV=2				3.75194e+06	2.78022e+06	3.23953e+06	2.82657e+06	2.41528e+06	2.39173e+06	3.11192e+06	3.35971e+06	2.66987e+06	3.0698e+06	2.53538e+06	3.00017e+06	2.65111e+06	2.78505e+06	2.84726e+06	2.34859e+06	2.50559e+06	3.43785e+06
DECOY_sp|P36084|MUD2_YEAST Splicing factor MUD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MUD2 PE=1 SV=3	DECOY_sp|P36084|MUD2_YEAST Splicing factor MUD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MUD2 PE=1 SV=3				1.42572e+06	1.31668e+06	981568	1.09479e+06	639079	644579	1.06351e+06	1.2142e+06	1.28115e+06	1.2163e+06	936400	957649	1.14562e+06	715310	1.37711e+06	1.35802e+06	1.27446e+06	973922
DECOY_sp|P38741|RIM4_YEAST Meiotic activator RIM4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIM4 PE=1 SV=1	DECOY_sp|P38741|RIM4_YEAST Meiotic activator RIM4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIM4 PE=1 SV=1				402884	389293	409729	252379	566515	611465	507159	312037	465608		583013	450924	495980	481752	246691		521585	207834
DECOY_sp|P39078|TCPD_YEAST T-complex protein 1 subunit delta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCT4 PE=1 SV=2	DECOY_sp|P39078|TCPD_YEAST T-complex protein 1 subunit delta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCT4 PE=1 SV=2				5.82662e+07	3.07586e+07	5.97049e+07	3.31465e+07	5.44811e+07	3.46076e+07	5.00533e+07	5.46255e+07	2.83798e+07	4.80629e+07	5.6595e+07	5.72925e+07	3.44435e+07	3.45205e+07	3.1832e+07	2.26383e+07	3.28913e+07	5.304e+07
DECOY_sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2	DECOY_sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2				9.47995e+06	9.73921e+06	8.29645e+06	8.57689e+06	1.24496e+07	1.22149e+07	9.45772e+06	8.52745e+06	9.70435e+06	9.75969e+06	1.0845e+07	1.0035e+07	1.02146e+07	8.38156e+06	8.4507e+06	1.22254e+07	1.24891e+07	7.66643e+06
DECOY_sp|P47075|VTC4_YEAST Vacuolar transporter chaperone complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC4 PE=1 SV=2	DECOY_sp|P47075|VTC4_YEAST Vacuolar transporter chaperone complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC4 PE=1 SV=2				3.79481e+06	4.13504e+06	4.65813e+06	4.5541e+06	3.96975e+06	3.99397e+06	3.75387e+06	3.84309e+06	4.07615e+06	5.12391e+06	3.84666e+06	4.06139e+06	4.39718e+06	4.19829e+06	4.17027e+06	5.2488e+06	4.1544e+06	3.87432e+06
DECOY_sp|P49716|CEBPD_HUMAN CCAAT/enhancer-binding protein delta OS=Homo sapiens OX=9606 GN=CEBPD PE=1 SV=2	DECOY_sp|P49716|CEBPD_HUMAN CCAAT/enhancer-binding protein delta OS=Homo sapiens OX=9606 GN=CEBPD PE=1 SV=2				2.7922e+06	1.63949e+06	2.31956e+06	1.61253e+06	2.06705e+06	1.60024e+06	1.73315e+06	2.98953e+06	2.01089e+06	2.04577e+06	1.93643e+06	3.10833e+06	2.09082e+06	2.06984e+06	2.01057e+06	1.63676e+06	1.83998e+06	2.7216e+06
DECOY_sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3	DECOY_sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3				2.88082e+07	2.72239e+07	3.06875e+07	2.88932e+07	2.24626e+07	2.65048e+07	2.86854e+07	2.86423e+07	3.11042e+07	2.61366e+07	2.45109e+07	2.74728e+07	2.95858e+07	2.96914e+07	3.02275e+07	2.85413e+07	2.75843e+07	2.94625e+07
DECOY_sp|P53107|YRB30_YEAST Ran-specific GTPase-activating protein 30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YRB30 PE=1 SV=1	DECOY_sp|P53107|YRB30_YEAST Ran-specific GTPase-activating protein 30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YRB30 PE=1 SV=1				5.20259e+06	4.31272e+06	5.62981e+06	4.53061e+06	3.84664e+06	3.79374e+06	5.21442e+06	5.58941e+06	4.4885e+06	5.49952e+06	4.51548e+06	5.13607e+06	4.32066e+06	4.12449e+06	4.97197e+06	5.96096e+06	4.38459e+06	5.39277e+06
DECOY_sp|P53914|NAT10_YEAST RNA cytidine acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE33 PE=1 SV=1	DECOY_sp|P53914|NAT10_YEAST RNA cytidine acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE33 PE=1 SV=1				4.51014e+06	3.05224e+06	4.64697e+06	3.32684e+06	3.30657e+06	2.71155e+06	4.1019e+06	4.14329e+06	3.01325e+06	4.19561e+06	3.39405e+06	4.16961e+06	2.75892e+06	2.96265e+06	3.14829e+06	3.28477e+06	3.07545e+06	4.08118e+06
DECOY_sp|P75853|SSUA_ECOLI Putative aliphatic sulfonates-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=ssuA PE=1 SV=2	DECOY_sp|P75853|SSUA_ECOLI Putative aliphatic sulfonates-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=ssuA PE=1 SV=2				247793	268372	203349	233553	146635	135659	212522	249575	281906		158021	190638	169487	194685	186801		244134	198447
DECOY_sp|Q06339|TFC6_YEAST Transcription factor tau 91 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFC6 PE=1 SV=1	DECOY_sp|Q06339|TFC6_YEAST Transcription factor tau 91 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFC6 PE=1 SV=1				5.63872e+06	4.6864e+06	5.63781e+06	4.63571e+06	4.39366e+06	4.29811e+06	5.73109e+06	5.70516e+06	4.22368e+06		4.34442e+06		4.38322e+06	4.22475e+06	4.45207e+06	4.58703e+06	4.10513e+06	5.56131e+06
DECOY_sp|Q14191|WRN_HUMAN Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN OS=Homo sapiens OX=9606 GN=WRN PE=1 SV=2	DECOY_sp|Q14191|WRN_HUMAN Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN OS=Homo sapiens OX=9606 GN=WRN PE=1 SV=2				746615	1.43629e+06	590519	1.22286e+06	678007	1.48661e+06	621664	630903	1.02333e+06		714575	663484	1.18714e+06	1.14603e+06	1.13246e+06		1.28655e+06	627815
DECOY_sp|Q6NZ67|MZT2B_HUMAN Mitotic-spindle organizing protein 2B OS=Homo sapiens OX=9606 GN=MZT2B PE=1 SV=1	DECOY_sp|Q6NZ67|MZT2B_HUMAN Mitotic-spindle organizing protein 2B OS=Homo sapiens OX=9606 GN=MZT2B PE=1 SV=1				3.91345e+06	3.11318e+06	4.75897e+06	3.61447e+06	7.69421e+06	6.94732e+06	3.78138e+06	3.60572e+06	3.05368e+06	3.42519e+06	6.3347e+06	5.89248e+06	4.74824e+06	4.66964e+06	3.31129e+06	1.45691e+06	5.06227e+06	3.73991e+06
DECOY_sp|Q7Z2K8|GRIN1_HUMAN G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens OX=9606 GN=GPRIN1 PE=1 SV=2	DECOY_sp|Q7Z2K8|GRIN1_HUMAN G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens OX=9606 GN=GPRIN1 PE=1 SV=2				3.71517e+06	1.78973e+06	3.11067e+06	1.90904e+06		2.808e+06	4.45318e+06	3.04658e+06	2.25453e+06	3.46413e+06	4.80661e+06	3.52667e+06	2.30967e+06	2.08845e+06	2.15489e+06	1.93833e+06	2.92076e+06	3.92065e+06
DECOY_sp|Q7Z5L9|I2BP2_HUMAN Interferon regulatory factor 2-binding protein 2 OS=Homo sapiens OX=9606 GN=IRF2BP2 PE=1 SV=2	DECOY_sp|Q7Z5L9|I2BP2_HUMAN Interferon regulatory factor 2-binding protein 2 OS=Homo sapiens OX=9606 GN=IRF2BP2 PE=1 SV=2				2.84255e+06	1.99496e+06	2.61658e+06	1.7107e+06	2.11834e+06		2.78408e+06	2.6331e+06	1.8259e+06	3.15248e+06	2.24018e+06	2.66315e+06	1.73976e+06	1.79913e+06		2.60033e+06	1.57936e+06	2.57522e+06
DECOY_sp|Q86YT6|MIB1_HUMAN E3 ubiquitin-protein ligase MIB1 OS=Homo sapiens OX=9606 GN=MIB1 PE=1 SV=1	DECOY_sp|Q86YT6|MIB1_HUMAN E3 ubiquitin-protein ligase MIB1 OS=Homo sapiens OX=9606 GN=MIB1 PE=1 SV=1				763885			544409		895372		615752			778029			621830	658877			
DECOY_sp|Q8N165|PDK1L_HUMAN Serine/threonine-protein kinase PDIK1L OS=Homo sapiens OX=9606 GN=PDIK1L PE=1 SV=1	DECOY_sp|Q8N165|PDK1L_HUMAN Serine/threonine-protein kinase PDIK1L OS=Homo sapiens OX=9606 GN=PDIK1L PE=1 SV=1				4.38124e+06	4.72288e+06	4.36351e+06	5.11277e+06	2.09509e+06	2.9552e+06	3.10902e+06	4.56023e+06	4.34455e+06	4.52571e+06	2.75481e+06	3.47839e+06	4.1553e+06	3.68692e+06	4.42384e+06	4.81094e+06	3.68169e+06	3.93541e+06
DECOY_sp|Q8N201|INT1_HUMAN Integrator complex subunit 1 OS=Homo sapiens OX=9606 GN=INTS1 PE=1 SV=2	DECOY_sp|Q8N201|INT1_HUMAN Integrator complex subunit 1 OS=Homo sapiens OX=9606 GN=INTS1 PE=1 SV=2				1.8305e+07	1.94149e+07	1.8137e+07	1.88857e+07	1.22624e+07	1.38632e+07	1.74811e+07	1.84957e+07	1.75809e+07	1.93938e+07	1.37004e+07	1.56777e+07	1.73096e+07	1.76524e+07	1.82726e+07	2.34576e+07	1.65962e+07	1.77489e+07
DECOY_sp|Q8N614|TM156_HUMAN Transmembrane protein 156 OS=Homo sapiens OX=9606 GN=TMEM156 PE=1 SV=2	DECOY_sp|Q8N614|TM156_HUMAN Transmembrane protein 156 OS=Homo sapiens OX=9606 GN=TMEM156 PE=1 SV=2				7.64513e+06	7.62326e+06	8.27592e+06	7.78218e+06	5.46618e+06	6.58003e+06	7.15624e+06	7.36378e+06	6.913e+06	7.63934e+06	6.27233e+06	7.17386e+06	7.06216e+06	6.96652e+06	7.32541e+06	8.62684e+06		6.98772e+06
DECOY_sp|Q8WXX0|DYH7_HUMAN Dynein axonemal heavy chain 7 OS=Homo sapiens OX=9606 GN=DNAH7 PE=1 SV=2	DECOY_sp|Q8WXX0|DYH7_HUMAN Dynein axonemal heavy chain 7 OS=Homo sapiens OX=9606 GN=DNAH7 PE=1 SV=2				6.01048e+06	6.32608e+06	6.53649e+06	6.54067e+06	3.74825e+06	4.99561e+06	5.73416e+06	6.27741e+06	5.75091e+06	5.97982e+06	4.76309e+06	5.70044e+06	6.25221e+06	5.74815e+06	6.01735e+06	6.39006e+06	5.47002e+06	5.66687e+06
