Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.44431e+07	1.46153e+07	1.43968e+07	1.47643e+07	1.47918e+07	1.34731e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.26562e+08	1.33977e+08	1.27775e+08	1.30504e+08	1.2535e+08	1.27407e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	3.77603e+06	3.70945e+06	3.88004e+06	3.87012e+06	3.37454e+06	3.41611e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.03123e+06	772649	1.05615e+06	1.09819e+06	822516	831425
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	5.96483e+07	6.22637e+07	6.05639e+07	6.05871e+07	6.1691e+07	6.01514e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.00448e+06	8.27281e+06	7.25095e+06	8.7641e+06	6.16849e+06	5.96472e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.72132e+06	1.01196e+07	1.02473e+07	1.02033e+07	9.97745e+06	9.84898e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	361702		328217	333043		374952
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	4	4	987562	1.17795e+06	1.22849e+06	1.07633e+06	832259	1.3147e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.48828e+06	1.27372e+06	1.2243e+06	1.42962e+06	1.11612e+06	1.1477e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.25335e+08	1.26932e+08	5.50026e+06	1.26654e+08	1.00204e+07	6.10746e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		11	11	1.88309e+08	1.82277e+08	9.26628e+06	1.86922e+08	8.85387e+06	9.25864e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.63659e+06	1.4694e+06	1.83776e+06	1.74367e+06	1.61538e+06	1.9466e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.47196e+07	1.56684e+07	1.66037e+07	1.75875e+07	1.66044e+07	1.65613e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.36646e+06	2.15582e+06	1.57934e+06	1.63307e+06	1.75324e+06	1.44575e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	4	4	2.25378e+06	2.6295e+06	2.55869e+06	2.47849e+06	2.17013e+06	1.90933e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.95421e+07	4.91047e+07	5.02539e+07	4.77986e+07	5.00788e+07	4.93134e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	8.33551e+07	8.09529e+07	8.25397e+07	8.37512e+07	8.23194e+07	8.32806e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.08716e+08	1.09613e+08	1.07197e+08	1.09857e+08	1.06923e+08	1.09645e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.27302e+08	1.29625e+08	1.24487e+08	1.27991e+08	1.24083e+08	1.25637e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	33	33	6.19862e+07	6.21032e+07	5.92009e+07	6.09713e+07	5.90354e+07	6.07047e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	2.98861e+07	3.09362e+07	2.78993e+07	2.82531e+07	2.79976e+07	2.80849e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.4189e+07	7.31758e+07	7.25913e+07	7.40717e+07	7.45981e+07	7.30079e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.44302e+07	7.33234e+07	7.39636e+07	7.4162e+07	7.42701e+07	7.38626e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	9.55611e+07	9.48204e+07	9.50966e+07	9.28916e+07	9.72362e+07	9.91746e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	32	32	1.7284e+07	1.80133e+07	1.70155e+07	1.73433e+07	1.73687e+07	1.76557e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		16	16	1.38318e+08	1.36766e+08	8.88025e+06	1.36208e+08	8.64568e+06	8.09948e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8	8.15894e+07	8.50179e+07	7.76849e+06	8.10559e+07	5.57917e+06	4.7144e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4	1.11411e+08	1.12524e+08	5.53704e+06	1.10768e+08	5.951e+06	6.21755e+06
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1	5.15867e+07	4.76171e+07	3.1117e+06	4.7327e+07	2.43248e+06	2.14268e+06
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1	6.50297e+07	6.09005e+07		6.71984e+07		
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7	9.91004e+07	9.65278e+07	3.50324e+06	9.4185e+07	2.94394e+06	4.22095e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		8	8	1.29765e+08	1.42863e+08	8.35556e+06	1.37737e+08	8.08438e+06	9.15025e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		9	9	1.44896e+08	1.41013e+08	6.73036e+06	1.47855e+08	6.93651e+06	6.99327e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	8.42409e+08	9.01717e+08	8.64863e+08	8.48857e+08	8.53019e+08	9.04684e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.01025e+08	9.00993e+08	8.90766e+08	9.2404e+08	9.11425e+08	9.04213e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	7.1397e+08	7.61042e+08	7.64964e+08	7.29172e+08	7.62588e+08	7.733e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		7	7	1.92069e+07	2.02291e+07		1.96073e+07		
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		4	4	1.65113e+07	1.83887e+07		1.53572e+07		
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		24	24	2.58279e+08	2.68028e+08	1.42096e+07	2.52665e+08	1.39706e+07	1.46798e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20	1.50289e+08	1.52929e+08	9.81002e+06	1.52378e+08	8.28058e+06	8.26429e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		23	23	1.44617e+08	1.49022e+08	6.62539e+06	1.42951e+08	8.7932e+06	7.43013e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	1.38755e+07	1.40749e+07	1.57223e+07	1.32349e+07	1.21495e+07	1.39719e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	14	14	1.15784e+07	1.18876e+07	1.17954e+07	1.26477e+07	1.20176e+07	1.07502e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.40749e+07	4.48482e+07	4.06812e+07	4.2224e+07	4.20723e+07	4.13891e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.17194e+08	1.17727e+08	1.20355e+08	1.16983e+08	1.22444e+08	1.21869e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	18	17	1.97693e+08	2.10673e+08	1.94354e+08	1.87401e+08	1.92218e+08	1.9773e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.2152e+06	1.40869e+06	1.00264e+06	899222	939973	1.06311e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	15	13	6.63683e+07	7.0126e+07	6.47784e+07	6.91954e+07	6.66671e+07	6.30949e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.04178e+06	7.6538e+06	8.30994e+06	8.35684e+06	8.36458e+06	8.49614e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	5.29633e+06	5.75052e+06	4.6295e+06	5.71575e+06	5.11311e+06	4.82469e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.60155e+06		1.54068e+06	1.76031e+06	1.55385e+06	1.95685e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	9	9	8.54012e+06	8.23564e+06	7.27819e+06	9.0595e+06	7.35087e+06	7.67593e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.19719e+06	2.00828e+06	1.75857e+06	1.63305e+06	1.79824e+06	1.84886e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	3	3	6.08142e+06	7.2502e+06	6.4674e+06	6.83948e+06	5.49536e+06	6.41388e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.43858e+07	3.76438e+07	3.33945e+07	3.4647e+07	3.42658e+07	3.34294e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	7	7	3.07113e+07	3.02588e+07	3.11203e+07	3.07638e+07	3.13669e+07	3.32012e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.25031e+07	3.25455e+07	3.04745e+07	3.11764e+07	3.34573e+07	2.97693e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24	5.17294e+07	5.25814e+07	2.21912e+06	5.13535e+07	3.78052e+06	2.59709e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	6.98551e+07	7.18083e+07	7.17223e+07	7.07717e+07	7.07981e+07	7.15152e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	13	13	1.57913e+07	1.62315e+07	1.62383e+07	1.73414e+07	1.63693e+07	1.69099e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.28228e+07	3.28703e+07	3.29243e+07	3.32447e+07	3.48024e+07	3.32006e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.52668e+07	2.53137e+07	2.40346e+07	2.46215e+07	2.28974e+07	2.3069e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.3873e+08	1.41226e+08	1.32592e+08	1.38582e+08	1.32039e+08	1.33057e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	26	26	7.70519e+07	7.56443e+07	7.60318e+07	7.54882e+07	7.34767e+07	7.35293e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	4	4	7.51619e+06	8.39621e+06	7.47424e+06	7.99108e+06	7.83609e+06	7.86786e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.63401e+08	3.66265e+08	3.8512e+08	3.63412e+08	4.07783e+08	4.16163e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7	7	3.55947e+07	3.51689e+07	3.30919e+07	3.45273e+07	3.2497e+07	3.47096e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.14423e+06	1.15489e+06	1.14716e+06	1.09375e+06	1.19252e+06	1.203e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	6.21037e+06	6.17554e+06	5.84275e+06	5.20471e+06	6.29496e+06	6.74671e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	5	5	2.38235e+06	2.08563e+06	2.63289e+06	1.88291e+06	2.09703e+06	2.52373e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	6.88366e+06	7.16658e+06	7.28136e+06	6.58646e+06	7.17315e+06	7.05402e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.85609e+07	1.93624e+07	1.93771e+07	1.97592e+07	1.91731e+07	1.95906e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	5	5	6.03611e+06	5.83222e+06	5.09657e+06	6.20537e+06	5.53245e+06	5.06264e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	34	34	1.88984e+08	1.95846e+08	1.89519e+08	1.90267e+08	1.89758e+08	1.89762e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	1	1	7.087e+06	5.82902e+06	5.51807e+06	6.58633e+06	5.57223e+06	6.03383e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	1.7044e+07	1.87618e+07	1.71193e+07	1.81535e+07	1.94717e+07	1.643e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		10	10	1.25131e+08	1.37898e+08	9.13301e+06	1.27356e+08	8.35066e+06	8.75485e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	5.04241e+06	6.06214e+06	6.07552e+06	5.78659e+06	5.89854e+06	5.87636e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	16	16	3.48836e+07	3.75351e+07	3.43531e+07	3.57429e+07	3.58633e+07	3.58037e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3	762270	652714	610548		584699	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	8.58301e+06	8.08332e+06	1.14842e+07	8.57592e+06	9.23651e+06	1.07291e+07
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1			1.46998e+06	1.35785e+06		
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	5	5	8.68842e+06	8.98121e+06	9.48332e+06	7.70583e+06	1.01602e+07	9.15481e+06
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.30624e+07	1.32621e+07	1.22961e+07	1.31541e+07	1.27567e+07	1.23964e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	16	16	2.17345e+07	2.34927e+07	2.2647e+07	2.1679e+07	2.2853e+07	2.38432e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	9.52507e+06	8.60519e+06	1.02862e+07	8.59323e+06	9.58022e+06	9.30215e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	6.26946e+06	7.25708e+06	7.55535e+06	7.49204e+06	7.15028e+06	7.39674e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.15183e+07	4.75934e+07	5.04642e+07	5.37815e+07	5.18495e+07	5.15395e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	4.5731e+07	3.56227e+07	4.42434e+07	5.10671e+07	5.00659e+07	5.62344e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	18	18	1.75165e+07	1.71461e+07	1.69063e+07	1.75559e+07	1.65875e+07	1.63793e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	7.1379e+06	7.35862e+06	6.70467e+06	7.1882e+06	6.16652e+06	7.32152e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21	6.27938e+07	6.42359e+07	2.46001e+06	6.2801e+07	3.57575e+06	2.93363e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.72952e+07	5.50964e+07	5.28453e+07	5.64569e+07	5.2659e+07	5.3551e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	3	3	609950	660583	693462		585053	655374
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	23	23	2.44254e+07	2.5533e+07	2.48416e+07	2.55333e+07	2.4695e+07	2.45331e+07
P06616	ERA_ECOLI	era	GTPase Era	9	9	7.56369e+06	8.29897e+06	7.93119e+06	7.41675e+06	8.20027e+06	8.15857e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	4.86601e+06	4.76106e+06	5.4812e+06	5.25715e+06	5.59972e+06	5.57674e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	7	7	3.46472e+06	3.50071e+06	3.32538e+06	3.38395e+06	3.32554e+06	4.14588e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	1.99008e+07	2.22488e+07	2.11052e+07	2.10488e+07	2.09021e+07	2.05507e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	2	2	461459	753562	825974		696630	
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.23112e+06	2.07473e+06	2.1722e+06	2.04554e+06	2.13492e+06	1.66004e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		18	18	8.21282e+07	8.06521e+07	3.70414e+06	8.07557e+07	4.09787e+06	4.18013e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	4.78345e+06	4.83185e+06	4.3105e+06	4.43964e+06	3.83674e+06	4.00015e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	36	36	2.81538e+08	2.88659e+08	2.97021e+08	2.92435e+08	2.97553e+08	2.98305e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	6.55909e+06	6.9671e+06	7.75556e+06	6.18483e+06	7.10681e+06	7.43761e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	7.67688e+07	8.4289e+07	8.60288e+07	8.14707e+07	8.56457e+07	8.75788e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	17	17	7.12219e+07	7.5372e+07	7.32075e+07	7.18123e+07	7.01977e+07	7.09925e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	7	7	2.2036e+07	2.17922e+07	2.29977e+07	2.25432e+07	2.11485e+07	2.20168e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	5.70148e+07	5.71028e+07	5.55e+07	5.60832e+07	5.59553e+07	5.50296e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.43031e+07	1.40425e+07	1.2893e+07	1.35376e+07	1.2389e+07	1.27814e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	3.49498e+06	3.54122e+06	3.77407e+06	3.62814e+06	3.92606e+06	3.66548e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	3.43047e+06	2.98624e+06	3.12732e+06	3.42009e+06	3.23231e+06	2.50895e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.36201e+08	1.46368e+08	1.34708e+08	1.43896e+08	1.36059e+08	1.40469e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	3.93088e+06	3.03228e+06	4.4137e+06	4.11815e+06	3.70523e+06	2.85133e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	19	16	1.27702e+09	1.34067e+09	1.31319e+09	1.2703e+09	1.30931e+09	1.38363e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	4.42233e+06	4.54823e+06	4.69219e+06	4.65932e+06	4.54754e+06	4.48143e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.26894e+06	1.99478e+06	1.83421e+06	2.05145e+06	1.86486e+06	1.61569e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	12	12	9.71764e+06	1.02446e+07	9.47907e+06	9.81433e+06	9.96705e+06	9.74253e+06
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.12713e+07	9.83305e+06	1.12645e+07	1.06079e+07	1.07019e+07	1.06293e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.07634e+07	3.16394e+07	3.22555e+07	3.08929e+07	3.14893e+07	3.13011e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.04234e+07	6.07673e+07	6.1517e+07	5.90454e+07	5.86425e+07	6.22164e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.06403e+07	2.03884e+07	2.12232e+07	1.95467e+07	2.00236e+07	2.05653e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	14	14	1.51503e+07	1.63841e+07	1.44586e+07	1.57447e+07	1.46258e+07	1.4814e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	3.79342e+06	4.50852e+06	3.55479e+06	3.93318e+06	3.23871e+06	3.44665e+06
P07023	TYRA_ECOLI	tyrA	T-protein	8	8	7.50136e+06	7.74069e+06	7.18666e+06	7.5191e+06	7.38675e+06	7.14069e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.37647e+07	2.40429e+07	2.37096e+07	2.31063e+07	2.33034e+07	2.31314e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	2	2	5.29623e+06	5.43e+06	4.60511e+06	4.30614e+06	4.83196e+06	4.78311e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1	1.71538e+06			1.96579e+06	2.12866e+06	1.82224e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	48	48	1.14454e+08	1.1446e+08	1.11522e+08	1.15164e+08	1.08722e+08	1.09327e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	4	4	2.34673e+06	3.03416e+06	2.93152e+06	2.6888e+06	2.92183e+06	2.98889e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	12	12	9.14895e+06	9.05683e+06	1.0153e+07	9.33688e+06	9.82652e+06	1.01421e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2		1.16805e+06		1.47887e+06	90017.3	1.60916e+06
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	36	36	9.21077e+07	9.3129e+07	8.67777e+07	8.95728e+07	8.87759e+07	9.14823e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	11	11	7.71351e+06	8.18408e+06	7.62908e+06	7.7219e+06	7.31147e+06	7.32657e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.54782e+07	1.50197e+07	1.59745e+07	1.62021e+07	1.57873e+07	1.6095e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	4	4	1.02941e+06	1.19352e+06	1.41453e+06	1.3709e+06	783265	1.07862e+06
