Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.46478e+08	1.41424e+08	1.44684e+08	1.42693e+08	1.39758e+08	1.42183e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	4.92828e+06	5.19345e+06	4.49125e+06	4.46251e+06	4.90724e+06	4.8603e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.33229e+06	1.65865e+06	1.34509e+06	1.34125e+06	1.46745e+06	1.79622e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	43	43	5.99957e+07	6.06467e+07	6.04935e+07	6.16381e+07	6.03775e+07	6.18129e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.03136e+06	9.98017e+06	7.89448e+06	9.27514e+06	7.22767e+06	9.93911e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.07097e+07	9.43946e+06	1.01333e+07	1.04803e+07	1.00294e+07	1.07117e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	1.0815e+06		1.4815e+06		1.2786e+06	968487
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.94713e+06	1.51412e+06	1.58064e+06	1.74722e+06	1.80735e+06	1.59361e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.51719e+06	1.5313e+06	1.34614e+06	1.38443e+06	1.53352e+06	1.57785e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10		1.34076e+08		1.22191e+08		1.36647e+08
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		12	12		2.02566e+08		2.00623e+08		1.99048e+08
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.78256e+06	1.56913e+06	1.44627e+06	1.2796e+06	1.61455e+06	1.45121e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.77919e+07	1.74948e+07	1.79394e+07	1.72808e+07	1.80641e+07	1.85423e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.64644e+06	3.58275e+06	2.17701e+06	2.81603e+06	2.79969e+06	2.69193e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3	1.79063e+06	2.08642e+06	1.97353e+06	2.08051e+06	1.80203e+06	1.9988e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.03635e+07	5.06293e+07	5.22489e+07	5.27096e+07	5.10448e+07	4.98831e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	1.01042e+08	1.06148e+08	1.048e+08	1.02341e+08	1.00891e+08	1.03641e+08
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.06401e+08	1.12687e+08	1.10828e+08	1.10853e+08	1.08757e+08	1.11959e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	42	42	1.27897e+08	1.32673e+08	1.29982e+08	1.33225e+08	1.33698e+08	1.33406e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	34	34	6.05254e+07	6.28885e+07	6.08189e+07	6.24506e+07	6.06782e+07	6.25317e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	8	8	2.98895e+07	3.38747e+07	3.05807e+07	3.47292e+07	2.85556e+07	3.19053e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	39	39	7.51524e+07	7.4826e+07	7.46729e+07	7.44419e+07	7.3555e+07	7.50269e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.55675e+07	7.67087e+07	7.56821e+07	7.48418e+07	7.6078e+07	7.79952e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.04997e+08	1.00906e+08	1.06704e+08	1.00241e+08	1.007e+08	1.00237e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	31	31	1.85779e+07	1.87801e+07	1.89598e+07	1.88118e+07	1.87617e+07	1.85746e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		16	16		1.60432e+08		1.51708e+08		1.53756e+08
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8		8.11272e+07		8.47968e+07		8.26161e+07
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4		1.16066e+08		1.16506e+08		1.14308e+08
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1		5.91472e+07		5.31322e+07		5.29816e+07
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1		7.4499e+07		6.84731e+07		7.05798e+07
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7		9.84832e+07		9.68319e+07		9.58909e+07
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		8	8		1.3862e+08		1.41778e+08		1.40251e+08
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		9	9		1.51004e+08		1.45741e+08		1.52712e+08
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	9.41319e+08	9.05107e+08	9.1501e+08	9.65753e+08	8.57634e+08	9.0314e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.18165e+08	9.15339e+08	9.4474e+08	9.14271e+08	9.09457e+08	9.48146e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	8.27274e+08	7.56372e+08	8.31466e+08	7.79158e+08	8.50209e+08	7.49861e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		6	6		1.79892e+07		1.79444e+07		1.83757e+07
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		3	3		1.86321e+07		2.10431e+07		1.90262e+07
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		24	24	1.04221e+06	2.71135e+08		2.74311e+08		2.62309e+08
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20		1.34693e+08		1.29457e+08		1.33619e+08
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		23	23		1.49277e+08		1.55287e+08		1.46339e+08
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	3.67051e+07	3.41664e+07	3.74311e+07	3.45746e+07	3.68952e+07	3.74033e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	1.14814e+07	1.17673e+07	1.33988e+07	1.20359e+07	1.41758e+07	1.31884e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.26363e+07	4.53265e+07	4.21127e+07	4.62078e+07	4.10775e+07	4.43784e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.25755e+08	1.16801e+08	1.26149e+08	1.17731e+08	1.22653e+08	1.13639e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	17	1.98575e+08	1.98065e+08	1.91036e+08	2.15767e+08	1.83962e+08	1.90144e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.01103e+06	1.12529e+06	975352	1.25297e+06	823211	961198
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	6.74666e+07	6.8951e+07	6.55829e+07	6.9499e+07	6.60335e+07	6.89899e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	7.76356e+06	8.18743e+06	8.62249e+06	7.68768e+06	7.6948e+06	8.47568e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	13	13	5.29912e+06	6.50495e+06	5.67861e+06	6.90201e+06	5.71159e+06	6.97173e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	2.05886e+06	1.6513e+06	2.38992e+06		2.46221e+06	2.43729e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	9	9	7.63242e+06	9.97978e+06	8.55439e+06	9.68857e+06	8.35481e+06	1.01114e+07
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.90032e+06	2.74223e+06	2.94748e+06	2.59224e+06	2.87655e+06	2.45805e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	3	3	7.23336e+06	5.27634e+06	6.44394e+06	7.27848e+06	6.33377e+06	6.71232e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.72943e+07	3.87283e+07	3.83451e+07	3.91962e+07	3.66633e+07	4.05706e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.45201e+07	3.25655e+07	3.37282e+07	3.17088e+07	3.4769e+07	3.21367e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.34722e+07	3.44963e+07	3.31725e+07	3.43574e+07	3.2969e+07	3.2952e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		23	23		5.56527e+07		5.46476e+07		5.43571e+07
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	25	25	7.24892e+07	7.28133e+07	7.32849e+07	7.42896e+07	7.19338e+07	7.33838e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	14	14	2.08676e+07	2.09759e+07	2.14914e+07	2.06005e+07	2.11155e+07	2.19627e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.46572e+07	3.53452e+07	3.62653e+07	3.60285e+07	3.63773e+07	3.58193e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.62569e+07	2.70818e+07	2.64162e+07	2.78956e+07	2.51441e+07	2.54979e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.41158e+08	1.53812e+08	1.46975e+08	1.57208e+08	1.45147e+08	1.52591e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	28	28	7.30833e+07	7.58367e+07	7.23083e+07	7.59946e+07	7.36789e+07	7.39408e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	7.90202e+06	8.56e+06	8.36749e+06	8.82028e+06	8.07103e+06	8.46714e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.16745e+08	3.62996e+08	4.16579e+08	3.61124e+08	3.72518e+08	3.60323e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.77154e+07	3.8144e+07	3.7543e+07	3.77642e+07	3.67858e+07	3.80156e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.44912e+06	1.41085e+06	1.36299e+06	1.38209e+06	1.42686e+06	1.28437e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	6.32888e+06	5.02072e+06	6.08194e+06	6.8264e+06	6.6639e+06	5.53984e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	4	4	5.74575e+06	4.86973e+06	4.13097e+06	3.96869e+06	4.62935e+06	2.67176e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	7	7	7.0936e+06	7.10002e+06	7.04182e+06	6.94457e+06	6.97055e+06	7.02941e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.12143e+07	1.9414e+07	2.04401e+07	1.97413e+07	1.99618e+07	2.02491e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.35289e+06	5.57464e+06	5.50148e+06	5.65357e+06	6.33345e+06	5.83669e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	36	36	1.99429e+08	1.96064e+08	1.9908e+08	2.01762e+08	2.01896e+08	1.96846e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	1	1	5.42989e+06	7.2193e+06	5.92645e+06	6.20505e+06	5.50585e+06	6.30079e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.28502e+07	2.3967e+07	2.37723e+07	2.36356e+07	2.14252e+07	2.0897e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		10	10		1.2404e+08		1.23526e+08		1.25008e+08
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	6.1869e+06	5.55797e+06	6.18322e+06	6.28071e+06	6.06095e+06	6.21771e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	4.23135e+07	4.38391e+07	4.39197e+07	4.46877e+07	4.06735e+07	4.28184e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3	594740	1.04589e+06		887866	869332	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.59393e+06	1.13839e+07	1.17967e+07	9.64069e+06	1.01154e+07	1.03455e+07
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	3	3	1.18945e+07	1.12065e+07	1.24806e+07	1.06127e+07	1.28166e+07	9.46033e+06
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.2665e+07	1.37433e+07	1.28987e+07	1.31652e+07	1.24705e+07	1.31782e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	13	13	2.62514e+07	2.41319e+07	2.62912e+07	2.63451e+07	2.73208e+07	2.45486e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	9.50374e+06	9.3965e+06	1.03085e+07	8.79165e+06	9.77898e+06	8.996e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.87983e+06	9.18874e+06	9.03964e+06	8.78978e+06	9.63947e+06	8.57979e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	25	25	4.98451e+07	5.15812e+07	5.29445e+07	4.85431e+07	4.93015e+07	5.34216e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	2.34151e+07	2.49534e+07	1.83515e+07	2.35613e+07	2.1767e+07	1.99655e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	2.83076e+07	3.17496e+07	2.87435e+07	2.91217e+07	2.78554e+07	3.13929e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	6.5249e+06	7.41427e+06	6.67651e+06	7.40009e+06	6.40994e+06	7.51928e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		22	22		6.67809e+07		6.55335e+07		6.48855e+07
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.69676e+07	6.05045e+07	5.67012e+07	5.5689e+07	5.42267e+07	5.98909e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.06273e+06		1.06938e+06	782338	1.03584e+06	
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	25	25	2.8325e+07	2.70902e+07	2.71676e+07	2.74483e+07	2.71342e+07	2.77198e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	9.43491e+06	7.95076e+06	9.79494e+06	8.84119e+06	9.15686e+06	7.82372e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	5	5	5.57765e+06	4.61599e+06	5.53506e+06	4.84362e+06	5.86694e+06	5.22503e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	4.95527e+06	4.72861e+06	5.3644e+06	4.71976e+06	4.96201e+06	4.40678e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	2.48143e+07	2.56488e+07	2.51771e+07	2.78668e+07	2.47608e+07	2.51058e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	1	1	1.10499e+06		1.11236e+06		1.07731e+06	
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.05109e+06	2.09536e+06	2.02595e+06	2.10589e+06	2.23074e+06	1.65978e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		19	19		8.34158e+07		8.26849e+07		8.29749e+07
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	4.27232e+06	4.43205e+06	4.35874e+06	4.27547e+06	4.22541e+06	3.98437e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	36	36	2.9354e+08	2.76131e+08	2.90176e+08	2.73325e+08	2.93118e+08	2.78898e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	7.96692e+06	7.23672e+06	8.40695e+06	8.01437e+06	8.7401e+06	7.83011e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.34311e+07	7.74289e+07	8.90682e+07	7.98113e+07	8.41952e+07	7.85352e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	16	16	7.53965e+07	7.33708e+07	7.4353e+07	7.65999e+07	7.55036e+07	7.20044e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.01369e+07	1.09129e+07	1.15208e+07	1.0796e+07	1.02637e+07	1.10117e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	6.26319e+07	5.97956e+07	6.29512e+07	5.80286e+07	6.26226e+07	5.73776e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	8	8	1.49226e+07	1.63731e+07	1.45529e+07	1.62122e+07	1.4723e+07	1.5715e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	6	6	3.08897e+06	3.27038e+06	3.39664e+06	3.02453e+06	3.38616e+06	3.36571e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	2.64058e+06	3.12319e+06	2.67047e+06	2.91352e+06	2.73583e+06	2.84834e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.35895e+08	1.41101e+08	1.36697e+08	1.37632e+08	1.32405e+08	1.43929e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	6.9914e+06	9.13632e+06	8.25285e+06	7.40518e+06	7.28248e+06	8.83488e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	19	16	1.46279e+09	1.33726e+09	1.45617e+09	1.41448e+09	1.41244e+09	1.36338e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	4	4	4.58903e+06	4.56687e+06	4.56513e+06	4.68223e+06	4.46028e+06	4.81344e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.35476e+06	2.5408e+06	2.15521e+06	2.08492e+06	2.16184e+06	2.50806e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	9.58205e+06	9.42727e+06	1.00816e+07	1.03557e+07	9.103e+06	1.00035e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.21596e+07	1.21181e+07	1.16956e+07	1.14024e+07	1.20695e+07	1.12115e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	14	14	3.17808e+07	3.01159e+07	3.31084e+07	3.0266e+07	3.16987e+07	3.06948e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.24422e+07	6.29093e+07	6.17084e+07	6.09847e+07	6.19833e+07	6.13753e+07
P07013	PRIB_ECOLI	priB	Primosomal replication protein n	1	1	348757					
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	1.95439e+07	1.96209e+07	1.92698e+07	1.93571e+07	1.85635e+07	1.88284e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	14	14	1.64453e+07	1.74017e+07	1.71436e+07	1.74625e+07	1.60585e+07	1.72778e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	2.71378e+06	3.22398e+06	2.87957e+06	3.81538e+06	2.87606e+06	3.28883e+06
P07023	TYRA_ECOLI	tyrA	T-protein	8	8	7.30397e+06	7.79042e+06	7.74368e+06	8.00513e+06	6.83602e+06	7.90875e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.53468e+07	2.48158e+07	2.52001e+07	2.46281e+07	2.41562e+07	2.47742e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	4.56278e+06	5.12813e+06	4.91716e+06	5.08976e+06	4.48215e+06	4.11372e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1	2.94896e+06	2.44452e+06	2.96235e+06			3.09101e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	46	46	1.15978e+08	1.2845e+08	1.18684e+08	1.2337e+08	1.16151e+08	1.26866e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	5	5	3.5603e+06	3.07623e+06	3.55664e+06	3.5648e+06	3.60381e+06	3.20492e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	13	13	1.22828e+07	1.10951e+07	1.22069e+07	1.13772e+07	1.2683e+07	1.11943e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	185238		101469		157399	
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	8.9862e+07	9.17901e+07	8.92868e+07	9.34695e+07	8.89798e+07	9.03562e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	11	11	7.94668e+06	8.47117e+06	8.38918e+06	8.95009e+06	8.45754e+06	8.64611e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.61355e+07	1.6073e+07	1.67156e+07	1.54254e+07	1.58119e+07	1.67964e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	3	3	1.27072e+06	1.17043e+06	1.31565e+06	1.35613e+06	1.48724e+06	1.43387e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	3	3	3.27425e+06	3.10284e+06	3.45223e+06		3.4543e+06	
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	22	22	3.19804e+07	2.98422e+07	3.32014e+07	2.97052e+07	3.29832e+07	3.04336e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	14	14	3.67187e+06	3.64645e+06	3.76898e+06	3.63982e+06	3.55908e+06	3.52472e+06
