Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.46679e+06	7.39956e+06	8.0771e+06	7.65875e+06	7.75914e+06	7.68331e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.32223e+08	1.39227e+08	1.3225e+08	1.35425e+08	1.33145e+08	1.33364e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	41	41	2.27128e+07	2.29695e+07	2.32744e+07	2.33306e+07	2.25406e+07	2.28073e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.45608e+07	1.42833e+07	1.39469e+07	1.41726e+07	1.33591e+07	1.46132e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	20	20	1.3088e+08	1.30375e+08	1.32497e+08	1.29838e+08	1.29624e+08	1.27382e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	4.65442e+06	4.38503e+06	4.78544e+06	4.19148e+06	4.35228e+06	4.93109e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.17531e+06	1.08123e+06	1.01872e+06	957504	1.09378e+06	920711
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	40	40	6.04233e+07	5.99444e+07	6.05122e+07	6.00693e+07	6.00931e+07	6.14878e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	6.58414e+06	6.60528e+06	6.57348e+06	6.64501e+06	6.72778e+06	6.62185e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	9.9344e+06	1.05403e+07	1.01776e+07	1.08131e+07	1.04588e+07	1.01706e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1			421675	430554	379214	454398
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	964656	1.14409e+06	1.20926e+06	1.00018e+06	1.08827e+06	1.22362e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.22983e+06	1.11834e+06	841270	1.01466e+06	1.01338e+06	1.0149e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		3	3		2.38654e+06		2.22661e+06		2.49614e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	1.8856e+06	1.84793e+06	1.90858e+06	2.16614e+06	1.91819e+06	2.07779e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.6937e+07	1.74142e+07	1.77792e+07	1.73868e+07	1.74262e+07	1.71367e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.76393e+06	2.53282e+06	2.4085e+06	2.49031e+06	1.99441e+06	2.50911e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2		3.28296e+06		2.77317e+06	2.97067e+06	2.34698e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.95105e+07	4.9683e+07	4.91233e+07	4.87189e+07	5.15447e+07	4.82399e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	7.89204e+07	8.65975e+07	7.8946e+07	9.01523e+07	7.64916e+07	9.14367e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	40	40	1.08788e+08	1.12908e+08	1.07963e+08	1.14194e+08	1.10142e+08	1.14578e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.17065e+08	1.20499e+08	1.15241e+08	1.19935e+08	1.14508e+08	1.19292e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	31	31	5.95988e+07	5.9097e+07	5.90857e+07	5.92551e+07	5.96691e+07	5.95922e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.27367e+07	3.05811e+07	3.34279e+07	2.98704e+07	3.48374e+07	2.9233e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	39	39	7.782e+07	7.74327e+07	7.70285e+07	7.79911e+07	7.78967e+07	7.85078e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	7.8581e+07	8.00372e+07	7.88195e+07	8.11143e+07	7.92064e+07	8.13229e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	9.87748e+07	9.99401e+07	1.03451e+08	1.00867e+08	9.48893e+07	1.03905e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	31	31	1.82426e+07	1.86726e+07	1.81357e+07	1.88834e+07	1.84736e+07	1.86506e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		2	2		2.72951e+06		2.86184e+06		2.90464e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		1	1		1.96424e+06		2.6618e+06		2.1257e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		3	3		815107				1.69092e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	8.13639e+08	9.13111e+08	8.12363e+08	9.36348e+08	7.96494e+08	9.02678e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.37377e+08	9.36664e+08	9.23114e+08	9.69642e+08	9.16525e+08	9.69761e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	7.69877e+08	7.70862e+08	7.65968e+08	7.7548e+08	7.589e+08	7.5966e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		3	3		4.4738e+06		4.74048e+06		4.2921e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		3	3		2.21509e+06		2.77171e+06		3.13783e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	3.17131e+06	3.08136e+06	3.47797e+06	3.25204e+06	2.99637e+06	3.27235e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	2.82175e+07	3.028e+07	2.95037e+07	2.95618e+07	2.86864e+07	2.94695e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	14	14	3.88412e+07	3.97434e+07	4.03874e+07	4.07259e+07	3.98103e+07	4.05129e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.22298e+08	1.20589e+08	1.18283e+08	1.21601e+08	1.17472e+08	1.2197e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	17	16	1.96919e+08	1.85765e+08	1.95997e+08	1.86566e+08	1.8814e+08	1.81523e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.21816e+06	995547	1.12117e+06	1.0538e+06	1.19721e+06	1.09049e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	5.51909e+07	5.91995e+07	5.56093e+07	6.1396e+07	5.53485e+07	5.85571e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.24406e+06	9.14367e+06	7.74331e+06	8.35079e+06	8.98082e+06	9.20572e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.7942e+06	6.39141e+06	7.2064e+06	7.03063e+06	7.01842e+06	6.9342e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.70793e+06	2.20339e+06	2.1205e+06	2.04005e+06	2.17906e+06	1.82701e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	8.45316e+06	8.54683e+06	8.88063e+06	8.281e+06	8.58987e+06	8.41716e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	1.96323e+06	2.43255e+06	2.04619e+06	2.11729e+06	1.9383e+06	1.54798e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.40635e+06	5.92947e+06	6.40882e+06	6.44422e+06	5.57803e+06	6.07704e+06
P03813	YGEA_ECOLI	ygeA	Uncharacterized protein YgeA	1	1				247723		222977
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.60033e+07	3.6382e+07	3.52747e+07	3.56268e+07	3.60263e+07	3.65327e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.14086e+07	2.99395e+07	3.17954e+07	3.12137e+07	3.06062e+07	3.0013e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.28498e+07	3.22907e+07	3.06957e+07	3.30821e+07	3.22604e+07	3.30151e+07
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.18228e+07	8.02388e+07	8.02447e+07	8.2334e+07	8.14916e+07	8.12994e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	12	12	1.6234e+07	1.62828e+07	1.64007e+07	1.57723e+07	1.49336e+07	1.58594e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.12825e+07	3.66031e+07	3.46619e+07	3.52202e+07	3.65484e+07	3.61006e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	5	5	2.28948e+07	2.34915e+07	2.28552e+07	2.36416e+07	2.29599e+07	2.39208e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	22	22	1.39298e+08	1.39474e+08	1.38069e+08	1.38421e+08	1.39627e+08	1.40154e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	26	26	7.46719e+07	7.5584e+07	7.41312e+07	7.36314e+07	7.71544e+07	7.45448e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	7.40207e+06	7.20531e+06	7.35173e+06	7.41636e+06	7.32464e+06	7.29219e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.74761e+08	3.82536e+08	3.71805e+08	3.98105e+08	3.69264e+08	3.92047e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.36218e+07	3.44713e+07	3.52177e+07	3.49722e+07	3.45102e+07	3.42428e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	1.78623e+06	1.55338e+06	1.56139e+06	1.44993e+06	1.55477e+06	1.57047e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.0548e+06	5.00931e+06	5.51061e+06	6.34037e+06	5.3803e+06	5.96163e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	4.35032e+06	5.86835e+06	5.03248e+06	4.90522e+06	4.96986e+06	5.15868e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	7.56695e+06	8.22744e+06	7.25491e+06	7.99867e+06	7.96965e+06	8.18133e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.95535e+07	1.98259e+07	1.90154e+07	2.00999e+07	1.92011e+07	1.99447e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	4.44039e+06	5.22344e+06	5.03169e+06	5.09819e+06	4.5631e+06	5.20458e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	34	34	1.88231e+08	1.95242e+08	1.84563e+08	1.93802e+08	1.87308e+08	1.94948e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	1	1	5.39352e+06	6.00318e+06	5.70455e+06	5.23907e+06	5.90508e+06	5.68931e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.11055e+07	2.19438e+07	2.10555e+07	2.16992e+07	2.15724e+07	2.33078e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		1	1		2.84367e+06		3.32966e+06		3.29775e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	12	12	6.28221e+06	6.08934e+06	6.65977e+06	6.42655e+06	6.23702e+06	6.55248e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	3.29301e+07	3.41757e+07	3.38572e+07	3.63904e+07	3.43663e+07	3.63621e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2		1.242e+06		902042		1.13079e+06
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	8.37966e+06	9.01568e+06	8.99606e+06	8.68892e+06	9.04704e+06	9.54362e+06
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	5	5	1.12689e+07	1.19968e+07	1.20221e+07	1.13492e+07	1.10823e+07	1.27497e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.25422e+07	1.22402e+07	1.29823e+07	1.26558e+07	1.2941e+07	1.24192e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15	2.17032e+07	2.27061e+07	2.16663e+07	2.17202e+07	2.25913e+07	2.2391e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	15	15	8.91474e+06	9.00898e+06	8.95417e+06	9.18183e+06	9.25536e+06	9.26421e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.39275e+06	8.48545e+06	9.05759e+06	9.44405e+06	8.51669e+06	8.84056e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.06855e+07	4.89122e+07	4.99587e+07	4.98424e+07	4.88479e+07	4.95625e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	6.026e+07	7.21552e+07	7.43983e+07	7.84112e+07	6.56685e+07	7.52278e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	2.52316e+07	2.4777e+07	2.56114e+07	2.51855e+07	2.42057e+07	2.51833e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	6.78739e+06	6.91143e+06	7.56717e+06	7.3586e+06	7.78059e+06	7.70673e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		1	1				525343		608533
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	4.78724e+07	4.51115e+07	4.8086e+07	4.82834e+07	4.74922e+07	4.87902e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.00815e+06	1.03612e+06	1.07394e+06	1.09519e+06		1.04214e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	24	24	2.58831e+07	2.65475e+07	2.67636e+07	2.65416e+07	2.68322e+07	2.5831e+07
P06616	ERA_ECOLI	era	GTPase Era	7	7	8.57037e+06	8.60693e+06	8.97809e+06	8.08418e+06	8.99752e+06	8.56882e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.8278e+06	6.01021e+06	5.70081e+06	5.97348e+06	6.61561e+06	5.68226e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	9	9	5.28603e+06	5.43823e+06	5.43527e+06	5.19387e+06	5.31756e+06	5.11443e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	12	12	2.32911e+07	2.48236e+07	2.33737e+07	2.49452e+07	2.30186e+07	2.33964e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3	4.62415e+06	4.3819e+06	4.52658e+06	4.68749e+06	4.81664e+06	4.66791e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.89152e+06	2.69383e+06	2.80265e+06	2.93485e+06	2.8849e+06	2.93e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		2	2		1.03841e+06		1.06351e+06		1.0113e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	4.35081e+06	4.42688e+06	4.91387e+06	4.93428e+06	4.8719e+06	4.67177e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	39	39	2.89797e+08	3.04437e+08	2.85578e+08	3.05903e+08	2.8602e+08	3.02887e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	8	8	6.24307e+06	5.95829e+06	5.87924e+06	5.47771e+06	5.91891e+06	5.53522e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.40705e+07	7.87498e+07	7.96277e+07	8.01629e+07	7.77092e+07	7.75913e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.22614e+07	7.07354e+07	7.13161e+07	7.31888e+07	7.10598e+07	6.92661e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.15949e+07	1.23999e+07	1.19919e+07	1.22209e+07	1.18002e+07	1.24992e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	5.69036e+07	5.70002e+07	5.61021e+07	5.70094e+07	5.61896e+07	5.79073e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.30196e+07	1.29968e+07	1.42805e+07	1.2669e+07	1.31322e+07	1.26261e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	2.86254e+06	3.28246e+06	2.8725e+06	3.25891e+06	3.09587e+06	3.20847e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	9.36544e+06	8.50092e+06	8.5896e+06	8.31015e+06	8.72842e+06	8.41812e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.50608e+08	1.44797e+08	1.48272e+08	1.36684e+08	1.51403e+08	1.4985e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	1.03548e+06	1.3857e+06	1.56809e+06	1.43496e+06		1.42014e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.3473e+09	1.28711e+09	1.30495e+09	1.29556e+09	1.31314e+09	1.30081e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	4.79159e+06	4.54069e+06	4.70801e+06	4.54657e+06	4.48248e+06	4.4534e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.13617e+06	2.20238e+06	2.04559e+06	2.13614e+06	2.3761e+06	2.30061e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.30695e+07	2.33181e+07	2.43967e+07	2.43848e+07	2.43047e+07	2.52617e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.21927e+07	1.2676e+07	1.11961e+07	1.16315e+07	1.28217e+07	1.22834e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	14	14	3.12355e+07	3.16979e+07	3.15982e+07	3.18852e+07	3.23809e+07	3.07379e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17	6.07985e+07	6.41493e+07	6.09408e+07	6.38379e+07	6.13193e+07	6.23205e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.03142e+07	2.0801e+07	2.12338e+07	2.02678e+07	2.15555e+07	2.01111e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	13	13	1.63806e+07	1.63158e+07	1.61628e+07	1.64901e+07	1.54773e+07	1.60537e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	3.38236e+06	4.22979e+06	3.56817e+06	3.97098e+06	3.61524e+06	3.9813e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	6.85506e+06	6.59803e+06	6.81445e+06	7.07012e+06	6.81678e+06	6.98671e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.3403e+07	2.32353e+07	2.37319e+07	2.3613e+07	2.25606e+07	2.36217e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	4.86893e+06	5.16831e+06	4.99366e+06	4.86835e+06	5.11779e+06	5.25625e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	48	48	1.0565e+08	1.08013e+08	1.05576e+08	1.05165e+08	1.07004e+08	1.07821e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	2.7475e+06	2.87652e+06	2.90858e+06	2.96244e+06	2.92451e+06	3.1211e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.03743e+07	1.08903e+07	1.08025e+07	1.0886e+07	1.09559e+07	1.12722e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	3	3	2.54053e+06	2.70515e+06	2.54064e+06			2.61853e+06
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	8.56741e+07	8.43807e+07	8.56439e+07	8.37043e+07	8.51511e+07	8.46698e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	12	12	7.20074e+06	7.9395e+06	7.83755e+06	7.38584e+06	8.35771e+06	7.83786e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.61954e+07	1.58564e+07	1.69022e+07	1.65905e+07	1.70476e+07	1.66444e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	4	4	1.17189e+06	1.60626e+06	1.32382e+06	1.31923e+06	1.58922e+06	1.19003e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	4	4	3.35345e+06	3.22126e+06	3.29737e+06	3.23793e+06	3.63449e+06	2.98376e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	24	24	3.07676e+07	3.19145e+07	3.13809e+07	3.20888e+07	3.07292e+07	3.20032e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	12	12	4.51724e+06	4.1892e+06	4.18289e+06	4.31542e+06	4.47604e+06	4.36148e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	18	18	1.04695e+07	1.09384e+07	1.14275e+07	1.10212e+07	1.13446e+07	1.05333e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	31	31	9.09305e+07	9.84871e+07	9.23434e+07	9.73497e+07	9.35785e+07	9.69895e+07
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	1	1		3.40432e+06	2.80584e+06	3.3818e+06	3.64963e+06	
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.31886e+06	1.64739e+06	1.39574e+06	1.61905e+06	1.28254e+06	1.64129e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	3.85162e+07	4.0231e+07	4.14269e+07	3.98854e+07	4.16757e+07	4.16085e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.28158e+07	3.22407e+07	3.22905e+07	3.10368e+07	3.20077e+07	3.09838e+07
P08178	PUR5_ECOLI	purM	Phosphoribosylformylglycinamidine cyclo-ligase	3	3	6.16071e+06	5.66779e+06	5.47126e+06	5.46992e+06	5.59028e+06	5.64078e+06
P08179	PUR3_ECOLI	purN	Phosphoribosylglycinamide formyltransferase	3	3	5.09662e+06	4.07412e+06	4.412e+06	4.71474e+06	4.0194e+06	4.76634e+06
P08189	FIMF_ECOLI	fimF	Protein FimF	1	1	2.22725e+06	3.05161e+06	1.75478e+06	2.64063e+06	2.61111e+06	2.7357e+06
P08190	FIMG_ECOLI	fimG	Protein FimG	3	3	4.98711e+06	4.69147e+06	5.07121e+06	4.35431e+06	4.28284e+06	4.41768e+06
P08191	FIMH_ECOLI	fimH	Protein FimH	3	3	7.77648e+06	7.49437e+06	8.35104e+06	7.43517e+06	8.39488e+06	7.46009e+06
